<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIA.US,5,20211104,143000,80.6,80.6,80.6,80.6,1025,0
AIA.US,5,20211104,144500,80.44,80.4997,80.44,80.4997,566,0
AIA.US,5,20211104,145000,80.45,80.48,80.45,80.48,1081,0
AIA.US,5,20211104,150000,80.485,80.485,80.485,80.485,100,0
AIA.US,5,20211104,151000,80.444,80.444,80.444,80.444,251,0
AIA.US,5,20211104,153000,80.5,80.5,80.4773,80.4773,550,0
AIA.US,5,20211104,154000,80.367,80.367,80.36,80.36,455,0
AIA.US,5,20211104,154500,80.33,80.33,80.28,80.2846,2075,0
AIA.US,5,20211104,155500,80.25,80.25,80.25,80.25,100,0
AIA.US,5,20211104,161000,80.095,80.095,80.095,80.095,294,0
AIA.US,5,20211104,162000,80.06,80.06,80.03,80.03,246,0
AIA.US,5,20211104,163000,79.905,79.92,79.89,79.92,300,0
AIA.US,5,20211104,163500,79.9,79.9,79.89,79.9,700,0
AIA.US,5,20211104,164500,79.905,79.96,79.815,79.84,1235,0
AIA.US,5,20211104,165500,79.9,79.92,79.9,79.92,200,0
AIA.US,5,20211104,170000,79.99,79.99,79.99,79.99,100,0
AIA.US,5,20211104,173000,80.01,80.01,80.01,80.01,100,0
AIA.US,5,20211104,173500,80.04,80.04,80.04,80.04,200,0
AIA.US,5,20211104,174000,80,80,80,80,178,0
AIA.US,5,20211104,180000,79.97,79.99,79.97,79.99,517,0
AIA.US,5,20211104,181000,80,80.01,80,80.01,300,0
AIA.US,5,20211104,182500,80.02,80.02,80.02,80.02,200,0
AIA.US,5,20211104,183000,80.0417,80.0417,79.9556,79.9556,427,0
AIA.US,5,20211104,183500,80.02,80.02,80.02,80.02,300,0
AIA.US,5,20211104,184000,80.0019,80.0019,80.0019,80.0019,541,0
AIA.US,5,20211104,184500,79.9967,79.9967,79.9967,79.9967,150,0
AIA.US,5,20211104,185000,79.9727,79.9727,79.9727,79.9727,137,0
AIA.US,5,20211104,185500,79.96,80.005,79.96,80.005,413,0
AIA.US,5,20211104,190000,80.005,80.005,80,80,1000,0
AIA.US,5,20211104,190500,79.98,80.02,79.98,80.01,1300,0
AIA.US,5,20211104,191000,79.99,80.13,79.99,80.08,6300,0
AIA.US,5,20211104,191500,80.1,80.13,80.075,80.13,1600,0
AIA.US,5,20211104,192000,80.1886,80.1886,80.1886,80.1886,808,0
AIA.US,5,20211104,192500,80.1882,80.1882,80.1882,80.1882,257,0
AIA.US,5,20211104,193500,80.19,80.19,80.19,80.19,400,0
AIA.US,5,20211104,194500,80.2,80.2,80.19,80.19,300,0
AIA.US,5,20211104,195000,80.19,80.2,80.19,80.2,400,0
AIA.US,5,20211104,195500,80.2,80.2,80.13,80.13,1200,0
AIA.US,5,20211104,200000,80.14,80.14,80.14,80.14,100,0
AIA.US,5,20211104,201000,80.2014,80.2014,80.2014,80.2014,140,0
AIA.US,5,20211104,202000,80.22,80.22,80.22,80.22,100,0
AIA.US,5,20211104,202500,80.195,80.195,80.16,80.16,609,0
AIA.US,5,20211104,203500,80.145,80.145,80.135,80.135,354,0
AIA.US,5,20211104,204000,80.08,80.08,80.08,80.08,392,0
AIA.US,5,20211104,204500,80.1052,80.2491,80.1052,80.2491,475,0
AIA.US,5,20211104,205500,80.19,80.3,80.19,80.24,1283,0
AIA.US,5,20211105,143000,80.26,80.26,80.26,80.26,880,0
AIA.US,5,20211105,143500,80.1525,80.1579,80.1525,80.1579,856,0
AIA.US,5,20211105,145000,80.04,80.09,80.02,80.08,1400,0
AIA.US,5,20211105,145500,80.01,80.06,80.01,80.06,5900,0
AIA.US,5,20211105,150000,80.06,80.09,80.06,80.09,3700,0
AIA.US,5,20211105,151500,79.97,79.97,79.97,79.97,112,0
AIA.US,5,20211105,152000,79.8325,79.89,79.8325,79.89,235,0
