<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTSL.US,5,20211104,143000,47.93,47.9335,47.92,47.9335,19165,0
FTSL.US,5,20211104,143500,47.935,47.9454,47.935,47.94,1060,0
FTSL.US,5,20211104,144000,47.95,47.95,47.94,47.94,9798,0
FTSL.US,5,20211104,144500,47.95,47.95,47.94,47.945,1292,0
FTSL.US,5,20211104,145000,47.94,47.9468,47.94,47.945,4196,0
FTSL.US,5,20211104,145500,47.94,47.945,47.93,47.935,10441,0
FTSL.US,5,20211104,150000,47.935,47.9391,47.92,47.92,6756,0
FTSL.US,5,20211104,150500,47.9281,47.93,47.92,47.93,1746,0
FTSL.US,5,20211104,151000,47.925,47.94,47.925,47.94,2570,0
FTSL.US,5,20211104,151500,47.935,47.94,47.935,47.935,8496,0
FTSL.US,5,20211104,152000,47.93,47.94,47.93,47.9399,4431,0
FTSL.US,5,20211104,152500,47.94,47.94,47.93,47.93,1800,0
FTSL.US,5,20211104,153000,47.93,47.94,47.93,47.94,3520,0
FTSL.US,5,20211104,153500,47.935,47.94,47.935,47.935,2428,0
FTSL.US,5,20211104,154000,47.935,47.94,47.9326,47.935,2023,0
FTSL.US,5,20211104,154500,47.935,47.94,47.9321,47.935,1527,0
FTSL.US,5,20211104,155000,47.935,47.94,47.93,47.935,6023,0
FTSL.US,5,20211104,155500,47.935,47.935,47.935,47.935,1200,0
FTSL.US,5,20211104,160000,47.93,47.9382,47.93,47.9382,1359,0
FTSL.US,5,20211104,160500,47.935,47.9372,47.93,47.935,2487,0
FTSL.US,5,20211104,161000,47.935,47.9441,47.935,47.9441,13363,0
FTSL.US,5,20211104,161500,47.94,47.9451,47.94,47.94,1878,0
FTSL.US,5,20211104,162000,47.935,47.9373,47.93,47.9373,2598,0
FTSL.US,5,20211104,162500,47.93,47.94,47.93,47.93,2439,0
FTSL.US,5,20211104,163000,47.938,47.939,47.93,47.935,2369,0
FTSL.US,5,20211104,163500,47.935,47.94,47.93,47.935,4733,0
FTSL.US,5,20211104,164000,47.935,47.94,47.935,47.935,28921,0
FTSL.US,5,20211104,164500,47.94,47.94,47.935,47.9395,2623,0
FTSL.US,5,20211104,165000,47.9393,47.94,47.935,47.935,2420,0
FTSL.US,5,20211104,165500,47.935,47.94,47.935,47.935,2015,0
FTSL.US,5,20211104,170000,47.94,47.94,47.935,47.935,1300,0
FTSL.US,5,20211104,170500,47.94,47.94,47.935,47.9399,1252,0
FTSL.US,5,20211104,171000,47.935,47.94,47.935,47.94,2614,0
FTSL.US,5,20211104,171500,47.94,47.945,47.931,47.94,17901,0
FTSL.US,5,20211104,172000,47.94,47.94,47.9385,47.94,3220,0
FTSL.US,5,20211104,172500,47.94,47.94,47.934,47.935,3038,0
FTSL.US,5,20211104,173000,47.935,47.94,47.935,47.935,4422,0
FTSL.US,5,20211104,173500,47.94,47.94,47.935,47.935,3491,0
FTSL.US,5,20211104,174000,47.935,47.938,47.9328,47.935,3536,0
