<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSCF.US,5,20211104,143000,63.1,63.1,63.1,63.1,101,0
PSCF.US,5,20211104,150500,62.9,62.9,62.9,62.9,200,0
PSCF.US,5,20211104,170000,62.4,62.4,62.4,62.4,300,0
PSCF.US,5,20211105,150500,63.6633,63.6633,63.6633,63.6633,100,0
PSCF.US,5,20211105,171500,63.7288,63.7288,63.7288,63.7288,100,0
PSCF.US,5,20211105,173500,63.7195,63.7195,63.7195,63.7195,296,0
PSCF.US,5,20211105,185500,63.53,63.53,63.53,63.53,100,0
PSCF.US,5,20211105,204000,63.7083,63.7083,63.7083,63.7083,100,0
PSCF.US,5,20211108,153000,64.09,64.09,64.09,64.09,104,0
PSCF.US,5,20211108,184500,63.72,63.72,63.72,63.72,100,0
PSCF.US,5,20211108,194500,63.535,63.535,63.535,63.535,100,0
PSCF.US,5,20211108,201000,63.525,63.525,63.525,63.525,503,0
PSCF.US,5,20211108,201500,63.5399,63.5399,63.5399,63.5399,125,0
PSCF.US,5,20211108,212000,63.619,63.619,63.619,63.619,227,0
PSCF.US,5,20211109,213000,63.4063,63.4063,63.35,63.35,1553,0
PSCF.US,5,20211110,154500,63.6132,63.6132,63.6132,63.6132,100,0
PSCF.US,5,20211110,160000,63.7853,63.8034,63.7853,63.8034,250,0
PSCF.US,5,20211110,161000,63.65,63.65,63.65,63.65,3000,0
PSCF.US,5,20211110,164500,63.6492,63.6492,63.6492,63.6492,109,0
PSCF.US,5,20211110,170000,63.6395,63.6395,63.6395,63.6395,383,0
PSCF.US,5,20211110,173500,63.7199,63.7199,63.7199,63.7199,439,0
PSCF.US,5,20211110,180000,63.67,63.67,63.67,63.67,218,0
PSCF.US,5,20211110,182000,63.65,63.65,63.65,63.65,900,0
PSCF.US,5,20211110,182500,63.65,63.65,63.65,63.65,1100,0
PSCF.US,5,20211110,184500,63.6,63.6,63.6,63.6,1625,0
PSCF.US,5,20211110,191000,63.6,63.61,63.6,63.61,200,0
PSCF.US,5,20211110,192000,63.5999,63.5999,63.55,63.55,2200,0
PSCF.US,5,20211110,192500,63.55,63.55,63.55,63.55,900,0
PSCF.US,5,20211110,193000,63.57,63.63,63.57,63.63,700,0
PSCF.US,5,20211110,194000,63.6299,63.6299,63.6299,63.6299,150,0
PSCF.US,5,20211110,194500,63.55,63.57,63.55,63.55,1800,0
PSCF.US,5,20211110,195000,63.55,63.55,63.55,63.55,100,0
PSCF.US,5,20211110,195500,63.52,63.53,63.52,63.53,200,0
PSCF.US,5,20211110,202000,63.5,63.5,63.5,63.5,2000,0
PSCF.US,5,20211110,203500,63.43,63.43,63.43,63.43,200,0
PSCF.US,5,20211110,204500,63.42,63.42,63.42,63.42,315,0
PSCF.US,5,20211110,205000,63.51,63.51,63.51,63.51,100,0
PSCF.US,5,20211110,205500,63.48,63.4899,63.48,63.4899,3000,0
PSCF.US,5,20211110,210000,63.46,63.46,63.46,63.46,100,0
PSCF.US,5,20211110,210500,63.43,63.5,63.43,63.5,1300,0
PSCF.US,5,20211110,211000,63.47,63.48,63.47,63.48,600,0
PSCF.US,5,20211110,211500,63.53,63.53,63.53,63.53,100,0
PSCF.US,5,20211110,212000,63.56,63.56,63.56,63.56,200,0
PSCF.US,5,20211110,213500,63.43,63.43,63.43,63.43,2286,0
PSCF.US,5,20211110,214000,63.42,63.42,63.42,63.42,100,0
PSCF.US,5,20211110,214500,63.3,63.3,63.3,63.3,100,0
PSCF.US,5,20211111,161000,63.57,63.57,63.57,63.57,200,0
PSCF.US,5,20211111,163500,63.5,63.5,63.5,63.5,100,0
PSCF.US,5,20211111,195000,63.77,63.77,63.77,63.77,100,0
PSCF.US,5,20211111,214000,63.6492,63.6492,63.6492,63.6492,800,0
PSCF.US,5,20211112,154500,63.83,63.83,63.83,63.83,315,0
PSCF.US,5,20211112,163000,63.2983,63.2983,63.2983,63.2983,100,0
PSCF.US,5,20211112,211500,63.16,63.16,63.16,63.16,166,0
PSCF.US,5,20211115,153000,63.53,63.6386,63.53,63.6386,503,0
PSCF.US,5,20211115,154000,63.4123,63.4123,63.4123,63.4123,250,0
PSCF.US,5,20211115,161000,63.45,63.45,63.45,63.45,100,0
PSCF.US,5,20211115,171000,63.4,63.4,63.355,63.355,300,0
PSCF.US,5,20211115,180500,63.2699,63.2699,63.2699,63.2699,100,0
PSCF.US,5,20211115,205000,63.51,63.51,63.51,63.51,179,0
