<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABEO.US,5,20211104,143000,0.92,0.92,0.9157,0.92,5500,0
ABEO.US,5,20211104,143500,0.9135,0.9135,0.9135,0.9135,100,0
ABEO.US,5,20211104,144000,0.91341,0.91341,0.91341,0.91341,234,0
ABEO.US,5,20211104,144500,0.9198,0.9198,0.9198,0.9198,100,0
ABEO.US,5,20211104,145000,0.9197,0.9197,0.9197,0.9197,500,0
ABEO.US,5,20211104,150500,0.9166,0.9197,0.9134,0.9197,6000,0
ABEO.US,5,20211104,151000,0.9195,0.9196,0.91341,0.91341,1112,0
ABEO.US,5,20211104,151500,0.9134,0.9196,0.9134,0.9196,7650,0
ABEO.US,5,20211104,152000,0.9196,0.9196,0.9148,0.9148,1875,0
ABEO.US,5,20211104,152500,0.9148,0.91715,0.9148,0.91715,400,0
ABEO.US,5,20211104,153000,0.9167,0.9195,0.9134,0.9195,2604,0
ABEO.US,5,20211104,153500,0.9135,0.915,0.9135,0.915,2200,0
ABEO.US,5,20211104,154000,0.9135,0.9135,0.9131,0.9135,909,0
ABEO.US,5,20211104,154500,0.9135,0.9135,0.9135,0.9135,400,0
ABEO.US,5,20211104,155000,0.9127,0.9127,0.902,0.902,13145,0
ABEO.US,5,20211104,155500,0.9021,0.90775,0.902,0.902,1110,0
ABEO.US,5,20211104,160500,0.902,0.90615,0.902,0.90615,247,0
ABEO.US,5,20211104,161000,0.9043,0.905,0.9043,0.905,600,0
ABEO.US,5,20211104,161500,0.9051,0.9051,0.9001,0.9001,3750,0
ABEO.US,5,20211104,162000,0.9001,0.9001,0.8951,0.89515,3787,0
ABEO.US,5,20211104,162500,0.8933,0.8934,0.8925,0.8925,769,0
ABEO.US,5,20211104,163000,0.8925,0.8925,0.8925,0.8925,900,0
ABEO.US,5,20211104,163500,0.8939,0.8939,0.8925,0.8925,2249,0
ABEO.US,5,20211104,164000,0.8926,0.8926,0.892598,0.8926,2887,0
ABEO.US,5,20211104,164500,0.8925,0.8926,0.8925,0.8925,5930,0
ABEO.US,5,20211104,165000,0.89255,0.8926,0.89255,0.8926,600,0
ABEO.US,5,20211104,165500,0.8926,0.8926,0.8926,0.8926,100,0
ABEO.US,5,20211104,170000,0.8949,0.8949,0.8949,0.8949,200,0
