<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFACU.US,5,20211111,153000,10.06,10.075,10.06,10.075,33386,0
AFACU.US,5,20211111,153500,10.07,10.075,10.07,10.07,12600,0
AFACU.US,5,20211111,154000,10.07,10.07,10.07,10.07,4500,0
AFACU.US,5,20211111,160500,10.07,10.07,10.07,10.07,1000,0
AFACU.US,5,20211111,162000,10.075,10.08,10.075,10.0799,16700,0
AFACU.US,5,20211111,163000,10.075,10.08,10.075,10.08,16000,0
AFACU.US,5,20211111,163500,10.08,10.08,10.075,10.08,19300,0
AFACU.US,5,20211111,171000,10.09,10.09,10.09,10.09,5000,0
AFACU.US,5,20211111,174500,10.09,10.09,10.09,10.09,100,0
AFACU.US,5,20211111,175500,10.07,10.07,10.07,10.07,1000,0
AFACU.US,5,20211111,180500,10.08,10.08,10.08,10.08,100,0
AFACU.US,5,20211111,183000,10.07,10.07,10.07,10.07,12500,0
AFACU.US,5,20211111,184000,10.07,10.07,10.07,10.07,12500,0
AFACU.US,5,20211111,185000,10.075,10.08,10.075,10.08,1700,0
AFACU.US,5,20211111,191000,10.075,10.075,10.075,10.075,100,0
AFACU.US,5,20211111,192000,10.07,10.07,10.07,10.07,4000,0
AFACU.US,5,20211111,192500,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,193000,10.075,10.075,10.07,10.07,200,0
AFACU.US,5,20211111,193500,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,194000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,194500,10.07,10.07,10.07,10.07,24900,0
AFACU.US,5,20211111,195000,10.07,10.08,10.07,10.08,200,0
AFACU.US,5,20211111,195500,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,200000,10.07,10.07,10.07,10.07,200,0
AFACU.US,5,20211111,200500,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,201000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,201500,10.08,10.08,10.07,10.07,300,0
AFACU.US,5,20211111,202000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,202500,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,203000,10.07,10.07,10.07,10.07,200,0
AFACU.US,5,20211111,203500,10.08,10.08,10.07,10.07,200,0
AFACU.US,5,20211111,204000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,204500,10.07,10.07,10.07,10.07,200,0
AFACU.US,5,20211111,205000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,205500,10.07,10.08,10.07,10.07,13335,0
AFACU.US,5,20211111,210000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,210500,10.07,10.07,10.07,10.07,200,0
AFACU.US,5,20211111,211000,10.07,10.07,10.07,10.07,100,0
AFACU.US,5,20211111,211500,10.07,10.08,10.07,10.08,200,0
AFACU.US,5,20211111,212000,10.07,10.07,10.07,10.07,12500,0
AFACU.US,5,20211111,212500,10.075,10.08,10.075,10.08,2200,0
AFACU.US,5,20211111,213500,10.08,10.09,10.08,10.08,300,0
AFACU.US,5,20211111,214000,10.08,10.08,10.07,10.07,22700,0
AFACU.US,5,20211111,214500,10.07,10.07,10.07,10.07,200,0
AFACU.US,5,20211111,215000,10.07,10.08,10.07,10.08,17400,0
AFACU.US,5,20211111,215500,10.075,10.08,10.07,10.07,31596,0
AFACU.US,5,20211112,155000,10.0722,10.0722,10.0722,10.0722,100,0
AFACU.US,5,20211112,162000,10.07,10.0701,10.07,10.07,8500,0
AFACU.US,5,20211112,165000,10.07,10.07,10.07,10.07,1000,0
AFACU.US,5,20211112,165500,10.07,10.07,10.07,10.07,10000,0
AFACU.US,5,20211112,174500,10.07,10.08,10.07,10.08,4000,0
AFACU.US,5,20211112,175000,10.08,10.08,10.075,10.08,3900,0
AFACU.US,5,20211112,175500,10.075,10.075,10.075,10.075,100,0
AFACU.US,5,20211112,180000,10.08,10.08,10.08,10.08,100,0
AFACU.US,5,20211112,182000,10.07,10.07,10.07,10.07,2000,0
AFACU.US,5,20211112,190500,10.075,10.075,10.075,10.075,300,0
