<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMYT.US,5,20211104,143000,11.5,11.5,11.5,11.5,1752,0
AMYT.US,5,20211104,143500,11.68,11.79,11.62,11.68,500,0
AMYT.US,5,20211104,144000,11.6,11.78,11.55,11.55,500,0
AMYT.US,5,20211104,144500,11.6,11.745,11.6,11.745,667,0
AMYT.US,5,20211104,145000,11.7044,11.77,11.62,11.7,5300,0
AMYT.US,5,20211104,150000,11.72,11.77,11.68,11.77,4823,0
AMYT.US,5,20211104,150500,11.77,11.88,11.76,11.88,7251,0
AMYT.US,5,20211104,151000,11.88,12,11.81,12,16624,0
AMYT.US,5,20211104,151500,11.94,11.94,11.94,11.94,100,0
AMYT.US,5,20211104,152000,11.98,11.99,11.945,11.98,633,0
AMYT.US,5,20211104,152500,11.95,11.99,11.95,11.98,4298,0
AMYT.US,5,20211104,153000,11.97,11.98,11.97,11.98,866,0
AMYT.US,5,20211104,153500,11.95,12.1,11.95,12.1,32275,0
AMYT.US,5,20211104,154000,12.1,12.145,12.06,12.06,3943,0
AMYT.US,5,20211104,154500,12.07,12.07,12.035,12.05,2187,0
AMYT.US,5,20211104,155000,12.05,12.0585,12.02,12.04,4314,0
AMYT.US,5,20211104,155500,12.04,12.08,12.04,12.05,1902,0
AMYT.US,5,20211104,160000,12.06,12.12,11.99,12.05,6043,0
AMYT.US,5,20211104,160500,12.05,12.065,12.05,12.065,200,0
AMYT.US,5,20211104,161500,12.04,12.07,12,12.05,2860,0
AMYT.US,5,20211104,162000,12.06,12.06,12.03,12.05,3292,0
AMYT.US,5,20211104,162500,12.02,12.02,12.02,12.02,300,0
AMYT.US,5,20211104,163500,12.027,12.027,12,12,21679,0
AMYT.US,5,20211104,164000,12.0157,12.045,11.96,12.04,3533,0
AMYT.US,5,20211104,164500,12,12,12,12,200,0
AMYT.US,5,20211104,165000,11.98,12.04,11.96,12.03,6487,0
AMYT.US,5,20211104,170000,11.99,11.99,11.97,11.97,200,0
AMYT.US,5,20211104,170500,11.9635,12,11.94,12,2604,0
AMYT.US,5,20211104,171000,12.02,12.02,12.02,12.02,700,0
AMYT.US,5,20211104,171500,12.005,12.055,12.005,12.04,2300,0
AMYT.US,5,20211104,172000,12.04,12.05,11.991,12.01,4600,0
AMYT.US,5,20211104,172500,12.06,12.06,12.04,12.04,300,0
AMYT.US,5,20211104,173000,12.01,12.059,11.97,12,3500,0
AMYT.US,5,20211104,174000,12.03,12.03,11.93,11.99,2900,0
AMYT.US,5,20211104,174500,12,12.01,12,12.01,500,0
AMYT.US,5,20211104,175500,11.96,11.96,11.96,11.96,300,0
AMYT.US,5,20211104,180000,11.96,12.11,11.95,11.97,20511,0
AMYT.US,5,20211104,180500,11.97,12,11.97,12,6726,0
AMYT.US,5,20211104,181000,12,12.105,12,12.105,4581,0
AMYT.US,5,20211104,181500,12.08,12.119,12.03,12.03,11928,0
AMYT.US,5,20211104,182000,12.0048,12.0048,12,12,800,0
AMYT.US,5,20211104,182500,11.99,12.02,11.98,12.02,2932,0
AMYT.US,5,20211104,183500,11.99,12.05,11.99,12.05,1680,0
AMYT.US,5,20211104,184000,12.07,12.07,12.05,12.05,1600,0
AMYT.US,5,20211104,184500,12.07,12.07,12.07,12.07,100,0
AMYT.US,5,20211104,185000,12.06,12.06,12,12.005,4366,0
AMYT.US,5,20211104,185500,12.0295,12.0295,12.0295,12.0295,250,0
AMYT.US,5,20211104,191500,12.02,12.09,12.01,12.03,5130,0
AMYT.US,5,20211104,192000,12.03,12.0766,12,12.06,3100,0
AMYT.US,5,20211104,192500,12.05,12.07,12,12.02,3700,0
AMYT.US,5,20211104,193000,12.01,12.05,12.01,12.05,958,0
AMYT.US,5,20211104,193500,12.05,12.05,12,12.01,1200,0
AMYT.US,5,20211104,194000,12.035,12.035,12.035,12.035,100,0
AMYT.US,5,20211104,194500,12.05,12.05,12.02,12.02,300,0
AMYT.US,5,20211104,195000,12.04,12.04,12.04,12.04,100,0
AMYT.US,5,20211104,195500,12.0599,12.0599,12.02,12.02,900,0
AMYT.US,5,20211104,200000,12.02,12.1,11.96,12,25417,0
AMYT.US,5,20211104,200500,11.98,12.02,11.98,12,2071,0
AMYT.US,5,20211104,201000,12,12.0399,11.99,11.99,2054,0
AMYT.US,5,20211104,201500,12,12.01,12,12.01,200,0
AMYT.US,5,20211104,202000,12,12,11.99,12,4000,0
AMYT.US,5,20211104,202500,12,12.1,12,12.035,6555,0
AMYT.US,5,20211104,203000,12.035,12.07,12.03,12.03,5151,0
AMYT.US,5,20211104,203500,12.03,12.06,12.03,12.06,2400,0
AMYT.US,5,20211104,204000,12.05,12.05,12,12.02,5300,0
AMYT.US,5,20211104,204500,12.015,12.02,11.98,11.98,2000,0
AMYT.US,5,20211104,205000,12,12,12,12,4997,0
AMYT.US,5,20211104,205500,12,12,11.97,11.99,3510,0
AMYT.US,5,20211105,143000,11.9,11.9,11.9,11.9,4093,0
AMYT.US,5,20211105,144000,12,12.08,12,12.07,5625,0
AMYT.US,5,20211105,144500,12.02,12.02,12.02,12.02,2700,0
AMYT.US,5,20211105,150000,12.07,12.16,12.01,12.01,1108,0
AMYT.US,5,20211105,150500,12.02,12.06,12,12.02,10729,0
AMYT.US,5,20211105,151000,12.02,12.03,11.955,11.99,14787,0
AMYT.US,5,20211105,151500,11.96,11.96,11.95,11.95,662,0
AMYT.US,5,20211105,152000,11.95,11.98,11.95,11.98,1320,0
AMYT.US,5,20211105,152500,11.98,11.98,11.98,11.98,590,0
AMYT.US,5,20211105,153000,12,12.03,12,12.03,8891,0
AMYT.US,5,20211105,153500,12.05,12.0899,12.01,12.05,1700,0
AMYT.US,5,20211105,154000,12.05,12.09,12.05,12.09,400,0
AMYT.US,5,20211105,154500,12.08,12.145,12.08,12.13,8292,0
AMYT.US,5,20211105,155000,12.14,12.14,12.06,12.065,1879,0
AMYT.US,5,20211105,155500,12.08,12.08,12.06,12.08,1221,0
AMYT.US,5,20211105,160500,12.07,12.08,12.06,12.06,2339,0
AMYT.US,5,20211105,161000,12.09,12.09,12.09,12.09,198,0
AMYT.US,5,20211105,161500,12.1445,12.1445,12.05,12.05,7780,0
AMYT.US,5,20211105,162000,12.05,12.05,12.04,12.05,10100,0
AMYT.US,5,20211105,162500,12.06,12.09,11.96,12.04,4714,0
AMYT.US,5,20211105,163000,12.09,12.09,12.05,12.05,1800,0
AMYT.US,5,20211105,163500,12.07,12.12,12.07,12.12,300,0
AMYT.US,5,20211105,165500,12.06,12.06,12.06,12.06,100,0
AMYT.US,5,20211105,170000,12.06,12.1,12.06,12.07,404,0
AMYT.US,5,20211105,171000,12.03,12.09,12.03,12.09,1692,0
AMYT.US,5,20211105,171500,12.06,12.06,12.05,12.05,200,0
AMYT.US,5,20211105,172000,12.07,12.09,12.06,12.06,1276,0
AMYT.US,5,20211105,172500,12.06,12.06,12.05,12.05,29001,0
AMYT.US,5,20211105,173000,12.05,12.1,12.05,12.1,2896,0
AMYT.US,5,20211105,173500,12.1,12.1,12.05,12.05,1900,0
AMYT.US,5,20211105,174000,11.92,11.92,11.92,11.92,200,0
AMYT.US,5,20211105,174500,12.0408,12.05,12.005,12.04,1200,0
AMYT.US,5,20211105,175500,12.04,12.04,12.04,12.04,300,0
AMYT.US,5,20211105,180000,11.9701,11.9701,11.9701,11.9701,250,0
AMYT.US,5,20211105,180500,11.97,11.97,11.97,11.97,300,0
AMYT.US,5,20211105,181500,11.92,11.92,11.92,11.92,111,0
AMYT.US,5,20211105,182000,11.92,11.92,11.83,11.83,700,0
AMYT.US,5,20211105,182500,11.84,11.8682,11.8,11.8,1514,0
AMYT.US,5,20211105,183000,11.8,11.8,11.8,11.8,402,0
AMYT.US,5,20211105,183500,11.816,11.83,11.816,11.83,400,0
AMYT.US,5,20211105,184000,11.77,11.8,11.76,11.8,1606,0
AMYT.US,5,20211105,184500,11.76,11.77,11.76,11.77,200,0
AMYT.US,5,20211105,185000,11.78,11.78,11.78,11.78,1500,0
AMYT.US,5,20211105,190000,11.76,11.76,11.75,11.75,2320,0
AMYT.US,5,20211105,190500,11.74,11.79,11.74,11.7864,6395,0
AMYT.US,5,20211105,191500,11.7682,11.7682,11.7682,11.7682,226,0
AMYT.US,5,20211105,192000,11.8,11.83,11.8,11.83,3300,0
AMYT.US,5,20211105,192500,11.9,11.9,11.9,11.9,410,0
AMYT.US,5,20211105,193500,11.82,11.89,11.82,11.82,411,0
AMYT.US,5,20211105,194000,11.83,11.83,11.83,11.83,100,0
AMYT.US,5,20211105,194500,11.83,11.8301,11.83,11.83,552,0
AMYT.US,5,20211105,195000,11.83,11.89,11.83,11.89,300,0
AMYT.US,5,20211105,195500,11.8809,11.8809,11.83,11.83,615,0
AMYT.US,5,20211105,200000,11.83,11.83,11.83,11.83,100,0
AMYT.US,5,20211105,200500,11.83,11.83,11.83,11.83,300,0
AMYT.US,5,20211105,201000,11.81,11.81,11.81,11.81,100,0
AMYT.US,5,20211105,201500,11.8,11.88,11.8,11.88,300,0
AMYT.US,5,20211105,202000,11.81,11.89,11.81,11.89,200,0
AMYT.US,5,20211105,202500,11.81,11.81,11.81,11.81,100,0
AMYT.US,5,20211105,203000,11.87,11.89,11.815,11.815,700,0
AMYT.US,5,20211105,203500,11.89,11.89,11.83,11.845,300,0
AMYT.US,5,20211105,204000,11.81,11.85,11.81,11.8164,419,0
AMYT.US,5,20211105,204500,11.85,11.93,11.85,11.93,1400,0
AMYT.US,5,20211105,205000,11.895,11.93,11.895,11.9,1088,0
AMYT.US,5,20211105,205500,11.87,11.905,11.83,11.85,4126,0
AMYT.US,5,20211108,153000,11.75,11.85,11.75,11.76,3604,0
AMYT.US,5,20211108,153500,11.9,11.9,11.9,11.9,277,0
AMYT.US,5,20211108,161000,12.04,12.04,11.8,12.02,4110,0
AMYT.US,5,20211108,161500,11.82,12.05,11.82,12,700,0
AMYT.US,5,20211108,162000,11.95,11.95,11.91,11.95,5200,0
AMYT.US,5,20211108,162500,11.95,11.95,11.845,11.845,5119,0
AMYT.US,5,20211108,163000,11.9,12,11.85,11.95,4184,0
AMYT.US,5,20211108,163500,11.95,11.95,11.95,11.95,100,0
AMYT.US,5,20211108,165500,12.01,12.01,11.97,11.97,200,0
AMYT.US,5,20211108,170500,11.92,11.92,11.89,11.89,4200,0
AMYT.US,5,20211108,171500,11.93,11.94,11.92,11.92,300,0
AMYT.US,5,20211108,172000,11.94,11.94,11.83,11.83,1000,0
AMYT.US,5,20211108,174000,11.8302,11.8302,11.8302,11.8302,500,0
AMYT.US,5,20211108,174500,11.8,11.8,11.78,11.7901,800,0
AMYT.US,5,20211108,175500,11.78,11.78,11.755,11.78,1420,0
AMYT.US,5,20211108,180000,11.84,11.84,11.84,11.84,100,0
AMYT.US,5,20211108,180500,11.84,11.84,11.825,11.825,300,0
AMYT.US,5,20211108,181000,11.8,11.8,11.79,11.79,200,0
AMYT.US,5,20211108,182500,11.79,11.815,11.79,11.815,901,0
AMYT.US,5,20211108,183500,11.84,11.84,11.79,11.79,300,0
AMYT.US,5,20211108,185000,11.79,11.8082,11.75,11.75,500,0
AMYT.US,5,20211108,185500,11.75,11.75,11.7,11.75,2231,0
AMYT.US,5,20211108,190000,11.84,11.84,11.84,11.84,200,0
AMYT.US,5,20211108,190500,11.745,11.83,11.745,11.83,300,0
AMYT.US,5,20211108,191000,11.83,11.83,11.8,11.83,900,0
AMYT.US,5,20211108,191500,11.83,11.83,11.79,11.81,400,0
AMYT.US,5,20211108,192000,11.83,11.83,11.83,11.83,100,0
AMYT.US,5,20211108,192500,11.76,11.79,11.7149,11.7149,990,0
AMYT.US,5,20211108,193500,11.735,11.82,11.735,11.82,200,0
AMYT.US,5,20211108,194000,11.73,11.735,11.73,11.735,200,0
AMYT.US,5,20211108,195000,11.81,11.81,11.81,11.81,100,0
AMYT.US,5,20211108,195500,11.73,11.73,11.7,11.7,245,0
AMYT.US,5,20211108,200500,11.7,11.7,11.7,11.7,100,0
AMYT.US,5,20211108,201000,11.7,11.7,11.7,11.7,1721,0
AMYT.US,5,20211108,201500,11.6,11.77,11.6,11.77,300,0
AMYT.US,5,20211108,202000,11.78,11.78,11.78,11.78,100,0
AMYT.US,5,20211108,202500,11.76,11.76,11.62,11.62,400,0
AMYT.US,5,20211108,203000,11.82,11.82,11.82,11.82,100,0
AMYT.US,5,20211108,203500,11.64,11.73,11.5,11.5254,1134,0
AMYT.US,5,20211108,204000,11.485,11.485,11.47,11.47,200,0
AMYT.US,5,20211108,204500,11.72,11.72,11.47,11.47,200,0
AMYT.US,5,20211108,205000,11.48,11.48,11.48,11.48,100,0
AMYT.US,5,20211108,205500,11.605,11.71,11.605,11.71,200,0
AMYT.US,5,20211108,210000,11.5,11.64,11.5,11.64,200,0
AMYT.US,5,20211108,210500,11.65,11.65,11.52,11.52,500,0
AMYT.US,5,20211108,211000,11.53,11.53,11.52,11.52,300,0
AMYT.US,5,20211108,211500,11.6,11.62,11.6,11.61,800,0
AMYT.US,5,20211108,212000,11.64,11.83,11.64,11.755,700,0
AMYT.US,5,20211108,212500,11.66,11.76,11.66,11.76,300,0
AMYT.US,5,20211108,213000,11.74,11.74,11.68,11.68,700,0
AMYT.US,5,20211108,213500,11.71,11.71,11.71,11.71,100,0
AMYT.US,5,20211108,214000,11.68,11.68,11.68,11.68,300,0
AMYT.US,5,20211108,214500,11.68,11.68,11.66,11.66,2938,0
AMYT.US,5,20211108,215000,11.64,11.69,11.64,11.69,1510,0
AMYT.US,5,20211108,215500,11.67,11.68,11.6,11.63,6697,0
AMYT.US,5,20211109,153000,11.63,11.63,11.59,11.59,590,0
AMYT.US,5,20211109,153500,11.52,11.52,11.52,11.52,100,0
AMYT.US,5,20211109,154000,11.5,11.5017,11.41,11.41,2200,0
AMYT.US,5,20211109,154500,11.4248,11.4248,11.4248,11.4248,100,0
AMYT.US,5,20211109,155000,11.52,11.52,11.42,11.49,400,0
AMYT.US,5,20211109,155500,11.51,11.51,11.51,11.51,400,0
AMYT.US,5,20211109,160000,11.485,11.52,11.485,11.52,200,0
AMYT.US,5,20211109,162000,11.44,11.44,11.3,11.3,12300,0
AMYT.US,5,20211109,162500,11.335,11.36,11.335,11.36,600,0
AMYT.US,5,20211109,163000,11.37,11.44,11.35,11.43,700,0
AMYT.US,5,20211109,163500,11.43,11.44,11.43,11.43,400,0
AMYT.US,5,20211109,164000,11.43,11.43,11.43,11.43,200,0
AMYT.US,5,20211109,164500,11.43,11.44,11.43,11.44,300,0
AMYT.US,5,20211109,165000,11.44,11.45,11.4,11.4,500,0
AMYT.US,5,20211109,165500,11.51,11.52,11.46,11.52,1550,0
AMYT.US,5,20211109,170000,11.52,11.52,11.52,11.52,100,0
AMYT.US,5,20211109,170500,11.58,11.58,11.58,11.58,100,0
AMYT.US,5,20211109,171000,11.57,11.57,11.55,11.55,200,0
AMYT.US,5,20211109,172000,11.46,11.53,11.46,11.53,200,0
AMYT.US,5,20211109,173000,11.52,11.52,11.52,11.52,100,0
AMYT.US,5,20211109,175000,11.45,11.45,11.39,11.39,400,0
AMYT.US,5,20211109,180000,11.39,11.41,11.37,11.4,1100,0
AMYT.US,5,20211109,181000,11.4,11.4,11.4,11.4,100,0
AMYT.US,5,20211109,181500,11.37,11.37,11.37,11.37,100,0
AMYT.US,5,20211109,182000,11.425,11.475,11.375,11.375,1700,0
