<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANZUW.US,5,20211104,152000,0.7401,0.7401,0.7401,0.7401,100,0
ANZUW.US,5,20211104,163000,0.7477,0.7477,0.7477,0.7477,300,0
ANZUW.US,5,20211104,163500,0.75,0.75,0.74885,0.74885,2000,0
ANZUW.US,5,20211104,164000,0.7477,0.7477,0.7477,0.7477,800,0
ANZUW.US,5,20211104,164500,0.7499,0.7499,0.7499,0.7499,100,0
ANZUW.US,5,20211104,165000,0.7499,0.7499,0.7499,0.7499,100,0
ANZUW.US,5,20211104,165500,0.7499,0.7499,0.7499,0.7499,200,0
ANZUW.US,5,20211104,170000,0.7499,0.75,0.7499,0.7499,1751,0
ANZUW.US,5,20211104,170500,0.7499,0.7499,0.7499,0.7499,100,0
ANZUW.US,5,20211104,171000,0.7499,0.75,0.7451,0.7452,2035,0
ANZUW.US,5,20211104,171500,0.7499,0.7499,0.7499,0.7499,100,0
ANZUW.US,5,20211104,172000,0.7499,0.7499,0.7499,0.7499,100,0
ANZUW.US,5,20211104,175500,0.7499,0.7499,0.7403,0.7403,2300,0
ANZUW.US,5,20211104,180000,0.75,0.75,0.7499,0.7499,600,0
ANZUW.US,5,20211104,180500,0.7499,0.7499,0.7499,0.7499,200,0
ANZUW.US,5,20211104,191500,0.7499,0.7499,0.7401,0.7452,2067,0
ANZUW.US,5,20211104,192000,0.7452,0.7452,0.7452,0.7452,200,0
ANZUW.US,5,20211104,201000,0.7452,0.7452,0.7452,0.7452,300,0
ANZUW.US,5,20211104,202500,0.75,0.75,0.75,0.75,100,0
ANZUW.US,5,20211105,175000,0.7401,0.7401,0.7401,0.7401,267,0
ANZUW.US,5,20211105,195000,0.7401,0.7401,0.71,0.71,6177,0
ANZUW.US,5,20211105,200500,0.7051,0.71,0.7051,0.71,15585,0
ANZUW.US,5,20211105,201000,0.779899,0.779899,0.779899,0.779899,200,0
ANZUW.US,5,20211105,205500,0.7101,0.7101,0.7101,0.7101,700,0
ANZUW.US,5,20211108,160500,0.7701,0.779899,0.7212,0.7212,7441,0
ANZUW.US,5,20211108,161000,0.7212,0.7212,0.7212,0.7212,300,0
ANZUW.US,5,20211108,171000,0.7213,0.7214,0.7213,0.7214,1300,0
ANZUW.US,5,20211108,171500,0.7214,0.7214,0.7214,0.7214,100,0
ANZUW.US,5,20211108,172000,0.7216,0.7216,0.7216,0.7216,100,0
ANZUW.US,5,20211108,172500,0.7216,0.7216,0.7216,0.7216,100,0
ANZUW.US,5,20211108,173000,0.7497,0.7498,0.7497,0.7498,229,0
ANZUW.US,5,20211108,175000,0.7499,0.7499,0.7499,0.7499,200,0
ANZUW.US,5,20211108,181000,0.7499,0.74995,0.7499,0.74995,1000,0
ANZUW.US,5,20211108,181500,0.7499,0.7499,0.7499,0.7499,100,0
ANZUW.US,5,20211108,194500,0.7498,0.7498,0.7498,0.7498,2200,0
ANZUW.US,5,20211108,195000,0.7498,0.7498,0.7498,0.7498,200,0
ANZUW.US,5,20211108,195500,0.7498,0.7498,0.7498,0.7498,100,0
ANZUW.US,5,20211109,204000,0.7301,0.7863,0.7301,0.7301,1782,0
ANZUW.US,5,20211109,205000,0.7301,0.7301,0.7301,0.7301,100,0
ANZUW.US,5,20211109,210000,0.7301,0.7582,0.7301,0.7582,200,0
ANZUW.US,5,20211109,212000,0.7302,0.7302,0.7302,0.7302,100,0
ANZUW.US,5,20211109,212500,0.7301,0.7301,0.7301,0.7301,100,0
ANZUW.US,5,20211109,214000,0.7302,0.7302,0.7302,0.7302,100,0
ANZUW.US,5,20211109,214500,0.7302,0.7564,0.7183,0.7183,2301,0
ANZUW.US,5,20211109,215000,0.72,0.7266,0.72,0.72,1400,0
ANZUW.US,5,20211109,215500,0.72,0.7233,0.72,0.72,600,0
ANZUW.US,5,20211110,153000,0.75,0.75,0.75,0.75,100,0
ANZUW.US,5,20211110,190000,0.73,0.7379,0.71,0.7379,968,0
ANZUW.US,5,20211110,190500,0.71,0.7278,0.71,0.7278,200,0
ANZUW.US,5,20211110,191000,0.71,0.71,0.71,0.71,200,0
ANZUW.US,5,20211110,191500,0.71,0.7215,0.71,0.71,366,0
ANZUW.US,5,20211110,192000,0.71,0.71,0.71,0.71,100,0
ANZUW.US,5,20211110,192500,0.71,0.7329,0.71,0.7329,666,0
ANZUW.US,5,20211110,193000,0.71,0.7329,0.71,0.7329,200,0
ANZUW.US,5,20211110,193500,0.71,0.71,0.71,0.71,100,0
ANZUW.US,5,20211110,194000,0.71,0.7329,0.71,0.71,1437,0
ANZUW.US,5,20211110,194500,0.7235,0.7235,0.71,0.71,200,0
ANZUW.US,5,20211110,195000,0.71,0.7235,0.71,0.71,300,0
ANZUW.US,5,20211110,195500,0.71,0.7235,0.71,0.71,448,0
ANZUW.US,5,20211110,200000,0.72355,0.72355,0.71,0.71,200,0
ANZUW.US,5,20211110,211000,0.7215,0.7215,0.7215,0.7215,100,0
ANZUW.US,5,20211110,215500,0.72,0.72,0.72,0.72,300,0
ANZUW.US,5,20211111,153000,0.75,0.75,0.6901,0.6901,299,0
ANZUW.US,5,20211111,172000,0.7001,0.7001,0.6901,0.6901,7759,0
ANZUW.US,5,20211111,172500,0.69,0.69,0.69,0.69,100,0
ANZUW.US,5,20211111,173000,0.69,0.7,0.672,0.6926,1300,0
ANZUW.US,5,20211111,182000,0.69,0.69,0.69,0.69,100,0
ANZUW.US,5,20211111,182500,0.695,0.7,0.695,0.6975,3706,0
ANZUW.US,5,20211111,183000,0.6988,0.6988,0.6988,0.6988,100,0
ANZUW.US,5,20211111,183500,0.6988,0.7,0.6988,0.7,200,0
ANZUW.US,5,20211111,184000,0.69,0.69,0.69,0.69,100,0
ANZUW.US,5,20211111,184500,0.6999,0.7,0.6999,0.7,1300,0
ANZUW.US,5,20211111,185500,0.6975,0.6975,0.6968,0.6968,200,0
ANZUW.US,5,20211111,190000,0.695,0.695,0.695,0.695,200,0
ANZUW.US,5,20211111,203000,0.7,0.7296,0.7,0.7198,5172,0
ANZUW.US,5,20211111,203500,0.71,0.71,0.71,0.71,200,0
ANZUW.US,5,20211111,204000,0.71,0.71,0.71,0.71,100,0
ANZUW.US,5,20211111,204500,0.71,0.71,0.71,0.71,100,0
ANZUW.US,5,20211111,214000,0.7123,0.7123,0.71,0.71,300,0
ANZUW.US,5,20211111,215000,0.7107,0.7462,0.7101,0.72,2917,0
ANZUW.US,5,20211111,215500,0.7296,0.7296,0.72,0.72,400,0
ANZUW.US,5,20211112,180000,0.72,0.8,0.72,0.8,370,0
ANZUW.US,5,20211112,181000,0.72,0.72,0.69,0.71,8767,0
ANZUW.US,5,20211112,181500,0.7049,0.7049,0.69,0.69,200,0
ANZUW.US,5,20211112,194500,0.6808,0.6958,0.6301,0.6798,27382,0
ANZUW.US,5,20211112,195000,0.67985,0.67985,0.67985,0.67985,100,0
ANZUW.US,5,20211112,200500,0.68,0.6937,0.645,0.6937,6900,0
ANZUW.US,5,20211112,201000,0.6778,0.7096,0.64,0.6796,6789,0
ANZUW.US,5,20211112,202500,0.68,0.68,0.6567,0.6796,1100,0
ANZUW.US,5,20211112,210000,0.68,0.6935,0.68,0.6935,401,0
ANZUW.US,5,20211115,153000,0.698,0.698,0.698,0.698,100,0
ANZUW.US,5,20211115,155500,0.6845,0.7,0.6845,0.7,1210,0
ANZUW.US,5,20211115,160500,0.7,0.7296,0.6691,0.7199,24557,0
ANZUW.US,5,20211115,161000,0.6902,0.70505,0.69,0.6901,1800,0
ANZUW.US,5,20211115,161500,0.7,0.73,0.7,0.73,4223,0
ANZUW.US,5,20211115,162000,0.73,0.7501,0.73,0.7501,3300,0
ANZUW.US,5,20211115,162500,0.74995,0.8045,0.74,0.8043,31829,0
ANZUW.US,5,20211115,163000,0.75,0.75,0.7499,0.74995,18442,0
ANZUW.US,5,20211115,163500,0.74995,0.80275,0.74995,0.8026,18273,0
ANZUW.US,5,20211115,164000,0.8005,0.8005,0.76995,0.76995,1700,0
ANZUW.US,5,20211115,164500,0.7899,0.7899,0.76995,0.7896,800,0
ANZUW.US,5,20211115,165000,0.7899,0.79,0.76985,0.76985,10417,0
ANZUW.US,5,20211115,165500,0.76985,0.7896,0.76985,0.7853,15100,0
ANZUW.US,5,20211115,170000,0.7698,0.79,0.7698,0.76995,4938,0
ANZUW.US,5,20211115,170500,0.76995,0.76995,0.76995,0.76995,400,0
ANZUW.US,5,20211115,171000,0.76995,0.7898,0.76995,0.7898,20300,0
ANZUW.US,5,20211115,172500,0.7501,0.7501,0.7501,0.7501,200,0
ANZUW.US,5,20211115,173000,0.78975,0.8075,0.78975,0.80485,14390,0
ANZUW.US,5,20211115,173500,0.81,0.81,0.80485,0.80485,200,0
ANZUW.US,5,20211115,174000,0.80485,0.81,0.80485,0.81,300,0
ANZUW.US,5,20211115,174500,0.8049,0.8049,0.7999,0.7999,200,0
ANZUW.US,5,20211115,175000,0.7998,0.7998,0.77485,0.77485,1500,0
ANZUW.US,5,20211115,175500,0.77485,0.7997,0.77485,0.7973,800,0
ANZUW.US,5,20211115,180000,0.7886,0.7886,0.7886,0.7886,785,0
ANZUW.US,5,20211115,180500,0.7972,0.7972,0.7972,0.7972,100,0
ANZUW.US,5,20211115,181000,0.75,0.75,0.75,0.75,100,0
ANZUW.US,5,20211115,181500,0.77355,0.8,0.77355,0.8,6750,0
ANZUW.US,5,20211115,182000,0.8101,0.8101,0.801,0.81,11700,0
ANZUW.US,5,20211115,182500,0.8101,0.8101,0.8,0.8,1025,0
ANZUW.US,5,20211115,183000,0.8101,0.8101,0.8101,0.8101,100,0
ANZUW.US,5,20211115,184000,0.766,0.766,0.766,0.766,100,0
ANZUW.US,5,20211115,184500,0.766,0.766,0.766,0.766,100,0
ANZUW.US,5,20211115,185000,0.78,0.78,0.78,0.78,100,0
ANZUW.US,5,20211115,185500,0.78,0.8101,0.78,0.8101,200,0
ANZUW.US,5,20211115,190000,0.78,0.803493,0.78,0.803493,500,0
ANZUW.US,5,20211115,190500,0.78,0.78,0.767,0.767,1400,0
ANZUW.US,5,20211115,191000,0.77345,0.7799,0.77345,0.7767,2700,0
ANZUW.US,5,20211115,192000,0.7799,0.7799,0.7799,0.7799,200,0
ANZUW.US,5,20211115,192500,0.7799,0.8039,0.7799,0.7959,4844,0
ANZUW.US,5,20211115,193000,0.8119,0.8119,0.77,0.78995,3200,0
ANZUW.US,5,20211115,193500,0.77,0.78,0.77,0.77,6000,0
ANZUW.US,5,20211115,194000,0.77,0.78,0.77,0.7775,11349,0
ANZUW.US,5,20211115,194500,0.7775,0.7788,0.766,0.7765,2000,0
ANZUW.US,5,20211115,195000,0.78,0.78,0.76855,0.7743,7700,0
ANZUW.US,5,20211115,195500,0.7741,0.7741,0.7741,0.7741,100,0
ANZUW.US,5,20211115,200000,0.76,0.76,0.76,0.76,100,0
ANZUW.US,5,20211115,200500,0.75855,0.76,0.7585,0.7593,3900,0
ANZUW.US,5,20211115,201000,0.76,0.76,0.75995,0.75995,6200,0
ANZUW.US,5,20211115,201500,0.75995,0.76,0.75995,0.76,400,0
ANZUW.US,5,20211115,202000,0.76,0.76,0.76,0.76,100,0
ANZUW.US,5,20211115,202500,0.76,0.76,0.7586,0.7586,2900,0
ANZUW.US,5,20211115,203000,0.7571,0.7585,0.75,0.75,2000,0
ANZUW.US,5,20211115,203500,0.76,0.77,0.7501,0.7597,5900,0
ANZUW.US,5,20211115,204000,0.76005,0.78,0.76005,0.76005,6000,0
ANZUW.US,5,20211115,204500,0.77,0.7799,0.77,0.7772,1100,0
ANZUW.US,5,20211115,205000,0.75,0.75,0.75,0.75,200,0
ANZUW.US,5,20211115,205500,0.75,0.75,0.75,0.75,100,0
ANZUW.US,5,20211115,210000,0.7403,0.75,0.7403,0.75,1700,0
ANZUW.US,5,20211115,210500,0.7651,0.78,0.75,0.75,4800,0
ANZUW.US,5,20211115,211000,0.76495,0.7799,0.75,0.75,10600,0
ANZUW.US,5,20211115,211500,0.75,0.7799,0.75,0.75,15700,0
ANZUW.US,5,20211115,212000,0.7501,0.7501,0.7499,0.7499,4299,0
ANZUW.US,5,20211115,212500,0.7498,0.7799,0.7498,0.7799,200,0
ANZUW.US,5,20211115,213000,0.76485,0.76485,0.7498,0.7498,600,0
ANZUW.US,5,20211115,213500,0.7301,0.75,0.7301,0.75,2300,0
ANZUW.US,5,20211115,214000,0.7401,0.75,0.7401,0.75,800,0
ANZUW.US,5,20211115,214500,0.7488,0.75,0.7401,0.7401,1600,0
ANZUW.US,5,20211115,215000,0.74,0.745,0.74,0.745,500,0
ANZUW.US,5,20211115,215500,0.745,0.78,0.745,0.78,5000,0
ANZUW.US,5,20211116,153000,0.77,0.77,0.7411,0.7411,1300,0
ANZUW.US,5,20211116,153500,0.769999,0.77,0.7411,0.77,12683,0
ANZUW.US,5,20211116,155000,0.7799,0.7799,0.7799,0.7799,100,0
ANZUW.US,5,20211116,160500,0.75,0.75,0.75,0.75,641,0
ANZUW.US,5,20211116,161000,0.781649,0.781649,0.781649,0.781649,100,0
ANZUW.US,5,20211116,161500,0.75,0.75,0.75,0.75,100,0
ANZUW.US,5,20211116,162000,0.75,0.75,0.75,0.75,10000,0
ANZUW.US,5,20211116,162500,0.751,0.7511,0.751,0.751,10863,0
ANZUW.US,5,20211116,163000,0.751,0.76,0.751,0.76,5900,0
ANZUW.US,5,20211116,163500,0.76,0.8181,0.76,0.76,1700,0
ANZUW.US,5,20211116,164000,0.8181,0.8181,0.76,0.76,2297,0
ANZUW.US,5,20211116,164500,0.76,0.76,0.76,0.76,2000,0
ANZUW.US,5,20211116,165000,0.76,0.771,0.76,0.77,1800,0
ANZUW.US,5,20211116,165500,0.77,0.77,0.77,0.77,2010,0
ANZUW.US,5,20211116,170500,0.8181,0.8181,0.8181,0.8181,100,0
ANZUW.US,5,20211116,171000,0.7701,0.8181,0.7701,0.8181,200,0
ANZUW.US,5,20211116,172000,0.8181,0.8761,0.8181,0.8761,2145,0
ANZUW.US,5,20211116,173000,0.8181,0.8181,0.8181,0.8181,100,0
ANZUW.US,5,20211116,173500,0.859,0.859,0.859,0.859,300,0
ANZUW.US,5,20211116,180000,0.8181,0.8779,0.8149,0.8149,900,0
ANZUW.US,5,20211116,185000,0.8341,0.8579,0.8341,0.8579,1200,0
ANZUW.US,5,20211116,190500,0.834049,0.86,0.7902,0.86,5800,0
ANZUW.US,5,20211116,191000,0.7902,0.834,0.79,0.79,16755,0
ANZUW.US,5,20211116,194000,0.7712,0.7899,0.77,0.77,10890,0
ANZUW.US,5,20211116,195000,0.775,0.7899,0.7701,0.7701,1800,0
ANZUW.US,5,20211116,201500,0.765,0.7699,0.765,0.7699,3500,0
ANZUW.US,5,20211116,202500,0.7699,0.7699,0.7699,0.7699,200,0
ANZUW.US,5,20211116,204000,0.7601,0.7699,0.7601,0.765,400,0
ANZUW.US,5,20211116,210500,0.7699,0.7699,0.7699,0.7699,9400,0
ANZUW.US,5,20211116,211000,0.77,0.77,0.77,0.77,5000,0
ANZUW.US,5,20211116,214500,0.78,0.8203,0.78,0.8203,29300,0
ANZUW.US,5,20211116,215000,0.8203,0.8203,0.8203,0.8203,106,0
ANZUW.US,5,20211116,215500,0.79,0.79,0.79,0.79,2000,0
ANZUW.US,5,20211117,153000,0.97,0.97,0.97,0.97,1000,0
ANZUW.US,5,20211117,164500,0.7851,0.8,0.7851,0.8,200,0
ANZUW.US,5,20211117,181500,0.78,0.78,0.78,0.78,1448,0
ANZUW.US,5,20211117,190000,0.78,0.78,0.78,0.78,1702,0
ANZUW.US,5,20211117,190500,0.78,0.78,0.78,0.78,432,0
ANZUW.US,5,20211117,192000,0.78,0.78,0.78,0.78,400,0
ANZUW.US,5,20211117,202000,0.78,0.8072,0.78,0.8072,200,0
ANZUW.US,5,20211117,214000,0.80505,0.83,0.7801,0.83,400,0
ANZUW.US,5,20211117,215500,0.83,0.83,0.7801,0.82,4000,0
ANZUW.US,5,20211118,153000,0.9,0.9,0.9,0.9,1000,0
ANZUW.US,5,20211118,164000,0.8,0.8358,0.7804,0.8199,19200,0
ANZUW.US,5,20211118,164500,0.8077,0.82,0.8077,0.82,5653,0
