<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APPH.US,5,20211104,143000,5.88,5.92,5.85,5.9,14957,0
APPH.US,5,20211104,143500,5.92,5.97,5.9,5.91,6727,0
APPH.US,5,20211104,144000,5.9001,5.94,5.872,5.905,12023,0
APPH.US,5,20211104,144500,5.91,5.91,5.85,5.85,4348,0
APPH.US,5,20211104,145000,5.85,5.89,5.84,5.85,3607,0
APPH.US,5,20211104,145500,5.85,5.89,5.84,5.85,5028,0
APPH.US,5,20211104,150000,5.86,5.9182,5.86,5.9161,4311,0
APPH.US,5,20211104,150500,5.9,5.93,5.8803,5.8914,5871,0
APPH.US,5,20211104,151000,5.929,5.94,5.82,5.82,30750,0
APPH.US,5,20211104,151500,5.82,5.85,5.8098,5.8098,3828,0
APPH.US,5,20211104,152000,5.8385,5.8385,5.77,5.78,12339,0
APPH.US,5,20211104,152500,5.7893,5.79,5.73,5.75,16338,0
APPH.US,5,20211104,153000,5.77,5.79,5.77,5.77,5632,0
APPH.US,5,20211104,153500,5.76,5.76,5.62,5.68,50244,0
APPH.US,5,20211104,154000,5.68,5.6958,5.6793,5.69,7237,0
APPH.US,5,20211104,154500,5.69,5.72,5.6829,5.7144,2200,0
APPH.US,5,20211104,155000,5.7,5.7,5.64,5.66,12251,0
APPH.US,5,20211104,155500,5.65,5.6835,5.65,5.6835,4300,0
APPH.US,5,20211104,160000,5.68,5.6851,5.64,5.662,12633,0
APPH.US,5,20211104,160500,5.645,5.65,5.61,5.62,19156,0
APPH.US,5,20211104,161000,5.615,5.63,5.59,5.6,17546,0
APPH.US,5,20211104,161500,5.605,5.61,5.57,5.59,5882,0
APPH.US,5,20211104,162000,5.58,5.61,5.57,5.605,13130,0
APPH.US,5,20211104,162500,5.6,5.645,5.6,5.63,7214,0
APPH.US,5,20211104,163000,5.6467,5.66,5.63,5.65,6374,0
APPH.US,5,20211104,163500,5.65,5.66,5.64,5.6499,2738,0
APPH.US,5,20211104,164000,5.65,5.6512,5.63,5.635,11718,0
APPH.US,5,20211104,164500,5.63,5.635,5.6,5.6,11792,0
APPH.US,5,20211104,165000,5.61,5.62,5.61,5.615,1900,0
APPH.US,5,20211104,165500,5.62,5.63,5.6122,5.62,5879,0
APPH.US,5,20211104,170000,5.62,5.63,5.6183,5.63,5855,0
