<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATNFW.US,5,20211104,143500,1.015,1.03,1.0092,1.0092,600,0
ATNFW.US,5,20211104,144000,1,1,0.9751,1,400,0
ATNFW.US,5,20211104,144500,1,1,1,1,800,0
ATNFW.US,5,20211104,145500,1,1,1,1,1000,0
ATNFW.US,5,20211104,151500,1.015,1.017,1,1.015,400,0
ATNFW.US,5,20211104,152500,1.015,1.015,1,1,2100,0
ATNFW.US,5,20211104,153000,1,1,1,1,200,0
ATNFW.US,5,20211104,153500,1,1,1,1,200,0
ATNFW.US,5,20211104,154000,1,1,1,1,100,0
ATNFW.US,5,20211104,154500,0.9999,0.9999,0.9951,0.9951,200,0
ATNFW.US,5,20211104,155000,1,1,1,1,300,0
ATNFW.US,5,20211104,155500,1,1,0.9951,0.9951,200,0
ATNFW.US,5,20211104,160000,1,1,1,1,200,0
ATNFW.US,5,20211104,160500,0.995,0.995,0.995,0.995,784,0
ATNFW.US,5,20211104,161000,1,1,1,1,100,0
ATNFW.US,5,20211104,163000,0.995,1,0.995,0.995,700,0
ATNFW.US,5,20211104,163500,1,1,1,1,2800,0
ATNFW.US,5,20211104,164000,1,1,1,1,1000,0
ATNFW.US,5,20211104,165000,0.9999,1,0.9999,1,600,0
ATNFW.US,5,20211104,170000,1,1,1,1,100,0
ATNFW.US,5,20211104,170500,1,1,1,1,500,0
ATNFW.US,5,20211104,172500,1,1,1,1,352,0
ATNFW.US,5,20211104,180000,0.9901,0.9902,0.97,0.97,5700,0
ATNFW.US,5,20211104,180500,0.9313,0.9325,0.9307,0.9324,500,0
ATNFW.US,5,20211104,181000,0.9307,0.95005,0.9307,0.95005,200,0
ATNFW.US,5,20211104,181500,0.9551,0.97,0.9551,0.97,3100,0
ATNFW.US,5,20211104,182000,0.969899,0.969899,0.969899,0.969899,1000,0
ATNFW.US,5,20211104,182500,0.963049,0.969899,0.963049,0.969899,2000,0
ATNFW.US,5,20211104,183000,0.97,0.97,0.97,0.97,1000,0
ATNFW.US,5,20211104,192000,0.97,0.97,0.97,0.97,100,0
ATNFW.US,5,20211104,192500,0.97,0.97,0.97,0.97,1316,0
ATNFW.US,5,20211104,193000,1,1,1,1,3600,0
ATNFW.US,5,20211104,193500,1.005,1.005,1.005,1.005,3050,0
ATNFW.US,5,20211104,203500,0.98,1.0299,0.98,1.0299,200,0
ATNFW.US,5,20211105,151000,0.984999,0.984999,0.984999,0.984999,1000,0
ATNFW.US,5,20211105,151500,0.99,1.0525,0.9898,1.0525,8997,0
ATNFW.US,5,20211105,154500,1,1.0085,1,1,900,0
ATNFW.US,5,20211105,171500,0.9991,1.02,0.9991,1.02,2000,0
ATNFW.US,5,20211105,172500,1,1,1,1,200,0
ATNFW.US,5,20211105,175000,1.01,1.015,1.01,1.015,1020,0
ATNFW.US,5,20211105,175500,1.01,1.01,1,1,580,0
ATNFW.US,5,20211105,183000,1.015,1.015,1.015,1.015,200,0
ATNFW.US,5,20211105,185500,1.015,1.015,0.9991,0.9991,300,0
ATNFW.US,5,20211105,190000,1,1.01,1,1.01,1300,0
ATNFW.US,5,20211105,190500,1,1,1,1,100,0
ATNFW.US,5,20211105,194500,1.015,1.0199,1,1.0199,1500,0
ATNFW.US,5,20211105,195500,1.0199,1.0199,1.0199,1.0199,987,0
ATNFW.US,5,20211105,201000,1,1.015,0.9783,1.015,1200,0
ATNFW.US,5,20211105,201500,1.0199,1.0199,1.015,1.015,400,0
ATNFW.US,5,20211105,202000,0.9992,1.0199,0.9992,1.0199,500,0
ATNFW.US,5,20211105,202500,1.02,1.02,1.015,1.02,2000,0
ATNFW.US,5,20211105,203000,1,1.02,1,1.02,1500,0
ATNFW.US,5,20211105,205500,1.015,1.02,1,1,1100,0
ATNFW.US,5,20211108,153000,1.0415,1.0415,1.0415,1.0415,100,0
ATNFW.US,5,20211108,154500,1.0399,1.0399,1.02,1.03,495,0
ATNFW.US,5,20211108,162000,1.01,1.01,1,1,4200,0
ATNFW.US,5,20211108,182000,0.9999,1,0.9999,1,200,0
ATNFW.US,5,20211108,184500,0.9937,0.9937,0.9937,0.9937,100,0
ATNFW.US,5,20211108,185000,1,1.01,0.9997,1,3132,0
ATNFW.US,5,20211108,190000,1,1.01,1,1.01,1100,0
ATNFW.US,5,20211108,191000,1,1,1,1,200,0
ATNFW.US,5,20211108,191500,1,1,1,1,800,0
ATNFW.US,5,20211108,192500,1,1,1,1,125,0
ATNFW.US,5,20211108,201000,1,1,1,1,600,0
ATNFW.US,5,20211108,201500,1,1,1,1,500,0
ATNFW.US,5,20211108,202000,1,1,1,1,1000,0
ATNFW.US,5,20211108,202500,1,1,0.9951,0.9951,1500,0
ATNFW.US,5,20211108,203000,0.995,0.995,0.985,0.985,2486,0
ATNFW.US,5,20211108,203500,0.9925,0.9925,0.9925,0.9925,1027,0
ATNFW.US,5,20211108,204000,0.995,0.995,0.995,0.995,500,0
ATNFW.US,5,20211108,204500,0.995,0.995,0.994,0.994,901,0
ATNFW.US,5,20211108,210000,1,1,1,1,2100,0
ATNFW.US,5,20211108,210500,1,1.01,1,1,1100,0
ATNFW.US,5,20211108,211500,1.01,1.01,1.01,1.01,100,0
ATNFW.US,5,20211108,212500,1.0099,1.0099,1.0099,1.0099,100,0
ATNFW.US,5,20211108,213000,1,1.0099,0.995,1.0099,1300,0
ATNFW.US,5,20211108,214500,0.985,0.985,0.985,0.985,200,0
ATNFW.US,5,20211108,215000,1,1,1,1,2959,0
ATNFW.US,5,20211109,153000,0.961,0.961,0.961,0.961,300,0
ATNFW.US,5,20211109,161000,1,1,1,1,394,0
ATNFW.US,5,20211109,162500,1,1,1,1,100,0
ATNFW.US,5,20211109,170500,1,1,1,1,300,0
ATNFW.US,5,20211109,173000,1,1,1,1,154,0
ATNFW.US,5,20211109,182000,0.9748,0.9748,0.9748,0.9748,100,0
ATNFW.US,5,20211109,182500,0.9785,0.98,0.97841,0.97841,1000,0
ATNFW.US,5,20211109,185500,0.9747,0.9747,0.9747,0.9747,1200,0
ATNFW.US,5,20211109,191500,1,1,1,1,336,0
ATNFW.US,5,20211109,201000,1,1,1,1,500,0
ATNFW.US,5,20211109,211000,0.98,0.98,0.98,0.98,500,0
ATNFW.US,5,20211109,212500,1,1,1,1,500,0
ATNFW.US,5,20211109,213500,1,1,1,1,200,0
ATNFW.US,5,20211110,154500,0.930301,0.989899,0.930301,0.989899,340,0
ATNFW.US,5,20211110,161000,0.9501,0.9897,0.95,0.9897,21900,0
ATNFW.US,5,20211110,162500,0.9799,0.9799,0.9799,0.9799,100,0
ATNFW.US,5,20211110,163500,0.975265,0.975265,0.975265,0.975265,300,0
ATNFW.US,5,20211110,164000,0.9602,0.9602,0.9602,0.9602,500,0
ATNFW.US,5,20211110,164500,0.95,0.95,0.95,0.95,600,0
ATNFW.US,5,20211110,165000,0.958449,0.96495,0.958449,0.96495,700,0
ATNFW.US,5,20211110,170000,0.966815,0.966815,0.966815,0.966815,200,0
ATNFW.US,5,20211110,172000,0.951101,0.9697,0.951101,0.9697,800,0
ATNFW.US,5,20211110,182000,0.9699,0.98,0.9699,0.98,6057,0
ATNFW.US,5,20211110,182500,0.99,0.99,0.99,0.99,4400,0
ATNFW.US,5,20211110,183000,0.99,0.99,0.99,0.99,600,0
ATNFW.US,5,20211110,183500,0.99,1,0.99,1,1000,0
ATNFW.US,5,20211110,190000,0.9825,0.9825,0.98,0.98,200,0
ATNFW.US,5,20211110,190500,0.98,0.9801,0.97,0.97,9909,0
ATNFW.US,5,20211110,191000,0.9501,0.9501,0.95,0.95,8100,0
ATNFW.US,5,20211110,192000,0.9302,0.9401,0.9301,0.9401,1000,0
ATNFW.US,5,20211110,193500,0.940201,0.940201,0.940201,0.940201,500,0
ATNFW.US,5,20211110,195000,0.940001,0.940001,0.940001,0.940001,1000,0
ATNFW.US,5,20211110,200500,0.94,0.94,0.94,0.94,1000,0
ATNFW.US,5,20211110,201000,0.95,0.95,0.95,0.95,600,0
ATNFW.US,5,20211110,201500,0.9302,0.9302,0.93,0.93,1050,0
ATNFW.US,5,20211110,202000,0.9201,0.9201,0.92,0.92,1450,0
ATNFW.US,5,20211110,202500,0.9053,0.9053,0.9052,0.9052,5205,0
ATNFW.US,5,20211110,203000,0.918449,0.918449,0.918294,0.918294,1000,0
ATNFW.US,5,20211110,204500,0.9198,0.9199,0.919799,0.9199,600,0
ATNFW.US,5,20211110,205000,0.9199,0.9199,0.918365,0.918365,730,0
ATNFW.US,5,20211110,205500,0.9199,0.9199,0.9199,0.9199,300,0
ATNFW.US,5,20211110,210500,0.9567,0.9567,0.9567,0.9567,100,0
ATNFW.US,5,20211110,212000,0.92995,0.92995,0.92995,0.92995,1174,0
ATNFW.US,5,20211110,213500,0.91,0.91,0.91,0.91,400,0
ATNFW.US,5,20211110,214000,0.9101,0.9101,0.91,0.9101,2961,0
ATNFW.US,5,20211110,214500,0.92,0.92,0.92,0.92,100,0
ATNFW.US,5,20211110,215000,0.9298,0.9298,0.9298,0.9298,5000,0
ATNFW.US,5,20211110,215500,0.92,0.92,0.92,0.92,300,0
ATNFW.US,5,20211111,154000,0.910101,0.92,0.910101,0.9199,1999,0
ATNFW.US,5,20211111,154500,0.9199,0.92,0.919899,0.92,1262,0
ATNFW.US,5,20211111,155000,0.9399,0.96,0.9375,0.96,1100,0
ATNFW.US,5,20211111,161500,0.9597,0.9599,0.959,0.9599,900,0
ATNFW.US,5,20211111,170500,0.94,0.9499,0.94,0.949406,2100,0
ATNFW.US,5,20211111,171500,0.9301,0.959899,0.9301,0.959899,200,0
ATNFW.US,5,20211111,182000,0.95,0.95,0.95,0.95,200,0
ATNFW.US,5,20211111,182500,0.95,0.96,0.95,0.96,200,0
ATNFW.US,5,20211111,184000,0.96,0.96,0.96,0.96,100,0
ATNFW.US,5,20211111,190000,0.95,0.95,0.95,0.95,610,0
ATNFW.US,5,20211111,190500,0.96,0.9698,0.96,0.9698,1350,0
ATNFW.US,5,20211111,194000,0.96,0.96,0.96,0.96,1750,0
ATNFW.US,5,20211111,203000,0.9599,0.96,0.9599,0.96,300,0
ATNFW.US,5,20211111,210500,0.95,0.95,0.95,0.95,8550,0
ATNFW.US,5,20211111,215500,0.9201,0.9201,0.9201,0.9201,300,0
ATNFW.US,5,20211112,154000,0.9201,0.9201,0.91,0.91,2330,0
ATNFW.US,5,20211112,154500,0.9101,0.92495,0.91,0.91,4970,0
ATNFW.US,5,20211112,155000,0.91,0.922708,0.91,0.922708,854,0
ATNFW.US,5,20211112,160500,0.9054,0.9054,0.9054,0.9054,100,0
ATNFW.US,5,20211112,162500,0.91,0.922708,0.91,0.922708,1072,0
ATNFW.US,5,20211112,163500,0.91,0.9331,0.91,0.9331,200,0
ATNFW.US,5,20211112,172500,0.9398,0.95,0.9397,0.9498,6000,0
ATNFW.US,5,20211112,180000,0.92945,0.9299,0.9201,0.929,7100,0
ATNFW.US,5,20211112,182500,0.9102,0.929,0.9102,0.929,2690,0
ATNFW.US,5,20211112,183000,0.929101,0.929101,0.929101,0.929101,500,0
ATNFW.US,5,20211112,183500,0.9291,0.9291,0.915,0.915,1710,0
ATNFW.US,5,20211112,184500,0.9126,0.9297,0.9126,0.9294,600,0
ATNFW.US,5,20211112,185500,0.9102,0.920051,0.9101,0.920051,1100,0
ATNFW.US,5,20211112,190000,0.9297,0.9297,0.9297,0.9297,100,0
ATNFW.US,5,20211112,193000,0.9185,0.9185,0.9104,0.9185,1100,0
ATNFW.US,5,20211112,195000,0.9102,0.92945,0.9102,0.9294,300,0
ATNFW.US,5,20211112,202500,0.9101,0.9101,0.9101,0.9101,600,0
ATNFW.US,5,20211112,203500,0.920101,0.920101,0.920099,0.920099,200,0
ATNFW.US,5,20211112,204000,0.929999,0.929999,0.9201,0.9201,5100,0
ATNFW.US,5,20211112,204500,0.9201,0.9299,0.9201,0.92945,5100,0
ATNFW.US,5,20211112,205500,0.92945,0.9299,0.929,0.9295,900,0
ATNFW.US,5,20211112,210000,0.92945,0.93,0.9288,0.9288,11575,0
ATNFW.US,5,20211112,210500,0.9438,0.959899,0.9276,0.959899,3717,0
ATNFW.US,5,20211112,211000,0.9438,0.9438,0.9438,0.9438,700,0
ATNFW.US,5,20211112,214500,0.9101,0.9101,0.9101,0.9101,200,0
ATNFW.US,5,20211112,215000,0.9101,0.9321,0.9101,0.9321,200,0
ATNFW.US,5,20211115,154500,0.9699,0.9699,0.9699,0.9699,149,0
ATNFW.US,5,20211115,155500,0.95,0.962899,0.93,0.962899,898,0
ATNFW.US,5,20211115,160500,0.956399,0.956399,0.956399,0.956399,750,0
ATNFW.US,5,20211115,161000,0.956399,0.956399,0.956399,0.956399,100,0
ATNFW.US,5,20211115,163500,0.9503,0.9628,0.950248,0.9628,1198,0
ATNFW.US,5,20211115,174000,0.95,0.95,0.95,0.95,200,0
ATNFW.US,5,20211115,180000,0.940385,0.940385,0.940385,0.940385,1000,0
ATNFW.US,5,20211115,183000,0.95,0.95,0.95,0.95,2500,0
ATNFW.US,5,20211115,185000,0.93055,0.949899,0.93055,0.949899,2600,0
ATNFW.US,5,20211115,215500,0.94,0.94,0.94,0.94,298,0
ATNFW.US,5,20211116,153000,0.91,0.95,0.91,0.95,1996,0
ATNFW.US,5,20211116,154500,0.9498,0.95,0.9498,0.95,2850,0
ATNFW.US,5,20211116,160500,0.920201,0.9498,0.9201,0.944899,400,0
ATNFW.US,5,20211116,170000,0.940001,0.949,0.9101,0.949,10300,0
ATNFW.US,5,20211116,173500,0.93,0.93,0.93,0.93,308,0
ATNFW.US,5,20211116,174000,0.92995,0.9499,0.92995,0.9499,200,0
ATNFW.US,5,20211116,184500,0.9499,0.9499,0.9499,0.9499,100,0
ATNFW.US,5,20211116,185500,0.9103,0.9103,0.9103,0.9103,100,0
ATNFW.US,5,20211116,190500,0.9103,0.95,0.9103,0.95,200,0
ATNFW.US,5,20211116,192000,0.9102,0.9476,0.9101,0.9107,6100,0
ATNFW.US,5,20211116,194000,0.91,0.9103,0.91,0.9103,200,0
ATNFW.US,5,20211116,200500,0.910199,0.9103,0.91,0.91,1200,0
ATNFW.US,5,20211116,202000,0.9146,0.924999,0.9146,0.924999,200,0
ATNFW.US,5,20211116,202500,0.9144,0.9381,0.9144,0.9381,200,0
ATNFW.US,5,20211116,211000,0.9301,0.9301,0.9301,0.9301,500,0
ATNFW.US,5,20211116,211500,0.93,0.93,0.93,0.93,1000,0
ATNFW.US,5,20211116,212000,0.93,0.93,0.9105,0.9105,4500,0
ATNFW.US,5,20211116,213000,0.9104,0.910416,0.9102,0.9102,1000,0
ATNFW.US,5,20211116,213500,0.939899,0.939899,0.939899,0.939899,100,0
ATNFW.US,5,20211116,215500,0.9112,0.9286,0.9112,0.9286,700,0
ATNFW.US,5,20211117,161000,0.9152,0.9286,0.9,0.9,6459,0
ATNFW.US,5,20211117,161500,0.899899,0.899899,0.8992,0.8992,1100,0
ATNFW.US,5,20211117,162500,0.8992,0.9,0.8992,0.9,500,0
ATNFW.US,5,20211117,164000,0.887049,0.887049,0.887049,0.887049,750,0
ATNFW.US,5,20211117,164500,0.89,0.89,0.89,0.89,800,0
ATNFW.US,5,20211117,165000,0.9,0.9,0.9,0.9,175,0
ATNFW.US,5,20211117,172000,0.8901,0.8901,0.8901,0.8901,200,0
ATNFW.US,5,20211117,175000,0.8976,0.9,0.8976,0.9,1320,0
ATNFW.US,5,20211117,180000,0.891999,0.891999,0.891999,0.891999,500,0
ATNFW.US,5,20211117,184500,0.884,0.884,0.884,0.884,900,0
ATNFW.US,5,20211117,185000,0.876999,0.876999,0.876999,0.876999,200,0
ATNFW.US,5,20211117,185500,0.88,0.88,0.88,0.88,400,0
ATNFW.US,5,20211117,190000,0.88,0.88,0.88,0.88,1600,0
ATNFW.US,5,20211117,191500,0.870099,0.8701,0.86,0.86,1600,0
ATNFW.US,5,20211117,195000,0.8502,0.8502,0.8502,0.8502,299,0
ATNFW.US,5,20211117,201500,0.87,0.884,0.87,0.884,4880,0
ATNFW.US,5,20211117,202000,0.85,0.8839,0.85,0.8839,550,0
ATNFW.US,5,20211117,203000,0.85,0.850679,0.85,0.850679,1300,0
ATNFW.US,5,20211117,203500,0.8101,0.85,0.8101,0.85,800,0
ATNFW.US,5,20211117,205000,0.85,0.8839,0.8499,0.8839,2352,0
ATNFW.US,5,20211117,210500,0.87,0.87,0.835,0.852449,422,0
ATNFW.US,5,20211117,211000,0.8353,0.8525,0.8353,0.8525,200,0
ATNFW.US,5,20211117,212500,0.843951,0.843951,0.8118,0.8118,1078,0
ATNFW.US,5,20211117,213000,0.8118,0.8118,0.8118,0.8118,200,0
ATNFW.US,5,20211117,213500,0.8103,0.8293,0.8103,0.8293,300,0
ATNFW.US,5,20211117,214500,0.8355,0.8899,0.8231,0.8899,600,0
ATNFW.US,5,20211118,153000,0.9625,0.9625,0.9624,0.9624,600,0
ATNFW.US,5,20211118,153500,0.9625,0.9625,0.9201,0.9462,2116,0
ATNFW.US,5,20211118,154500,0.96,0.9624,0.96,0.9624,1478,0
ATNFW.US,5,20211118,155000,0.9626,0.985,0.9626,0.985,2900,0
ATNFW.US,5,20211118,155500,1,1.01,1,1,10548,0
ATNFW.US,5,20211118,160000,1.01,1.01,1.01,1.01,1000,0
ATNFW.US,5,20211118,160500,1.02,1.02,1.01,1.01,3000,0
ATNFW.US,5,20211118,161000,1.01,1.015,1.01,1.01,12200,0
ATNFW.US,5,20211118,161500,1.01,1.0101,0.9601,0.9677,3001,0
ATNFW.US,5,20211118,162000,0.9603,0.9802,0.9603,0.9802,300,0
ATNFW.US,5,20211118,171000,0.973,0.975,0.973,0.975,1400,0
ATNFW.US,5,20211118,172500,0.977499,0.977499,0.977499,0.977499,200,0
ATNFW.US,5,20211118,174500,0.975,0.975,0.975,0.975,500,0
ATNFW.US,5,20211118,181000,0.9751,0.9751,0.9751,0.9751,200,0
ATNFW.US,5,20211118,182000,0.975,0.975,0.973,0.973,1800,0
ATNFW.US,5,20211118,182500,0.9321,0.9322,0.9321,0.9322,6584,0
ATNFW.US,5,20211118,183000,0.9321,0.9321,0.9151,0.9151,1601,0
ATNFW.US,5,20211118,184000,0.9151,0.92,0.9151,0.92,1500,0
ATNFW.US,5,20211118,184500,0.92,0.92,0.9151,0.917649,7898,0
ATNFW.US,5,20211118,185000,0.9154,0.9154,0.9153,0.9154,10900,0
ATNFW.US,5,20211118,185500,0.9154,0.9154,0.915,0.915,4500,0
ATNFW.US,5,20211118,191000,0.915,0.915,0.915,0.915,500,0
ATNFW.US,5,20211118,203500,0.9003,0.9003,0.9003,0.9003,150,0
ATNFW.US,5,20211118,210500,0.915,0.915,0.9075,0.9075,11957,0
ATNFW.US,5,20211118,215500,0.9002,0.9002,0.9,0.9,600,0
ATNFW.US,5,20211119,153000,0.965,0.99,0.965,0.99,3000,0
ATNFW.US,5,20211119,154500,0.96,0.96,0.96,0.96,999,0
ATNFW.US,5,20211119,155500,0.96,0.96,0.96,0.96,1000,0
ATNFW.US,5,20211119,160000,0.96,0.96,0.96,0.96,100,0
ATNFW.US,5,20211119,165000,0.965,0.965,0.965,0.965,1000,0
ATNFW.US,5,20211119,170000,0.9503,0.9503,0.95,0.9501,1900,0
ATNFW.US,5,20211119,171000,0.95,0.95,0.95,0.95,2000,0
ATNFW.US,5,20211119,173500,0.9001,0.9002,0.9001,0.9001,2898,0
ATNFW.US,5,20211119,174000,0.91,0.91,0.91,0.91,5200,0
ATNFW.US,5,20211119,174500,0.9102,0.9102,0.9102,0.9102,400,0
ATNFW.US,5,20211119,182000,0.9351,0.9351,0.9351,0.9351,500,0
ATNFW.US,5,20211119,184000,0.942,0.942,0.942,0.942,400,0
ATNFW.US,5,20211119,184500,0.942,0.942,0.942,0.942,600,0
ATNFW.US,5,20211119,190000,0.9104,0.9104,0.9104,0.9104,200,0
ATNFW.US,5,20211119,191000,0.939899,0.939899,0.939899,0.939899,100,0
ATNFW.US,5,20211119,202000,0.9399,0.9399,0.9399,0.9399,500,0
ATNFW.US,5,20211119,210000,0.910401,0.910401,0.910401,0.910401,299,0
ATNFW.US,5,20211119,210500,0.9272,0.9272,0.9272,0.9272,100,0
ATNFW.US,5,20211122,153000,0.9599,0.96,0.93,0.93,2882,0
ATNFW.US,5,20211122,153500,0.92,0.92,0.92,0.92,972,0
ATNFW.US,5,20211122,154000,0.925,0.925,0.925,0.925,175,0
ATNFW.US,5,20211122,155000,0.93995,0.949799,0.93995,0.949799,4000,0
ATNFW.US,5,20211122,161500,0.93,0.93,0.925,0.925,7000,0
ATNFW.US,5,20211122,162500,0.9151,0.9497,0.9151,0.9497,200,0
ATNFW.US,5,20211122,163000,0.9499,0.9499,0.9499,0.9499,100,0
ATNFW.US,5,20211122,164000,0.92,0.92,0.915,0.915,967,0
ATNFW.US,5,20211122,165500,0.935,0.935,0.935,0.935,1800,0
ATNFW.US,5,20211122,170000,0.9417,0.9417,0.9417,0.9417,1300,0
ATNFW.US,5,20211122,170500,0.915101,0.915673,0.915,0.915673,5700,0
ATNFW.US,5,20211122,171500,0.9002,0.9002,0.9002,0.9002,1500,0
ATNFW.US,5,20211122,172500,0.9001,0.9002,0.8651,0.8651,700,0
ATNFW.US,5,20211122,173000,0.8701,0.890049,0.8701,0.890049,300,0
ATNFW.US,5,20211122,173500,0.9,0.9,0.8998,0.8998,600,0
ATNFW.US,5,20211122,174000,0.899899,0.899899,0.8997,0.8997,1700,0
ATNFW.US,5,20211122,174500,0.8802,0.8802,0.8802,0.8802,1700,0
ATNFW.US,5,20211122,175000,0.89,0.89,0.8877,0.8877,1650,0
ATNFW.US,5,20211122,180000,0.8883,0.9419,0.8883,0.9419,200,0
ATNFW.US,5,20211122,195500,0.94,0.94,0.94,0.94,5000,0
ATNFW.US,5,20211122,205500,0.94,0.94,0.94,0.94,120,0
ATNFW.US,5,20211122,213000,0.93,0.93,0.93,0.93,500,0
ATNFW.US,5,20211123,153000,0.9499,0.9499,0.9499,0.9499,100,0
ATNFW.US,5,20211123,154000,0.93,0.9599,0.93,0.9599,806,0
ATNFW.US,5,20211123,162500,0.9599,0.9599,0.9599,0.9599,500,0
ATNFW.US,5,20211123,171500,0.9399,0.9499,0.9399,0.9499,200,0
ATNFW.US,5,20211123,173500,0.94,0.94,0.94,0.94,2150,0
ATNFW.US,5,20211123,215500,0.9301,0.9301,0.9301,0.9301,300,0
ATNFW.US,5,20211124,153000,0.94,0.94,0.94,0.94,400,0
ATNFW.US,5,20211124,153500,0.984799,0.984799,0.984799,0.984799,100,0
ATNFW.US,5,20211124,154500,0.969899,0.9699,0.95,0.9699,3330,0
ATNFW.US,5,20211124,155500,0.9301,0.95,0.9301,0.95,239,0
ATNFW.US,5,20211124,165000,0.9301,0.9301,0.9301,0.9301,248,0
ATNFW.US,5,20211124,170000,0.9699,0.9699,0.96,0.96,1475,0
ATNFW.US,5,20211124,174500,0.953,0.9698,0.953,0.9698,200,0
ATNFW.US,5,20211124,175000,0.9699,0.9701,0.9699,0.970001,5950,0
ATNFW.US,5,20211124,180000,0.97,0.97,0.97,0.97,3030,0
ATNFW.US,5,20211124,185500,0.95005,0.95005,0.95005,0.95005,391,0
ATNFW.US,5,20211124,190000,0.97,0.97,0.97,0.97,5100,0
ATNFW.US,5,20211124,191000,0.97,0.97,0.97,0.97,100,0
ATNFW.US,5,20211124,191500,0.97,0.97,0.97,0.97,4100,0
ATNFW.US,5,20211124,192500,0.97,0.97,0.97,0.97,3880,0
ATNFW.US,5,20211124,195000,0.9749,1,0.9749,1,2400,0
ATNFW.US,5,20211124,195500,0.99,0.99,0.99,0.99,200,0
ATNFW.US,5,20211124,200500,0.9601,0.9601,0.9601,0.9601,223,0
ATNFW.US,5,20211124,203000,0.99,0.99,0.99,0.99,160,0
ATNFW.US,5,20211124,211500,1,1,1,1,535,0
ATNFW.US,5,20211124,214000,1,1,1,1,7595,0
ATNFW.US,5,20211124,215500,1,1,1,1,300,0
ATNFW.US,5,20211126,155000,1,1,1,1,600,0
ATNFW.US,5,20211126,160000,1.07,1.07,1.0699,1.0699,824,0
ATNFW.US,5,20211126,161000,1.07,1.07,1.07,1.07,500,0
ATNFW.US,5,20211126,162500,1.06,1.06,1.06,1.06,600,0
ATNFW.US,5,20211126,164000,1.06,1.06,1.06,1.06,250,0
ATNFW.US,5,20211126,164500,1.06,1.06,1.06,1.06,400,0
ATNFW.US,5,20211126,165000,1.06,1.06,1.009,1.009,1600,0
ATNFW.US,5,20211126,165500,1.05,1.05,1.05,1.05,600,0
ATNFW.US,5,20211126,170500,1.06,1.08,1.0588,1.07,6591,0
ATNFW.US,5,20211126,171000,1.06,1.06,1.06,1.06,500,0
ATNFW.US,5,20211126,172500,1.05,1.05,1.05,1.05,485,0
ATNFW.US,5,20211126,173000,1.05,1.05,1.05,1.05,385,0
ATNFW.US,5,20211126,173500,1.06,1.06,1.06,1.06,300,0
ATNFW.US,5,20211126,174000,1.06,1.06,1.0599,1.06,8900,0
ATNFW.US,5,20211126,175500,1.06,1.07,1.01,1.01,12752,0
ATNFW.US,5,20211126,180000,1.01,1.01,1.01,1.01,1846,0
ATNFW.US,5,20211126,180500,1.0499,1.0499,1.0499,1.0499,500,0
ATNFW.US,5,20211126,181000,1.05,1.05,1.0395,1.05,6200,0
ATNFW.US,5,20211126,181500,1.055,1.06,1.01,1.06,6240,0
ATNFW.US,5,20211126,182000,1.06,1.08,1.02,1.02,6000,0
ATNFW.US,5,20211126,182500,1.04,1.08,1.04,1.04,1550,0
ATNFW.US,5,20211126,183000,1.06,1.08,1.06,1.08,11000,0
ATNFW.US,5,20211126,183500,1.07,1.07,1.0498,1.0498,4200,0
ATNFW.US,5,20211126,184000,1.0499,1.0499,1.04,1.04,5200,0
ATNFW.US,5,20211126,184500,1.06,1.06,1.05,1.05,5862,0
ATNFW.US,5,20211126,185000,1.0534,1.06,1.0534,1.06,1190,0
ATNFW.US,5,20211126,185500,1.05,1.0573,1.05,1.0573,840,0
ATNFW.US,5,20211129,153000,1.12,1.185,1.12,1.17,10620,0
ATNFW.US,5,20211129,153500,1.2,1.34,1.14,1.14,25136,0
ATNFW.US,5,20211129,154000,1.14,1.14,1.1396,1.14,3800,0
ATNFW.US,5,20211129,154500,1.16,1.1699,1.1496,1.165,5100,0
ATNFW.US,5,20211129,155000,1.165,1.19,1.1606,1.18,10800,0
ATNFW.US,5,20211129,155500,1.165,1.1899,1.1596,1.165,8950,0
ATNFW.US,5,20211129,160000,1.1899,1.1899,1.17,1.17,5100,0
ATNFW.US,5,20211129,160500,1.15,1.18,1.1401,1.18,16948,0
ATNFW.US,5,20211129,161000,1.1501,1.1501,1.05,1.15,8765,0
ATNFW.US,5,20211129,161500,1.1056,1.1056,1.0701,1.0701,1300,0
ATNFW.US,5,20211129,162000,1.16,1.18,1.11,1.16,5648,0
ATNFW.US,5,20211129,163500,1.15,1.15,1.12,1.12,1466,0
ATNFW.US,5,20211129,164000,1.1365,1.15,1.11,1.11,5100,0
