<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCEL.US,5,20211104,143000,6.28,6.33,6.26,6.3,14367,0
BCEL.US,5,20211104,143500,6.3133,6.32,6.28,6.31,2625,0
BCEL.US,5,20211104,144000,6.29,6.31,6.26,6.26,4109,0
BCEL.US,5,20211104,144500,6.29,6.29,6.22,6.22,1430,0
BCEL.US,5,20211104,145000,6.23,6.26,6.23,6.25,7075,0
BCEL.US,5,20211104,145500,6.25,6.3,6.24,6.26,14153,0
BCEL.US,5,20211104,150000,6.32,6.32,6.32,6.32,300,0
BCEL.US,5,20211104,150500,6.33,6.33,6.325,6.325,9630,0
BCEL.US,5,20211104,151000,6.33,6.34,6.325,6.33,8448,0
BCEL.US,5,20211104,151500,6.32,6.33,6.32,6.32,2833,0
BCEL.US,5,20211104,152000,6.31,6.31,6.28,6.3,1840,0
BCEL.US,5,20211104,152500,6.295,6.3,6.295,6.3,225,0
BCEL.US,5,20211104,153000,6.31,6.33,6.31,6.33,2450,0
BCEL.US,5,20211104,153500,6.32,6.32,6.3118,6.3118,4836,0
BCEL.US,5,20211104,154000,6.31,6.3184,6.305,6.31,1500,0
BCEL.US,5,20211104,154500,6.33,6.33,6.33,6.33,300,0
BCEL.US,5,20211104,155000,6.3187,6.3257,6.31,6.3257,400,0
BCEL.US,5,20211104,155500,6.31,6.34,6.31,6.34,8170,0
BCEL.US,5,20211104,160000,6.35,6.35,6.3392,6.35,3380,0
BCEL.US,5,20211104,160500,6.34,6.34,6.3334,6.3334,333,0
BCEL.US,5,20211104,161000,6.33,6.33,6.31,6.31,1100,0
BCEL.US,5,20211104,161500,6.3,6.3005,6.29,6.29,1745,0
BCEL.US,5,20211104,162000,6.28,6.28,6.27,6.27,2684,0
BCEL.US,5,20211104,162500,6.2728,6.2728,6.25,6.25,7139,0
BCEL.US,5,20211104,163000,6.24,6.25,6.24,6.24,1200,0
BCEL.US,5,20211104,163500,6.23,6.23,6.2201,6.2201,350,0
BCEL.US,5,20211104,164000,6.2375,6.24,6.22,6.22,4580,0
BCEL.US,5,20211104,164500,6.2,6.2,6.17,6.17,9763,0
BCEL.US,5,20211104,165000,6.1699,6.17,6.16,6.17,400,0
BCEL.US,5,20211104,165500,6.1817,6.19,6.1817,6.19,367,0
BCEL.US,5,20211104,170000,6.18,6.18,6.1783,6.1783,400,0
BCEL.US,5,20211104,170500,6.18,6.18,6.17,6.17,863,0
BCEL.US,5,20211104,171500,6.19,6.195,6.19,6.195,910,0
BCEL.US,5,20211104,172000,6.195,6.2188,6.195,6.2179,1901,0
BCEL.US,5,20211104,172500,6.2,6.21,6.2,6.205,1201,0
BCEL.US,5,20211104,173000,6.21,6.22,6.21,6.21,400,0
BCEL.US,5,20211104,174000,6.23,6.24,6.23,6.24,300,0
BCEL.US,5,20211104,174500,6.2498,6.2498,6.245,6.245,850,0
BCEL.US,5,20211104,175000,6.25,6.25,6.248,6.248,800,0
BCEL.US,5,20211104,175500,6.25,6.25,6.24,6.24,2066,0
BCEL.US,5,20211104,180000,6.24,6.24,6.24,6.24,100,0
BCEL.US,5,20211104,180500,6.24,6.24,6.24,6.24,300,0
BCEL.US,5,20211104,181000,6.24,6.24,6.2318,6.2318,692,0
BCEL.US,5,20211104,181500,6.25,6.25,6.248,6.248,500,0
BCEL.US,5,20211104,182000,6.245,6.25,6.245,6.25,420,0
BCEL.US,5,20211104,182500,6.24,6.24,6.21,6.21,3521,0
BCEL.US,5,20211104,183000,6.22,6.23,6.22,6.22,400,0
BCEL.US,5,20211104,184000,6.24,6.25,6.24,6.25,3341,0
BCEL.US,5,20211104,184500,6.24,6.24,6.24,6.24,1157,0
BCEL.US,5,20211104,185000,6.23,6.235,6.195,6.195,2800,0
BCEL.US,5,20211104,185500,6.2,6.2,6.19,6.19,4060,0
BCEL.US,5,20211104,190000,6.18,6.18,6.18,6.18,100,0
BCEL.US,5,20211104,190500,6.16,6.18,6.16,6.18,400,0
BCEL.US,5,20211104,191500,6.17,6.17,6.14,6.15,105666,0
BCEL.US,5,20211104,192000,6.165,6.17,6.12,6.13,10680,0
BCEL.US,5,20211104,192500,6.13,6.13,6.12,6.12,1872,0
BCEL.US,5,20211104,193000,6.1215,6.159,6.1215,6.15,5223,0
BCEL.US,5,20211104,193500,6.1471,6.19,6.1471,6.16,1200,0
BCEL.US,5,20211104,194000,6.18,6.18,6.15,6.15,1100,0
BCEL.US,5,20211104,194500,6.15,6.16,6.14,6.14,1204,0
BCEL.US,5,20211104,195000,6.16,6.16,6.15,6.16,829,0
BCEL.US,5,20211104,195500,6.16,6.175,6.16,6.165,3538,0
BCEL.US,5,20211104,200000,6.15,6.16,6.15,6.15,2700,0
BCEL.US,5,20211104,200500,6.17,6.21,6.155,6.21,8961,0
BCEL.US,5,20211104,201000,6.21,6.21,6.19,6.19,7357,0
BCEL.US,5,20211104,201500,6.2077,6.21,6.19,6.19,4287,0
BCEL.US,5,20211104,202000,6.19,6.19,6.14,6.14,9044,0
BCEL.US,5,20211104,202500,6.15,6.16,6.14,6.14,2048,0
BCEL.US,5,20211104,203000,6.13,6.17,6.13,6.16,1612,0
BCEL.US,5,20211104,203500,6.16,6.17,6.15,6.16,6094,0
BCEL.US,5,20211104,204000,6.15,6.17,6.15,6.15,3510,0
BCEL.US,5,20211104,204500,6.16,6.16,6.13,6.14,6161,0
BCEL.US,5,20211104,205000,6.13,6.16,6.13,6.16,9016,0
BCEL.US,5,20211104,205500,6.16,6.16,6.12,6.14,29423,0
BCEL.US,5,20211105,143000,6.12,6.12,5.82,5.88,29676,0
BCEL.US,5,20211105,143500,5.8952,6.12,5.875,6.1,12484,0
BCEL.US,5,20211105,144000,6.11,6.11,6.03,6.1099,6858,0
BCEL.US,5,20211105,144500,6.089,6.14,6.067,6.11,1840,0
BCEL.US,5,20211105,145000,6.118,6.25,6.118,6.2381,1605,0
BCEL.US,5,20211105,145500,6.24,6.24,6.1973,6.22,789,0
BCEL.US,5,20211105,150000,6.265,6.265,6.24,6.24,2500,0
BCEL.US,5,20211105,150500,6.2,6.21,6.195,6.199,900,0
BCEL.US,5,20211105,151000,6.2,6.2,6.1324,6.1324,745,0
BCEL.US,5,20211105,151500,6.16,6.17,6.16,6.1605,1930,0
BCEL.US,5,20211105,152000,6.1401,6.205,6.1401,6.205,1050,0
BCEL.US,5,20211105,152500,6.2199,6.22,6.18,6.18,1776,0
BCEL.US,5,20211105,153000,6.18,6.185,6.17,6.17,1814,0
BCEL.US,5,20211105,154000,6.19,6.2,6.19,6.2,200,0
BCEL.US,5,20211105,154500,6.22,6.29,6.22,6.29,3194,0
BCEL.US,5,20211105,155000,6.28,6.3,6.27,6.2896,3200,0
BCEL.US,5,20211105,155500,6.29,6.29,6.265,6.28,1896,0
BCEL.US,5,20211105,160000,6.275,6.28,6.26,6.26,840,0
BCEL.US,5,20211105,160500,6.26,6.26,6.25,6.25,400,0
BCEL.US,5,20211105,161000,6.245,6.26,6.24,6.25,2000,0
BCEL.US,5,20211105,161500,6.26,6.27,6.24,6.25,2419,0
BCEL.US,5,20211105,162000,6.25,6.26,6.24,6.25,2107,0
BCEL.US,5,20211105,162500,6.2317,6.24,6.2,6.205,1816,0
BCEL.US,5,20211105,163000,6.19,6.1916,6.19,6.19,2199,0
BCEL.US,5,20211105,163500,6.17,6.19,6.14,6.14,3797,0
BCEL.US,5,20211105,164000,6.13,6.1383,6.11,6.13,800,0
BCEL.US,5,20211105,164500,6.1327,6.15,6.1,6.1099,4250,0
BCEL.US,5,20211105,165000,6.095,6.1,6.07,6.091,4836,0
BCEL.US,5,20211105,165500,6.1,6.1,6.09,6.09,6100,0
BCEL.US,5,20211105,170000,6.05,6.05,6.03,6.04,12606,0
BCEL.US,5,20211105,170500,6.03,6.03,5.98,6,7260,0
BCEL.US,5,20211105,171000,6.01,6.0454,6.01,6.0454,1800,0
BCEL.US,5,20211105,171500,6.045,6.045,6.0346,6.0346,297,0
BCEL.US,5,20211105,172000,6.03,6.03,6.01,6.015,1961,0
BCEL.US,5,20211105,172500,6.0007,6.0007,6.0007,6.0007,1010,0
BCEL.US,5,20211105,173000,6.01,6.05,6.01,6.05,2064,0
BCEL.US,5,20211105,173500,6.055,6.055,6.035,6.035,1200,0
BCEL.US,5,20211105,174000,6.05,6.05,6.035,6.035,907,0
BCEL.US,5,20211105,174500,6.02,6.03,6.02,6.03,400,0
BCEL.US,5,20211105,175000,6.03,6.03,5.995,6,5533,0
BCEL.US,5,20211105,175500,5.98,5.99,5.96,5.97,7200,0
BCEL.US,5,20211105,180000,5.99,6.04,5.94,5.94,16642,0
BCEL.US,5,20211105,180500,5.9496,5.9496,5.945,5.945,307,0
BCEL.US,5,20211105,181000,5.92,5.921,5.8801,5.8801,12800,0
BCEL.US,5,20211105,181500,5.895,5.9,5.88,5.89,2400,0
BCEL.US,5,20211105,182000,5.89,5.91,5.89,5.91,600,0
BCEL.US,5,20211105,182500,5.91,5.92,5.8995,5.8995,1132,0
BCEL.US,5,20211105,183000,5.92,5.93,5.92,5.93,400,0
BCEL.US,5,20211105,183500,5.93,5.9341,5.93,5.9341,1310,0
BCEL.US,5,20211105,184000,5.93,5.93,5.89,5.89,1450,0
BCEL.US,5,20211105,184500,5.92,5.93,5.905,5.925,1478,0
BCEL.US,5,20211105,185000,5.931,5.931,5.92,5.92,1717,0
BCEL.US,5,20211105,185500,5.91,5.91,5.87,5.87,2874,0
BCEL.US,5,20211105,190000,5.9001,5.9001,5.9001,5.9001,160,0
BCEL.US,5,20211105,190500,5.9,5.91,5.87,5.88,41252,0
BCEL.US,5,20211105,191000,5.88,5.88,5.88,5.88,400,0
BCEL.US,5,20211105,191500,5.87,5.875,5.84,5.87,2969,0
BCEL.US,5,20211105,192000,5.86,5.8601,5.78,5.83,12834,0
BCEL.US,5,20211105,192500,5.83,5.85,5.83,5.84,800,0
BCEL.US,5,20211105,193000,5.84,5.84,5.83,5.83,400,0
BCEL.US,5,20211105,193500,5.84,5.85,5.84,5.845,1013,0
BCEL.US,5,20211105,194000,5.84,5.85,5.82,5.83,2509,0
BCEL.US,5,20211105,194500,5.83,5.84,5.83,5.835,585,0
BCEL.US,5,20211105,195000,5.83,5.83,5.82,5.83,1201,0
BCEL.US,5,20211105,195500,5.829,5.83,5.825,5.83,4007,0
