<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPRN.US,5,20211104,143000,30.25,30.3,30.25,30.3,1590,0
BPRN.US,5,20211104,143500,30.29,30.29,30.29,30.29,100,0
BPRN.US,5,20211104,144500,30.25,30.25,30.25,30.25,200,0
BPRN.US,5,20211104,150000,30.25,30.3,30.25,30.3,1100,0
BPRN.US,5,20211104,155500,30.3,30.33,30.3,30.33,558,0
BPRN.US,5,20211104,181000,30.25,30.25,30.25,30.25,100,0
BPRN.US,5,20211104,182500,30.12,30.125,30.1102,30.1102,999,0
BPRN.US,5,20211104,192500,30.12,30.15,30.12,30.13,302,0
BPRN.US,5,20211104,201000,30.13,30.13,30.13,30.13,100,0
BPRN.US,5,20211104,205500,30.16,30.16,30.15,30.15,2578,0
BPRN.US,5,20211105,143000,30.15,30.325,30.15,30.15,3800,0
BPRN.US,5,20211105,144000,30.075,30.08,30.075,30.08,200,0
BPRN.US,5,20211105,144500,30.15,30.36,30.09,30.2,686,0
BPRN.US,5,20211105,150000,30.2,30.2,30.2,30.2,100,0
BPRN.US,5,20211105,150500,30.3,30.3,30.3,30.3,100,0
BPRN.US,5,20211105,154000,30.22,30.22,30.2,30.2,600,0
BPRN.US,5,20211105,164000,30.15,30.15,30.12,30.12,400,0
BPRN.US,5,20211105,174000,30.255,30.255,30.255,30.255,500,0
BPRN.US,5,20211105,175500,30.11,30.11,30.11,30.11,558,0
BPRN.US,5,20211105,193500,30.4,30.4,30.4,30.4,100,0
BPRN.US,5,20211105,202000,30.17,30.17,30.17,30.17,100,0
BPRN.US,5,20211105,204000,30.11,30.313,30.11,30.11,1776,0
BPRN.US,5,20211105,205500,30.14,30.32,30.14,30.27,878,0
BPRN.US,5,20211108,153000,30.27,30.4,30.27,30.4,2390,0
BPRN.US,5,20211108,155000,30.4,30.4,30.4,30.4,300,0
BPRN.US,5,20211108,160500,30.3,30.3,30.3,30.3,100,0
BPRN.US,5,20211108,171000,30.3535,30.3535,30.3535,30.3535,100,0
BPRN.US,5,20211108,175500,30.35,30.35,30.35,30.35,200,0
