<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRPM.US,5,20211104,143000,10.31,10.35,10.295,10.295,5435,0
BRPM.US,5,20211104,143500,10.2987,10.31,10.18,10.2,56221,0
BRPM.US,5,20211104,144000,10.25,10.25,10.19,10.2309,10668,0
BRPM.US,5,20211104,144500,10.235,10.25,10.21,10.25,65358,0
BRPM.US,5,20211104,145000,10.22,10.235,10.2101,10.2201,4829,0
BRPM.US,5,20211104,145500,10.24,10.25,10.23,10.23,13607,0
BRPM.US,5,20211104,150000,10.235,10.25,10.22,10.23,10757,0
BRPM.US,5,20211104,150500,10.22,10.24,10.2101,10.2399,7049,0
BRPM.US,5,20211104,151000,10.243,10.2501,10.243,10.2501,13550,0
BRPM.US,5,20211104,151500,10.26,10.26,10.21,10.25,5313,0
BRPM.US,5,20211104,152000,10.2201,10.27,10.22,10.27,8728,0
BRPM.US,5,20211104,152500,10.2601,10.2798,10.25,10.25,11058,0
BRPM.US,5,20211104,153000,10.265,10.2779,10.25,10.27,1958,0
BRPM.US,5,20211104,153500,10.27,10.29,10.26,10.29,3423,0
BRPM.US,5,20211104,154000,10.29,10.29,10.29,10.29,1300,0
BRPM.US,5,20211104,154500,10.29,10.2988,10.26,10.26,10934,0
BRPM.US,5,20211104,155000,10.26,10.28,10.26,10.28,903,0
BRPM.US,5,20211104,160000,10.27,10.29,10.27,10.2702,2951,0
BRPM.US,5,20211104,160500,10.27,10.27,10.26,10.26,1820,0
BRPM.US,5,20211104,161000,10.27,10.27,10.27,10.27,425,0
BRPM.US,5,20211104,161500,10.27,10.2781,10.26,10.26,2635,0
BRPM.US,5,20211104,162000,10.26,10.26,10.26,10.26,130,0
BRPM.US,5,20211104,162500,10.2601,10.28,10.26,10.275,2592,0
BRPM.US,5,20211104,163000,10.275,10.275,10.27,10.27,515,0
BRPM.US,5,20211104,163500,10.26,10.27,10.255,10.255,13687,0
BRPM.US,5,20211104,164000,10.255,10.255,10.21,10.21,29517,0
BRPM.US,5,20211104,164500,10.2299,10.235,10.21,10.23,7301,0
BRPM.US,5,20211104,165000,10.2499,10.28,10.2499,10.2501,6371,0
BRPM.US,5,20211104,165500,10.25,10.25,10.25,10.25,986,0
BRPM.US,5,20211104,170000,10.25,10.2501,10.25,10.2501,1666,0
BRPM.US,5,20211104,170500,10.26,10.27,10.25,10.27,3730,0
BRPM.US,5,20211104,171000,10.2602,10.261,10.25,10.25,3150,0
BRPM.US,5,20211104,171500,10.25,10.2516,10.21,10.235,3408,0
BRPM.US,5,20211104,172000,10.21,10.25,10.21,10.21,9819,0
BRPM.US,5,20211104,172500,10.2493,10.25,10.21,10.25,3625,0
BRPM.US,5,20211104,173000,10.24,10.26,10.23,10.23,3505,0
BRPM.US,5,20211104,173500,10.2301,10.26,10.2301,10.245,1498,0
BRPM.US,5,20211104,174000,10.23,10.24,10.21,10.21,2647,0
BRPM.US,5,20211104,174500,10.225,10.23,10.2116,10.2116,6067,0
BRPM.US,5,20211104,175000,10.22,10.23,10.21,10.23,1957,0
BRPM.US,5,20211104,175500,10.21,10.23,10.21,10.23,589,0
BRPM.US,5,20211104,180000,10.21,10.2499,10.21,10.21,2064,0
BRPM.US,5,20211104,180500,10.21,10.23,10.21,10.229,1229,0
BRPM.US,5,20211104,181000,10.22,10.22,10.21,10.21,10127,0
BRPM.US,5,20211104,181500,10.21,10.2387,10.2,10.2387,15150,0
BRPM.US,5,20211104,182000,10.225,10.2481,10.22,10.2481,1931,0
