<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIGI.US,5,20211104,143500,143.001,143.001,143.001,143.001,100,0
CIGI.US,5,20211104,144000,143.29,143.73,142.84,143.64,2167,0
CIGI.US,5,20211104,145000,143.32,143.325,143.09,143.305,1096,0
CIGI.US,5,20211104,145500,143.09,143.09,143.09,143.09,800,0
CIGI.US,5,20211104,150000,143.22,143.22,142.94,142.94,200,0
CIGI.US,5,20211104,150500,143.26,143.52,143.24,143.25,1400,0
CIGI.US,5,20211104,151000,143.27,143.37,143.2,143.37,800,0
CIGI.US,5,20211104,151500,143.09,143.5,143.09,143.15,600,0
CIGI.US,5,20211104,152000,143.31,143.32,143.28,143.29,700,0
CIGI.US,5,20211104,152500,143.35,143.75,143.28,143.75,700,0
CIGI.US,5,20211104,153000,143.51,143.51,143.5,143.5,500,0
CIGI.US,5,20211104,153500,143.95,144.02,143.74,143.74,1200,0
CIGI.US,5,20211104,154000,144.02,144.02,143.79,143.79,500,0
CIGI.US,5,20211104,154500,143.71,143.71,143.71,143.71,200,0
CIGI.US,5,20211104,155500,143.38,143.38,143.175,143.175,932,0
CIGI.US,5,20211104,160000,142.63,142.63,142.63,142.63,300,0
CIGI.US,5,20211104,160500,142.95,142.95,142.95,142.95,100,0
CIGI.US,5,20211104,161000,142.64,142.64,142.62,142.62,300,0
CIGI.US,5,20211104,161500,142.58,142.58,142.58,142.58,100,0
CIGI.US,5,20211104,162000,142.37,142.37,142.35,142.35,200,0
CIGI.US,5,20211104,162500,142.3,142.3,142.3,142.3,100,0
CIGI.US,5,20211104,163000,142.49,142.49,142.49,142.49,200,0
CIGI.US,5,20211104,163500,142.9,143.17,142.9,143.17,300,0
CIGI.US,5,20211104,164000,142.77,142.965,142.77,142.965,400,0
CIGI.US,5,20211104,165500,142.82,142.82,142.82,142.82,100,0
CIGI.US,5,20211104,171500,143.71,143.77,143.71,143.77,300,0
CIGI.US,5,20211104,172000,143.81,143.81,143.81,143.81,100,0
CIGI.US,5,20211104,172500,143.62,143.75,143.62,143.75,200,0
CIGI.US,5,20211104,173000,143.61,143.69,143.42,143.42,600,0
CIGI.US,5,20211104,173500,143.14,143.14,143.14,143.14,100,0
CIGI.US,5,20211104,174000,143.35,143.39,143.35,143.39,200,0
CIGI.US,5,20211104,175000,143.1,143.225,143.1,143.225,200,0
CIGI.US,5,20211104,180000,143.12,143.13,143.11,143.11,500,0
CIGI.US,5,20211104,181000,143.12,143.145,143.12,143.145,200,0
CIGI.US,5,20211104,181500,143.46,143.47,143.46,143.47,200,0
CIGI.US,5,20211104,182000,143.88,143.88,143.88,143.88,100,0
CIGI.US,5,20211104,183000,144,144.06,144,144.06,400,0
CIGI.US,5,20211104,183500,143.81,143.81,143.56,143.56,300,0
CIGI.US,5,20211104,184000,143.525,143.55,143.4,143.55,400,0
CIGI.US,5,20211104,184500,143.53,143.53,143.53,143.53,200,0
CIGI.US,5,20211104,185500,143.48,143.49,143.48,143.49,400,0
CIGI.US,5,20211104,190000,143.35,143.35,143.31,143.31,300,0
CIGI.US,5,20211104,190500,143.43,143.43,143.43,143.43,400,0
CIGI.US,5,20211104,191000,143.44,143.44,143.44,143.44,100,0
