<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRAI.US,5,20211104,143000,105,105,103,103.3,8536,0
CRAI.US,5,20211104,143500,103.02,103.29,102.2,103.19,1509,0
CRAI.US,5,20211104,144500,101.22,102.49,99.8517,102.49,3426,0
CRAI.US,5,20211104,145000,99.89,101.1,99.39,99.39,700,0
CRAI.US,5,20211104,145500,99.7568,100.945,99.7568,100.1,2874,0
CRAI.US,5,20211104,150000,100.01,100.01,100,100,335,0
CRAI.US,5,20211104,150500,100.225,101.13,99.5825,101.13,2549,0
CRAI.US,5,20211104,151000,100.63,102.78,100.011,100.75,2661,0
CRAI.US,5,20211104,151500,102.79,102.79,102.27,102.27,600,0
CRAI.US,5,20211104,152000,101.98,102.78,101.98,102.78,592,0
CRAI.US,5,20211104,152500,102.16,102.16,100.75,101.922,2201,0
CRAI.US,5,20211104,153000,101.89,101.92,101.89,101.92,845,0
CRAI.US,5,20211104,153500,102.38,102.38,102.38,102.38,100,0
CRAI.US,5,20211104,154500,102.826,102.863,101.5,102.863,415,0
CRAI.US,5,20211104,155000,101.27,103,101.27,102.19,500,0
CRAI.US,5,20211104,155500,101.7,101.7,101.7,101.7,100,0
CRAI.US,5,20211104,160500,102.19,102.19,102.14,102.16,509,0
CRAI.US,5,20211104,161000,103.485,103.485,102.47,103.31,1051,0
CRAI.US,5,20211104,161500,103.22,103.98,103.22,103.98,1150,0
CRAI.US,5,20211104,162000,103.784,103.8,103.02,103.8,450,0
CRAI.US,5,20211104,162500,103.72,104.34,103.72,103.992,1050,0
CRAI.US,5,20211104,163000,104.26,104.88,104.26,104.45,900,0
CRAI.US,5,20211104,163500,104.674,105,104.674,105,1061,0
CRAI.US,5,20211104,164000,107.49,107.49,107.4,107.4,314,0
CRAI.US,5,20211104,164500,107.53,107.71,106.32,106.32,3131,0
CRAI.US,5,20211104,165000,106.14,107.51,106.12,107.51,892,0
CRAI.US,5,20211104,165500,107.325,107.325,105.78,105.78,1472,0
CRAI.US,5,20211104,170000,105.37,105.37,105.22,105.22,200,0
CRAI.US,5,20211104,170500,105.16,105.16,105.03,105.03,200,0
CRAI.US,5,20211104,171500,106.12,106.12,105.25,105.25,400,0
CRAI.US,5,20211104,172000,106.03,106.03,104.04,105.303,6440,0
CRAI.US,5,20211104,172500,103.66,104.21,103.43,104.17,500,0
CRAI.US,5,20211104,173000,103.655,104.96,103.12,103.33,1204,0
CRAI.US,5,20211104,173500,103.635,104.23,102,102,1474,0
CRAI.US,5,20211104,174000,102,102.05,100.51,102.05,1344,0
CRAI.US,5,20211104,174500,102.583,102.97,102.25,102.72,1442,0
CRAI.US,5,20211104,175000,102.25,102.25,102.1,102.1,1110,0
CRAI.US,5,20211104,175500,102.05,102.05,100.78,100.78,264,0
CRAI.US,5,20211104,180000,100.53,100.53,100.53,100.53,250,0
CRAI.US,5,20211104,180500,100.72,100.72,100.72,100.72,100,0
CRAI.US,5,20211104,181000,100.97,100.97,100.97,100.97,100,0
CRAI.US,5,20211104,181500,101.595,101.73,101.595,101.73,850,0
CRAI.US,5,20211104,182000,101.73,101.73,100.95,100.95,200,0
CRAI.US,5,20211104,182500,101.15,101.15,100.63,100.63,300,0
CRAI.US,5,20211104,183000,100.67,100.68,100.67,100.68,300,0
CRAI.US,5,20211104,183500,100.4,100.4,100.4,100.4,100,0
CRAI.US,5,20211104,184000,100.4,100.4,100.4,100.4,200,0
CRAI.US,5,20211104,184500,100.57,100.57,100.57,100.57,200,0
CRAI.US,5,20211104,185000,100.6,100.6,100.5,100.5,497,0
CRAI.US,5,20211104,190000,100.02,100.02,99.46,99.46,300,0
CRAI.US,5,20211104,190500,99.84,99.9,99.84,99.9,317,0
CRAI.US,5,20211104,191000,99.89,99.89,98.71,98.78,2740,0
CRAI.US,5,20211104,191500,98.92,99.03,97.26,98.5847,4139,0
CRAI.US,5,20211104,192000,98.08,98.08,97.54,97.83,600,0
CRAI.US,5,20211104,192500,97.8,98.5529,97.7,97.72,2800,0
CRAI.US,5,20211104,193000,97.76,98.373,97.76,97.79,513,0
CRAI.US,5,20211104,193500,97.7,98.01,97.7,98.01,300,0
CRAI.US,5,20211104,194000,97.5,97.5,96.77,96.77,2109,0
CRAI.US,5,20211104,194500,96.99,97.71,96.8701,96.8701,1044,0
CRAI.US,5,20211104,195000,97.85,97.98,97.51,97.51,775,0
CRAI.US,5,20211104,195500,98,98.065,97.69,97.69,2300,0
CRAI.US,5,20211104,200000,98.06,98.15,98.06,98.15,200,0
CRAI.US,5,20211104,200500,97.935,97.935,96.01,96.01,6578,0
CRAI.US,5,20211104,201000,97.1683,97.37,96.26,96.57,1030,0
CRAI.US,5,20211104,201500,96.52,96.52,93.59,93.98,3816,0
CRAI.US,5,20211104,202000,93.945,95.39,93.06,95.365,4148,0
CRAI.US,5,20211104,202500,95.53,95.56,95.04,95.04,986,0
CRAI.US,5,20211104,203000,95.445,95.96,95.23,95.96,1412,0
CRAI.US,5,20211104,203500,95.86,95.86,95.48,95.6,1480,0
CRAI.US,5,20211104,204000,95.6,96.29,95.6,96.29,1169,0
CRAI.US,5,20211104,204500,96.435,96.46,95.63,95.63,2492,0
CRAI.US,5,20211104,205000,95.905,96.43,93.65,96.43,4102,0
CRAI.US,5,20211104,205500,96.0534,96.16,95.79,96.05,8431,0
CRAI.US,5,20211105,143000,96.19,97.148,96.19,97.148,912,0
CRAI.US,5,20211105,143500,96.47,96.6215,95.5548,95.7686,2573,0
CRAI.US,5,20211105,144000,95.82,96.06,95.82,96.06,300,0
CRAI.US,5,20211105,144500,96.255,96.255,96.04,96.04,300,0
CRAI.US,5,20211105,145500,96,96.14,96,96.14,300,0
CRAI.US,5,20211105,150000,95.97,96.1,95.69,95.69,930,0
CRAI.US,5,20211105,150500,95.57,95.57,95.5,95.5,485,0
CRAI.US,5,20211105,151000,95.1,95.1,94.25,94.32,1314,0
CRAI.US,5,20211105,151500,94.08,94.19,94.075,94.19,510,0
CRAI.US,5,20211105,152000,94.64,94.64,94.0014,94.05,918,0
CRAI.US,5,20211105,152500,94.44,94.44,94.0373,94.0373,400,0
CRAI.US,5,20211105,153000,94.0301,94.1207,93.95,94.1207,1509,0
CRAI.US,5,20211105,153500,94.0001,94.0001,94.0001,94.0001,425,0
CRAI.US,5,20211105,154000,94.28,94.874,94.28,94.874,300,0
CRAI.US,5,20211105,154500,94.655,95.115,94.655,95.115,300,0
CRAI.US,5,20211105,155000,95.135,95.135,95.135,95.135,100,0
CRAI.US,5,20211105,155500,95.4099,95.4099,95.4099,95.4099,100,0
CRAI.US,5,20211105,160000,95.105,95.209,94.82,94.82,1270,0
CRAI.US,5,20211105,160500,95.36,95.36,94.955,94.955,551,0
CRAI.US,5,20211105,161000,95.4,95.43,95.36,95.43,1300,0
CRAI.US,5,20211105,161500,95.5,95.85,95.43,95.85,617,0
CRAI.US,5,20211105,162000,95.815,95.815,95.03,95.03,487,0
CRAI.US,5,20211105,163000,94.99,94.99,94.99,94.99,200,0
CRAI.US,5,20211105,163500,94.86,94.86,94.8,94.85,792,0
CRAI.US,5,20211105,164000,94.84,94.84,94.6174,94.6174,528,0
CRAI.US,5,20211105,164500,94.89,94.89,94.4004,94.4004,200,0
CRAI.US,5,20211105,165000,94.3,94.3,93.85,93.85,950,0
CRAI.US,5,20211105,165500,94.03,94.03,93.08,93.67,1854,0
CRAI.US,5,20211105,170000,93.43,93.43,93.4142,93.4142,350,0
CRAI.US,5,20211105,170500,92.42,93.255,92.31,93.255,1350,0
CRAI.US,5,20211105,172000,92.7,93.17,92.695,92.9,2484,0
CRAI.US,5,20211105,172500,93.18,93.49,93.18,93.49,200,0
CRAI.US,5,20211105,173000,93.425,93.44,93.32,93.44,1274,0
CRAI.US,5,20211105,173500,93.5,93.58,93.5,93.58,492,0
CRAI.US,5,20211105,174000,93.9,94.23,93.89,94.23,2236,0
CRAI.US,5,20211105,174500,94.245,94.245,94.245,94.245,100,0
CRAI.US,5,20211105,175500,93.85,93.85,93.6876,93.6876,300,0
CRAI.US,5,20211105,180000,93.81,93.81,93.81,93.81,100,0
CRAI.US,5,20211105,181500,93.07,93.5,93.07,93.5,400,0
CRAI.US,5,20211105,182000,93.214,93.41,93.214,93.41,208,0
CRAI.US,5,20211105,182500,92.95,92.95,92.95,92.95,200,0
CRAI.US,5,20211105,183000,92.995,92.995,92.81,92.915,2368,0
CRAI.US,5,20211105,183500,92.965,92.965,92.965,92.965,289,0
CRAI.US,5,20211105,184500,93.05,93.05,93.05,93.05,200,0
CRAI.US,5,20211105,185000,92.98,92.98,92.98,92.98,100,0
CRAI.US,5,20211105,185500,92.98,93.13,92.94,92.94,1522,0
CRAI.US,5,20211105,190000,92.83,92.83,92.83,92.83,100,0
CRAI.US,5,20211105,190500,92.9237,93.24,92.9237,93.24,379,0
CRAI.US,5,20211105,191000,93.1548,93.1548,93.1548,93.1548,525,0
CRAI.US,5,20211105,191500,93.62,93.62,93.56,93.56,200,0
CRAI.US,5,20211105,192000,92.905,92.96,92.905,92.96,200,0
CRAI.US,5,20211105,193500,93.52,93.68,93.1,93.13,700,0
CRAI.US,5,20211105,194000,93.285,93.285,92.965,92.965,1767,0
CRAI.US,5,20211105,194500,92.975,92.975,92.97,92.97,475,0
CRAI.US,5,20211105,195000,93.015,93.015,93,93,200,0
CRAI.US,5,20211105,195500,92.97,92.97,92.97,92.97,400,0
CRAI.US,5,20211105,200000,92.75,92.75,92.75,92.75,171,0
CRAI.US,5,20211105,200500,92.985,93,92.9652,93,750,0
CRAI.US,5,20211105,201000,92.795,92.795,92.795,92.795,100,0
CRAI.US,5,20211105,201500,92.59,92.59,92.59,92.59,100,0
CRAI.US,5,20211105,202000,92.65,92.75,92.645,92.75,669,0
CRAI.US,5,20211105,202500,92.595,92.595,92.595,92.595,100,0
CRAI.US,5,20211105,203000,92.59,92.59,92.59,92.59,100,0
CRAI.US,5,20211105,203500,92.75,92.75,92.7,92.7,300,0
CRAI.US,5,20211105,204000,92.845,92.845,92.845,92.845,100,0
CRAI.US,5,20211105,204500,92.74,92.94,92.74,92.93,418,0
