<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRESW.US,5,20211104,203000,0.210101,0.210101,0.210101,0.210101,100,0
CRESW.US,5,20211105,171000,0.23,0.23,0.23,0.23,800,0
CRESW.US,5,20211105,183500,0.23,0.23,0.23,0.23,2000,0
CRESW.US,5,20211105,205000,0.23,0.23,0.23,0.23,100,0
CRESW.US,5,20211109,153500,0.249899,0.25,0.249501,0.249501,5900,0
CRESW.US,5,20211109,154000,0.25,0.25,0.25,0.25,2300,0
CRESW.US,5,20211109,154500,0.249899,0.25,0.249501,0.249501,6700,0
CRESW.US,5,20211109,183000,0.230101,0.230101,0.23,0.23,1800,0
CRESW.US,5,20211109,205000,0.23,0.23,0.23,0.23,1600,0
CRESW.US,5,20211109,213500,0.23,0.23,0.23,0.23,2000,0
CRESW.US,5,20211109,214000,0.23,0.23,0.2299,0.2299,5782,0
CRESW.US,5,20211110,182500,0.235,0.24,0.235,0.24,5000,0
CRESW.US,5,20211110,191000,0.23,0.23,0.2,0.2,5090,0
CRESW.US,5,20211110,192500,0.2001,0.21,0.2001,0.21,2190,0
CRESW.US,5,20211110,201500,0.215,0.215,0.215,0.215,296,0
CRESW.US,5,20211110,202000,0.200101,0.200101,0.1999,0.1999,2854,0
CRESW.US,5,20211110,202500,0.209,0.209,0.209,0.209,1000,0
CRESW.US,5,20211110,204000,0.22,0.22,0.22,0.22,400,0
CRESW.US,5,20211110,204500,0.225,0.225,0.225,0.225,450,0
CRESW.US,5,20211111,154500,0.22,0.22,0.2198,0.2198,1710,0
CRESW.US,5,20211111,162000,0.23,0.23,0.23,0.23,1000,0
CRESW.US,5,20211111,162500,0.224999,0.23,0.224999,0.23,1000,0
CRESW.US,5,20211111,171000,0.22,0.22,0.22,0.22,3290,0
CRESW.US,5,20211111,204000,0.21,0.21,0.209899,0.209899,2000,0
CRESW.US,5,20211111,204500,0.21,0.21,0.21,0.21,1000,0
CRESW.US,5,20211111,205000,0.2001,0.2001,0.2001,0.2001,300,0
CRESW.US,5,20211112,164000,0.2001,0.2001,0.2001,0.2001,289,0
CRESW.US,5,20211115,172500,0.2112,0.2113,0.2112,0.2113,1000,0
CRESW.US,5,20211116,163500,0.205,0.205,0.2025,0.2025,200,0
CRESW.US,5,20211116,164000,0.2025,0.21,0.2025,0.204976,6700,0
CRESW.US,5,20211116,164500,0.21,0.21,0.21,0.21,300,0
CRESW.US,5,20211116,165000,0.211,0.211,0.1952,0.1952,900,0
CRESW.US,5,20211116,165500,0.203,0.211,0.203,0.211,2200,0
CRESW.US,5,20211117,182500,0.215499,0.215499,0.215499,0.215499,100,0
CRESW.US,5,20211117,195000,0.2162,0.2162,0.2162,0.2162,200,0
CRESW.US,5,20211117,200500,0.22,0.22,0.22,0.22,600,0
CRESW.US,5,20211117,201000,0.22,0.22,0.219899,0.219899,1200,0
CRESW.US,5,20211117,201500,0.22,0.22,0.22,0.22,600,0
CRESW.US,5,20211117,204000,0.22,0.22,0.2181,0.2181,3900,0
CRESW.US,5,20211117,204500,0.2163,0.22,0.2163,0.2181,1800,0
CRESW.US,5,20211117,205000,0.2163,0.22,0.2163,0.218728,300,0
CRESW.US,5,20211118,201500,0.2013,0.21,0.2013,0.21,2800,0
CRESW.US,5,20211118,204000,0.209899,0.209899,0.209899,0.209899,1000,0
CRESW.US,5,20211118,204500,0.21,0.21,0.209899,0.21,2800,0
CRESW.US,5,20211118,214000,0.2012,0.2013,0.195,0.195,8570,0
CRESW.US,5,20211118,215000,0.195,0.1951,0.195,0.1951,1400,0
CRESW.US,5,20211118,215500,0.195,0.1951,0.195,0.195,500,0
CRESW.US,5,20211119,153000,0.182,0.182,0.182,0.182,5000,0
CRESW.US,5,20211119,154000,0.24,0.24,0.24,0.24,100,0
CRESW.US,5,20211119,163000,0.211,0.211,0.211,0.211,600,0
CRESW.US,5,20211119,212000,0.21,0.21,0.21,0.21,100,0
CRESW.US,5,20211119,212500,0.208,0.208101,0.208,0.208041,1500,0
CRESW.US,5,20211122,160000,0.2,0.2,0.2,0.2,200,0
