<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYT.US,5,20211104,143000,17.48,17.48,17.48,17.48,100,0
CYT.US,5,20211104,143500,17.2,17.2,17.2,17.2,100,0
CYT.US,5,20211104,144000,17.32,17.32,17.32,17.32,100,0
CYT.US,5,20211104,150000,17.3,17.3,17.3,17.3,100,0
CYT.US,5,20211104,152000,17.15,17.15,17.15,17.15,100,0
CYT.US,5,20211104,152500,17.24,17.24,17.24,17.24,100,0
CYT.US,5,20211104,155000,17.265,17.265,17.265,17.265,100,0
CYT.US,5,20211104,162000,17.27,17.27,17.27,17.27,100,0
CYT.US,5,20211104,163500,17.185,17.185,17.185,17.185,100,0
CYT.US,5,20211104,165500,17.26,17.26,17.26,17.26,100,0
CYT.US,5,20211104,173500,17.245,17.245,17.245,17.245,100,0
CYT.US,5,20211104,174500,17.2325,17.245,17.2325,17.245,210,0
CYT.US,5,20211104,181000,17.1,17.1,17.1,17.1,100,0
CYT.US,5,20211104,181500,17.105,17.105,17.105,17.105,100,0
CYT.US,5,20211104,182000,17.07,17.07,17.06,17.06,200,0
CYT.US,5,20211104,182500,17,17.015,16.93,16.97,2360,0
CYT.US,5,20211104,183000,16.96,16.97,16.91,16.91,1059,0
CYT.US,5,20211104,185500,17.015,17.015,17.015,17.015,100,0
CYT.US,5,20211104,190500,16.94,16.94,16.94,16.94,100,0
CYT.US,5,20211104,193000,16.9,17.035,16.9,17.035,516,0
CYT.US,5,20211104,194000,17.04,17.04,17.04,17.04,100,0
CYT.US,5,20211104,201000,16.99,16.99,16.99,16.99,100,0
CYT.US,5,20211104,201500,17,17,17,17,100,0
CYT.US,5,20211104,202000,17,17,16.98,16.98,200,0
CYT.US,5,20211104,204500,17.185,17.4,17.185,17.39,500,0
CYT.US,5,20211104,205000,17.38,17.395,17.16,17.16,500,0
CYT.US,5,20211104,205500,17.08,17.19,17.01,17.12,1681,0
CYT.US,5,20211105,143000,17.43,17.43,17.43,17.43,167,0
CYT.US,5,20211105,143500,17.635,17.635,17.0667,17.0667,277,0
CYT.US,5,20211105,144000,17.665,17.665,17.665,17.665,100,0
CYT.US,5,20211105,145000,17.185,17.185,17.185,17.185,100,0
CYT.US,5,20211105,145500,17.1,17.1,17.01,17.01,300,0
CYT.US,5,20211105,151000,17.235,17.235,17.0794,17.0794,350,0
CYT.US,5,20211105,161000,17.38,17.45,17.38,17.45,200,0
CYT.US,5,20211105,161500,17.436,17.455,17.42,17.455,1700,0
CYT.US,5,20211105,162500,17.39,17.44,17.39,17.44,225,0
CYT.US,5,20211105,163500,17.49,17.49,17.41,17.41,200,0
CYT.US,5,20211105,165000,17.45,17.45,17.45,17.45,100,0
CYT.US,5,20211105,170500,17.45,17.5,16.95,16.95,2095,0
CYT.US,5,20211105,171000,17.02,17.26,17.02,17.26,500,0
CYT.US,5,20211105,172000,17.13,17.13,17.13,17.13,100,0
CYT.US,5,20211105,172500,17.13,17.16,17.12,17.12,900,0
CYT.US,5,20211105,173000,17.08,17.12,16.92,17,1809,0
CYT.US,5,20211105,173500,17,17.02,17,17.02,200,0
CYT.US,5,20211105,175000,17.01,17.01,17,17,200,0
CYT.US,5,20211105,175500,17,17,17,17,100,0
CYT.US,5,20211105,180500,17.08,17.08,16.96,16.96,200,0
CYT.US,5,20211105,181500,16.9201,16.9201,16.9201,16.9201,150,0
CYT.US,5,20211105,190500,17.16,17.16,17.16,17.16,500,0
CYT.US,5,20211105,191000,17.205,17.205,17.17,17.17,300,0
CYT.US,5,20211105,191500,17.25,17.25,17.18,17.21,1100,0
CYT.US,5,20211105,192000,17.17,17.17,17.03,17.03,700,0
CYT.US,5,20211105,193500,16.99,16.99,16.65,16.65,1622,0
CYT.US,5,20211105,194000,16.66,16.86,16.59,16.86,1400,0
CYT.US,5,20211105,195000,16.88,16.88,16.88,16.88,100,0
CYT.US,5,20211105,200000,16.85,16.85,16.85,16.85,100,0
CYT.US,5,20211105,200500,16.88,16.88,16.81,16.81,433,0
CYT.US,5,20211105,201000,16.91,16.92,16.82,16.875,1100,0
CYT.US,5,20211105,201500,16.82,16.82,16.7,16.7,700,0
CYT.US,5,20211105,202000,16.75,16.865,16.67,16.865,1100,0
CYT.US,5,20211105,203000,16.96,16.97,16.93,16.93,500,0
CYT.US,5,20211105,203500,16.87,16.87,16.75,16.75,1226,0
CYT.US,5,20211105,204000,16.75,16.75,16.58,16.75,500,0
CYT.US,5,20211105,204500,16.71,16.71,16.71,16.71,400,0
CYT.US,5,20211105,205000,16.75,16.75,16.75,16.75,200,0
CYT.US,5,20211105,205500,16.75,16.78,16.75,16.77,4775,0
CYT.US,5,20211108,153000,17.5,17.5,17.5,17.5,100,0
CYT.US,5,20211108,161000,16.8702,16.8702,16.8702,16.8702,255,0
CYT.US,5,20211108,173500,16.8337,16.8337,16.8337,16.8337,200,0
CYT.US,5,20211108,174000,16.9974,16.9974,16.9974,16.9974,140,0
CYT.US,5,20211108,175000,16.84,16.955,16.84,16.955,300,0
CYT.US,5,20211108,180000,16.86,16.86,16.81,16.81,300,0
CYT.US,5,20211108,182000,17.025,17.025,17.025,17.025,100,0
CYT.US,5,20211108,185000,16.8,16.91,16.8,16.91,300,0
CYT.US,5,20211108,191500,16.88,16.88,16.88,16.88,200,0
CYT.US,5,20211108,192000,17.04,17.04,17.025,17.025,400,0
CYT.US,5,20211108,192500,17.025,17.025,16.98,16.98,500,0
CYT.US,5,20211108,193000,17.025,17.025,17.025,17.025,200,0
CYT.US,5,20211108,202500,16.93,16.95,16.76,16.76,1600,0
CYT.US,5,20211108,203000,16.805,16.805,16.68,16.68,500,0
CYT.US,5,20211108,204000,16.7,16.7,16.7,16.7,100,0
CYT.US,5,20211108,211000,16.8,16.8,16.7,16.7,500,0
CYT.US,5,20211108,212500,16.7,16.7,16.68,16.68,300,0
CYT.US,5,20211108,215000,16.69,16.81,16.68,16.81,500,0
CYT.US,5,20211108,215500,16.82,16.9,16.72,16.9,4221,0
CYT.US,5,20211109,153000,16.9,16.9,16.9,16.9,199,0
CYT.US,5,20211109,154500,16.83,16.83,16.83,16.83,100,0
CYT.US,5,20211109,155000,16.74,16.74,16.74,16.74,300,0
CYT.US,5,20211109,160000,16.615,16.68,16.615,16.625,8323,0
CYT.US,5,20211109,160500,16.625,16.64,16.6,16.6,1001,0
CYT.US,5,20211109,161000,16.56,16.62,16.55,16.575,6609,0
CYT.US,5,20211109,161500,16.64,16.67,16.64,16.67,200,0
CYT.US,5,20211109,162000,16.79,16.79,16.79,16.79,100,0
CYT.US,5,20211109,162500,16.5,16.78,16.5,16.78,200,0
CYT.US,5,20211109,164000,16.73,16.735,16.67,16.67,472,0
CYT.US,5,20211109,165500,16.705,16.705,16.705,16.705,123,0
CYT.US,5,20211109,170000,16.705,16.705,16.705,16.705,200,0
