<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRAF.US,5,20211104,170500,32.645,32.645,32.645,32.645,100,0
FRAF.US,5,20211104,194000,32.3002,32.3002,32.3002,32.3002,200,0
FRAF.US,5,20211105,172500,32.35,32.3501,32.35,32.3501,200,0
FRAF.US,5,20211105,204000,32.9216,32.9216,32.9216,32.9216,1000,0
FRAF.US,5,20211105,205500,32.2,32.2,32.2,32.2,100,0
FRAF.US,5,20211108,154500,32.6,32.6,32.6,32.6,100,0
FRAF.US,5,20211108,171500,32.2079,32.2079,32.2079,32.2079,170,0
FRAF.US,5,20211108,182500,32.9374,32.9374,32.9374,32.9374,700,0
FRAF.US,5,20211108,194000,32.94,32.9888,32.31,32.31,380,0
FRAF.US,5,20211108,213000,32.23,32.23,32.23,32.23,100,0
FRAF.US,5,20211110,215000,31.78,31.79,31.78,31.79,629,0
FRAF.US,5,20211110,215500,32.16,32.16,32.16,32.16,300,0
FRAF.US,5,20211111,153500,31.85,31.85,31.85,31.85,100,0
FRAF.US,5,20211111,154000,31.85,31.85,31.85,31.85,100,0
FRAF.US,5,20211111,155000,31.85,31.85,31.85,31.85,100,0
FRAF.US,5,20211111,160500,31.86,31.86,31.86,31.86,100,0
FRAF.US,5,20211111,161000,31.85,31.85,31.85,31.85,100,0
FRAF.US,5,20211111,162000,31.83,31.83,31.83,31.83,200,0
FRAF.US,5,20211111,163000,31.84,31.84,31.84,31.84,100,0
FRAF.US,5,20211111,175500,31.85,32.47,31.85,32.47,1200,0
FRAF.US,5,20211111,212000,32.25,32.25,32.25,32.25,100,0
FRAF.US,5,20211111,212500,32.11,32.11,32.11,32.11,100,0
FRAF.US,5,20211111,215500,31.815,31.85,31.815,31.85,200,0
FRAF.US,5,20211112,174500,31.87,31.871,31.87,31.871,600,0
FRAF.US,5,20211112,184000,32.3,32.3,32.3,32.3,100,0
FRAF.US,5,20211112,190500,31.87,31.87,31.87,31.87,219,0
FRAF.US,5,20211112,193000,32.25,32.25,32.25,32.25,100,0
FRAF.US,5,20211112,205500,32.21,32.21,32.21,32.21,200,0
FRAF.US,5,20211112,214000,31.83,31.85,31.83,31.85,200,0
FRAF.US,5,20211112,215000,31.85,31.85,31.85,31.85,100,0
FRAF.US,5,20211112,215500,32.22,32.22,32.22,32.22,248,0
FRAF.US,5,20211115,153000,32.22,32.22,32.22,32.22,105,0
FRAF.US,5,20211115,155000,32.22,32.22,32.22,32.22,187,0
FRAF.US,5,20211115,181500,32.25,32.25,32.25,32.25,100,0
FRAF.US,5,20211115,205500,32.1,32.1,32.1,32.1,100,0
FRAF.US,5,20211116,153000,31.8078,31.8078,31.8078,31.8078,540,0
FRAF.US,5,20211116,153500,32.25,32.25,32.25,32.25,100,0
FRAF.US,5,20211116,165500,32.25,32.25,32.24,32.25,500,0
FRAF.US,5,20211116,185500,32.98,32.98,32.98,32.98,100,0
FRAF.US,5,20211116,193000,32.95,32.95,32.95,32.95,100,0
FRAF.US,5,20211116,202000,32.94,32.94,32.94,32.94,100,0
FRAF.US,5,20211116,211500,32.92,32.92,32.92,32.92,100,0
FRAF.US,5,20211117,210500,33,33,33,33,180,0
FRAF.US,5,20211117,211000,32.65,33,32.65,33,200,0
FRAF.US,5,20211117,215000,33.03,33.03,33.03,33.03,100,0
FRAF.US,5,20211117,215500,32.65,32.65,32.65,32.65,100,0
FRAF.US,5,20211118,155500,32.7,32.7,32.7,32.7,200,0
FRAF.US,5,20211118,174000,33.63,33.63,32.68,32.68,200,0
FRAF.US,5,20211118,191000,33.98,33.98,33.98,33.98,100,0
FRAF.US,5,20211118,204000,34,34,32.7,32.7,200,0
