<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBT.US,5,20211104,143000,35.35,37.47,35.34,37.31,128998,0
GBT.US,5,20211104,143500,37.31,39.48,37.1,39.48,26402,0
GBT.US,5,20211104,144000,39.25,40.58,39.1901,40.52,54971,0
GBT.US,5,20211104,144500,40.41,40.69,38.51,38.7746,37266,0
GBT.US,5,20211104,145000,38.69,39.405,38.69,39.31,19933,0
GBT.US,5,20211104,145500,39.22,39.5,38.69,38.82,35983,0
GBT.US,5,20211104,150000,38.9,39.3,38.86,39.255,21262,0
GBT.US,5,20211104,150500,39.15,39.285,38.72,38.775,20849,0
GBT.US,5,20211104,151000,38.77,39.11,38.77,39.11,7563,0
GBT.US,5,20211104,151500,39,39.11,38.585,38.68,9060,0
GBT.US,5,20211104,152000,38.74,38.79,38.42,38.59,10180,0
GBT.US,5,20211104,152500,38.65,38.71,38.41,38.43,16723,0
GBT.US,5,20211104,153000,38.38,38.44,38.24,38.3,6600,0
GBT.US,5,20211104,153500,38.27,38.355,38.21,38.25,26400,0
GBT.US,5,20211104,154000,38.21,38.36,38.13,38.24,5955,0
GBT.US,5,20211104,154500,38.23,38.275,37.69,37.86,34282,0
GBT.US,5,20211104,155000,37.88,37.96,37.35,37.35,17646,0
GBT.US,5,20211104,155500,37.37,37.49,37.27,37.295,14715,0
GBT.US,5,20211104,160000,37.32,37.32,36.82,36.86,19298,0
GBT.US,5,20211104,160500,36.845,36.845,36.62,36.63,7990,0
GBT.US,5,20211104,161000,36.62,36.92,36.51,36.65,21420,0
GBT.US,5,20211104,161500,36.65,36.83,36.65,36.71,20243,0
GBT.US,5,20211104,162000,36.735,36.81,36.645,36.65,13791,0
GBT.US,5,20211104,162500,36.71,37.13,36.68,37.13,23721,0
GBT.US,5,20211104,163000,37.17,37.5,37.015,37.015,19771,0
GBT.US,5,20211104,163500,37.01,37.675,37,37.675,23187,0
GBT.US,5,20211104,164000,37.64,37.655,37.48,37.525,29078,0
GBT.US,5,20211104,164500,37.525,37.75,37.5,37.71,22965,0
GBT.US,5,20211104,165000,37.73,37.8599,37.63,37.7,39325,0
GBT.US,5,20211104,165500,37.67,37.7199,37.6,37.71,8697,0
GBT.US,5,20211104,170000,37.66,37.675,37.4,37.46,15209,0
GBT.US,5,20211104,170500,37.41,37.58,37.41,37.56,7401,0
GBT.US,5,20211104,171000,37.55,37.67,37.54,37.65,7225,0
GBT.US,5,20211104,171500,37.64,37.65,37.59,37.605,7070,0
GBT.US,5,20211104,172000,37.605,37.685,37.565,37.65,7153,0
GBT.US,5,20211104,172500,37.65,37.65,37.56,37.63,7605,0
GBT.US,5,20211104,173000,37.63,37.669,37.55,37.58,6813,0
GBT.US,5,20211104,173500,37.56,37.62,37.51,37.585,5807,0
GBT.US,5,20211104,174000,37.6,37.75,37.565,37.61,4742,0
GBT.US,5,20211104,174500,37.61,37.665,37.5,37.54,5782,0
GBT.US,5,20211104,175000,37.54,37.625,37.52,37.61,4413,0
GBT.US,5,20211104,175500,37.61,37.63,37.53,37.555,4000,0
GBT.US,5,20211104,180000,37.53,37.79,37.52,37.78,6344,0
GBT.US,5,20211104,180500,37.79,37.91,37.72,37.905,8712,0
GBT.US,5,20211104,181000,37.91,37.975,37.9,37.955,5169,0
GBT.US,5,20211104,181500,37.94,37.96,37.89,37.94,6750,0
GBT.US,5,20211104,182000,37.93,37.95,37.87,37.92,16395,0
GBT.US,5,20211104,182500,37.925,38,37.91,38,6643,0
GBT.US,5,20211104,183000,38,38.09,38,38.085,7612,0
GBT.US,5,20211104,183500,38.09,38.285,38.09,38.285,6193,0
GBT.US,5,20211104,184000,38.285,38.49,38.285,38.46,6718,0
GBT.US,5,20211104,184500,38.47,38.82,38.46,38.82,43475,0
GBT.US,5,20211104,185000,38.83,38.97,38.8,38.965,26769,0
GBT.US,5,20211104,185500,38.965,39.2,38.95,39.03,19967,0
GBT.US,5,20211104,190000,39,39.12,38.975,39.01,17239,0
GBT.US,5,20211104,190500,39.01,39.12,38.99,39.05,9347,0
GBT.US,5,20211104,191000,39.025,39.11,38.84,38.8601,12260,0
GBT.US,5,20211104,191500,38.88,39.1,38.87,39.05,17197,0
GBT.US,5,20211104,192000,39.06,39.075,38.88,38.975,8995,0
GBT.US,5,20211104,192500,39,39.055,38.89,38.95,15200,0
GBT.US,5,20211104,193000,38.96,39.15,38.62,38.74,21992,0
GBT.US,5,20211104,193500,38.78,39.01,38.74,38.94,14700,0
GBT.US,5,20211104,194000,38.93,39.02,38.81,38.99,12080,0
GBT.US,5,20211104,194500,38.995,39.13,38.8701,39.065,16580,0
GBT.US,5,20211104,195000,39.065,39.175,38.89,39.0404,17755,0
GBT.US,5,20211104,195500,39.06,39.1908,39.03,39.07,12388,0
GBT.US,5,20211104,200000,39.07,39.195,39.0301,39.175,14111,0
GBT.US,5,20211104,200500,39.18,39.18,38.9801,39.07,11769,0
GBT.US,5,20211104,201000,39.04,39.17,39.0001,39.15,11066,0
GBT.US,5,20211104,201500,39.16,39.19,39.1,39.17,12675,0
GBT.US,5,20211104,202000,39.17,39.49,39.16,39.465,22172,0
GBT.US,5,20211104,202500,39.465,39.6594,39.465,39.5601,18532,0
GBT.US,5,20211104,203000,39.57,39.755,39.4,39.43,21021,0
GBT.US,5,20211104,203500,39.39,39.41,39.26,39.275,23744,0
GBT.US,5,20211104,204000,39.265,39.4,39.255,39.37,18184,0
GBT.US,5,20211104,204500,39.37,39.38,39.2201,39.3,40275,0
GBT.US,5,20211104,205000,39.32,39.4,39.26,39.38,61269,0
GBT.US,5,20211104,205500,39.37,39.4,39.245,39.37,158657,0
GBT.US,5,20211105,143000,34.45,35.94,34.3,34.935,106088,0
GBT.US,5,20211105,143500,34.8,34.935,34.32,34.435,44815,0
GBT.US,5,20211105,144000,34.4,34.95,34.17,34.64,133186,0
GBT.US,5,20211105,144500,34.66,35.1,34.65,34.875,115822,0
GBT.US,5,20211105,145000,34.88,36.21,34.83,35.85,83148,0
GBT.US,5,20211105,145500,35.8,36.5,35.77,36.5,36236,0
GBT.US,5,20211105,150000,36.5,36.96,36.3,36.53,41738,0
GBT.US,5,20211105,150500,36.53,36.79,36.25,36.28,41371,0
GBT.US,5,20211105,151000,36.34,36.42,36,36.24,29925,0
GBT.US,5,20211105,151500,36.24,37.03,36.22,37.01,29216,0
GBT.US,5,20211105,152000,37.07,37.44,36.75,37.3,25137,0
GBT.US,5,20211105,152500,37.425,37.71,37.175,37.6,18472,0
GBT.US,5,20211105,153000,37.59,37.735,37.35,37.595,27468,0
GBT.US,5,20211105,153500,37.595,37.64,37.31,37.315,19930,0
GBT.US,5,20211105,154000,37.32,37.52,37.2,37.52,28064,0
GBT.US,5,20211105,154500,37.52,37.77,37.36,37.36,30815,0
GBT.US,5,20211105,155000,37.36,37.36,36.62,36.8,20815,0
GBT.US,5,20211105,155500,36.755,36.78,35.99,36.25,29903,0
GBT.US,5,20211105,160000,36.25,36.33,35.67,35.915,17406,0
GBT.US,5,20211105,160500,35.89,35.91,35.52,35.54,17532,0
GBT.US,5,20211105,161000,35.55,35.94,35.535,35.93,15140,0
GBT.US,5,20211105,161500,35.91,36.08,35.73,35.87,12174,0
GBT.US,5,20211105,162000,35.84,35.86,35.57,35.705,14902,0
GBT.US,5,20211105,162500,35.665,35.72,35.4,35.4,13564,0
GBT.US,5,20211105,163000,35.45,35.47,35.39,35.45,4849,0
GBT.US,5,20211105,163500,35.45,35.78,35.2601,35.69,15791,0
GBT.US,5,20211105,164000,35.69,35.69,35.4201,35.48,15290,0
GBT.US,5,20211105,164500,35.5,35.63,35.48,35.5,10006,0
GBT.US,5,20211105,165000,35.525,35.525,35.25,35.26,15629,0
GBT.US,5,20211105,165500,35.22,35.31,35.13,35.15,18438,0
GBT.US,5,20211105,170000,35.17,35.42,35.11,35.32,23493,0
GBT.US,5,20211105,170500,35.32,35.32,34.85,35.07,69155,0
GBT.US,5,20211105,171000,35.075,35.22,35.07,35.19,6781,0
GBT.US,5,20211105,171500,35.25,35.3,35.22,35.25,7204,0
GBT.US,5,20211105,172000,35.25,35.255,35.11,35.17,6753,0
GBT.US,5,20211105,172500,35.17,35.44,35.12,35.42,19236,0
GBT.US,5,20211105,173000,35.42,35.77,35.42,35.745,13577,0
GBT.US,5,20211105,173500,35.73,35.935,35.67,35.84,20356,0
GBT.US,5,20211105,174000,35.85,35.85,35.57,35.72,9793,0
GBT.US,5,20211105,174500,35.735,35.92,35.7,35.74,5795,0
GBT.US,5,20211105,175000,35.74,35.97,35.74,35.875,20315,0
GBT.US,5,20211105,175500,35.9,35.99,35.83,35.9004,14182,0
GBT.US,5,20211105,180000,35.935,36.04,35.9,35.925,20724,0
GBT.US,5,20211105,180500,35.94,36.09,35.82,35.885,18442,0
GBT.US,5,20211105,181000,35.82,35.95,35.82,35.835,36114,0
GBT.US,5,20211105,181500,35.85,36,35.84,35.92,7471,0
GBT.US,5,20211105,182000,35.9,35.9,35.87,35.875,3623,0
GBT.US,5,20211105,182500,35.875,35.875,35.45,35.4899,12218,0
GBT.US,5,20211105,183000,35.48,35.62,35.48,35.5801,6014,0
GBT.US,5,20211105,183500,35.59,35.75,35.59,35.74,9970,0
GBT.US,5,20211105,184000,35.715,35.8329,35.6501,35.6501,17340,0
GBT.US,5,20211105,184500,35.68,35.68,35.54,35.64,6034,0
GBT.US,5,20211105,185000,35.6201,35.65,35.42,35.425,7606,0
GBT.US,5,20211105,185500,35.429,35.55,35.429,35.52,12447,0
GBT.US,5,20211105,190000,35.495,35.495,35.14,35.23,18212,0
GBT.US,5,20211105,190500,35.255,35.4511,35.2308,35.4317,7372,0
GBT.US,5,20211105,191000,35.4006,35.54,35.31,35.51,14143,0
GBT.US,5,20211105,191500,35.515,35.67,35.42,35.65,13325,0
GBT.US,5,20211105,192000,35.66,35.7,35.51,35.54,10088,0
GBT.US,5,20211105,192500,35.54,35.7,35.52,35.63,10517,0
GBT.US,5,20211105,193000,35.635,35.74,35.57,35.64,14641,0
GBT.US,5,20211105,193500,35.57,35.78,35.4901,35.665,212052,0
GBT.US,5,20211105,194000,35.66,35.67,35.47,35.49,26296,0
GBT.US,5,20211105,194500,35.49,35.58,35.4,35.425,25330,0
GBT.US,5,20211105,195000,35.3901,35.49,35.3901,35.49,6021,0
GBT.US,5,20211105,195500,35.49,35.6,35.43,35.57,9106,0
GBT.US,5,20211105,200000,35.58,35.59,35.36,35.38,23087,0
GBT.US,5,20211105,200500,35.38,35.62,35.37,35.6184,9574,0
GBT.US,5,20211105,201000,35.62,35.71,35.5,35.53,15997,0
GBT.US,5,20211105,201500,35.55,35.58,35.505,35.565,6790,0
GBT.US,5,20211105,202000,35.55,35.58,35.4605,35.55,16540,0
GBT.US,5,20211105,202500,35.56,35.56,35.44,35.45,9007,0
GBT.US,5,20211105,203000,35.46,35.63,35.46,35.585,17580,0
GBT.US,5,20211105,203500,35.6,35.72,35.51,35.56,42553,0
GBT.US,5,20211105,204000,35.545,35.63,35.4401,35.53,29858,0
GBT.US,5,20211105,204500,35.53,35.53,35.42,35.455,19866,0
GBT.US,5,20211105,205000,35.46,35.7,35.46,35.565,53592,0
GBT.US,5,20211105,205500,35.565,35.565,35.17,35.35,253129,0
GBT.US,5,20211108,153000,35.07,35.88,34.79,35.15,52079,0
GBT.US,5,20211108,153500,35.15,35.3,34.76,35.045,23840,0
GBT.US,5,20211108,154000,35.0562,35.06,34.52,34.685,6937,0
GBT.US,5,20211108,154500,34.74,35.25,34.74,35.23,7943,0
GBT.US,5,20211108,155000,35.275,35.69,35.12,35.15,28385,0
GBT.US,5,20211108,155500,35.19,35.19,34.79,34.9117,20931,0
GBT.US,5,20211108,160000,34.94,35.06,34.71,34.71,27093,0
GBT.US,5,20211108,160500,34.73,34.9,34.65,34.9,5883,0
GBT.US,5,20211108,161000,34.85,34.915,34.58,34.58,10138,0
GBT.US,5,20211108,161500,34.63,34.86,34.62,34.735,6878,0
GBT.US,5,20211108,162000,34.78,34.96,34.685,34.82,19103,0
GBT.US,5,20211108,162500,34.8,34.85,34.77,34.8,12891,0
GBT.US,5,20211108,163000,34.805,35.09,34.76,34.86,25864,0
GBT.US,5,20211108,163500,34.85,34.969,34.69,34.7,13532,0
GBT.US,5,20211108,164000,34.68,34.7,34.56,34.66,6696,0
GBT.US,5,20211108,164500,34.665,34.81,34.65,34.76,6306,0
GBT.US,5,20211108,165000,34.745,34.91,34.68,34.83,7597,0
GBT.US,5,20211108,165500,34.78,34.94,34.715,34.94,11179,0
GBT.US,5,20211108,170000,34.905,35.16,34.86,34.92,9410,0
GBT.US,5,20211108,170500,34.965,35.075,34.9268,34.94,8619,0
GBT.US,5,20211108,171000,35,35.07,34.98,35,9685,0
GBT.US,5,20211108,171500,34.995,35.05,34.935,34.9711,15734,0
GBT.US,5,20211108,172000,34.95,35.05,34.95,34.99,7788,0
GBT.US,5,20211108,172500,35.005,35.245,34.995,35.1,36800,0
GBT.US,5,20211108,173000,35.1,35.1,34.9246,34.97,13079,0
GBT.US,5,20211108,173500,35,35.1,34.8566,34.96,7993,0
GBT.US,5,20211108,174000,35,35.12,35,35.12,5171,0
GBT.US,5,20211108,174500,35.095,35.12,35.07,35.1,5189,0
GBT.US,5,20211108,175000,35.07,35.185,35.04,35.1204,4950,0
GBT.US,5,20211108,175500,35.1508,35.26,35.105,35.26,4547,0
GBT.US,5,20211108,180000,35.27,35.41,35.2301,35.32,6445,0
GBT.US,5,20211108,180500,35.31,35.38,35.28,35.28,3205,0
GBT.US,5,20211108,181000,35.25,35.29,34.925,34.94,10708,0
GBT.US,5,20211108,181500,34.98,35.04,34.9,35,6851,0
GBT.US,5,20211108,182000,35,35.04,34.92,35.025,7512,0
GBT.US,5,20211108,182500,35,35.04,34.97,35,7708,0
