<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSAQW.US,5,20211104,162500,0.621,0.621,0.62,0.62,3100,0
GSAQW.US,5,20211104,164000,0.62,0.62,0.62,0.62,100,0
GSAQW.US,5,20211104,164500,0.63,0.63,0.63,0.63,1000,0
GSAQW.US,5,20211104,165000,0.62,0.62,0.62,0.62,100,0
GSAQW.US,5,20211104,171500,0.62,0.62,0.62,0.62,2368,0
GSAQW.US,5,20211104,172000,0.62,0.62,0.62,0.62,200,0
GSAQW.US,5,20211104,172500,0.62,0.62,0.62,0.62,100,0
GSAQW.US,5,20211104,182500,0.6299,0.6299,0.62,0.62,15500,0
GSAQW.US,5,20211104,183000,0.62,0.62,0.62,0.62,400,0
GSAQW.US,5,20211104,183500,0.62,0.62,0.62,0.62,400,0
GSAQW.US,5,20211104,184000,0.62,0.62,0.62,0.62,400,0
GSAQW.US,5,20211104,185000,0.62,0.62,0.62,0.62,10100,0
GSAQW.US,5,20211104,185500,0.62,0.62,0.62,0.62,500,0
GSAQW.US,5,20211104,190000,0.62,0.62,0.62,0.62,500,0
GSAQW.US,5,20211104,195500,0.62,0.62,0.62,0.62,40676,0
GSAQW.US,5,20211104,205000,0.62,0.62,0.62,0.62,13900,0
GSAQW.US,5,20211104,205500,0.62,0.62,0.62,0.62,26500,0
GSAQW.US,5,20211105,150500,0.621,0.621,0.62,0.62,3905,0
GSAQW.US,5,20211105,151000,0.62,0.62,0.62,0.62,3130,0
GSAQW.US,5,20211105,160500,0.6339,0.6339,0.62,0.62,300,0
GSAQW.US,5,20211105,164500,0.6477,0.6477,0.6477,0.6477,100,0
GSAQW.US,5,20211105,170500,0.62,0.62,0.62,0.62,1076,0
GSAQW.US,5,20211105,171000,0.62,0.62,0.62,0.62,1100,0
GSAQW.US,5,20211105,180500,0.6209,0.6209,0.6209,0.6209,2000,0
GSAQW.US,5,20211105,181000,0.62,0.62,0.62,0.62,300,0
GSAQW.US,5,20211105,184000,0.62,0.62,0.62,0.62,100,0
GSAQW.US,5,20211105,201500,0.62,0.62,0.5921,0.5921,3858,0
GSAQW.US,5,20211105,204000,0.5834,0.5834,0.5834,0.5834,100,0
GSAQW.US,5,20211108,183500,0.542,0.542,0.542,0.542,100,0
GSAQW.US,5,20211108,192000,0.5908,0.610051,0.59,0.610051,18550,0
GSAQW.US,5,20211108,192500,0.610051,0.610051,0.610051,0.610051,400,0
GSAQW.US,5,20211108,193000,0.610051,0.610051,0.610051,0.610051,2000,0
GSAQW.US,5,20211108,193500,0.610051,0.610051,0.610051,0.610051,100,0
GSAQW.US,5,20211109,154000,0.6001,0.6001,0.6,0.6,4758,0
GSAQW.US,5,20211109,193000,0.609899,0.609899,0.6024,0.6024,1200,0
GSAQW.US,5,20211109,194000,0.6097,0.61,0.6034,0.6034,1200,0
GSAQW.US,5,20211110,172000,0.625,0.625,0.625,0.625,100,0
GSAQW.US,5,20211110,193500,0.625,0.625,0.61,0.61,200,0
GSAQW.US,5,20211111,163000,0.62,0.62,0.62,0.62,2000,0
GSAQW.US,5,20211111,190500,0.63,0.63,0.62984,0.62984,200,0
GSAQW.US,5,20211111,191000,0.629,0.629,0.629,0.629,658,0
GSAQW.US,5,20211112,194500,0.625,0.625,0.6,0.6,8300,0
GSAQW.US,5,20211115,153000,0.61,0.61,0.61,0.61,900,0
GSAQW.US,5,20211115,182000,0.611,0.611,0.611,0.611,100,0
GSAQW.US,5,20211115,194500,0.611,0.611,0.61,0.61,800,0
GSAQW.US,5,20211115,202000,0.61,0.61,0.61,0.61,200,0
GSAQW.US,5,20211115,204500,0.61,0.614478,0.61,0.614478,5200,0
GSAQW.US,5,20211115,215500,0.61,0.61,0.61,0.61,622,0
GSAQW.US,5,20211116,215000,0.618,0.62,0.618,0.62,4775,0
GSAQW.US,5,20211117,153000,0.61,0.61,0.61,0.61,100,0
GSAQW.US,5,20211117,153500,0.61,0.61,0.61,0.61,478,0
GSAQW.US,5,20211117,160000,0.6111,0.6111,0.6111,0.6111,100,0
GSAQW.US,5,20211117,162000,0.611,0.612,0.61,0.61,36500,0
GSAQW.US,5,20211118,153000,0.61,0.61,0.61,0.61,100,0
GSAQW.US,5,20211118,175500,0.61,0.61,0.61,0.61,200,0
GSAQW.US,5,20211118,183000,0.61,0.61,0.61,0.61,200,0
GSAQW.US,5,20211118,184000,0.619951,0.619951,0.61,0.61,600,0
GSAQW.US,5,20211119,153500,0.61,0.61,0.61,0.61,482,0
GSAQW.US,5,20211119,154500,0.61,0.61,0.61,0.61,6600,0
GSAQW.US,5,20211119,160500,0.61,0.61,0.61,0.61,100,0
GSAQW.US,5,20211119,161500,0.61,0.61,0.61,0.61,28100,0
GSAQW.US,5,20211119,162000,0.61,0.61,0.61,0.61,53200,0
GSAQW.US,5,20211119,163500,0.61,0.61,0.61,0.61,200,0
GSAQW.US,5,20211119,171500,0.611,0.611,0.611,0.611,100,0
GSAQW.US,5,20211123,154500,0.6244,0.6244,0.6244,0.6244,1688,0
GSAQW.US,5,20211123,155500,0.6244,0.6244,0.6244,0.6244,542,0
GSAQW.US,5,20211123,160000,0.6244,0.6244,0.6244,0.6244,582,0
GSAQW.US,5,20211123,160500,0.6244,0.6244,0.6244,0.6244,200,0
GSAQW.US,5,20211123,161000,0.6244,0.6244,0.6244,0.6244,300,0
GSAQW.US,5,20211123,161500,0.6244,0.6244,0.6244,0.6244,270,0
GSAQW.US,5,20211123,173500,0.61,0.6244,0.61,0.6244,300,0
GSAQW.US,5,20211123,192500,0.6101,0.6101,0.6101,0.6101,1863,0
GSAQW.US,5,20211123,204000,0.6244,0.6244,0.6244,0.6244,1000,0
GSAQW.US,5,20211123,214500,0.6244,0.6244,0.6244,0.6244,200,0
GSAQW.US,5,20211124,215500,0.6001,0.6001,0.6001,0.6001,200,0
GSAQW.US,5,20211129,154000,0.6145,0.6145,0.6145,0.6145,285,0
GSAQW.US,5,20211129,214500,0.6101,0.6101,0.6101,0.6101,100,0
GSAQW.US,5,20211130,153000,0.61,0.61,0.61,0.61,800,0
GSAQW.US,5,20211130,161500,0.6101,0.6101,0.6101,0.6101,500,0
GSAQW.US,5,20211130,164500,0.6145,0.6145,0.6145,0.6145,500,0
GSAQW.US,5,20211130,215500,0.62,0.62,0.62,0.62,100,0
GSAQW.US,5,20211201,192000,0.63,0.63,0.63,0.63,100,0
GSAQW.US,5,20211201,192500,0.63,0.63,0.63,0.63,2000,0
GSAQW.US,5,20211201,215500,0.63,0.63,0.63,0.63,100,0
GSAQW.US,5,20211203,204500,0.6101,0.6101,0.61,0.61,1100,0
GSAQW.US,5,20211203,212000,0.5731,0.5731,0.5731,0.5731,850,0
GSAQW.US,5,20211208,210000,0.5504,0.5504,0.5504,0.5504,100,0
GSAQW.US,5,20211208,214500,0.5889,0.5889,0.5789,0.5889,1700,0
GSAQW.US,5,20211208,215000,0.60495,0.65,0.6001,0.65,8200,0
GSAQW.US,5,20211208,215500,0.6477,0.65,0.6477,0.6477,2610,0
GSAQW.US,5,20211209,190000,0.6494,0.65,0.6494,0.65,4390,0
GSAQW.US,5,20211209,194500,0.6699,0.67,0.66,0.66,1500,0
GSAQW.US,5,20211209,200500,0.6725,0.7,0.67,0.7,5160,0
GSAQW.US,5,20211209,201000,0.7,0.7,0.7,0.7,400,0
GSAQW.US,5,20211209,204500,0.69,0.690018,0.69,0.69,2300,0
GSAQW.US,5,20211213,211000,0.65,0.6501,0.65,0.6501,1896,0
GSAQW.US,5,20211213,212500,0.6406,0.6406,0.6381,0.6381,1410,0
GSAQW.US,5,20211213,215500,0.6201,0.6201,0.6201,0.6201,100,0
GSAQW.US,5,20211215,153500,0.6401,0.68,0.6401,0.68,400,0
GSAQW.US,5,20211215,160000,0.6651,0.6651,0.6651,0.6651,251,0
GSAQW.US,5,20211215,184500,0.6501,0.6501,0.6501,0.6501,1000,0
GSAQW.US,5,20211217,200000,0.5701,0.58,0.5701,0.58,500,0
GSAQW.US,5,20211221,164000,0.5528,0.5528,0.5482,0.5482,1000,0
GSAQW.US,5,20211221,194500,0.53,0.5301,0.53,0.5301,4000,0
GSAQW.US,5,20211222,173000,0.58,0.58,0.58,0.58,1230,0
GSAQW.US,5,20211222,191000,0.5801,0.5801,0.58,0.58,1367,0
