<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HWCPZ.US,5,20211104,143000,28.25,28.25,28.25,28.25,125,0
HWCPZ.US,5,20211104,164500,28.24,28.24,28.17,28.17,251,0
HWCPZ.US,5,20211104,170000,28.1748,28.2,28.1748,28.2,800,0
HWCPZ.US,5,20211104,183000,28.2,28.2,28.2,28.2,338,0
HWCPZ.US,5,20211104,183500,28.34,28.34,28.34,28.34,214,0
HWCPZ.US,5,20211104,192000,28.27,28.27,28.27,28.27,200,0
HWCPZ.US,5,20211104,204500,28.33,28.35,28.33,28.35,480,0
HWCPZ.US,5,20211104,205500,28.35,28.35,28.35,28.35,148,0
HWCPZ.US,5,20211105,143000,28.36,28.36,28.36,28.36,254,0
HWCPZ.US,5,20211105,144000,28.35,28.36,28.35,28.36,224,0
HWCPZ.US,5,20211105,153500,28.3459,28.3459,28.3459,28.3459,516,0
HWCPZ.US,5,20211105,180000,28.34,28.34,28.34,28.34,965,0
HWCPZ.US,5,20211105,201000,28.36,28.36,28.36,28.36,500,0
HWCPZ.US,5,20211105,201500,28.318,28.318,28.318,28.318,130,0
HWCPZ.US,5,20211105,204500,28.36,28.36,28.36,28.36,123,0
HWCPZ.US,5,20211105,205500,28.36,28.36,28.36,28.36,110,0
HWCPZ.US,5,20211108,161500,28.3,28.3,28.3,28.3,250,0
HWCPZ.US,5,20211108,180000,28.295,28.4199,28.295,28.4199,1756,0
HWCPZ.US,5,20211108,210500,28.4199,28.4199,28.4199,28.4199,1080,0
HWCPZ.US,5,20211108,211000,28.3125,28.3125,28.3125,28.3125,100,0
HWCPZ.US,5,20211108,213500,28.3,28.4,28.3,28.4,1470,0
HWCPZ.US,5,20211108,215500,28.4,28.4,28.4,28.4,200,0
HWCPZ.US,5,20211109,153000,28.46,28.46,28.46,28.46,191,0
HWCPZ.US,5,20211109,154000,28.276,28.276,28.1832,28.1832,1070,0
HWCPZ.US,5,20211109,180000,28.27,28.27,28.21,28.235,3400,0
HWCPZ.US,5,20211109,181000,28.23,28.23,28.18,28.18,2355,0
HWCPZ.US,5,20211109,182000,28.26,28.5,28.205,28.495,4570,0
HWCPZ.US,5,20211109,192000,28.34,28.34,28.34,28.34,243,0
HWCPZ.US,5,20211109,213000,28.25,28.34,28.25,28.34,400,0
HWCPZ.US,5,20211109,214000,28.36,28.36,28.36,28.36,200,0
HWCPZ.US,5,20211109,214500,28.43,28.43,28.43,28.43,100,0
HWCPZ.US,5,20211110,161000,28.18,28.265,28.13,28.1879,4200,0
HWCPZ.US,5,20211110,185000,28.13,28.13,28.13,28.13,400,0
HWCPZ.US,5,20211110,190000,28.13,28.13,28.13,28.13,143,0
HWCPZ.US,5,20211110,191000,28.13,28.13,28.13,28.13,166,0
HWCPZ.US,5,20211110,205000,28.1499,28.3198,28.1499,28.161,2664,0
HWCPZ.US,5,20211111,162000,28.2,28.25,28.2,28.25,500,0
HWCPZ.US,5,20211111,165500,28.25,28.27,28.25,28.27,733,0
HWCPZ.US,5,20211111,173500,28.1207,28.1207,28.1207,28.1207,750,0
HWCPZ.US,5,20211111,174000,28.2355,28.2355,28.2355,28.2355,225,0
HWCPZ.US,5,20211111,193500,28.3076,28.31,28.3076,28.31,2671,0
HWCPZ.US,5,20211111,195500,28.09,28.185,28.07,28.185,1200,0
HWCPZ.US,5,20211111,205500,28.24,28.26,28.24,28.26,1250,0
HWCPZ.US,5,20211111,210000,28.24,28.24,28.24,28.24,100,0
HWCPZ.US,5,20211111,211000,28.24,28.24,28.24,28.24,100,0
HWCPZ.US,5,20211111,213500,28.24,28.24,28.24,28.24,100,0
HWCPZ.US,5,20211111,215500,28.23,28.23,28.22,28.22,200,0
HWCPZ.US,5,20211112,154500,28.24,28.24,28.24,28.24,100,0
HWCPZ.US,5,20211112,155500,28.2,28.2,28.2,28.2,100,0
HWCPZ.US,5,20211112,162000,28.27,28.27,28.27,28.27,100,0
HWCPZ.US,5,20211112,171000,28.231,28.231,28.2304,28.2304,1000,0
HWCPZ.US,5,20211112,172000,28.3,28.3,28.3,28.3,400,0
HWCPZ.US,5,20211112,172500,28.295,28.295,28.23,28.23,700,0
HWCPZ.US,5,20211112,183500,28.3,28.3084,28.3,28.3,1300,0
HWCPZ.US,5,20211112,184000,28.3,28.3,28.3,28.3,150,0
HWCPZ.US,5,20211112,192500,28.371,28.371,28.371,28.371,100,0
HWCPZ.US,5,20211112,194500,28.351,28.351,28.351,28.351,100,0
HWCPZ.US,5,20211115,153000,28.12,28.12,28.12,28.12,100,0
HWCPZ.US,5,20211115,181000,28.3,28.3,28.3,28.3,773,0
HWCPZ.US,5,20211115,182500,27.95,27.95,27.95,27.95,2000,0
HWCPZ.US,5,20211115,183000,28.17,28.17,28.17,28.17,190,0
HWCPZ.US,5,20211115,183500,28.198,28.198,28.198,28.198,305,0
HWCPZ.US,5,20211115,190500,28.1,28.1,28.1,28.1,275,0
HWCPZ.US,5,20211115,191000,28.1,28.1,28.1,28.1,2400,0
HWCPZ.US,5,20211115,191500,28.07,28.07,28.07,28.07,200,0
HWCPZ.US,5,20211115,192000,28.07,28.07,28.07,28.07,100,0
HWCPZ.US,5,20211115,200000,28.11,28.11,28.11,28.11,100,0
HWCPZ.US,5,20211115,203500,28.14,28.14,28.14,28.14,100,0
HWCPZ.US,5,20211115,210500,28.195,28.195,28.195,28.195,100,0
HWCPZ.US,5,20211115,211500,28.0922,28.0922,28.0922,28.0922,184,0
HWCPZ.US,5,20211115,215000,28.2999,28.2999,28.2999,28.2999,537,0
HWCPZ.US,5,20211116,173000,28.35,28.3894,28.18,28.18,300,0
HWCPZ.US,5,20211116,174000,28.36,28.38,28.35,28.35,900,0
HWCPZ.US,5,20211116,174500,28.39,28.39,28.08,28.08,1495,0
HWCPZ.US,5,20211116,191000,28.15,28.15,28.15,28.15,100,0
HWCPZ.US,5,20211116,192500,28.07,28.38,28.07,28.1,95112,0
HWCPZ.US,5,20211116,195000,28.07,28.07,27.68,27.73,2663,0
HWCPZ.US,5,20211116,195500,27.69,27.7,27.68,27.7,1000,0
HWCPZ.US,5,20211116,200000,27.81,27.81,27.81,27.81,633,0
HWCPZ.US,5,20211116,204000,27.76,27.76,27.7205,27.7205,400,0
HWCPZ.US,5,20211116,211000,28,28.02,27.91,28.01,800,0
HWCPZ.US,5,20211116,213000,28.34,28.34,28.34,28.34,3000,0
HWCPZ.US,5,20211117,153000,28.18,28.18,28.1,28.1,1432,0
HWCPZ.US,5,20211117,155000,27.8778,27.8778,27.8778,27.8778,200,0
HWCPZ.US,5,20211117,161500,27.9,27.9,27.8,27.8,600,0
HWCPZ.US,5,20211117,162000,27.8,28.06,27.8,28.06,3600,0
HWCPZ.US,5,20211117,191000,27.85,27.85,27.85,27.85,100,0
HWCPZ.US,5,20211117,212000,28.06,28.06,28.06,28.06,1125,0
HWCPZ.US,5,20211117,215500,27.87,27.87,27.83,27.83,1400,0
HWCPZ.US,5,20211118,153000,28.05,28.05,28.05,28.05,261,0
HWCPZ.US,5,20211118,211000,27.78,27.78,27.78,27.78,1000,0
HWCPZ.US,5,20211118,212000,27.7916,27.7916,27.7916,27.7916,100,0
HWCPZ.US,5,20211118,212500,27.794,27.794,27.794,27.794,170,0
HWCPZ.US,5,20211118,214000,27.8485,27.8485,27.8485,27.8485,295,0
HWCPZ.US,5,20211118,214500,27.7915,27.7915,27.7915,27.7915,310,0
HWCPZ.US,5,20211119,153000,27.8,27.8,27.8,27.8,243,0
HWCPZ.US,5,20211119,154000,27.78,27.79,27.78,27.79,400,0
HWCPZ.US,5,20211119,154500,27.79,27.98,27.79,27.98,1046,0
HWCPZ.US,5,20211119,180500,27.95,27.95,27.95,27.95,100,0
HWCPZ.US,5,20211119,183000,27.93,27.93,27.93,27.93,100,0
HWCPZ.US,5,20211119,185500,27.92,27.92,27.92,27.92,100,0
HWCPZ.US,5,20211119,192500,27.91,27.91,27.91,27.91,100,0
HWCPZ.US,5,20211119,203000,28.05,28.05,28.05,28.05,100,0
HWCPZ.US,5,20211119,213000,28.2,28.2,27.99,27.99,200,0
HWCPZ.US,5,20211122,153000,27.8,27.8,27.79,27.8,5500,0
HWCPZ.US,5,20211122,163500,27.845,27.845,27.845,27.845,800,0
HWCPZ.US,5,20211122,173000,27.75,27.84,27.73,27.75,2580,0
HWCPZ.US,5,20211122,175500,27.761,27.77,27.75,27.76,1100,0
HWCPZ.US,5,20211122,180000,27.78,27.78,27.78,27.78,100,0
HWCPZ.US,5,20211122,180500,27.7295,27.7295,27.7295,27.7295,375,0
HWCPZ.US,5,20211122,183000,27.718,27.718,27.718,27.718,450,0
HWCPZ.US,5,20211122,183500,27.8234,27.8234,27.8234,27.8234,200,0
HWCPZ.US,5,20211122,190500,27.91,27.91,27.91,27.91,1170,0
HWCPZ.US,5,20211122,194500,27.72,27.72,27.57,27.57,1880,0
HWCPZ.US,5,20211122,203500,27.5916,27.5916,27.5916,27.5916,914,0
HWCPZ.US,5,20211122,215000,27.54,27.54,27.52,27.52,622,0
HWCPZ.US,5,20211122,215500,27.52,27.52,27.52,27.52,100,0
HWCPZ.US,5,20211123,153000,27.54,27.54,27.44,27.44,1932,0
HWCPZ.US,5,20211123,153500,27.42,27.42,27.4,27.41,890,0
HWCPZ.US,5,20211123,155000,27.43,27.43,27.43,27.43,100,0
HWCPZ.US,5,20211123,215000,27.44,27.44,27.4,27.4,1320,0
HWCPZ.US,5,20211123,215500,27.4,27.4,27.4,27.4,646,0
HWCPZ.US,5,20211124,153000,27.48,27.48,27.48,27.48,175,0
HWCPZ.US,5,20211124,163000,27.42,27.42,27.4,27.4,1929,0
HWCPZ.US,5,20211124,163500,27.38,27.38,27.38,27.38,2000,0
HWCPZ.US,5,20211124,164000,27.4,27.4,27.2,27.214,4000,0
HWCPZ.US,5,20211124,185000,27.31,27.31,27.31,27.31,100,0
HWCPZ.US,5,20211124,185500,27.29,27.29,27.29,27.29,100,0
HWCPZ.US,5,20211124,190000,27.31,27.31,27.31,27.31,100,0
HWCPZ.US,5,20211124,191000,27.28,27.28,27.28,27.28,100,0
HWCPZ.US,5,20211124,191500,27.25,27.25,27.25,27.25,100,0
HWCPZ.US,5,20211124,192500,27.26,27.26,27.26,27.26,100,0
HWCPZ.US,5,20211124,193000,27.25,27.25,27.25,27.25,100,0
HWCPZ.US,5,20211124,193500,27.28,27.28,27.28,27.28,100,0
HWCPZ.US,5,20211124,194500,27.28,27.28,27.28,27.28,100,0
HWCPZ.US,5,20211124,195000,27.27,27.27,27.27,27.27,100,0
HWCPZ.US,5,20211124,195500,27.28,27.28,27.28,27.28,100,0
HWCPZ.US,5,20211124,200500,27.29,27.29,27.29,27.29,100,0
HWCPZ.US,5,20211124,201000,27.29,27.29,27.29,27.29,100,0
HWCPZ.US,5,20211124,201500,27.27,27.27,27.27,27.27,100,0
HWCPZ.US,5,20211124,204000,27.27,27.29,27.27,27.29,300,0
HWCPZ.US,5,20211124,205000,27.26,27.26,27.26,27.26,100,0
HWCPZ.US,5,20211124,210000,27.27,27.27,27.27,27.27,100,0
HWCPZ.US,5,20211124,211000,27.27,27.27,27.27,27.27,100,0
HWCPZ.US,5,20211124,211500,27.27,27.27,27.27,27.27,100,0
HWCPZ.US,5,20211124,212000,27.28,27.28,27.28,27.28,100,0
HWCPZ.US,5,20211124,212500,27.29,27.29,27.29,27.29,100,0
HWCPZ.US,5,20211124,213000,27.29,27.29,27.29,27.29,391,0
HWCPZ.US,5,20211124,214500,27.27,27.27,27.27,27.27,200,0
HWCPZ.US,5,20211124,215000,27.29,27.29,27.28,27.29,500,0
HWCPZ.US,5,20211124,215500,27.29,27.29,27.29,27.29,300,0
HWCPZ.US,5,20211126,153000,27.09,27.09,27.09,27.09,300,0
HWCPZ.US,5,20211126,160000,27.0679,27.0679,27,27,1200,0
HWCPZ.US,5,20211126,171000,26.85,26.85,26.71,26.71,3000,0
HWCPZ.US,5,20211126,172000,26.84,26.84,26.826,26.826,600,0
HWCPZ.US,5,20211126,172500,27,27,27,27,100,0
HWCPZ.US,5,20211126,174500,27,27.02,27,27,900,0
HWCPZ.US,5,20211126,184000,26.99,27,26.99,27,300,0
HWCPZ.US,5,20211126,184500,27.05,27.2,26.96,26.96,1480,0
HWCPZ.US,5,20211129,153000,27.18,27.18,27.18,27.18,264,0
HWCPZ.US,5,20211129,154000,27.14,27.14,27.14,27.14,100,0
HWCPZ.US,5,20211129,164500,27.16,27.16,27.16,27.16,200,0
HWCPZ.US,5,20211129,171000,27.3213,27.3213,27.3213,27.3213,200,0
HWCPZ.US,5,20211129,171500,27.09,27.09,27.0338,27.0338,550,0
HWCPZ.US,5,20211129,172000,27.3227,27.3227,27.3227,27.3227,250,0
HWCPZ.US,5,20211129,185500,27.205,27.205,27.205,27.205,250,0
HWCPZ.US,5,20211129,190000,27.31,27.31,27.31,27.31,200,0
HWCPZ.US,5,20211129,190500,27.14,27.14,27.14,27.14,100,0
HWCPZ.US,5,20211129,192500,27.2634,27.2634,27.2634,27.2634,1000,0
HWCPZ.US,5,20211129,193000,27.26,27.28,27.2254,27.2519,2990,0
HWCPZ.US,5,20211129,194000,27.3099,27.3099,27.3099,27.3099,553,0
HWCPZ.US,5,20211129,201000,27.3099,27.3099,27.3099,27.3099,200,0
HWCPZ.US,5,20211130,153000,27.14,27.14,27.1,27.1,872,0
HWCPZ.US,5,20211130,153500,27.1,27.11,27.1,27.11,200,0
HWCPZ.US,5,20211130,164500,27.1,27.1,27.1,27.1,161,0
HWCPZ.US,5,20211130,165000,27.1,27.12,27.1,27.12,468,0
