<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LAZR.US,5,20211104,143000,17.81,17.81,17.45,17.595,109965,0
LAZR.US,5,20211104,143500,17.53,17.58,17.52,17.56,15572,0
LAZR.US,5,20211104,144000,17.5709,17.685,17.53,17.575,30863,0
LAZR.US,5,20211104,144500,17.56,17.58,17.38,17.38,36329,0
LAZR.US,5,20211104,145000,17.3801,17.53,17.3801,17.42,23858,0
LAZR.US,5,20211104,145500,17.45,17.51,17.44,17.47,19262,0
LAZR.US,5,20211104,150000,17.49,17.57,17.47,17.5031,18638,0
LAZR.US,5,20211104,150500,17.52,17.58,17.4723,17.58,20947,0
LAZR.US,5,20211104,151000,17.58,17.58,17.47,17.48,15104,0
LAZR.US,5,20211104,151500,17.46,17.6,17.45,17.5482,24160,0
LAZR.US,5,20211104,152000,17.55,17.5844,17.5,17.55,26044,0
LAZR.US,5,20211104,152500,17.545,17.56,17.31,17.3401,45680,0
LAZR.US,5,20211104,153000,17.35,17.42,17.34,17.3401,23495,0
LAZR.US,5,20211104,153500,17.35,17.38,17.3,17.3,15440,0
LAZR.US,5,20211104,154000,17.29,17.3137,17.255,17.31,35764,0
LAZR.US,5,20211104,154500,17.32,17.35,17.2902,17.2902,26476,0
LAZR.US,5,20211104,155000,17.29,17.29,17.2,17.2,28787,0
LAZR.US,5,20211104,155500,17.2,17.2734,17.19,17.25,14630,0
LAZR.US,5,20211104,160000,17.2324,17.24,17.18,17.23,11469,0
LAZR.US,5,20211104,160500,17.23,17.23,17.17,17.1869,10077,0
LAZR.US,5,20211104,161000,17.17,17.195,17.1,17.1,71618,0
LAZR.US,5,20211104,161500,17.105,17.13,17.0204,17.035,26364,0
LAZR.US,5,20211104,162000,17.0385,17.05,16.97,16.99,35004,0
LAZR.US,5,20211104,162500,16.99,17.01,16.931,16.97,45395,0
LAZR.US,5,20211104,163000,16.97,17,16.9228,16.93,18553,0
LAZR.US,5,20211104,163500,16.92,16.98,16.92,16.97,56243,0
LAZR.US,5,20211104,164000,16.98,17,16.95,16.955,26710,0
LAZR.US,5,20211104,164500,16.9595,16.96,16.82,16.8305,57964,0
LAZR.US,5,20211104,165000,16.82,16.8789,16.8,16.865,17320,0
LAZR.US,5,20211104,165500,16.865,16.96,16.86,16.88,32884,0
LAZR.US,5,20211104,170000,16.87,16.8777,16.8,16.8,21569,0
LAZR.US,5,20211104,170500,16.8008,16.83,16.8008,16.81,23514,0
LAZR.US,5,20211104,171000,16.81,16.86,16.81,16.85,26667,0
LAZR.US,5,20211104,171500,16.86,16.87,16.79,16.845,28150,0
LAZR.US,5,20211104,172000,16.8477,16.88,16.84,16.87,13555,0
LAZR.US,5,20211104,172500,16.868,16.91,16.868,16.89,21486,0
LAZR.US,5,20211104,173000,16.89,16.92,16.88,16.885,26264,0
LAZR.US,5,20211104,173500,16.885,16.91,16.86,16.865,16319,0
LAZR.US,5,20211104,174000,16.865,16.87,16.825,16.835,19896,0
LAZR.US,5,20211104,174500,16.84,16.85,16.83,16.835,21542,0
LAZR.US,5,20211104,175000,16.83,16.85,16.825,16.84,12836,0
LAZR.US,5,20211104,175500,16.85,16.91,16.85,16.8958,16116,0
LAZR.US,5,20211104,180000,16.895,16.9,16.79,16.8,42405,0
LAZR.US,5,20211104,180500,16.8,16.8,16.73,16.745,45140,0
LAZR.US,5,20211104,181000,16.7388,16.77,16.7388,16.76,7560,0
LAZR.US,5,20211104,181500,16.77,16.78,16.74,16.745,27227,0
LAZR.US,5,20211104,182000,16.75,16.79,16.75,16.775,12756,0
LAZR.US,5,20211104,182500,16.775,16.825,16.77,16.8101,22513,0
LAZR.US,5,20211104,183000,16.81,16.825,16.79,16.825,10043,0
LAZR.US,5,20211104,183500,16.825,16.84,16.8,16.835,20164,0
LAZR.US,5,20211104,184000,16.8373,16.9,16.83,16.895,25515,0
LAZR.US,5,20211104,184500,16.895,16.93,16.895,16.895,10857,0
