<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LX.US,5,20211104,143000,5.5607,5.68,5.55,5.66,42529,0
LX.US,5,20211104,143500,5.66,5.69,5.64,5.64,6225,0
LX.US,5,20211104,144000,5.62,5.64,5.6,5.64,12520,0
LX.US,5,20211104,144500,5.64,5.6498,5.6099,5.6099,21237,0
LX.US,5,20211104,145000,5.6,5.65,5.6,5.64,9157,0
LX.US,5,20211104,145500,5.66,5.68,5.645,5.645,16183,0
LX.US,5,20211104,150000,5.645,5.66,5.625,5.645,16150,0
LX.US,5,20211104,150500,5.648,5.67,5.645,5.67,5300,0
LX.US,5,20211104,151000,5.67,5.67,5.645,5.65,4251,0
LX.US,5,20211104,151500,5.64,5.67,5.63,5.665,13590,0
LX.US,5,20211104,152000,5.66,5.66,5.625,5.63,6335,0
LX.US,5,20211104,152500,5.63,5.63,5.59,5.59,3509,0
LX.US,5,20211104,153000,5.595,5.61,5.5945,5.6,5933,0
LX.US,5,20211104,153500,5.595,5.595,5.57,5.58,3603,0
LX.US,5,20211104,154000,5.58,5.58,5.54,5.565,24311,0
LX.US,5,20211104,154500,5.56,5.58,5.56,5.57,7681,0
LX.US,5,20211104,155000,5.56,5.565,5.54,5.54,7100,0
LX.US,5,20211104,155500,5.53,5.54,5.53,5.54,1700,0
LX.US,5,20211104,160000,5.54,5.54,5.535,5.535,900,0
LX.US,5,20211104,160500,5.53,5.54,5.52,5.525,16995,0
LX.US,5,20211104,161000,5.52,5.53,5.515,5.53,17386,0
LX.US,5,20211104,161500,5.525,5.53,5.505,5.505,3630,0
LX.US,5,20211104,162000,5.5,5.5,5.49,5.49,8219,0
LX.US,5,20211104,162500,5.49,5.5,5.485,5.5,13102,0
LX.US,5,20211104,163000,5.499,5.505,5.4901,5.5,2500,0
LX.US,5,20211104,163500,5.5,5.507,5.495,5.507,985,0
LX.US,5,20211104,164000,5.5,5.505,5.49,5.5,5589,0
LX.US,5,20211104,164500,5.5,5.5,5.492,5.5,1400,0
LX.US,5,20211104,165000,5.498,5.5,5.498,5.5,1039,0
LX.US,5,20211104,165500,5.508,5.52,5.505,5.52,3047,0
LX.US,5,20211104,170000,5.52,5.52,5.49,5.49,5700,0
LX.US,5,20211104,170500,5.495,5.495,5.495,5.495,200,0
LX.US,5,20211104,171000,5.5,5.51,5.49,5.51,5500,0
LX.US,5,20211104,171500,5.5,5.5027,5.495,5.5,5400,0
LX.US,5,20211104,172000,5.49,5.498,5.49,5.49,700,0
LX.US,5,20211104,172500,5.49,5.515,5.49,5.515,10330,0
LX.US,5,20211104,173000,5.515,5.52,5.51,5.515,1400,0
LX.US,5,20211104,173500,5.51,5.529,5.51,5.525,10391,0
LX.US,5,20211104,174000,5.52,5.52,5.52,5.52,200,0
LX.US,5,20211104,174500,5.52,5.52,5.52,5.52,200,0
LX.US,5,20211104,175000,5.52,5.522,5.49,5.5,9680,0
LX.US,5,20211104,175500,5.5,5.5,5.495,5.5,4974,0
LX.US,5,20211104,180500,5.5,5.505,5.495,5.495,3168,0
LX.US,5,20211104,181000,5.51,5.52,5.51,5.52,1368,0
LX.US,5,20211104,181500,5.5197,5.52,5.518,5.518,3263,0
LX.US,5,20211104,182000,5.515,5.5196,5.515,5.515,3724,0
LX.US,5,20211104,182500,5.51,5.51,5.495,5.505,6952,0
LX.US,5,20211104,183000,5.51,5.51,5.505,5.51,4550,0
LX.US,5,20211104,183500,5.5,5.51,5.5,5.505,1600,0
LX.US,5,20211104,184000,5.505,5.51,5.505,5.508,3899,0
LX.US,5,20211104,184500,5.515,5.53,5.515,5.525,2738,0
LX.US,5,20211104,185000,5.5291,5.5293,5.5291,5.5293,1000,0
LX.US,5,20211104,185500,5.525,5.53,5.52,5.52,5715,0
LX.US,5,20211104,190000,5.52,5.52,5.515,5.515,3107,0
LX.US,5,20211104,190500,5.525,5.525,5.5081,5.51,4778,0
LX.US,5,20211104,191000,5.51,5.51,5.5,5.505,2075,0
LX.US,5,20211104,191500,5.5,5.5101,5.5,5.5101,3433,0
LX.US,5,20211104,192000,5.52,5.52,5.51,5.51,800,0
LX.US,5,20211104,192500,5.51,5.525,5.51,5.525,2314,0
LX.US,5,20211104,193000,5.52,5.52,5.52,5.52,300,0
LX.US,5,20211104,193500,5.525,5.54,5.5233,5.54,4071,0
LX.US,5,20211104,194000,5.545,5.5483,5.54,5.545,2017,0
LX.US,5,20211104,194500,5.55,5.55,5.515,5.53,10916,0
LX.US,5,20211104,195000,5.521,5.521,5.51,5.52,3400,0
LX.US,5,20211104,195500,5.52,5.525,5.51,5.51,1700,0
LX.US,5,20211104,200000,5.51,5.52,5.505,5.51,13900,0
LX.US,5,20211104,200500,5.51,5.515,5.51,5.515,4019,0
LX.US,5,20211104,201000,5.51,5.515,5.51,5.515,400,0
LX.US,5,20211104,201500,5.51,5.52,5.505,5.505,3438,0
LX.US,5,20211104,202000,5.505,5.52,5.5,5.5109,4943,0
LX.US,5,20211104,202500,5.51,5.52,5.51,5.51,2614,0
LX.US,5,20211104,203000,5.51,5.515,5.5,5.5,1200,0
LX.US,5,20211104,203500,5.5,5.51,5.49,5.49,10733,0
LX.US,5,20211104,204000,5.49,5.5,5.48,5.49,12484,0
LX.US,5,20211104,204500,5.49,5.52,5.49,5.51,7052,0
LX.US,5,20211104,205000,5.52,5.53,5.51,5.515,14165,0
LX.US,5,20211104,205500,5.515,5.53,5.51,5.52,47746,0
LX.US,5,20211105,143000,5.49,5.5,5.46,5.5,24563,0
LX.US,5,20211105,143500,5.5,5.51,5.48,5.51,7271,0
LX.US,5,20211105,144000,5.5,5.57,5.485,5.54,11653,0
LX.US,5,20211105,144500,5.55,5.6,5.54,5.585,10087,0
LX.US,5,20211105,145000,5.585,5.585,5.55,5.565,14057,0
LX.US,5,20211105,145500,5.5649,5.565,5.51,5.51,2960,0
LX.US,5,20211105,150000,5.52,5.58,5.52,5.58,9817,0
LX.US,5,20211105,150500,5.57,5.58,5.54,5.55,5463,0
LX.US,5,20211105,151000,5.55,5.57,5.55,5.57,5797,0
LX.US,5,20211105,151500,5.57,5.58,5.51,5.515,20391,0
LX.US,5,20211105,152000,5.51,5.51,5.475,5.5,32111,0
LX.US,5,20211105,152500,5.505,5.51,5.44,5.44,20679,0
LX.US,5,20211105,153000,5.4377,5.46,5.435,5.455,19853,0
LX.US,5,20211105,153500,5.455,5.47,5.43,5.44,25129,0
LX.US,5,20211105,154000,5.44,5.45,5.42,5.42,8058,0
LX.US,5,20211105,154500,5.42,5.44,5.41,5.4388,27255,0
LX.US,5,20211105,155000,5.44,5.44,5.42,5.42,5800,0
LX.US,5,20211105,155500,5.42,5.44,5.42,5.435,9387,0
LX.US,5,20211105,160000,5.435,5.45,5.43,5.44,7267,0
LX.US,5,20211105,160500,5.445,5.45,5.425,5.425,5100,0
LX.US,5,20211105,161000,5.425,5.44,5.42,5.4399,7419,0
LX.US,5,20211105,161500,5.44,5.45,5.425,5.43,9495,0
LX.US,5,20211105,162000,5.425,5.43,5.41,5.4199,19479,0
LX.US,5,20211105,162500,5.415,5.44,5.415,5.435,5730,0
LX.US,5,20211105,163000,5.435,5.4365,5.42,5.42,5900,0
LX.US,5,20211105,163500,5.425,5.425,5.41,5.415,6056,0
LX.US,5,20211105,164000,5.41,5.42,5.4,5.4185,11996,0
LX.US,5,20211105,164500,5.415,5.4354,5.41,5.435,3600,0
LX.US,5,20211105,165000,5.43,5.435,5.43,5.43,1700,0
LX.US,5,20211105,165500,5.44,5.44,5.43,5.43,1701,0
LX.US,5,20211105,170000,5.43,5.435,5.41,5.41,6000,0
LX.US,5,20211105,170500,5.42,5.425,5.41,5.425,13288,0
LX.US,5,20211105,171000,5.43,5.43,5.41,5.43,9013,0
LX.US,5,20211105,171500,5.425,5.425,5.41,5.41,10000,0
LX.US,5,20211105,172000,5.4199,5.4199,5.38,5.41,53038,0
LX.US,5,20211105,172500,5.415,5.42,5.41,5.41,10237,0
LX.US,5,20211105,173000,5.415,5.415,5.4,5.4,5959,0
LX.US,5,20211105,173500,5.4024,5.41,5.4,5.4,2500,0
LX.US,5,20211105,174000,5.405,5.405,5.385,5.385,18020,0
LX.US,5,20211105,174500,5.385,5.385,5.38,5.38,3300,0
LX.US,5,20211105,175000,5.38,5.39,5.38,5.385,10966,0
LX.US,5,20211105,175500,5.385,5.42,5.385,5.395,22413,0
LX.US,5,20211105,180000,5.3977,5.398,5.38,5.38,13060,0
LX.US,5,20211105,180500,5.38,5.385,5.36,5.365,30881,0
LX.US,5,20211105,181000,5.36,5.365,5.345,5.348,43799,0
LX.US,5,20211105,181500,5.35,5.38,5.345,5.38,17946,0
LX.US,5,20211105,182000,5.37,5.385,5.37,5.37,6240,0
LX.US,5,20211105,182500,5.37,5.37,5.3367,5.35,39226,0
LX.US,5,20211105,183000,5.36,5.37,5.35,5.36,6386,0
LX.US,5,20211105,183500,5.37,5.37,5.36,5.365,2276,0
LX.US,5,20211105,184000,5.36,5.37,5.35,5.35,7656,0
LX.US,5,20211105,184500,5.345,5.35,5.33,5.335,16658,0
LX.US,5,20211105,185000,5.3382,5.365,5.33,5.365,14467,0
LX.US,5,20211105,185500,5.37,5.37,5.36,5.365,6749,0
LX.US,5,20211105,190000,5.365,5.37,5.36,5.36,11003,0
LX.US,5,20211105,190500,5.36,5.37,5.35,5.35,8361,0
LX.US,5,20211105,191000,5.36,5.37,5.35,5.37,8114,0
LX.US,5,20211105,191500,5.365,5.37,5.355,5.365,7930,0
LX.US,5,20211105,192000,5.36,5.37,5.35,5.3573,6646,0
LX.US,5,20211105,192500,5.35,5.365,5.35,5.365,3800,0
LX.US,5,20211105,193000,5.365,5.4,5.365,5.3999,33245,0
LX.US,5,20211105,193500,5.4,5.41,5.395,5.41,8491,0
LX.US,5,20211105,194000,5.41,5.41,5.4,5.4,2500,0
LX.US,5,20211105,194500,5.4,5.4099,5.4,5.4,2618,0
LX.US,5,20211105,195000,5.4,5.41,5.39,5.39,7484,0
LX.US,5,20211105,195500,5.4,5.41,5.39,5.4028,12167,0
LX.US,5,20211105,200000,5.4,5.4,5.38,5.385,8935,0
LX.US,5,20211105,200500,5.385,5.39,5.3835,5.385,3904,0
LX.US,5,20211105,201000,5.39,5.44,5.385,5.435,18398,0
LX.US,5,20211105,201500,5.435,5.44,5.425,5.43,10020,0
LX.US,5,20211105,202000,5.42,5.425,5.41,5.41,2278,0
LX.US,5,20211105,202500,5.41,5.42,5.405,5.415,2960,0
LX.US,5,20211105,203000,5.415,5.45,5.415,5.445,27282,0
LX.US,5,20211105,203500,5.445,5.455,5.4322,5.435,5700,0
LX.US,5,20211105,204000,5.43,5.455,5.425,5.45,11204,0
LX.US,5,20211105,204500,5.455,5.46,5.43,5.45,16927,0
LX.US,5,20211105,205000,5.455,5.46,5.44,5.44,21947,0
LX.US,5,20211105,205500,5.445,5.46,5.44,5.45,49828,0
LX.US,5,20211108,153000,5.45,5.53,5.4,5.49,56385,0
LX.US,5,20211108,153500,5.5,5.6,5.5,5.595,63592,0
LX.US,5,20211108,154000,5.595,5.63,5.56,5.56,31871,0
LX.US,5,20211108,154500,5.565,5.58,5.55,5.5701,29965,0
LX.US,5,20211108,155000,5.575,5.595,5.5622,5.57,13494,0
LX.US,5,20211108,155500,5.575,5.575,5.56,5.57,6049,0
LX.US,5,20211108,160000,5.57,5.58,5.565,5.57,15555,0
