<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBOT.US,5,20211104,143000,7.38,7.4,7.38,7.4,891,0
MBOT.US,5,20211104,151000,7.39,7.4066,7.36,7.36,1370,0
MBOT.US,5,20211104,153000,7.38,7.38,7.36,7.36,737,0
MBOT.US,5,20211104,153500,7.36,7.36,7.36,7.36,866,0
MBOT.US,5,20211104,155000,7.41,7.41,7.35,7.362,1699,0
MBOT.US,5,20211104,162500,7.34,7.34,7.34,7.34,200,0
MBOT.US,5,20211104,174000,7.33,7.3525,7.33,7.33,670,0
MBOT.US,5,20211104,174500,7.33,7.33,7.33,7.33,1200,0
MBOT.US,5,20211104,175000,7.35,7.35,7.31,7.31,6850,0
MBOT.US,5,20211104,180500,7.33,7.33,7.32,7.32,500,0
MBOT.US,5,20211104,193000,7.27,7.27,7.27,7.27,170,0
MBOT.US,5,20211104,193500,7.26,7.4,7.25,7.2762,8100,0
MBOT.US,5,20211104,194500,7.2306,7.2306,7.2306,7.2306,495,0
MBOT.US,5,20211104,195000,7.3,7.3,7.28,7.28,476,0
MBOT.US,5,20211104,201500,7.355,7.355,7.355,7.355,100,0
MBOT.US,5,20211104,203000,7.33,7.355,7.33,7.355,970,0
MBOT.US,5,20211104,205500,7.34,7.37,7.34,7.37,3296,0
MBOT.US,5,20211105,143000,7.34,7.34,7.34,7.34,1223,0
MBOT.US,5,20211105,144000,7.366,7.366,7.33,7.36,653,0
MBOT.US,5,20211105,144500,7.33,7.33,7.32,7.32,238,0
MBOT.US,5,20211105,153500,7.33,7.33,7.33,7.33,100,0
MBOT.US,5,20211105,154000,7.37,7.37,7.37,7.37,354,0
MBOT.US,5,20211105,160000,7.37,7.37,7.35,7.35,410,0
MBOT.US,5,20211105,160500,7.39,7.39,7.39,7.39,100,0
MBOT.US,5,20211105,161000,7.41,7.41,7.41,7.41,100,0
MBOT.US,5,20211105,162000,7.42,7.42,7.42,7.42,200,0
MBOT.US,5,20211105,170000,7.3971,7.3971,7.3971,7.3971,100,0
MBOT.US,5,20211105,171000,7.38,7.38,7.35,7.38,1723,0
MBOT.US,5,20211105,173000,7.36,7.36,7.36,7.36,200,0
MBOT.US,5,20211105,173500,7.38,7.38,7.38,7.38,300,0
MBOT.US,5,20211105,175500,7.41,7.41,7.41,7.41,200,0
MBOT.US,5,20211105,181500,7.37,7.37,7.36,7.36,1326,0
MBOT.US,5,20211105,184500,7.3,7.3,7.23,7.23,1794,0
MBOT.US,5,20211105,185000,7.28,7.3,7.28,7.3,400,0
MBOT.US,5,20211105,191000,7.365,7.37,7.36,7.37,500,0
MBOT.US,5,20211105,202500,7.356,7.356,7.356,7.356,100,0
MBOT.US,5,20211105,204000,7.35,7.35,7.35,7.35,302,0
MBOT.US,5,20211105,205000,7.375,7.375,7.375,7.375,100,0
MBOT.US,5,20211105,205500,7.33,7.33,7.33,7.33,640,0
MBOT.US,5,20211108,153000,7.33,7.37,7.33,7.37,1500,0
MBOT.US,5,20211108,153500,7.35,7.35,7.35,7.35,100,0
MBOT.US,5,20211108,154000,7.3638,7.3638,7.33,7.33,1268,0
MBOT.US,5,20211108,154500,7.35,7.37,7.35,7.37,300,0
MBOT.US,5,20211108,160000,7.3014,7.3014,7.3014,7.3014,700,0
MBOT.US,5,20211108,164500,7.3001,7.3001,7.3001,7.3001,160,0
MBOT.US,5,20211108,170500,7.3,7.3,7.3,7.3,200,0
MBOT.US,5,20211108,171500,7.3,7.3,7.3,7.3,600,0
MBOT.US,5,20211108,172000,7.24,7.24,7.23,7.23,350,0
MBOT.US,5,20211108,172500,7.22,7.22,7.2,7.2,2368,0
MBOT.US,5,20211108,173500,7.15,7.15,7.15,7.15,100,0
MBOT.US,5,20211108,175000,7.235,7.26,7.235,7.26,2900,0
MBOT.US,5,20211108,180000,7.32,7.32,7.32,7.32,200,0
MBOT.US,5,20211108,181000,7.26,7.26,7.25,7.25,1070,0
MBOT.US,5,20211108,181500,7.23,7.23,7.23,7.23,100,0
MBOT.US,5,20211108,182000,7.22,7.22,7.22,7.22,529,0
MBOT.US,5,20211108,182500,7.2237,7.2237,7.2237,7.2237,100,0
MBOT.US,5,20211108,183500,7.22,7.22,7.22,7.22,100,0
MBOT.US,5,20211108,184000,7.215,7.22,7.21,7.21,599,0
MBOT.US,5,20211108,191000,7.2688,7.2688,7.26,7.26,800,0
MBOT.US,5,20211108,194000,7.22,7.22,7.22,7.22,570,0
MBOT.US,5,20211108,194500,7.2156,7.2156,7.2156,7.2156,225,0
MBOT.US,5,20211108,195500,7.2044,7.2044,7.2044,7.2044,257,0
MBOT.US,5,20211108,200000,7.22,7.22,7.22,7.22,250,0
MBOT.US,5,20211108,203500,7.22,7.22,7.22,7.22,200,0
MBOT.US,5,20211108,205500,7.245,7.245,7.245,7.245,100,0
MBOT.US,5,20211108,210500,7.26,7.26,7.26,7.26,200,0
MBOT.US,5,20211108,215500,7.26,7.28,7.24,7.24,500,0
MBOT.US,5,20211109,153000,7.2,7.24,7.2,7.23,810,0
MBOT.US,5,20211109,155500,7.2001,7.2001,7.2,7.2,1065,0
MBOT.US,5,20211109,163000,7.2,7.2,7.2,7.2,100,0
MBOT.US,5,20211109,163500,7.1984,7.1984,7.1984,7.1984,150,0
MBOT.US,5,20211109,164500,7.2,7.2,7.19,7.1901,692,0
MBOT.US,5,20211109,171000,7.19,7.19,7.19,7.19,258,0
MBOT.US,5,20211109,172000,7.19,7.23,7.19,7.2078,4032,0
MBOT.US,5,20211109,172500,7.2,7.2,7.2,7.2,100,0
MBOT.US,5,20211109,173000,7.22,7.22,7.22,7.22,100,0
MBOT.US,5,20211109,180000,7.1701,7.1701,7.1701,7.1701,1000,0
MBOT.US,5,20211109,181500,7.18,7.19,7.18,7.1895,2129,0
MBOT.US,5,20211109,182500,7.17,7.19,7.14,7.19,3958,0
MBOT.US,5,20211109,183000,7.155,7.19,7.1,7.1002,7918,0
MBOT.US,5,20211109,183500,7.11,7.15,7.11,7.14,1769,0
MBOT.US,5,20211109,185500,7.1401,7.1401,7.1401,7.1401,300,0
MBOT.US,5,20211109,190000,7.14,7.14,7.13,7.13,970,0
MBOT.US,5,20211109,195000,7.16,7.16,7.16,7.16,200,0
MBOT.US,5,20211109,201000,7.175,7.175,7.175,7.175,100,0
MBOT.US,5,20211109,202000,7.185,7.185,7.185,7.185,500,0
MBOT.US,5,20211109,202500,7.18,7.18,7.18,7.18,869,0
MBOT.US,5,20211109,203500,7.199,7.199,7.18,7.19,2727,0
MBOT.US,5,20211109,204500,7.19,7.19,7.19,7.19,200,0
MBOT.US,5,20211109,205000,7.18,7.18,7.18,7.18,125,0
MBOT.US,5,20211109,210500,7.17,7.17,7.17,7.17,100,0
