<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCLD.US,5,20211126,153000,4.23,4.23,4.2001,4.2001,1016,0
MCLD.US,5,20211126,153500,4.2244,4.2244,4.2185,4.2185,250,0
MCLD.US,5,20211126,154000,4.2065,4.35,4.2065,4.35,911,0
MCLD.US,5,20211126,155000,4.32,4.33,4.32,4.33,500,0
MCLD.US,5,20211126,155500,4.3,4.3,4.3,4.3,150,0
MCLD.US,5,20211126,160000,4.2501,4.2612,4.25,4.25,958,0
MCLD.US,5,20211126,161000,4.25,4.25,4.25,4.25,310,0
MCLD.US,5,20211126,161500,4.3501,4.3501,4.29,4.3,3900,0
MCLD.US,5,20211126,163000,4.3001,4.3001,4.3001,4.3001,100,0
MCLD.US,5,20211126,163500,4.3001,4.33,4.2501,4.2501,4900,0
MCLD.US,5,20211126,164000,4.2647,4.2647,4.2647,4.2647,300,0
MCLD.US,5,20211126,171500,4.26,4.26,4.2,4.2001,7220,0
MCLD.US,5,20211126,173000,4.25,4.25,4.25,4.25,3000,0
MCLD.US,5,20211126,173500,4.25,4.25,4.23,4.23,900,0
MCLD.US,5,20211126,175500,4.2608,4.2608,4.2608,4.2608,730,0
MCLD.US,5,20211126,180000,4.25,4.25,4.25,4.25,100,0
MCLD.US,5,20211126,181500,4.3185,4.3185,4.3185,4.3185,2000,0
MCLD.US,5,20211126,182500,4.3509,4.3509,4.3509,4.3509,460,0
MCLD.US,5,20211126,183000,4.3599,4.3599,4.3599,4.3599,400,0
MCLD.US,5,20211126,183500,4.305,4.3529,4.3,4.3,1370,0
MCLD.US,5,20211126,184000,4.3,4.44,4.29,4.399,38200,0
MCLD.US,5,20211126,184500,4.32,4.44,4.32,4.37,7569,0
MCLD.US,5,20211126,185000,4.34,4.733,4.34,4.415,29783,0
MCLD.US,5,20211126,185500,4.36,4.48,4.36,4.4722,400,0
MCLD.US,5,20211129,153000,4.46,4.5,4.4001,4.5,2897,0
MCLD.US,5,20211129,153500,4.45,4.4887,4.41,4.41,929,0
MCLD.US,5,20211129,154500,4.4,4.5,4.4,4.4116,800,0
MCLD.US,5,20211129,155000,4.4,4.4888,4.4,4.4888,300,0
MCLD.US,5,20211129,155500,4.45,4.47,4.45,4.45,800,0
MCLD.US,5,20211129,160000,4.4,4.4082,4.4,4.4082,200,0
