<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYMD.US,5,20211104,143000,9.6,9.6,9.6,9.6,12377,0
MYMD.US,5,20211104,143500,9.585,9.585,9.55,9.55,593,0
MYMD.US,5,20211104,144000,9.5,9.61,9.5,9.51,1736,0
MYMD.US,5,20211104,144500,9.51,9.575,9.5,9.57,1761,0
MYMD.US,5,20211104,145000,9.515,9.57,9.515,9.57,522,0
MYMD.US,5,20211104,145500,9.58,9.58,9.58,9.58,100,0
MYMD.US,5,20211104,150000,9.515,9.515,9.515,9.515,100,0
MYMD.US,5,20211104,150500,9.5,9.545,9.5,9.545,1072,0
MYMD.US,5,20211104,151000,9.55,9.55,9.5,9.5,200,0
MYMD.US,5,20211104,151500,9.51,9.51,9.51,9.51,100,0
MYMD.US,5,20211104,152000,9.49,9.49,9.45,9.48,1000,0
MYMD.US,5,20211104,152500,9.41,9.436,9.41,9.436,600,0
MYMD.US,5,20211104,153000,9.4101,9.4101,9.4101,9.4101,100,0
MYMD.US,5,20211104,154000,9.4577,9.4577,9.4577,9.4577,100,0
MYMD.US,5,20211104,155000,9.44,9.48,9.43,9.47,1595,0
MYMD.US,5,20211104,160500,9.43,9.43,9.41,9.41,358,0
MYMD.US,5,20211104,161000,9.44,9.44,9.44,9.44,100,0
MYMD.US,5,20211104,161500,9.4414,9.4414,9.38,9.4,1743,0
MYMD.US,5,20211104,162000,9.36,9.36,9.25,9.3,3526,0
MYMD.US,5,20211104,162500,9.34,9.34,9.34,9.34,100,0
MYMD.US,5,20211104,163000,9.2779,9.35,9.2779,9.35,300,0
MYMD.US,5,20211104,164000,9.33,9.39,9.3,9.39,1873,0
MYMD.US,5,20211104,164500,9.424,9.424,9.3536,9.3536,374,0
MYMD.US,5,20211104,165500,9.365,9.3728,9.365,9.3728,2100,0
MYMD.US,5,20211104,170000,9.43,9.43,9.43,9.43,200,0
MYMD.US,5,20211104,170500,9.3786,9.3786,9.3786,9.3786,1000,0
MYMD.US,5,20211104,171000,9.385,9.385,9.385,9.385,100,0
MYMD.US,5,20211104,172000,9.45,9.5,9.43,9.5,1280,0
MYMD.US,5,20211104,172500,9.5,9.5,9.5,9.5,1000,0
MYMD.US,5,20211104,173000,9.49,9.5,9.49,9.5,300,0
MYMD.US,5,20211104,173500,9.495,9.5,9.495,9.5,300,0
MYMD.US,5,20211104,174000,9.49,9.49,9.49,9.49,100,0
MYMD.US,5,20211104,174500,9.432,9.432,9.432,9.432,250,0
MYMD.US,5,20211104,180000,9.48,9.48,9.48,9.48,187,0
MYMD.US,5,20211104,181000,9.485,9.5,9.485,9.5,800,0
MYMD.US,5,20211104,182500,9.49,9.49,9.49,9.49,100,0
MYMD.US,5,20211104,184000,9.455,9.5525,9.45,9.5525,2658,0
MYMD.US,5,20211104,184500,9.5,9.527,9.5,9.527,480,0
MYMD.US,5,20211104,185000,9.5,9.5106,9.5,9.5106,404,0
MYMD.US,5,20211104,185500,9.505,9.505,9.431,9.47,400,0
MYMD.US,5,20211104,190000,9.44,9.475,9.44,9.475,200,0
MYMD.US,5,20211104,190500,9.49,9.5,9.47,9.47,900,0
MYMD.US,5,20211104,191500,9.46,9.5,9.46,9.47,400,0
MYMD.US,5,20211104,192000,9.46,9.49,9.46,9.49,600,0
MYMD.US,5,20211104,192500,9.48,9.5,9.48,9.48,3700,0
MYMD.US,5,20211104,193000,9.48,9.48,9.47,9.47,200,0
MYMD.US,5,20211104,193500,9.46,9.46,9.46,9.46,100,0
MYMD.US,5,20211104,194000,9.44,9.44,9.44,9.44,100,0
MYMD.US,5,20211104,194500,9.44,9.5,9.44,9.47,300,0
MYMD.US,5,20211104,195000,9.44,9.495,9.44,9.495,4100,0
MYMD.US,5,20211104,195500,9.47,9.47,9.47,9.47,200,0
MYMD.US,5,20211104,200000,9.5,9.5,9.49,9.49,3400,0
MYMD.US,5,20211104,201000,9.465,9.465,9.42,9.45,1101,0
MYMD.US,5,20211104,201500,9.4277,9.44,9.42,9.44,4918,0
MYMD.US,5,20211104,202000,9.41,9.44,9.38,9.38,2603,0
MYMD.US,5,20211104,202500,9.38,9.425,9.38,9.425,1400,0
MYMD.US,5,20211104,203000,9.38,9.425,9.36,9.36,1250,0
MYMD.US,5,20211104,203500,9.37,9.37,9.36,9.36,800,0
MYMD.US,5,20211104,204000,9.42,9.43,9.4,9.4,916,0
MYMD.US,5,20211104,204500,9.42,9.4346,9.4,9.4346,1400,0
MYMD.US,5,20211104,205000,9.41,9.4399,9.37,9.405,3050,0
MYMD.US,5,20211104,205500,9.405,9.4299,9.39,9.405,5864,0
MYMD.US,5,20211105,143000,9.37,9.4,9.37,9.4,1324,0
MYMD.US,5,20211105,143500,9.31,9.42,9.3,9.42,300,0
MYMD.US,5,20211105,144000,9.36,9.42,9.3165,9.3165,500,0
MYMD.US,5,20211105,144500,9.4199,9.4199,9.4199,9.4199,185,0
MYMD.US,5,20211105,145500,9.3126,9.3126,9.3126,9.3126,602,0
MYMD.US,5,20211105,150000,9.3265,9.45,9.3265,9.45,1378,0
MYMD.US,5,20211105,151000,9.435,9.435,9.435,9.435,100,0
MYMD.US,5,20211105,151500,9.44,9.44,9.44,9.44,107,0
