<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCACW.US,5,20211213,170000,0.5,0.60535,0.4999,0.60535,40400,0
NCACW.US,5,20211213,174500,0.7,0.7,0.7,0.7,1200,0
NCACW.US,5,20211215,155000,0.67,0.67,0.67,0.67,160,0
NCACW.US,5,20211215,172500,0.585,0.585,0.585,0.585,100,0
NCACW.US,5,20211215,184000,0.52,0.52,0.52,0.52,100,0
NCACW.US,5,20211216,213500,0.5505,0.5505,0.5424,0.5424,400,0
NCACW.US,5,20211216,215500,0.5256,0.5256,0.5256,0.5256,600,0
NCACW.US,5,20211220,171000,0.5001,0.52,0.5,0.52,3000,0
NCACW.US,5,20211220,173500,0.5002,0.52,0.5,0.5198,1150,0
NCACW.US,5,20211220,184000,0.5003,0.5003,0.5,0.5,1399,0
NCACW.US,5,20211220,185000,0.4999,0.5,0.4999,0.5,200,0
NCACW.US,5,20211220,190000,0.4999,0.5,0.4998,0.5,600,0
NCACW.US,5,20211220,190500,0.4999,0.5198,0.498,0.5198,2000,0
NCACW.US,5,20211220,211000,0.52,0.52,0.52,0.52,200,0
NCACW.US,5,20211220,214500,0.4998,0.4998,0.4998,0.4998,133,0
NCACW.US,5,20211221,153000,0.5,0.5,0.5,0.5,100,0
NCACW.US,5,20211221,160500,0.4998,0.4999,0.4997,0.4999,2067,0
NCACW.US,5,20211221,163500,0.4998,0.4999,0.4997,0.4999,550,0
NCACW.US,5,20211221,172000,0.4997,0.4999,0.4995,0.4999,617,0
NCACW.US,5,20211221,190500,0.4995,0.4999,0.4995,0.4999,1200,0
NCACW.US,5,20211221,203000,0.4999,0.4999,0.4999,0.4999,100,0
NCACW.US,5,20211221,212500,0.5,0.52,0.4999,0.5197,112220,0
NCACW.US,5,20211221,213000,0.52,0.52,0.5,0.52,104800,0
NCACW.US,5,20211222,153500,0.509,0.509,0.509,0.509,100,0
NCACW.US,5,20211222,165000,0.4992,0.4992,0.4992,0.4992,166,0
NCACW.US,5,20211222,194000,0.504499,0.504499,0.504499,0.504499,200,0
NCACW.US,5,20211222,210500,0.499,0.499,0.499,0.499,757,0
NCACW.US,5,20211223,154000,0.49,0.499,0.49,0.49,28543,0
NCACW.US,5,20211223,154500,0.49,0.5,0.49,0.5,2057,0
NCACW.US,5,20211223,181000,0.497545,0.497545,0.497545,0.497545,1000,0
NCACW.US,5,20211223,194500,0.4932,0.4932,0.4932,0.4932,100,0
NCACW.US,5,20211223,200500,0.4932,0.4932,0.4932,0.4932,544,0
NCACW.US,5,20211223,203500,0.4932,0.4932,0.4932,0.4932,100,0
NCACW.US,5,20211223,211000,0.4932,0.4932,0.4932,0.4932,100,0
NCACW.US,5,20211223,214500,0.4932,0.4932,0.4932,0.4932,100,0
NCACW.US,5,20211223,215000,0.493,0.493,0.493,0.493,200,0
NCACW.US,5,20211223,215500,0.493,0.493,0.493,0.493,501,0
