<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTCT.US,5,20211104,143000,33.06,34.04,32.95,34.04,13863,0
NTCT.US,5,20211104,143500,34.21,34.61,34.0934,34.525,22959,0
NTCT.US,5,20211104,144000,34.525,34.87,34.04,34.565,42461,0
NTCT.US,5,20211104,144500,34.5,34.87,34.41,34.655,18871,0
NTCT.US,5,20211104,145000,34.77,34.77,34.39,34.58,20772,0
NTCT.US,5,20211104,145500,34.58,34.6,34.25,34.285,18846,0
NTCT.US,5,20211104,150000,34.35,34.56,33.98,34.23,26860,0
NTCT.US,5,20211104,150500,34.13,34.13,33.27,33.285,20274,0
NTCT.US,5,20211104,151000,33.3,33.45,33.155,33.21,17193,0
NTCT.US,5,20211104,151500,33.13,33.42,33.08,33.32,15441,0
NTCT.US,5,20211104,152000,33.38,33.45,33.21,33.37,15242,0
NTCT.US,5,20211104,152500,33.4,33.52,33.27,33.38,13878,0
NTCT.US,5,20211104,153000,33.44,33.64,33.395,33.62,12751,0
NTCT.US,5,20211104,153500,33.585,33.62,33.5,33.54,16000,0
NTCT.US,5,20211104,154000,33.51,33.58,33.28,33.44,11657,0
NTCT.US,5,20211104,154500,33.44,33.47,33.34,33.385,24324,0
NTCT.US,5,20211104,155000,33.43,33.43,33.1,33.26,19247,0
NTCT.US,5,20211104,155500,33.22,33.33,33.18,33.32,14845,0
NTCT.US,5,20211104,160000,33.31,33.67,33.28,33.61,23381,0
NTCT.US,5,20211104,160500,33.68,33.87,33.49,33.5,13218,0
NTCT.US,5,20211104,161000,33.475,33.67,33.425,33.62,13471,0
NTCT.US,5,20211104,161500,33.51,33.61,33.35,33.48,16646,0
NTCT.US,5,20211104,162000,33.48,33.48,32.93,32.93,25696,0
NTCT.US,5,20211104,162500,32.92,33.02,32.75,32.85,21155,0
NTCT.US,5,20211104,163000,32.78,32.92,32.66,32.68,13335,0
NTCT.US,5,20211104,163500,32.69,32.97,32.655,32.78,14802,0
NTCT.US,5,20211104,164000,32.83,32.85,32.53,32.655,19176,0
NTCT.US,5,20211104,164500,32.65,32.92,32.61,32.92,16132,0
NTCT.US,5,20211104,165000,32.875,32.89,32.64,32.7,14062,0
NTCT.US,5,20211104,165500,32.68,32.78,32.68,32.725,16756,0
NTCT.US,5,20211104,170000,32.7,32.73,32.532,32.67,17956,0
NTCT.US,5,20211104,170500,32.66,32.77,32.48,32.48,16787,0
