<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRSRU.US,5,20211104,143000,10,10.02,10,10.02,300,0
PRSRU.US,5,20211104,151000,9.9705,9.9705,9.9705,9.9705,130,0
PRSRU.US,5,20211104,203000,10.02,10.02,10.02,10.02,2228,0
PRSRU.US,5,20211104,205000,10.0002,10.0002,10.0002,10.0002,161,0
PRSRU.US,5,20211105,151500,10,10,10,10,200,0
PRSRU.US,5,20211105,153500,9.99,10.01,9.99,10,1133,0
PRSRU.US,5,20211105,154000,10,10,9.99,9.99,6200,0
PRSRU.US,5,20211105,154500,10,10,9.9952,9.9952,2000,0
PRSRU.US,5,20211105,155000,9.9952,9.9952,9.99,9.99,900,0
PRSRU.US,5,20211105,170500,9.99,9.99,9.99,9.99,300,0
PRSRU.US,5,20211105,181000,9.99,9.99,9.99,9.99,1000,0
PRSRU.US,5,20211105,202000,10,10,9.99,9.99,500,0
PRSRU.US,5,20211105,202500,9.99,9.99,9.99,9.99,800,0
PRSRU.US,5,20211105,203000,9.99,9.99,9.99,9.99,900,0
PRSRU.US,5,20211105,203500,9.99,9.99,9.99,9.99,1000,0
PRSRU.US,5,20211105,204000,9.99,9.99,9.99,9.99,2000,0
PRSRU.US,5,20211105,204500,9.99,9.99,9.99,9.99,1100,0
PRSRU.US,5,20211105,205000,9.985,9.99,9.98,9.99,1700,0
PRSRU.US,5,20211105,205500,9.98,9.98,9.98,9.98,10600,0
PRSRU.US,5,20211108,153000,10.02,10.02,10,10,701,0
PRSRU.US,5,20211108,161000,10,10,10,10,267,0
PRSRU.US,5,20211108,170500,9.9967,9.9967,9.9967,9.9967,100,0
PRSRU.US,5,20211108,184000,9.98,9.98,9.98,9.98,501,0
PRSRU.US,5,20211108,190000,9.98,9.98,9.98,9.98,500,0
PRSRU.US,5,20211108,195500,9.98,9.98,9.98,9.98,410,0
PRSRU.US,5,20211108,210000,9.9802,9.9802,9.9802,9.9802,100,0
PRSRU.US,5,20211108,215000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,153000,10.02,10.02,9.98,9.98,1900,0
PRSRU.US,5,20211109,153500,9.98,9.98,9.98,9.98,400,0
PRSRU.US,5,20211109,154000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,154500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,155000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,155500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,160000,9.98,9.9801,9.98,9.98,302,0
PRSRU.US,5,20211109,160500,9.98,9.98,9.98,9.98,300,0
PRSRU.US,5,20211109,161000,9.98,9.98,9.98,9.98,300,0
PRSRU.US,5,20211109,161500,9.98,9.98,9.98,9.98,300,0
PRSRU.US,5,20211109,162000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,162500,9.98,9.98,9.98,9.98,300,0
PRSRU.US,5,20211109,163000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,163500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,164000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,164500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,165000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,165500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,170000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,170500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,171000,9.98,9.99,9.98,9.99,200,0
PRSRU.US,5,20211109,171500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,172000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,172500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,173000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,173500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,174000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,174500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,175000,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,175500,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,180000,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,180500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,181000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,181500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,182000,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,182500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211109,183000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,183500,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,184000,9.99,9.99,9.98,9.98,200,0
PRSRU.US,5,20211109,184500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,185000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,185500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,190000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,190500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,191000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,191500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,192000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,192500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,193000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,193500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,194000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,194500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,195000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,195500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,200000,9.99,9.99,9.99,9.99,100,0
PRSRU.US,5,20211109,200500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,201000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,201500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,202000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,202500,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,203000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,203500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,204000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,204500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,205000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,205500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,210000,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,210500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,211000,9.98,9.98,9.98,9.98,100,0
PRSRU.US,5,20211109,211500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,212000,9.98,9.98,9.98,9.98,300,0
PRSRU.US,5,20211109,212500,9.98,9.98,9.98,9.98,200,0
PRSRU.US,5,20211109,213000,9.98,9.98,9.98,9.98,300,0
PRSRU.US,5,20211109,213500,9.98,9.98,9.98,9.98,400,0
PRSRU.US,5,20211109,214000,9.98,9.98,9.98,9.98,500,0
PRSRU.US,5,20211109,214500,9.98,9.98,9.98,9.98,500,0
PRSRU.US,5,20211109,215000,9.98,9.98,9.98,9.98,700,0
PRSRU.US,5,20211109,215500,9.98,9.99,9.98,9.98,4000,0
PRSRU.US,5,20211110,153000,9.98,10.02,9.98,10.02,7725,0
PRSRU.US,5,20211110,165000,10.02,10.02,10.02,10.02,435,0
PRSRU.US,5,20211110,181500,9.9901,9.9901,9.9901,9.9901,102,0
PRSRU.US,5,20211110,193500,10.005,10.005,10.005,10.005,742,0
PRSRU.US,5,20211110,211500,10,10,10,10,202,0
PRSRU.US,5,20211110,215500,10,10,10,10,300,0
PRSRU.US,5,20211111,155000,9.98,9.98,9.98,9.98,281,0
PRSRU.US,5,20211111,164000,9.99,10,9.99,10,800,0
PRSRU.US,5,20211111,174500,9.99,9.99,9.99,9.99,1200,0
PRSRU.US,5,20211111,184500,9.99,9.99,9.99,9.99,200,0
PRSRU.US,5,20211111,190500,10,10,10,10,750,0
PRSRU.US,5,20211111,195000,10,10,10,10,100,0
PRSRU.US,5,20211111,201500,9.9809,9.9809,9.9809,9.9809,462,0
