<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNST.US,5,20211104,143000,17.79,18.23,16.6,16.8,128965,0
QNST.US,5,20211104,143500,16.79,16.87,16.1,16.47,45162,0
QNST.US,5,20211104,144000,16.57,16.61,16.0041,16.3724,37520,0
QNST.US,5,20211104,144500,16.19,16.5599,15.7913,16.12,39245,0
QNST.US,5,20211104,145000,16.09,16.33,15.96,16.09,37608,0
QNST.US,5,20211104,145500,16.11,16.19,15.8,15.9241,21739,0
QNST.US,5,20211104,150000,15.87,16.32,15.74,16.21,21409,0
QNST.US,5,20211104,150500,16.21,16.26,15.86,15.945,18714,0
QNST.US,5,20211104,151000,15.89,15.89,15.72,15.835,10678,0
QNST.US,5,20211104,151500,15.835,15.99,15.8,15.82,25813,0
QNST.US,5,20211104,152000,15.83,16.0299,15.82,15.975,15878,0
QNST.US,5,20211104,152500,15.975,16.005,15.79,15.86,20188,0
QNST.US,5,20211104,153000,15.86,16.02,15.82,15.94,9815,0
QNST.US,5,20211104,153500,15.945,15.945,15.56,15.76,20355,0
QNST.US,5,20211104,154000,15.755,15.82,15.41,15.495,17988,0
QNST.US,5,20211104,154500,15.56,15.71,15.525,15.65,9652,0
QNST.US,5,20211104,155000,15.64,15.64,15.48,15.54,11405,0
QNST.US,5,20211104,155500,15.545,15.58,15.46,15.57,14529,0
QNST.US,5,20211104,160000,15.56,15.74,15.56,15.61,15572,0
QNST.US,5,20211104,160500,15.618,15.618,15.48,15.49,16817,0
QNST.US,5,20211104,161000,15.5,15.56,15.465,15.49,6592,0
QNST.US,5,20211104,161500,15.52,15.67,15.5,15.58,4500,0
QNST.US,5,20211104,162000,15.51,15.56,15.49,15.52,13636,0
QNST.US,5,20211104,162500,15.5,15.55,15.49,15.55,3404,0
QNST.US,5,20211104,163000,15.55,15.6,15.495,15.6,5243,0
QNST.US,5,20211104,163500,15.58,15.6791,15.575,15.595,7511,0
QNST.US,5,20211104,164000,15.62,15.62,15.49,15.53,13194,0
QNST.US,5,20211104,164500,15.51,15.51,15.35,15.395,26748,0
QNST.US,5,20211104,165000,15.37,15.4199,15.29,15.4199,9600,0
QNST.US,5,20211104,165500,15.38,15.43,15.25,15.43,11365,0
QNST.US,5,20211104,170000,15.45,15.45,15.3,15.3,5341,0
QNST.US,5,20211104,170500,15.29,15.31,15.16,15.23,11809,0
QNST.US,5,20211104,171000,15.26,15.43,15.26,15.43,5382,0
QNST.US,5,20211104,171500,15.39,15.56,15.37,15.51,16118,0
QNST.US,5,20211104,172000,15.51,15.51,15.37,15.3899,12444,0
QNST.US,5,20211104,172500,15.36,15.37,15.27,15.297,6610,0
QNST.US,5,20211104,173000,15.305,15.33,15.295,15.31,3027,0
QNST.US,5,20211104,173500,15.3,15.33,15.29,15.32,7930,0
QNST.US,5,20211104,174000,15.3,15.405,15.28,15.405,7543,0
QNST.US,5,20211104,174500,15.42,15.46,15.4056,15.415,3900,0
QNST.US,5,20211104,175000,15.42,15.42,15.28,15.3,16744,0
QNST.US,5,20211104,175500,15.3,15.31,15.25,15.27,7583,0
QNST.US,5,20211104,180000,15.28,15.29,15.24,15.2601,10341,0
QNST.US,5,20211104,180500,15.2797,15.35,15.26,15.35,3242,0
QNST.US,5,20211104,181000,15.35,15.39,15.31,15.325,7521,0
QNST.US,5,20211104,181500,15.34,15.34,15.17,15.18,7849,0
QNST.US,5,20211104,182000,15.19,15.275,15.19,15.225,5924,0
QNST.US,5,20211104,182500,15.22,15.22,15.18,15.215,6324,0
QNST.US,5,20211104,183000,15.21,15.21,15.11,15.1117,5748,0
QNST.US,5,20211104,183500,15.11,15.22,15.08,15.21,10694,0
QNST.US,5,20211104,184000,15.21,15.23,15.14,15.14,6107,0
QNST.US,5,20211104,184500,15.15,15.16,15.1174,15.1174,5425,0
QNST.US,5,20211104,185000,15.12,15.26,15.12,15.245,10189,0
QNST.US,5,20211104,185500,15.245,15.319,15.245,15.319,4974,0
QNST.US,5,20211104,190000,15.3,15.485,15.3,15.455,12515,0
QNST.US,5,20211104,190500,15.46,15.46,15.31,15.31,17450,0
QNST.US,5,20211104,191000,15.32,15.37,15.29,15.36,6265,0
QNST.US,5,20211104,191500,15.36,15.38,15.25,15.28,6381,0
QNST.US,5,20211104,192000,15.2895,15.29,15.1,15.14,11239,0
QNST.US,5,20211104,192500,15.16,15.25,15.145,15.19,10711,0
QNST.US,5,20211104,193000,15.19,15.27,15.16,15.26,24842,0
QNST.US,5,20211104,193500,15.26,15.3,15.26,15.27,5903,0
QNST.US,5,20211104,194000,15.27,15.27,15.22,15.24,11285,0
QNST.US,5,20211104,194500,15.26,15.26,15.21,15.21,5098,0
QNST.US,5,20211104,195000,15.2,15.35,15.2,15.35,5896,0
QNST.US,5,20211104,195500,15.355,15.45,15.355,15.39,8511,0
QNST.US,5,20211104,200000,15.39,15.42,15.34,15.345,7021,0
QNST.US,5,20211104,200500,15.36,15.5259,15.35,15.5259,10087,0
QNST.US,5,20211104,201000,15.54,15.7,15.52,15.61,24435,0
QNST.US,5,20211104,201500,15.63,15.65,15.5,15.585,222329,0
QNST.US,5,20211104,202000,15.6,15.715,15.595,15.67,18970,0
QNST.US,5,20211104,202500,15.67,15.7,15.62,15.685,15451,0
QNST.US,5,20211104,203000,15.685,15.69,15.43,15.465,13752,0
QNST.US,5,20211104,203500,15.46,15.48,15.4,15.44,9634,0
QNST.US,5,20211104,204000,15.47,15.505,15.38,15.49,15390,0
QNST.US,5,20211104,204500,15.485,15.5,15.44,15.5,16513,0
QNST.US,5,20211104,205000,15.48,15.54,15.435,15.52,33177,0
QNST.US,5,20211104,205500,15.53,15.54,15.42,15.46,100388,0
QNST.US,5,20211105,143000,15.5,15.74,15.445,15.74,17890,0
QNST.US,5,20211105,143500,15.73,15.8,15.68,15.7,4396,0
QNST.US,5,20211105,144000,15.71,15.71,15.46,15.46,7701,0
QNST.US,5,20211105,144500,15.4401,15.5087,15.35,15.44,10159,0
QNST.US,5,20211105,145000,15.47,15.47,15.32,15.4,6066,0
QNST.US,5,20211105,145500,15.42,15.43,15.11,15.14,5505,0
QNST.US,5,20211105,150000,15.12,15.24,15.12,15.24,7912,0
QNST.US,5,20211105,150500,15.24,15.28,15.11,15.11,6277,0
QNST.US,5,20211105,151000,15.08,15.11,14.98,14.98,8759,0
QNST.US,5,20211105,151500,15,15.075,15,15.03,3192,0
QNST.US,5,20211105,152000,15.03,15.03,14.97,15.02,3819,0
QNST.US,5,20211105,152500,15.03,15.06,14.95,14.95,4317,0
QNST.US,5,20211105,153000,14.9884,15.04,14.95,14.95,3288,0
QNST.US,5,20211105,153500,14.92,15.02,14.92,15.02,3838,0
QNST.US,5,20211105,154000,15.02,15.02,14.95,14.95,7991,0
QNST.US,5,20211105,154500,14.95,15,14.95,14.96,5050,0
QNST.US,5,20211105,155000,14.95,14.98,14.94,14.96,3295,0
QNST.US,5,20211105,155500,14.94,14.94,14.74,14.84,36864,0
QNST.US,5,20211105,160000,14.87,15.03,14.84,15.005,52030,0
QNST.US,5,20211105,160500,15.02,15.07,15,15.035,7810,0
QNST.US,5,20211105,161000,15.06,15.11,15.02,15.11,28373,0
QNST.US,5,20211105,161500,15.115,15.16,15.09,15.105,6884,0
QNST.US,5,20211105,162000,15.09,15.1,15.03,15.05,2904,0
QNST.US,5,20211105,162500,15.05,15.08,15.01,15.08,6197,0
QNST.US,5,20211105,163000,15.05,15.08,15.05,15.065,3600,0
QNST.US,5,20211105,163500,15.065,15.13,15.065,15.13,4209,0
QNST.US,5,20211105,164000,15.13,15.13,15.05,15.085,4500,0
QNST.US,5,20211105,164500,15.1,15.12,15.08,15.1,2500,0
QNST.US,5,20211105,165000,15.11,15.11,15.05,15.07,5848,0
QNST.US,5,20211105,165500,15.05,15.11,15.05,15.11,1215,0
QNST.US,5,20211105,170000,15.09,15.095,15.05,15.05,2200,0
QNST.US,5,20211105,170500,15.05,15.06,15.04,15.05,1400,0
QNST.US,5,20211105,171000,15.03,15.03,14.9,14.9,2634,0
QNST.US,5,20211105,171500,14.89,14.9,14.8433,14.8433,5100,0
QNST.US,5,20211105,172000,14.835,14.95,14.835,14.93,19549,0
QNST.US,5,20211105,172500,14.95,14.98,14.9,14.98,3700,0
QNST.US,5,20211105,173000,15.025,15.1,15,15.08,3200,0
QNST.US,5,20211105,173500,15.09,15.11,15.085,15.11,3837,0
QNST.US,5,20211105,174000,15.11,15.125,15.08,15.11,8311,0
QNST.US,5,20211105,174500,15.11,15.13,15.11,15.13,3100,0
QNST.US,5,20211105,175000,15.13,15.18,15.13,15.18,7284,0
QNST.US,5,20211105,175500,15.17,15.18,15.14,15.155,3600,0
QNST.US,5,20211105,180000,15.17,15.17,15.1,15.1,3600,0
QNST.US,5,20211105,180500,15.09,15.1,15.07,15.095,3886,0
QNST.US,5,20211105,181000,15.08,15.1,15.05,15.085,6061,0
QNST.US,5,20211105,181500,15.1,15.14,15.08,15.1,3930,0
QNST.US,5,20211105,182000,15.1,15.1,14.98,15,5000,0
QNST.US,5,20211105,182500,14.95,15,14.95,15,6600,0
