<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBKB.US,5,20211104,143000,10.88,10.88,10.88,10.88,154,0
RBKB.US,5,20211105,144000,10.8215,10.8215,10.8215,10.8215,138,0
RBKB.US,5,20211105,155000,10.88,10.88,10.88,10.88,200,0
RBKB.US,5,20211105,155500,10.88,10.88,10.88,10.88,997,0
RBKB.US,5,20211105,162000,10.81,10.81,10.81,10.81,100,0
RBKB.US,5,20211108,193000,10.8444,10.8444,10.8444,10.8444,244,0
RBKB.US,5,20211109,153000,10.81,10.81,10.81,10.81,249,0
RBKB.US,5,20211109,160500,10.88,10.88,10.88,10.88,148,0
RBKB.US,5,20211109,163000,10.8773,10.8773,10.8773,10.8773,172,0
RBKB.US,5,20211109,185000,10.88,10.88,10.88,10.88,100,0
RBKB.US,5,20211109,193500,10.8783,10.88,10.81,10.81,1970,0
RBKB.US,5,20211110,160500,10.81,10.81,10.81,10.81,3000,0
RBKB.US,5,20211110,184500,10.81,10.8101,10.81,10.81,5023,0
RBKB.US,5,20211110,203500,10.845,10.845,10.845,10.845,100,0
RBKB.US,5,20211110,215500,10.82,10.82,10.82,10.82,100,0
RBKB.US,5,20211111,175000,10.815,10.815,10.815,10.815,200,0
RBKB.US,5,20211111,175500,10.8184,10.8193,10.8184,10.8193,200,0
RBKB.US,5,20211111,185000,10.815,10.815,10.815,10.815,100,0
RBKB.US,5,20211111,201500,10.81,10.81,10.81,10.81,2100,0
RBKB.US,5,20211111,214500,10.8182,10.8182,10.815,10.815,400,0
RBKB.US,5,20211112,213000,10.8795,11.11,10.81,11.11,8966,0
RBKB.US,5,20211112,215500,10.83,10.83,10.83,10.83,100,0
RBKB.US,5,20211115,153000,10.9,10.9,10.9,10.9,411,0
RBKB.US,5,20211116,153000,10.82,10.82,10.82,10.82,135,0
RBKB.US,5,20211116,160500,10.8276,10.8276,10.8276,10.8276,100,0
RBKB.US,5,20211116,164500,10.82,10.82,10.82,10.82,100,0
RBKB.US,5,20211116,181000,10.83,10.84,10.83,10.8399,17138,0
RBKB.US,5,20211116,181500,10.82,10.82,10.82,10.82,200,0
RBKB.US,5,20211116,190000,10.82,10.82,10.82,10.82,100,0
RBKB.US,5,20211116,201500,10.83,10.83,10.83,10.83,600,0
RBKB.US,5,20211116,212000,10.82,10.82,10.82,10.82,100,0
RBKB.US,5,20211116,215500,10.82,10.82,10.82,10.82,100,0
RBKB.US,5,20211117,153000,10.85,10.85,10.8498,10.8498,400,0
RBKB.US,5,20211117,160000,10.86,10.86,10.8598,10.8598,4000,0
RBKB.US,5,20211117,162500,11.29,11.3,11.29,11.3,200,0
RBKB.US,5,20211117,173000,11.27,11.29,11.27,11.29,200,0
RBKB.US,5,20211117,182000,11.28,11.28,11.28,11.28,100,0
RBKB.US,5,20211117,192000,11.21,11.21,11.21,11.21,100,0
RBKB.US,5,20211117,200500,11.19,11.19,11.19,11.19,100,0
RBKB.US,5,20211117,202000,11.19,11.19,11.19,11.19,100,0
RBKB.US,5,20211118,184500,10.89,10.89,10.85,10.8601,5805,0
RBKB.US,5,20211118,214000,10.87,10.87,10.87,10.87,100,0
RBKB.US,5,20211119,164000,11.1897,11.1897,11.1897,11.1897,500,0
RBKB.US,5,20211119,172000,10.87,10.87,10.87,10.87,200,0
RBKB.US,5,20211119,215500,10.88,10.88,10.88,10.88,252,0
RBKB.US,5,20211122,184500,11.05,11.05,10.8975,10.8975,200,0
RBKB.US,5,20211123,180000,11.035,11.035,11.035,11.035,114,0
RBKB.US,5,20211123,204000,10.9276,10.9276,10.9276,10.9276,200,0
RBKB.US,5,20211123,215500,10.9,10.9,10.9,10.9,172,0
RBKB.US,5,20211124,171500,10.905,10.93,10.905,10.93,980,0
RBKB.US,5,20211126,165000,10.88,10.88,10.88,10.88,200,0
RBKB.US,5,20211126,175000,10.88,10.88,10.88,10.88,200,0
RBKB.US,5,20211126,183000,10.88,10.88,10.88,10.88,3000,0
RBKB.US,5,20211129,153000,10.83,10.83,10.83,10.83,252,0
RBKB.US,5,20211129,163500,10.81,10.8101,10.81,10.8101,388,0
RBKB.US,5,20211129,214000,10.86,10.87,10.8463,10.8463,1192,0
RBKB.US,5,20211129,215000,10.8,10.8,10.62,10.62,200,0
RBKB.US,5,20211130,164500,10.87,10.89,10.87,10.89,2254,0
RBKB.US,5,20211130,175000,10.7,10.7,10.7,10.7,500,0
RBKB.US,5,20211130,214000,10.95,10.95,10.95,10.95,100,0
RBKB.US,5,20211130,215500,10.79,10.79,10.72,10.72,200,0
RBKB.US,5,20211201,153000,10.72,10.72,10.72,10.72,522,0
RBKB.US,5,20211201,154500,10.87,10.87,10.87,10.87,500,0
RBKB.US,5,20211201,161000,10.87,10.87,10.83,10.83,483,0
RBKB.US,5,20211201,171000,10.87,10.87,10.87,10.87,200,0
RBKB.US,5,20211201,191500,10.89,10.89,10.84,10.89,6165,0
RBKB.US,5,20211201,201500,10.72,10.72,10.72,10.72,100,0
RBKB.US,5,20211201,214500,10.72,10.75,10.72,10.75,1000,0
