<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDFN.US,5,20211104,143000,47.975,49.01,47.7574,49.005,53750,0
RDFN.US,5,20211104,143500,48.98,49.62,48.93,49.2,61179,0
RDFN.US,5,20211104,144000,49.17,49.24,48.7,48.975,28961,0
RDFN.US,5,20211104,144500,49.05,49.62,48.89,49.23,21847,0
RDFN.US,5,20211104,145000,49.25,49.95,49.23,49.87,16878,0
RDFN.US,5,20211104,145500,49.83,49.87,49.32,49.57,8047,0
RDFN.US,5,20211104,150000,49.57,50.14,49.55,50.09,9283,0
RDFN.US,5,20211104,150500,50.1,50.28,50,50.21,11541,0
RDFN.US,5,20211104,151000,50.18,50.31,49.655,49.655,14099,0
RDFN.US,5,20211104,151500,49.655,49.88,49.54,49.5907,13869,0
RDFN.US,5,20211104,152000,49.605,49.605,49.215,49.31,13358,0
RDFN.US,5,20211104,152500,49.31,49.6555,49.31,49.6083,9596,0
RDFN.US,5,20211104,153000,49.62,49.98,49.62,49.905,17225,0
RDFN.US,5,20211104,153500,49.91,50,49.51,49.6825,29304,0
RDFN.US,5,20211104,154000,49.72,50.03,49.7,50.01,21792,0
RDFN.US,5,20211104,154500,50.01,50.1,49.93,49.97,13366,0
RDFN.US,5,20211104,155000,49.98,50.02,49.68,49.804,14759,0
RDFN.US,5,20211104,155500,49.83,49.99,49.6518,49.99,15760,0
RDFN.US,5,20211104,160000,49.94,50.12,49.86,50.04,22654,0
RDFN.US,5,20211104,160500,50.045,50.045,49.9,49.92,23314,0
RDFN.US,5,20211104,161000,49.95,49.95,49.67,49.885,25897,0
RDFN.US,5,20211104,161500,49.8549,49.9,49.7476,49.77,17450,0
RDFN.US,5,20211104,162000,49.77,49.775,49.56,49.6698,27574,0
RDFN.US,5,20211104,162500,49.67,49.815,49.55,49.8,19470,0
RDFN.US,5,20211104,163000,49.785,49.955,49.72,49.88,9280,0
RDFN.US,5,20211104,163500,49.89,50.08,49.8429,50.042,13069,0
RDFN.US,5,20211104,164000,50.055,50.09,49.87,50.07,7284,0
RDFN.US,5,20211104,164500,50.04,50.05,49.87,49.96,3580,0
