<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGC.US,5,20211104,143000,19.34,19.48,19.26,19.26,755,0
RGC.US,5,20211104,144500,19.02,19.21,18.79,19.21,15023,0
RGC.US,5,20211104,145000,19.09,19.09,18.675,19.09,916,0
RGC.US,5,20211104,145500,19.21,19.5,19.08,19.42,3500,0
RGC.US,5,20211104,151000,19.37,19.37,18.76,18.99,400,0
RGC.US,5,20211104,152000,19.04,19.09,19,19,1812,0
RGC.US,5,20211104,152500,18.9109,18.92,18.7674,18.79,1800,0
RGC.US,5,20211104,153000,19.1,19.35,19.1,19.2,1500,0
RGC.US,5,20211104,155000,19.35,19.35,19.25,19.35,1785,0
RGC.US,5,20211104,155500,19.4,19.75,19.4,19.75,5248,0
RGC.US,5,20211104,160000,19.85,19.85,19.48,19.75,3300,0
RGC.US,5,20211104,160500,19.6161,19.74,19.455,19.46,641,0
RGC.US,5,20211104,161000,19.75,19.75,19.75,19.75,700,0
RGC.US,5,20211104,162000,19.73,19.73,19.73,19.73,300,0
RGC.US,5,20211104,162500,19.73,19.73,19.73,19.73,300,0
RGC.US,5,20211104,163500,19.73,19.73,19.73,19.73,100,0
RGC.US,5,20211104,164500,19.7129,19.7129,19.7129,19.7129,100,0
RGC.US,5,20211104,165000,19.7,19.7,19.7,19.7,944,0
RGC.US,5,20211104,171500,19.785,19.785,19.785,19.785,150,0
RGC.US,5,20211104,172500,19.67,19.67,19.67,19.67,100,0
RGC.US,5,20211104,175000,19.815,19.815,19.6817,19.6817,203,0
RGC.US,5,20211104,175500,19.96,19.96,19.96,19.96,201,0
RGC.US,5,20211104,180000,19.93,19.93,19.93,19.93,100,0
RGC.US,5,20211104,181500,19.95,19.95,19.95,19.95,200,0
RGC.US,5,20211104,183500,19.96,19.98,19.96,19.96,360,0
RGC.US,5,20211104,184000,20,20.4,19.99,20.4,9003,0
RGC.US,5,20211104,184500,20.9799,21,20.97,21,1920,0
RGC.US,5,20211104,185000,20.9584,20.9584,20.8127,20.8127,400,0
RGC.US,5,20211104,185500,20.87,20.87,20.87,20.87,109,0
RGC.US,5,20211104,190000,20.86,20.86,20.86,20.86,100,0
RGC.US,5,20211104,191500,20.86,20.86,20.86,20.86,300,0
RGC.US,5,20211104,192500,20.9729,21,20.9469,20.9469,4889,0
RGC.US,5,20211104,193000,21,21,20.9952,20.9952,2075,0
RGC.US,5,20211104,194000,21.0148,21.0148,21,21,400,0
RGC.US,5,20211104,194500,21.34,21.3499,21.2739,21.3499,800,0
RGC.US,5,20211104,200000,21.7751,21.9739,21.675,21.675,1973,0
RGC.US,5,20211104,200500,21.8617,21.9,21.71,21.71,923,0
RGC.US,5,20211104,201500,21.839,22.4099,21.6,22.4099,6007,0
RGC.US,5,20211104,202000,21.9527,22.5,21.9527,22.5,2814,0
RGC.US,5,20211104,202500,22.5,22.5,22.4201,22.4201,6191,0
RGC.US,5,20211104,203000,22.7139,22.8,20.9,21.59,49597,0
RGC.US,5,20211104,203500,20.3801,20.3801,20.3801,20.3801,100,0
RGC.US,5,20211104,204000,20.4801,20.4801,20.4801,20.4801,400,0
RGC.US,5,20211104,204500,20.97,20.97,20.93,20.93,200,0
RGC.US,5,20211104,205500,20.8989,20.94,20.76,20.94,1226,0
RGC.US,5,20211105,143000,21.1,21.755,21.1,21.755,1728,0
RGC.US,5,20211105,143500,21.6376,21.6376,21.6376,21.6376,300,0
RGC.US,5,20211105,144000,21.375,21.4,21.158,21.4,719,0
RGC.US,5,20211105,144500,20.99,21.69,20.99,21.5,1100,0
RGC.US,5,20211105,145000,21.488,21.488,21.488,21.488,200,0
RGC.US,5,20211105,150500,21.265,21.54,21.0864,21.0864,1020,0
RGC.US,5,20211105,151000,21.3344,21.3344,21.3344,21.3344,200,0
RGC.US,5,20211105,151500,21.05,21.055,20.61,21.055,7490,0
RGC.US,5,20211105,152500,20.265,20.265,20,20,1700,0
RGC.US,5,20211105,153000,20.01,20.0865,20.01,20.0865,649,0
RGC.US,5,20211105,153500,20.08,20.1,19.21,19.47,4346,0
RGC.US,5,20211105,154000,19.405,19.52,19.35,19.5,1900,0
RGC.US,5,20211105,155500,19.53,19.53,19.53,19.53,800,0
RGC.US,5,20211105,160000,19.56,19.726,19.56,19.675,1700,0
RGC.US,5,20211105,160500,19.75,20.01,19.75,19.8124,2685,0
RGC.US,5,20211105,161000,20.5,20.5,20.5,20.5,1021,0
RGC.US,5,20211105,161500,20.36,20.36,20.36,20.36,300,0
RGC.US,5,20211105,162000,20.25,20.47,20.25,20.47,1100,0
RGC.US,5,20211105,162500,20.39,20.41,20.266,20.266,1105,0
RGC.US,5,20211105,163000,20.2,20.29,20.2,20.29,795,0
RGC.US,5,20211105,163500,20.05,20.23,20.03,20.23,1300,0
RGC.US,5,20211105,164000,20.3062,20.3062,20.3062,20.3062,111,0
RGC.US,5,20211105,165000,20,20,19.735,19.735,561,0
RGC.US,5,20211105,165500,19.9,19.9,19.68,19.8777,2200,0
RGC.US,5,20211105,170000,20.09,20.14,20.09,20.14,400,0
RGC.US,5,20211105,170500,20.1,20.1,20.1,20.1,1271,0
RGC.US,5,20211105,171000,19.9999,20.1,19.9,20.1,1900,0
RGC.US,5,20211105,171500,20.2,20.2,20.2,20.2,500,0
RGC.US,5,20211105,172000,20.2,20.53,20.2,20.25,3637,0
RGC.US,5,20211105,174500,20.35,20.35,20.33,20.33,1200,0
RGC.US,5,20211105,175500,20.48,20.48,20.35,20.35,500,0
RGC.US,5,20211105,182000,20.155,20.155,20.155,20.155,350,0
RGC.US,5,20211105,182500,20.0841,20.0841,20.0841,20.0841,200,0
RGC.US,5,20211105,191500,20.0286,20.0286,20,20,1440,0
RGC.US,5,20211105,193500,19.79,19.96,19.73,19.73,1378,0
RGC.US,5,20211105,203000,19.89,19.97,19.89,19.97,300,0
RGC.US,5,20211105,204000,19.97,19.97,19.97,19.97,282,0
RGC.US,5,20211105,204500,19.98,19.98,19.98,19.98,200,0
RGC.US,5,20211105,205000,19.9,19.9,19.9,19.9,246,0
RGC.US,5,20211105,205500,20.24,20.29,20.23,20.29,1477,0
RGC.US,5,20211108,153000,20.42,21.0499,20.3,21.0499,901,0
RGC.US,5,20211108,153500,20.5,20.635,20.5,20.635,400,0
