<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RTLR.US,5,20211104,143000,11.489,11.491,11.367,11.401,2786,0
RTLR.US,5,20211104,143500,11.371,11.44,11.338,11.401,6080,0
RTLR.US,5,20211104,144000,11.381,11.499,11.381,11.435,7102,0
RTLR.US,5,20211104,144500,11.528,11.528,11.489,11.489,409,0
RTLR.US,5,20211104,145000,11.45,11.45,11.332,11.332,3985,0
RTLR.US,5,20211104,145500,11.332,11.342,11.254,11.283,5927,0
RTLR.US,5,20211104,150000,11.269,11.371,11.269,11.352,25813,0
RTLR.US,5,20211104,150500,11.305,11.352,11.283,11.352,3724,0
RTLR.US,5,20211104,151000,11.303,11.303,11.269,11.291,12690,0
RTLR.US,5,20211104,151500,11.279,11.303,11.244,11.264,6924,0
RTLR.US,5,20211104,152000,11.264,11.264,11.205,11.215,7464,0
RTLR.US,5,20211104,152500,11.195,11.195,11.127,11.127,8452,0
RTLR.US,5,20211104,153000,11.127,11.137,11.122,11.127,3598,0
RTLR.US,5,20211104,153500,11.127,11.234,11.127,11.215,1875,0
RTLR.US,5,20211104,154000,11.215,11.22,11.205,11.205,1786,0
RTLR.US,5,20211104,154500,11.205,11.205,11.107,11.132,3914,0
RTLR.US,5,20211104,155000,11.078,11.086,11.058,11.068,1895,0
RTLR.US,5,20211104,155500,11.068,11.156,11.068,11.156,3896,0
RTLR.US,5,20211104,160000,11.127,11.132,11.058,11.117,7139,0
RTLR.US,5,20211104,160500,11.058,11.146,11.058,11.083,8915,0
RTLR.US,5,20211104,161000,11.107,11.205,11.106,11.14,8328,0
RTLR.US,5,20211104,161500,11.122,11.283,11.107,11.283,1839,0
RTLR.US,5,20211104,162000,11.283,11.283,11.117,11.19,1839,0
RTLR.US,5,20211104,162500,11.117,11.127,11.117,11.117,1328,0
RTLR.US,5,20211104,163000,11.137,11.137,11.107,11.107,715,0
RTLR.US,5,20211104,163500,11.107,11.107,11.039,11.097,27220,0
RTLR.US,5,20211104,164000,11.112,11.112,11.088,11.097,2452,0
RTLR.US,5,20211104,164500,11.097,11.122,11.029,11.039,2504,0
RTLR.US,5,20211104,165000,11.029,11.029,11.019,11.019,5952,0
RTLR.US,5,20211104,165500,11.029,11.05,11.024,11.036,2870,0
RTLR.US,5,20211104,170000,11.03,11.049,11.029,11.029,2452,0
RTLR.US,5,20211104,170500,11.029,11.053,11.021,11.049,14983,0
RTLR.US,5,20211104,171000,11.049,11.058,11.009,11.039,14443,0
RTLR.US,5,20211104,171500,11.049,11.049,11.018,11.029,3308,0
RTLR.US,5,20211104,172000,11.029,11.038,11.009,11.019,4358,0
RTLR.US,5,20211104,172500,11.019,11.029,11,11.029,11848,0
RTLR.US,5,20211104,173000,11.029,11.029,11.011,11.029,2970,0
RTLR.US,5,20211104,173500,11.029,11.029,11.003,11.003,2358,0
RTLR.US,5,20211104,174000,11.024,11.024,10.97,11.023,5797,0
RTLR.US,5,20211104,174500,11.009,11.039,10.98,10.98,8671,0
RTLR.US,5,20211104,175000,10.97,11,10.951,11,1748,0
RTLR.US,5,20211104,175500,11,11.009,11,11.005,8073,0
RTLR.US,5,20211104,180000,10.97,10.97,10.936,10.936,1771,0
RTLR.US,5,20211104,180500,10.887,10.926,10.882,10.926,1328,0
RTLR.US,5,20211104,181000,10.96,10.96,10.96,10.96,511,0
RTLR.US,5,20211104,181500,10.96,10.96,10.931,10.931,1533,0
RTLR.US,5,20211104,182000,10.931,10.931,10.926,10.926,703,0
RTLR.US,5,20211104,182500,10.892,10.931,10.892,10.921,2507,0
RTLR.US,5,20211104,183000,10.951,10.951,10.784,10.819,14699,0
RTLR.US,5,20211104,183500,10.814,10.823,10.784,10.805,1942,0
RTLR.US,5,20211104,184000,10.863,10.882,10.863,10.882,769,0
RTLR.US,5,20211104,184500,10.902,10.98,10.902,10.98,2397,0
RTLR.US,5,20211104,185000,10.946,10.946,10.921,10.921,1431,0
RTLR.US,5,20211104,185500,10.942,10.942,10.936,10.936,817,0
RTLR.US,5,20211104,190000,10.921,10.921,10.843,10.897,1328,0
RTLR.US,5,20211104,190500,10.877,10.892,10.863,10.892,1533,0
RTLR.US,5,20211104,191000,10.872,10.872,10.872,10.872,1226,0
RTLR.US,5,20211104,191500,10.882,10.892,10.868,10.868,2721,0
RTLR.US,5,20211104,192000,10.868,10.912,10.859,10.912,6029,0
RTLR.US,5,20211104,192500,10.843,10.912,10.843,10.877,4292,0
RTLR.US,5,20211104,193000,10.877,10.911,10.877,10.892,2460,0
RTLR.US,5,20211104,193500,10.912,10.97,10.892,10.931,1226,0
RTLR.US,5,20211104,194000,10.936,10.951,10.936,10.951,307,0
RTLR.US,5,20211104,194500,10.951,10.951,10.931,10.951,715,0
RTLR.US,5,20211104,195000,10.931,10.969,10.902,10.969,3468,0
RTLR.US,5,20211104,195500,10.961,10.961,10.946,10.946,2556,0
RTLR.US,5,20211104,200000,10.97,10.97,10.941,10.97,3219,0
RTLR.US,5,20211104,200500,10.97,10.98,10.961,10.98,745,0
RTLR.US,5,20211104,201000,10.975,11,10.975,11,409,0
RTLR.US,5,20211104,201500,11,11,10.99,10.99,715,0
RTLR.US,5,20211104,202000,11.005,11.039,10.99,11.019,6335,0
RTLR.US,5,20211104,202500,11.024,11.039,11.024,11.024,4190,0
RTLR.US,5,20211104,203000,11.039,11.039,11.009,11.029,3495,0
RTLR.US,5,20211104,203500,11.029,11.044,11.029,11.039,3108,0
RTLR.US,5,20211104,204000,11.019,11.024,10.96,10.96,9854,0
RTLR.US,5,20211104,204500,10.951,10.96,10.941,10.951,2248,0
RTLR.US,5,20211104,205000,10.941,10.951,10.902,10.941,4219,0
RTLR.US,5,20211104,205500,10.941,10.946,10.902,10.912,14287,0
RTLR.US,5,20211105,143000,11.068,11.068,11.068,11.068,3347,0
RTLR.US,5,20211105,143500,11.058,11.058,11.039,11.039,3275,0
RTLR.US,5,20211105,144000,11.049,11.049,11.019,11.019,511,0
RTLR.US,5,20211105,144500,11.019,11.049,11.019,11.019,1635,0
RTLR.US,5,20211105,145000,11.039,11.039,11.039,11.039,102,0
RTLR.US,5,20211105,145500,11.039,11.049,10.97,11.008,4936,0
RTLR.US,5,20211105,150000,11.009,11.068,11.009,11.068,5266,0
RTLR.US,5,20211105,150500,11.068,11.14,11.058,11.078,8910,0
RTLR.US,5,20211105,151000,11.078,11.117,11.078,11.107,6028,0
RTLR.US,5,20211105,151500,11.107,11.156,11.078,11.078,7572,0
RTLR.US,5,20211105,152000,11.04,11.088,11.039,11.039,2679,0
RTLR.US,5,20211105,152500,11.039,11.039,11.039,11.039,511,0
RTLR.US,5,20211105,153000,11.058,11.058,11.009,11.009,824,0
RTLR.US,5,20211105,153500,11.04,11.04,11.029,11.029,24729,0
RTLR.US,5,20211105,154000,11.048,11.048,11.009,11.009,1226,0
RTLR.US,5,20211105,154500,11.019,11.058,11.009,11.058,7251,0
RTLR.US,5,20211105,155000,11.034,11.034,10.96,10.96,3270,0
RTLR.US,5,20211105,155500,11,11,10.941,10.96,8806,0
RTLR.US,5,20211105,160000,10.965,11,10.965,10.98,1828,0
RTLR.US,5,20211105,160500,10.96,10.96,10.96,10.96,613,0
RTLR.US,5,20211105,161000,10.965,10.965,10.965,10.965,511,0
RTLR.US,5,20211105,161500,10.941,10.97,10.941,10.95,6473,0
RTLR.US,5,20211105,162000,10.951,10.951,10.921,10.921,1114,0
RTLR.US,5,20211105,162500,10.921,10.921,10.843,10.843,4247,0
RTLR.US,5,20211105,163000,10.833,10.872,10.833,10.853,817,0
RTLR.US,5,20211105,163500,10.843,10.902,10.843,10.902,6918,0
RTLR.US,5,20211105,164000,10.892,10.97,10.892,10.936,6683,0
RTLR.US,5,20211105,164500,10.941,10.97,10.941,10.945,1269,0
RTLR.US,5,20211105,165000,10.941,10.969,10.941,10.969,204,0
RTLR.US,5,20211105,165500,10.912,10.941,10.882,10.882,1641,0
RTLR.US,5,20211105,170000,10.941,10.96,10.921,10.946,2071,0
RTLR.US,5,20211105,170500,10.936,10.98,10.936,10.98,3290,0
RTLR.US,5,20211105,171000,10.96,10.96,10.96,10.96,102,0
RTLR.US,5,20211105,171500,10.997,10.997,10.98,10.99,1664,0
RTLR.US,5,20211105,172000,10.979,10.979,10.979,10.979,102,0
RTLR.US,5,20211105,172500,10.96,10.98,10.941,10.969,3881,0
RTLR.US,5,20211105,173000,11,11.019,11,11.019,5088,0
RTLR.US,5,20211105,173500,11.009,11.009,11.009,11.009,920,0
RTLR.US,5,20211105,174000,10.99,11.008,10.99,11.008,434,0
RTLR.US,5,20211105,174500,11.019,11.019,10.98,10.98,3576,0
RTLR.US,5,20211105,175000,10.954,10.99,10.954,10.98,2604,0
RTLR.US,5,20211105,175500,11.009,11.019,11,11.019,4803,0
RTLR.US,5,20211105,180000,11.009,11.019,11.009,11.019,6540,0
RTLR.US,5,20211105,180500,11.009,11.028,11.009,11.018,2029,0
RTLR.US,5,20211105,181000,11.019,11.019,11,11,6506,0
RTLR.US,5,20211105,181500,11,11.005,10.995,11,920,0
RTLR.US,5,20211105,182500,10.99,10.99,10.99,10.99,436,0
RTLR.US,5,20211105,183000,11.009,11.009,11.009,11.009,102,0
RTLR.US,5,20211105,183500,10.999,11.017,10.999,11.017,3474,0
RTLR.US,5,20211105,184000,11.019,11.039,11.019,11.039,6002,0
RTLR.US,5,20211105,184500,11.029,11.039,11.009,11.009,42349,0
RTLR.US,5,20211105,185000,11.009,11.009,11.009,11.009,920,0
RTLR.US,5,20211105,185500,11,11,11,11,102,0
RTLR.US,5,20211105,190000,10.99,11,10.99,11,613,0
RTLR.US,5,20211105,190500,11.009,11.009,11,11.009,4197,0
RTLR.US,5,20211105,191000,11.029,11.029,11.029,11.029,307,0
RTLR.US,5,20211105,191500,11.029,11.029,11.019,11.019,614,0
RTLR.US,5,20211105,192000,11.009,11.019,11.009,11.019,498,0
RTLR.US,5,20211105,192500,11.019,11.019,11.009,11.009,2555,0
RTLR.US,5,20211105,193000,11.019,11.029,11.019,11.029,817,0
RTLR.US,5,20211105,193500,11,11.009,10.99,10.99,993,0
RTLR.US,5,20211105,194000,11.009,11.009,10.99,10.99,1942,0
RTLR.US,5,20211105,194500,11.028,11.028,11,11,511,0
RTLR.US,5,20211105,195000,10.99,10.99,10.99,10.99,102,0
RTLR.US,5,20211105,195500,11.009,11.029,11,11.029,2871,0
RTLR.US,5,20211105,200000,11.009,11.029,11.009,11.029,25294,0
RTLR.US,5,20211105,200500,11.019,11.019,11.019,11.019,102,0
RTLR.US,5,20211105,201000,11.029,11.039,11.024,11.029,4538,0
RTLR.US,5,20211105,201500,11.019,11.019,11.013,11.019,16132,0
RTLR.US,5,20211105,202000,11.019,11.019,11.019,11.019,307,0
RTLR.US,5,20211105,202500,11.024,11.024,11.014,11.019,6861,0
RTLR.US,5,20211105,203000,11.009,11.019,11.009,11.019,1942,0
RTLR.US,5,20211105,203500,11.019,11.019,11.019,11.019,1226,0
RTLR.US,5,20211105,204000,11,11.009,11,11.005,961,0
RTLR.US,5,20211105,204500,11.009,11.029,11.009,11.029,29838,0
RTLR.US,5,20211105,205000,11.029,11.029,11.019,11.029,3345,0
RTLR.US,5,20211105,205500,11.019,11.029,10.99,11.009,18575,0
RTLR.US,5,20211108,153000,11.127,11.234,11.078,11.156,8356,0
RTLR.US,5,20211108,153500,11.132,11.205,11.132,11.156,24742,0
RTLR.US,5,20211108,154000,11.166,11.225,11.166,11.21,13893,0
RTLR.US,5,20211108,154500,11.195,11.195,11.146,11.186,5441,0
RTLR.US,5,20211108,155000,11.166,11.166,11.166,11.166,920,0
RTLR.US,5,20211108,160000,11.161,11.166,11.078,11.078,11226,0
RTLR.US,5,20211108,160500,11.117,11.117,11.104,11.104,920,0
RTLR.US,5,20211108,161000,11.088,11.107,11.088,11.095,4491,0
RTLR.US,5,20211108,161500,11.097,11.112,11.053,11.112,6122,0
