<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SANBW.US,5,20211110,175500,0.5256,0.5256,0.5256,0.5256,400,0
SANBW.US,5,20211110,191500,0.5257,0.5257,0.5236,0.5236,1900,0
SANBW.US,5,20211110,204500,0.5101,0.5102,0.51,0.51,22040,0
SANBW.US,5,20211110,210500,0.51,0.51,0.51,0.51,1960,0
SANBW.US,5,20211110,212000,0.5188,0.5188,0.51875,0.51875,600,0
SANBW.US,5,20211110,213000,0.5175,0.5175,0.51,0.51,10000,0
SANBW.US,5,20211110,215500,0.52,0.52,0.52,0.52,2300,0
SANBW.US,5,20211111,153000,0.51,0.52,0.51,0.51,71867,0
SANBW.US,5,20211111,163500,0.4959,0.4959,0.4959,0.4959,800,0
SANBW.US,5,20211111,165500,0.5,0.5,0.5,0.5,126369,0
SANBW.US,5,20211111,174000,0.5,0.5,0.5,0.5,36815,0
SANBW.US,5,20211111,175000,0.4951,0.4951,0.4951,0.4951,200,0
SANBW.US,5,20211111,180000,0.5,0.5,0.4951,0.4951,1700,0
SANBW.US,5,20211111,185000,0.4951,0.4951,0.4951,0.4951,100,0
SANBW.US,5,20211112,213500,0.6135,0.6287,0.6135,0.6287,200,0
SANBW.US,5,20211112,215500,0.55,0.5751,0.55,0.5751,800,0
SANBW.US,5,20211115,153000,0.5111,0.5111,0.5111,0.5111,100,0
SANBW.US,5,20211115,154000,0.511,0.511,0.511,0.511,400,0
SANBW.US,5,20211115,155000,0.5655,0.5655,0.5655,0.5655,172,0
SANBW.US,5,20211115,155500,0.551,0.551,0.55,0.55,400,0
SANBW.US,5,20211115,160500,0.564,0.571,0.55,0.55,700,0
SANBW.US,5,20211115,161500,0.5735,0.578,0.5735,0.5775,133200,0
SANBW.US,5,20211115,162000,0.5773,0.5773,0.5773,0.5773,200,0
SANBW.US,5,20211115,162500,0.5777,0.5777,0.5777,0.5777,100,0
SANBW.US,5,20211115,163000,0.53,0.53,0.5248,0.5248,1200,0
SANBW.US,5,20211115,164000,0.5248,0.53,0.5196,0.53,7600,0
SANBW.US,5,20211115,164500,0.5745,0.5762,0.5723,0.5745,600,0
SANBW.US,5,20211115,170000,0.531,0.5489,0.531,0.531,1400,0
SANBW.US,5,20211115,171500,0.531,0.531,0.531,0.531,400,0
SANBW.US,5,20211115,173500,0.5489,0.56585,0.53,0.542,3150,0
SANBW.US,5,20211115,174500,0.5594,0.5594,0.5594,0.5594,100,0
SANBW.US,5,20211115,180000,0.541,0.541,0.532,0.532,400,0
SANBW.US,5,20211115,181500,0.53,0.5659,0.53,0.53,7400,0
SANBW.US,5,20211115,182000,0.532,0.54,0.53,0.53,12500,0
SANBW.US,5,20211115,182500,0.5288,0.5419,0.5288,0.5419,300,0
SANBW.US,5,20211115,183000,0.5428,0.5428,0.5355,0.5355,500,0
SANBW.US,5,20211115,183500,0.5355,0.5489,0.52,0.5489,1700,0
SANBW.US,5,20211115,184000,0.524,0.5489,0.524,0.5489,16700,0
SANBW.US,5,20211115,184500,0.52,0.52,0.52,0.52,500,0
SANBW.US,5,20211115,185000,0.52,0.52,0.52,0.52,500,0
SANBW.US,5,20211115,185500,0.52,0.52,0.52,0.52,500,0
SANBW.US,5,20211115,190000,0.5344,0.54,0.52,0.5344,500,0
SANBW.US,5,20211115,190500,0.5344,0.5489,0.524,0.5489,1600,0
SANBW.US,5,20211115,191000,0.5489,0.5489,0.5489,0.5489,300,0
SANBW.US,5,20211115,191500,0.5317,0.55475,0.5317,0.5317,1000,0
SANBW.US,5,20211115,192000,0.5317,0.55475,0.5317,0.5317,700,0
SANBW.US,5,20211115,192500,0.5317,0.5663,0.5317,0.5548,900,0
SANBW.US,5,20211115,193000,0.5366,0.5572,0.5366,0.5366,600,0
SANBW.US,5,20211115,193500,0.5366,0.5366,0.5344,0.5344,800,0
SANBW.US,5,20211115,194000,0.5344,0.5489,0.5344,0.5489,500,0
SANBW.US,5,20211115,194500,0.5344,0.5545,0.5312,0.5545,700,0
SANBW.US,5,20211115,195000,0.5312,0.5545,0.5312,0.5545,700,0
SANBW.US,5,20211115,195500,0.5312,0.5545,0.5312,0.5312,1000,0
SANBW.US,5,20211115,200000,0.5344,0.5489,0.5283,0.5283,600,0
SANBW.US,5,20211115,200500,0.5283,0.5777,0.5283,0.5283,700,0
SANBW.US,5,20211115,201000,0.5283,0.5778,0.5283,0.5283,800,0
SANBW.US,5,20211115,201500,0.5283,0.5777,0.5283,0.55305,1000,0
SANBW.US,5,20211115,202000,0.5283,0.5286,0.5283,0.5286,700,0
SANBW.US,5,20211115,202500,0.5286,0.5286,0.5283,0.5283,700,0
SANBW.US,5,20211115,203000,0.5406,0.553,0.52,0.5399,1100,0
SANBW.US,5,20211115,203500,0.52,0.5399,0.52,0.52,800,0
SANBW.US,5,20211115,204000,0.52,0.53,0.52,0.52,700,0
SANBW.US,5,20211115,204500,0.52,0.5299,0.52,0.5249,700,0
SANBW.US,5,20211115,205000,0.52,0.52995,0.52,0.5249,1000,0
SANBW.US,5,20211115,205500,0.52995,0.52995,0.52,0.5225,2400,0
SANBW.US,5,20211115,210000,0.52,0.5225,0.52,0.5225,1200,0
SANBW.US,5,20211115,210500,0.52,0.5225,0.52,0.52,1100,0
SANBW.US,5,20211115,211000,0.52,0.524,0.52,0.524,1100,0
SANBW.US,5,20211115,211500,0.52,0.524,0.52,0.524,800,0
SANBW.US,5,20211115,212000,0.52,0.52,0.511,0.511,1400,0
SANBW.US,5,20211115,212500,0.5122,0.5122,0.512,0.512,400,0
SANBW.US,5,20211115,213000,0.512,0.512,0.511,0.511,1500,0
SANBW.US,5,20211115,213500,0.524,0.524,0.511,0.512,1300,0
SANBW.US,5,20211115,214000,0.512,0.5185,0.512,0.512,1800,0
SANBW.US,5,20211115,214500,0.512,0.512,0.512,0.512,2000,0
SANBW.US,5,20211115,215000,0.512,0.525,0.512,0.525,7700,0
SANBW.US,5,20211115,215500,0.525,0.525,0.525,0.525,9203,0
SANBW.US,5,20211116,153000,0.53,0.53,0.53,0.53,100,0
SANBW.US,5,20211116,175000,0.5279,0.5279,0.5201,0.5201,1300,0
