<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCPH.US,5,20211104,143000,6.06,6.08,6.06,6.08,330,0
SCPH.US,5,20211104,143500,6.0001,6.115,6.0001,6.115,2000,0
SCPH.US,5,20211104,151000,6.15,6.15,6.15,6.15,100,0
SCPH.US,5,20211104,151500,6.115,6.115,6.115,6.115,1000,0
SCPH.US,5,20211104,153000,6.15,6.15,6.15,6.15,100,0
SCPH.US,5,20211104,154000,6.11,6.11,6.11,6.11,500,0
SCPH.US,5,20211104,155000,6.15,6.15,6.13,6.13,600,0
SCPH.US,5,20211104,161000,6.15,6.15,6.15,6.15,100,0
SCPH.US,5,20211104,164500,6.16,6.16,6.16,6.16,100,0
SCPH.US,5,20211104,165000,6.16,6.16,6.16,6.16,200,0
SCPH.US,5,20211104,165500,6.16,6.16,6.16,6.16,200,0
SCPH.US,5,20211104,170000,6.18,6.2,6.15,6.17,9800,0
SCPH.US,5,20211104,171000,6.17,6.17,6.17,6.17,100,0
SCPH.US,5,20211104,173500,6.23,6.23,6.23,6.23,100,0
SCPH.US,5,20211104,174000,6.18,6.18,6.18,6.18,100,0
SCPH.US,5,20211104,185000,6.28,6.28,5.98,6.04,11720,0
SCPH.US,5,20211104,185500,6.045,6.05,6.045,6.05,1700,0
SCPH.US,5,20211104,190500,6.05,6.05,6.05,6.05,400,0
SCPH.US,5,20211104,191000,6.05,6.05,6.05,6.05,698,0
SCPH.US,5,20211104,191500,6.05,6.05,6.04,6.05,1800,0
SCPH.US,5,20211104,192000,6.05,6.05,6.05,6.05,203,0
SCPH.US,5,20211104,193000,6.05,6.05,6.045,6.045,200,0
SCPH.US,5,20211104,193500,6.05,6.05,6.05,6.05,1214,0
SCPH.US,5,20211104,195000,6.05,6.05,6.05,6.05,200,0
SCPH.US,5,20211104,201000,6.04,6.05,6.04,6.05,930,0
SCPH.US,5,20211104,204000,6.27,6.28,6.25,6.28,400,0
SCPH.US,5,20211104,205500,6.05,6.155,5.85,6.04,5899,0
SCPH.US,5,20211105,143000,6.1,6.1,6.1,6.1,108,0
SCPH.US,5,20211105,145500,6.1961,6.1961,6.1961,6.1961,100,0
SCPH.US,5,20211105,151000,6.22,6.34,6.22,6.22,691,0
SCPH.US,5,20211105,154000,6.1885,6.1885,6.1885,6.1885,200,0
SCPH.US,5,20211105,155500,6.15,6.15,6,6.01,2556,0
SCPH.US,5,20211105,161000,6.0528,6.0528,6.0528,6.0528,1000,0
