<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPSC.US,5,20211104,143000,146.1,146.1,145.46,145.46,1487,0
SPSC.US,5,20211104,143500,145.1,146.39,145.1,146.39,200,0
SPSC.US,5,20211104,144000,146.46,146.46,146.46,146.46,100,0
SPSC.US,5,20211104,144500,146.5,146.57,146.205,146.57,1122,0
SPSC.US,5,20211104,145000,146.97,147.715,146.97,147.44,666,0
SPSC.US,5,20211104,150500,146.706,146.706,146.706,146.706,110,0
SPSC.US,5,20211104,151000,147.32,147.99,147.32,147.99,1342,0
SPSC.US,5,20211104,151500,148.46,148.59,148.46,148.59,200,0
SPSC.US,5,20211104,152000,148.4,148.581,147.87,147.87,590,0
SPSC.US,5,20211104,152500,147.98,148.02,147.66,148.02,1300,0
SPSC.US,5,20211104,153500,148.55,148.55,148.06,148.411,1024,0
SPSC.US,5,20211104,154000,147.945,147.96,147.945,147.96,300,0
SPSC.US,5,20211104,154500,147.69,148.09,147.69,147.845,1797,0
SPSC.US,5,20211104,155000,147.75,147.75,146.73,147.3,2359,0
SPSC.US,5,20211104,155500,147.47,147.47,147.24,147.24,200,0
SPSC.US,5,20211104,160000,147.445,147.45,147.1,147.1,900,0
SPSC.US,5,20211104,160500,146.93,147.65,146.93,147.65,1000,0
SPSC.US,5,20211104,161000,147.641,147.955,147.641,147.72,1341,0
SPSC.US,5,20211104,161500,147.96,147.98,147.64,147.98,1315,0
SPSC.US,5,20211104,162000,148.23,148.23,148.02,148.15,3400,0
SPSC.US,5,20211104,162500,148.15,148.285,147.78,147.88,7572,0
SPSC.US,5,20211104,163000,148,148.1,147.75,148.1,2100,0
SPSC.US,5,20211104,163500,148.1,148.65,148.1,148.65,903,0
SPSC.US,5,20211104,164000,148.656,148.74,148.58,148.74,509,0
SPSC.US,5,20211104,164500,148.8,149.25,148.8,149.25,1548,0
SPSC.US,5,20211104,165000,149.155,149.155,149.155,149.155,100,0
SPSC.US,5,20211104,165500,149.46,149.46,149.08,149.43,640,0
SPSC.US,5,20211104,170000,149.54,149.54,149.315,149.345,1200,0
SPSC.US,5,20211104,170500,149.27,149.65,149.27,149.305,2739,0
SPSC.US,5,20211104,171000,149.305,149.53,149.25,149.36,1433,0
SPSC.US,5,20211104,171500,149.6,149.6,149.525,149.525,300,0
SPSC.US,5,20211104,172000,149.525,149.69,149.34,149.34,851,0
SPSC.US,5,20211104,172500,149.52,149.69,149.515,149.69,600,0
SPSC.US,5,20211104,173000,149.61,149.765,149.465,149.5,1100,0
SPSC.US,5,20211104,173500,149.435,149.51,149.435,149.51,300,0
SPSC.US,5,20211104,174000,149.45,149.45,149.45,149.45,100,0
SPSC.US,5,20211104,174500,149.6,149.6,149.6,149.6,100,0
SPSC.US,5,20211104,175000,149.69,149.72,149.53,149.605,1310,0
SPSC.US,5,20211104,175500,149.97,150.37,149.97,150.359,2853,0
SPSC.US,5,20211104,180000,150.373,150.373,149.89,149.95,900,0
SPSC.US,5,20211104,180500,150.035,150.25,150.035,150.25,200,0
SPSC.US,5,20211104,181000,149.981,150.34,149.981,150.22,1576,0
SPSC.US,5,20211104,181500,150.14,150.14,149.98,149.98,400,0
SPSC.US,5,20211104,182000,150.035,150.27,150.035,150.105,900,0
SPSC.US,5,20211104,182500,150.25,150.26,149.99,150.26,700,0
SPSC.US,5,20211104,183000,149.97,150.105,149.66,149.66,1914,0
SPSC.US,5,20211104,183500,149.65,149.71,149.54,149.71,2471,0
SPSC.US,5,20211104,184000,149.855,150.1,149.855,150.1,709,0
SPSC.US,5,20211104,184500,150.52,150.52,150.11,150.11,755,0
SPSC.US,5,20211104,185000,150.53,150.56,150.07,150.485,1144,0
SPSC.US,5,20211104,185500,150.485,150.55,150.3,150.55,1552,0
SPSC.US,5,20211104,190000,150.12,150.12,149.9,149.905,761,0
SPSC.US,5,20211104,190500,150.01,150.095,149.92,150.03,800,0
SPSC.US,5,20211104,192000,149.92,149.965,149.77,149.84,1300,0
SPSC.US,5,20211104,192500,149.805,149.805,149.7,149.77,1940,0
SPSC.US,5,20211104,193000,149.72,149.85,149.7,149.85,2000,0
SPSC.US,5,20211104,193500,149.99,149.99,149.99,149.99,300,0
SPSC.US,5,20211104,194000,149.9,149.9,149.9,149.9,100,0
SPSC.US,5,20211104,194500,149.885,149.885,149.885,149.885,860,0
SPSC.US,5,20211104,195000,149.76,149.76,149.02,149.08,7278,0
SPSC.US,5,20211104,195500,149.12,149.2,148.95,149.11,1149,0
SPSC.US,5,20211104,200000,149.06,149.06,148.955,148.98,506,0
SPSC.US,5,20211104,200500,149.09,149.09,148.79,148.95,1622,0
SPSC.US,5,20211104,201000,149.23,149.23,149.045,149.19,902,0
SPSC.US,5,20211104,201500,149.14,149.35,149.14,149.35,400,0
SPSC.US,5,20211104,202000,149.25,149.355,149.25,149.25,300,0
SPSC.US,5,20211104,202500,149.365,149.49,149.32,149.415,1000,0
SPSC.US,5,20211104,203000,149.57,149.59,149.33,149.45,2182,0
SPSC.US,5,20211104,203500,149.53,149.62,149.25,149.43,1800,0
SPSC.US,5,20211104,204000,149.415,149.65,149.27,149.65,1700,0
SPSC.US,5,20211104,204500,149.665,149.8,149.53,149.78,2000,0
SPSC.US,5,20211104,205000,149.85,149.96,149.47,149.81,5439,0
SPSC.US,5,20211104,205500,149.56,149.63,149.1,149.37,40578,0
SPSC.US,5,20211105,143000,149.94,149.94,149.94,149.94,1605,0
SPSC.US,5,20211105,144000,151.25,151.25,150.38,150.43,1400,0
SPSC.US,5,20211105,144500,150.43,151.57,150.21,151.57,1500,0
SPSC.US,5,20211105,145000,151.79,151.79,151.37,151.37,2000,0
SPSC.US,5,20211105,145500,151.27,151.99,151.27,151.97,1162,0
SPSC.US,5,20211105,150000,151.97,152.57,151.72,152.57,1400,0
SPSC.US,5,20211105,150500,152.73,152.73,152.22,152.5,700,0
SPSC.US,5,20211105,151000,152.22,152.22,152.02,152.02,706,0
SPSC.US,5,20211105,151500,152.32,152.32,151.78,151.78,500,0
SPSC.US,5,20211105,152000,151.857,151.857,150.82,150.82,265,0
SPSC.US,5,20211105,152500,150.92,151.29,150.92,151.04,500,0
SPSC.US,5,20211105,153000,151.24,151.29,150.635,150.635,25005,0
SPSC.US,5,20211105,153500,150.58,150.58,150.58,150.58,100,0
SPSC.US,5,20211105,154000,150.82,150.86,150.43,150.76,14000,0
SPSC.US,5,20211105,154500,150.85,151.08,150.85,151.01,600,0
SPSC.US,5,20211105,155000,151.39,151.56,151.29,151.44,1000,0
SPSC.US,5,20211105,155500,151.27,151.27,150.66,150.72,3527,0
SPSC.US,5,20211105,160000,150.795,150.83,150.402,150.6,3013,0
SPSC.US,5,20211105,160500,150.09,150.22,149.66,149.66,1500,0
SPSC.US,5,20211105,161000,150.39,150.7,150.15,150.7,1005,0
SPSC.US,5,20211105,161500,150.7,150.705,150.56,150.68,5000,0
SPSC.US,5,20211105,162000,150.75,150.9,150.63,150.74,1100,0
SPSC.US,5,20211105,162500,151.01,151.01,150.36,150.36,11144,0
SPSC.US,5,20211105,163000,150.3,150.45,150.18,150.18,3951,0
SPSC.US,5,20211105,163500,149.94,150.48,149.77,150.48,1300,0
SPSC.US,5,20211105,164000,150.49,150.49,150,150.08,1100,0
SPSC.US,5,20211105,164500,149.74,149.74,149.46,149.604,1034,0
SPSC.US,5,20211105,165000,150.14,150.14,149.87,150.07,300,0
SPSC.US,5,20211105,165500,150.18,150.325,150.05,150.05,600,0
SPSC.US,5,20211105,170000,149.87,149.94,149.87,149.94,200,0
SPSC.US,5,20211105,170500,149.63,149.63,149.63,149.63,100,0
SPSC.US,5,20211105,171000,149.93,149.93,149.76,149.76,200,0
SPSC.US,5,20211105,171500,150.1,150.14,149.68,149.76,1300,0
SPSC.US,5,20211105,172000,149.885,149.91,149.72,149.72,935,0
SPSC.US,5,20211105,172500,149.71,149.79,149.61,149.79,700,0
SPSC.US,5,20211105,173000,149.7,149.7,149.488,149.51,1180,0
SPSC.US,5,20211105,173500,149.65,149.65,149.65,149.65,100,0
SPSC.US,5,20211105,174000,149.74,149.79,149.56,149.67,857,0
SPSC.US,5,20211105,174500,149.11,149.38,149.03,149.38,400,0
SPSC.US,5,20211105,175000,149.67,149.68,149.67,149.68,200,0
SPSC.US,5,20211105,175500,149.753,149.753,149.37,149.37,987,0
SPSC.US,5,20211105,180000,149.33,149.33,149.33,149.33,257,0
SPSC.US,5,20211105,180500,149.29,149.29,149.23,149.23,300,0
SPSC.US,5,20211105,181000,149.11,149.11,149,149.01,757,0
SPSC.US,5,20211105,181500,149.01,149.02,148.87,148.87,600,0
