<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SSSSL.US,5,20211220,160500,25.26,25.2606,25.25,25.2606,5600,0
SSSSL.US,5,20211220,161000,25.25,25.25,25.12,25.12,1000,0
SSSSL.US,5,20211220,161500,25.24,25.3,25.24,25.3,1411,0
SSSSL.US,5,20211220,162000,25.28,25.28,25.28,25.28,700,0
SSSSL.US,5,20211220,163000,25.285,25.285,25.28,25.28,1140,0
SSSSL.US,5,20211220,163500,25.28,25.285,25.28,25.28,700,0
SSSSL.US,5,20211220,164000,25.28,25.28,25.28,25.28,100,0
SSSSL.US,5,20211220,164500,25.28,25.285,25.28,25.285,380,0
SSSSL.US,5,20211220,170500,25.28,25.285,25.28,25.285,435,0
SSSSL.US,5,20211220,171000,25.28,25.28,25.28,25.28,1680,0
SSSSL.US,5,20211220,172000,25.28,25.3,25.25,25.3,5965,0
SSSSL.US,5,20211220,172500,25.3,25.3,25.21,25.21,1260,0
SSSSL.US,5,20211220,173000,25.3,25.3,25.28,25.3,3350,0
SSSSL.US,5,20211220,173500,25.3,25.3,25.27,25.3,4500,0
SSSSL.US,5,20211220,174000,25.3,25.39,25.2982,25.2982,5600,0
SSSSL.US,5,20211220,181000,25.35,25.35,25.35,25.35,1000,0
SSSSL.US,5,20211220,181500,25.35,25.35,25.35,25.35,1560,0
SSSSL.US,5,20211220,182000,25.35,25.35,25.35,25.35,2600,0
SSSSL.US,5,20211220,182500,25.35,25.35,25.35,25.35,2600,0
SSSSL.US,5,20211220,190000,25.35,25.35,25.35,25.35,600,0
SSSSL.US,5,20211220,192000,25.29,25.29,25.28,25.28,725,0
SSSSL.US,5,20211220,193500,25.29,25.29,25.28,25.28,307,0
SSSSL.US,5,20211220,195500,25.34,25.34,25.34,25.34,250,0
SSSSL.US,5,20211220,200000,25.34,25.34,25.34,25.34,970,0
SSSSL.US,5,20211220,200500,25.34,25.34,25.34,25.34,755,0
SSSSL.US,5,20211220,201500,25.34,25.34,25.34,25.34,800,0
SSSSL.US,5,20211220,210500,25.29,25.29,25.29,25.29,400,0
SSSSL.US,5,20211220,212000,25.27,25.27,25.27,25.27,1789,0
SSSSL.US,5,20211220,213500,25.27,25.27,25.27,25.27,250,0
SSSSL.US,5,20211220,215500,25.27,25.27,25.27,25.27,500,0
SSSSL.US,5,20211221,154000,25.39,25.4,25.38,25.38,800,0
SSSSL.US,5,20211221,161500,25.5,25.5,25.5,25.5,300,0
SSSSL.US,5,20211221,163500,25.4,25.4,25.4,25.4,1000,0
SSSSL.US,5,20211221,165500,25.45,25.5,25.4,25.5,6061,0
SSSSL.US,5,20211221,171500,25.5,25.5,25.5,25.5,100,0
SSSSL.US,5,20211221,172000,25.5,25.5,25.4912,25.4912,500,0
SSSSL.US,5,20211221,175000,25.5,25.5,25.5,25.5,200,0
SSSSL.US,5,20211221,175500,25.5,25.5,25.5,25.5,200,0
SSSSL.US,5,20211221,181000,25.5,25.5,25.5,25.5,300,0
SSSSL.US,5,20211221,184000,25.4741,25.4741,25.4741,25.4741,100,0
SSSSL.US,5,20211221,184500,25.5,25.5,25.5,25.5,400,0
SSSSL.US,5,20211221,185000,25.5,25.5,25.5,25.5,700,0
SSSSL.US,5,20211221,195500,25.5,25.5,25.5,25.5,100,0
SSSSL.US,5,20211221,201500,25.5,25.5,25.5,25.5,240,0
SSSSL.US,5,20211221,203500,25.45,25.45,25.45,25.45,6400,0
SSSSL.US,5,20211221,204000,25.48,25.48,25.48,25.48,600,0
SSSSL.US,5,20211221,212000,25.49,25.49,25.49,25.49,160,0
SSSSL.US,5,20211222,174500,25.67,25.67,25.67,25.67,100,0
SSSSL.US,5,20211222,195500,25.585,25.585,25.585,25.585,500,0
SSSSL.US,5,20211223,191000,25.75,25.75,25.75,25.75,500,0
SSSSL.US,5,20211223,205000,25.66,25.66,25.66,25.66,300,0
SSSSL.US,5,20211223,215500,25.75,25.75,25.75,25.75,100,0
