<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYRS.US,5,20211104,143000,4.36,4.39,4.35,4.35,2308,0
SYRS.US,5,20211104,143500,4.37,4.41,4.37,4.41,3164,0
SYRS.US,5,20211104,144000,4.38,4.44,4.38,4.43,2052,0
SYRS.US,5,20211104,144500,4.41,4.41,4.4,4.4,2019,0
SYRS.US,5,20211104,145000,4.41,4.42,4.405,4.42,3150,0
SYRS.US,5,20211104,145500,4.41,4.41,4.4,4.4,700,0
SYRS.US,5,20211104,150000,4.41,4.435,4.41,4.43,1503,0
SYRS.US,5,20211104,150500,4.4167,4.44,4.4167,4.44,3123,0
SYRS.US,5,20211104,151000,4.44,4.47,4.44,4.46,4391,0
SYRS.US,5,20211104,151500,4.47,4.49,4.47,4.47,1700,0
SYRS.US,5,20211104,152000,4.47,4.47,4.46,4.4667,4640,0
SYRS.US,5,20211104,152500,4.45,4.455,4.45,4.455,800,0
SYRS.US,5,20211104,153000,4.47,4.48,4.46,4.47,1800,0
SYRS.US,5,20211104,153500,4.47,4.47,4.46,4.46,200,0
SYRS.US,5,20211104,154000,4.44,4.45,4.4277,4.44,2607,0
SYRS.US,5,20211104,154500,4.43,4.46,4.43,4.45,800,0
SYRS.US,5,20211104,155000,4.45,4.45,4.43,4.43,603,0
SYRS.US,5,20211104,155500,4.44,4.4411,4.42,4.44,3573,0
SYRS.US,5,20211104,160000,4.45,4.45,4.43,4.43,851,0
SYRS.US,5,20211104,160500,4.43,4.43,4.42,4.42,800,0
SYRS.US,5,20211104,161000,4.41,4.42,4.41,4.41,3995,0
SYRS.US,5,20211104,161500,4.4,4.4,4.375,4.38,2141,0
SYRS.US,5,20211104,162000,4.37,4.3703,4.36,4.36,4191,0
SYRS.US,5,20211104,163000,4.37,4.38,4.37,4.38,533,0
SYRS.US,5,20211104,163500,4.38,4.41,4.38,4.41,1128,0
SYRS.US,5,20211104,164000,4.4,4.405,4.4,4.4,1100,0
SYRS.US,5,20211104,164500,4.3914,4.3921,4.37,4.37,1000,0
SYRS.US,5,20211104,165000,4.37,4.39,4.37,4.39,659,0
SYRS.US,5,20211104,165500,4.385,4.39,4.38,4.38,4325,0
SYRS.US,5,20211104,170000,4.37,4.37,4.36,4.36,300,0
SYRS.US,5,20211104,170500,4.35,4.38,4.35,4.38,2633,0
SYRS.US,5,20211104,171000,4.3618,4.38,4.3618,4.38,2605,0
SYRS.US,5,20211104,171500,4.39,4.39,4.37,4.37,1613,0
SYRS.US,5,20211104,172000,4.38,4.39,4.375,4.375,600,0
SYRS.US,5,20211104,172500,4.38,4.38,4.375,4.38,1300,0
SYRS.US,5,20211104,173000,4.375,4.38,4.36,4.38,2600,0
SYRS.US,5,20211104,173500,4.37,4.38,4.37,4.38,205,0
SYRS.US,5,20211104,174500,4.375,4.38,4.37,4.38,648,0
SYRS.US,5,20211104,175000,4.375,4.375,4.375,4.375,100,0
SYRS.US,5,20211104,175500,4.38,4.38,4.37,4.38,700,0
SYRS.US,5,20211104,180000,4.375,4.375,4.37,4.37,1716,0
SYRS.US,5,20211104,180500,4.365,4.365,4.365,4.365,100,0
SYRS.US,5,20211104,181000,4.3687,4.37,4.3687,4.37,1060,0
SYRS.US,5,20211104,181500,4.375,4.375,4.37,4.375,650,0
SYRS.US,5,20211104,182500,4.37,4.37,4.365,4.365,1002,0
SYRS.US,5,20211104,183000,4.36,4.36,4.36,4.36,100,0
SYRS.US,5,20211104,184000,4.37,4.385,4.3693,4.385,1028,0
SYRS.US,5,20211104,184500,4.39,4.39,4.38,4.38,1473,0
SYRS.US,5,20211104,185500,4.39,4.39,4.39,4.39,300,0
SYRS.US,5,20211104,190000,4.38,4.385,4.37,4.37,3519,0
SYRS.US,5,20211104,190500,4.37,4.37,4.365,4.365,300,0
SYRS.US,5,20211104,191000,4.36,4.36,4.36,4.36,100,0
SYRS.US,5,20211104,191500,4.36,4.37,4.355,4.37,6060,0
SYRS.US,5,20211104,192000,4.37,4.375,4.37,4.37,700,0
SYRS.US,5,20211104,192500,4.37,4.37,4.37,4.37,200,0
SYRS.US,5,20211104,193000,4.38,4.4,4.38,4.4,500,0
SYRS.US,5,20211104,193500,4.4,4.4,4.39,4.39,1053,0
SYRS.US,5,20211104,194000,4.39,4.4,4.39,4.4,800,0
SYRS.US,5,20211104,194500,4.395,4.395,4.38,4.38,1108,0
SYRS.US,5,20211104,195000,4.39,4.39,4.39,4.39,600,0
SYRS.US,5,20211104,195500,4.385,4.4,4.3801,4.4,2395,0
SYRS.US,5,20211104,200000,4.39,4.41,4.385,4.4,1034,0
SYRS.US,5,20211104,200500,4.41,4.41,4.385,4.39,623,0
SYRS.US,5,20211104,201000,4.395,4.395,4.39,4.39,300,0
SYRS.US,5,20211104,201500,4.4,4.415,4.39,4.405,13484,0
SYRS.US,5,20211104,202000,4.41,4.41,4.4,4.41,1537,0
SYRS.US,5,20211104,202500,4.41,4.41,4.4,4.4,891,0
SYRS.US,5,20211104,203000,4.41,4.41,4.39,4.41,4950,0
SYRS.US,5,20211104,203500,4.41,4.41,4.395,4.395,700,0
SYRS.US,5,20211104,204000,4.4,4.41,4.4,4.4,4830,0
SYRS.US,5,20211104,204500,4.4,4.41,4.395,4.41,3267,0
SYRS.US,5,20211104,205000,4.4,4.41,4.4,4.41,2417,0
SYRS.US,5,20211104,205500,4.4,4.42,4.4,4.42,20804,0
SYRS.US,5,20211105,143000,4.39,4.45,4.3,4.3,7501,0
SYRS.US,5,20211105,143500,4.3,4.39,4.3,4.39,1772,0
SYRS.US,5,20211105,144000,4.36,4.38,4.34,4.38,4285,0
SYRS.US,5,20211105,144500,4.38,4.39,4.36,4.37,13704,0
SYRS.US,5,20211105,145000,4.39,4.43,4.37,4.43,12938,0
SYRS.US,5,20211105,145500,4.44,4.48,4.44,4.48,1812,0
SYRS.US,5,20211105,150000,4.48,4.48,4.44,4.45,9045,0
SYRS.US,5,20211105,150500,4.45,4.46,4.43,4.43,1794,0
SYRS.US,5,20211105,151000,4.41,4.44,4.41,4.43,927,0
SYRS.US,5,20211105,151500,4.43,4.43,4.42,4.42,200,0
SYRS.US,5,20211105,152000,4.4228,4.44,4.42,4.42,1756,0
SYRS.US,5,20211105,152500,4.4325,4.4325,4.39,4.4,6821,0
SYRS.US,5,20211105,153000,4.4,4.43,4.36,4.38,18151,0
SYRS.US,5,20211105,153500,4.38,4.43,4.38,4.42,3678,0
SYRS.US,5,20211105,154000,4.42,4.44,4.42,4.44,6208,0
SYRS.US,5,20211105,154500,4.45,4.48,4.45,4.475,6244,0
SYRS.US,5,20211105,155000,4.475,4.49,4.475,4.49,4569,0
SYRS.US,5,20211105,155500,4.5,4.5,4.47,4.49,4420,0
SYRS.US,5,20211105,160000,4.4987,4.4987,4.485,4.49,2823,0
SYRS.US,5,20211105,160500,4.5,4.5,4.48,4.485,4393,0
SYRS.US,5,20211105,161000,4.49,4.5,4.48,4.48,4844,0
SYRS.US,5,20211105,161500,4.485,4.51,4.475,4.5,3586,0
SYRS.US,5,20211105,162000,4.52,4.52,4.48,4.5,7784,0
SYRS.US,5,20211105,162500,4.5,4.5,4.495,4.495,710,0
SYRS.US,5,20211105,163000,4.495,4.495,4.475,4.475,800,0
SYRS.US,5,20211105,163500,4.4799,4.4799,4.45,4.46,13186,0
SYRS.US,5,20211105,164000,4.46,4.47,4.45,4.47,1349,0
SYRS.US,5,20211105,164500,4.46,4.48,4.46,4.47,2906,0
SYRS.US,5,20211105,165000,4.47,4.48,4.46,4.4774,5090,0
SYRS.US,5,20211105,165500,4.47,4.49,4.47,4.49,4916,0
SYRS.US,5,20211105,170000,4.48,4.4899,4.47,4.48,6431,0
SYRS.US,5,20211105,170500,4.48,4.49,4.46,4.47,10895,0
SYRS.US,5,20211105,171000,4.47,4.51,4.47,4.5,12603,0
SYRS.US,5,20211105,171500,4.51,4.51,4.49,4.505,17977,0
SYRS.US,5,20211105,172000,4.5045,4.51,4.495,4.495,3838,0
SYRS.US,5,20211105,172500,4.49,4.49,4.48,4.48,1900,0
SYRS.US,5,20211105,173000,4.49,4.5,4.48,4.5,913,0
SYRS.US,5,20211105,173500,4.5,4.5,4.49,4.5,2329,0
SYRS.US,5,20211105,174000,4.51,4.51,4.49,4.49,1101,0
SYRS.US,5,20211105,175000,4.49,4.52,4.48,4.5,3154,0
SYRS.US,5,20211105,175500,4.51,4.51,4.48,4.49,15216,0
SYRS.US,5,20211105,180000,4.49,4.51,4.49,4.51,2619,0
SYRS.US,5,20211105,180500,4.51,4.51,4.5001,4.5001,700,0
SYRS.US,5,20211105,181000,4.5054,4.5054,4.49,4.5,3022,0
SYRS.US,5,20211105,181500,4.49,4.5,4.49,4.5,6404,0
SYRS.US,5,20211105,182000,4.5,4.51,4.5,4.51,954,0
SYRS.US,5,20211105,182500,4.5,4.5,4.485,4.49,3750,0
SYRS.US,5,20211105,183000,4.485,4.51,4.475,4.51,3326,0
SYRS.US,5,20211105,183500,4.49,4.5,4.49,4.49,800,0
SYRS.US,5,20211105,184000,4.49,4.49,4.49,4.49,410,0
SYRS.US,5,20211105,184500,4.48,4.49,4.48,4.49,1300,0
SYRS.US,5,20211105,185000,4.5,4.5,4.48,4.48,9290,0
SYRS.US,5,20211105,185500,4.48,4.5,4.48,4.49,28941,0
SYRS.US,5,20211105,190000,4.49,4.5,4.48,4.495,2357,0
SYRS.US,5,20211105,190500,4.495,4.51,4.49,4.51,5920,0
SYRS.US,5,20211105,191000,4.5191,4.5191,4.495,4.5,3500,0
SYRS.US,5,20211105,191500,4.5,4.5,4.48,4.49,1289,0
SYRS.US,5,20211105,192000,4.49,4.5,4.4817,4.4817,2082,0
SYRS.US,5,20211105,192500,4.49,4.5,4.48,4.49,1615,0
SYRS.US,5,20211105,193000,4.495,4.495,4.49,4.495,300,0
SYRS.US,5,20211105,193500,4.4915,4.495,4.485,4.49,2327,0
SYRS.US,5,20211105,194000,4.485,4.49,4.48,4.49,3906,0
SYRS.US,5,20211105,194500,4.485,4.49,4.48,4.49,1800,0
SYRS.US,5,20211105,195000,4.49,4.51,4.48,4.49,27609,0
