<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TIOAW.US,5,20211104,151500,0.8,0.8,0.8,0.8,6500,0
TIOAW.US,5,20211104,171500,0.81,0.81,0.81,0.81,900,0
TIOAW.US,5,20211104,173000,0.81,0.81,0.81,0.81,300,0
TIOAW.US,5,20211104,195000,0.81,0.81,0.81,0.81,650,0
TIOAW.US,5,20211104,204500,0.8,0.8,0.8,0.8,1000,0
TIOAW.US,5,20211105,205500,0.76,0.76,0.76,0.76,134,0
TIOAW.US,5,20211108,162000,0.7511,0.7511,0.7511,0.7511,2500,0
TIOAW.US,5,20211109,212500,0.8,0.8,0.8,0.8,100,0
TIOAW.US,5,20211109,215500,0.8,0.8,0.8,0.8,1500,0
TIOAW.US,5,20211110,204500,0.7511,0.8,0.75,0.7742,3234,0
TIOAW.US,5,20211110,205000,0.7742,0.7742,0.7742,0.7742,100,0
TIOAW.US,5,20211110,214500,0.79,0.8099,0.79,0.8,11367,0
TIOAW.US,5,20211111,153000,0.7885,0.7885,0.7885,0.7885,100,0
TIOAW.US,5,20211111,154500,0.8,0.8,0.8,0.8,4950,0
TIOAW.US,5,20211111,161500,0.8,0.8,0.8,0.8,1162,0
TIOAW.US,5,20211111,174000,0.9198,0.9798,0.9198,0.95813,4748,0
TIOAW.US,5,20211111,174500,0.9298,0.98,0.9298,0.94,5510,0
TIOAW.US,5,20211111,175000,0.932865,0.94,0.932865,0.94,6170,0
TIOAW.US,5,20211111,183000,0.94,0.94,0.94,0.94,6601,0
TIOAW.US,5,20211111,184000,0.9398,0.9399,0.9394,0.9399,2200,0
TIOAW.US,5,20211111,184500,0.94,0.94,0.94,0.94,10565,0
TIOAW.US,5,20211111,185000,0.94,0.94,0.94,0.94,200,0
TIOAW.US,5,20211111,190500,0.94,0.94,0.8499,0.8499,2717,0
TIOAW.US,5,20211111,191000,0.8697,0.8704,0.8697,0.8702,1700,0
TIOAW.US,5,20211111,194500,0.8803,0.8805,0.88,0.88,4083,0
TIOAW.US,5,20211111,195000,0.87,0.87,0.87,0.87,100,0
TIOAW.US,5,20211111,210000,0.87,0.87,0.87,0.87,2800,0
TIOAW.US,5,20211111,213000,0.87,0.87,0.87,0.87,100,0
TIOAW.US,5,20211112,164000,0.8506,0.8506,0.8506,0.8506,200,0
TIOAW.US,5,20211112,191000,0.8506,0.8506,0.8501,0.8501,1298,0
TIOAW.US,5,20211112,213000,0.9599,0.9599,0.9599,0.9599,100,0
TIOAW.US,5,20211112,214000,0.9599,0.9897,0.9274,0.9548,3400,0
TIOAW.US,5,20211112,215500,0.8506,0.8506,0.8506,0.8506,100,0
TIOAW.US,5,20211115,180000,0.9699,0.9699,0.9699,0.9699,200,0
TIOAW.US,5,20211115,195500,0.8827,0.8827,0.8827,0.8827,100,0
TIOAW.US,5,20211115,203000,0.8827,0.8827,0.8827,0.8827,100,0
TIOAW.US,5,20211115,213500,0.9488,0.9488,0.9488,0.9488,100,0
TIOAW.US,5,20211116,161000,0.9499,0.9499,0.9499,0.9499,119,0
TIOAW.US,5,20211116,212500,0.9001,0.900101,0.9001,0.900101,1000,0
TIOAW.US,5,20211118,194000,0.9001,0.9001,0.9001,0.9001,150,0
TIOAW.US,5,20211118,203500,0.9001,0.9002,0.9001,0.9001,2650,0
TIOAW.US,5,20211119,184500,0.920549,0.920549,0.920549,0.920549,146,0
TIOAW.US,5,20211122,201000,0.99,0.99,0.98,0.99,4949,0
TIOAW.US,5,20211122,210000,0.9899,0.9899,0.9899,0.9899,3348,0
TIOAW.US,5,20211122,210500,0.9899,0.9899,0.9701,0.9899,3298,0
TIOAW.US,5,20211122,212000,0.97,0.97,0.97,0.97,100,0
TIOAW.US,5,20211123,161000,1,1.03,1,1.03,14700,0
TIOAW.US,5,20211123,184000,1,1,1,1,1100,0
TIOAW.US,5,20211123,201500,0.9999,0.9999,0.9999,0.9999,100,0
TIOAW.US,5,20211123,210000,0.9998,0.9998,0.9998,0.9998,200,0
TIOAW.US,5,20211123,210500,0.9998,1,0.9998,1,300,0
TIOAW.US,5,20211123,211000,1,1,1,1,500,0
TIOAW.US,5,20211123,211500,1,1.01,1,1.01,303,0
TIOAW.US,5,20211123,212000,1,1,1,1,400,0
TIOAW.US,5,20211123,212500,1,1.01,1,1.01,400,0
TIOAW.US,5,20211123,213000,1,1,1,1,500,0
TIOAW.US,5,20211123,213500,1,1,1,1,500,0
TIOAW.US,5,20211123,214000,1,1,0.9999,1,600,0
TIOAW.US,5,20211123,214500,1,1,1,1,100,0
TIOAW.US,5,20211123,215000,1,1.01,1,1,1200,0
TIOAW.US,5,20211123,215500,1,1,1,1,700,0
TIOAW.US,5,20211124,191500,1,1,1,1,1400,0
TIOAW.US,5,20211129,155000,0.9401,0.9401,0.9301,0.9301,381,0
TIOAW.US,5,20211129,213000,1.17,1.18,1.17,1.17,300,0
TIOAW.US,5,20211202,153000,1.04,1.04,1.04,1.04,100,0
TIOAW.US,5,20211202,154000,0.9501,0.9501,0.9501,0.9501,100,0
TIOAW.US,5,20211202,160500,0.9532,0.9532,0.9532,0.9532,500,0
TIOAW.US,5,20211202,165500,0.96,0.96,0.95,0.95,1600,0
TIOAW.US,5,20211202,185500,0.96,0.96,0.9345,0.9345,8104,0
TIOAW.US,5,20211202,190500,0.94,0.9401,0.94,0.94,2100,0
TIOAW.US,5,20211202,203000,0.94,0.94,0.94,0.94,300,0
TIOAW.US,5,20211202,210500,0.94,0.94,0.94,0.94,100,0
TIOAW.US,5,20211202,212500,0.94,0.94,0.94,0.94,400,0
TIOAW.US,5,20211202,215500,0.94,0.94,0.94,0.94,200,0
TIOAW.US,5,20211203,153000,0.95,0.95,0.95,0.95,136,0
TIOAW.US,5,20211206,153000,0.95,0.95,0.95,0.95,900,0
TIOAW.US,5,20211206,153500,0.95,0.95,0.95,0.95,1100,0
TIOAW.US,5,20211206,154000,0.95,0.9501,0.9401,0.9401,900,0
TIOAW.US,5,20211206,154500,0.9401,0.9401,0.93,0.93,1100,0
TIOAW.US,5,20211206,155000,0.94,0.94,0.8799,0.8799,900,0
TIOAW.US,5,20211206,155500,0.8692,0.8693,0.8692,0.8693,1100,0
TIOAW.US,5,20211206,160000,0.8693,0.8694,0.8693,0.8694,1200,0
TIOAW.US,5,20211206,160500,0.8694,0.8694,0.8501,0.8501,600,0
TIOAW.US,5,20211206,161000,0.8501,0.8501,0.85,0.85,600,0
TIOAW.US,5,20211206,161500,0.85,0.85,0.85,0.85,1100,0
TIOAW.US,5,20211206,162000,0.85,0.85,0.85,0.85,1100,0
TIOAW.US,5,20211206,162500,0.85,0.85,0.85,0.85,1200,0
TIOAW.US,5,20211206,163000,0.85,0.85,0.85,0.85,1100,0
TIOAW.US,5,20211206,163500,0.85,0.85,0.85,0.85,1100,0
TIOAW.US,5,20211206,164000,0.85,0.85,0.7928,0.7928,900,0
TIOAW.US,5,20211206,164500,0.7928,0.8001,0.7801,0.8001,800,0
TIOAW.US,5,20211206,165000,0.8001,0.88,0.8001,0.88,1400,0
TIOAW.US,5,20211206,165500,0.88,0.88,0.88,0.88,1100,0
TIOAW.US,5,20211206,170000,0.88,0.88,0.88,0.88,1000,0
TIOAW.US,5,20211206,170500,0.88,0.88,0.88,0.88,1100,0
TIOAW.US,5,20211206,171000,0.88,0.88,0.801,0.81,1700,0
TIOAW.US,5,20211206,171500,0.806,0.806,0.8,0.8,1200,0
TIOAW.US,5,20211206,172000,0.8,0.8,0.7621,0.7621,1000,0
TIOAW.US,5,20211206,172500,0.77,0.7701,0.7622,0.7701,1200,0
TIOAW.US,5,20211206,173000,0.7701,0.771,0.7701,0.771,1100,0
TIOAW.US,5,20211206,173500,0.771,0.771,0.7702,0.7702,1000,0
TIOAW.US,5,20211206,174000,0.7702,0.7702,0.7347,0.7348,900,0
TIOAW.US,5,20211206,174500,0.7348,0.7367,0.7348,0.7348,1000,0
TIOAW.US,5,20211206,175000,0.7348,0.7348,0.7348,0.7348,1100,0
TIOAW.US,5,20211206,175500,0.7328,0.7328,0.7327,0.7327,1200,0
TIOAW.US,5,20211206,180000,0.7327,0.7328,0.7327,0.7328,900,0
TIOAW.US,5,20211206,180500,0.7328,0.7328,0.7328,0.7328,600,0
TIOAW.US,5,20211206,181000,0.7401,0.7402,0.7401,0.7402,1200,0
TIOAW.US,5,20211206,181500,0.74,0.7422,0.74,0.74,1100,0
TIOAW.US,5,20211206,182000,0.7423,0.7423,0.74,0.7423,1000,0
TIOAW.US,5,20211206,182500,0.7423,0.75,0.7423,0.75,1200,0
TIOAW.US,5,20211206,183000,0.75,0.75,0.74,0.7421,1000,0
TIOAW.US,5,20211206,183500,0.7402,0.7421,0.7402,0.7421,600,0
TIOAW.US,5,20211206,185000,0.77,0.77,0.77,0.77,100,0
TIOAW.US,5,20211206,195500,0.75,0.75,0.75,0.75,790,0
TIOAW.US,5,20211206,200500,0.75,0.75,0.75,0.75,600,0
TIOAW.US,5,20211206,201000,0.75,0.7501,0.75,0.7501,21160,0
TIOAW.US,5,20211206,201500,0.7501,0.7501,0.7501,0.7501,800,0
TIOAW.US,5,20211206,202000,0.7501,0.7501,0.7501,0.7501,920,0
TIOAW.US,5,20211206,203000,0.75,0.752,0.75,0.752,4009,0
TIOAW.US,5,20211206,204000,0.752,0.752,0.743,0.743,626,0
TIOAW.US,5,20211206,212500,0.7648,0.7648,0.7648,0.7648,100,0
TIOAW.US,5,20211206,215000,0.742,0.742,0.74,0.74,1000,0
TIOAW.US,5,20211206,215500,0.75,0.75,0.75,0.75,400,0
TIOAW.US,5,20211207,153000,0.7414,0.7414,0.7414,0.7414,100,0
TIOAW.US,5,20211207,160000,0.84,0.8484,0.84,0.8484,200,0
TIOAW.US,5,20211207,164000,0.84,0.84,0.84,0.84,200,0
TIOAW.US,5,20211207,164500,0.81,0.81,0.81,0.81,100,0
TIOAW.US,5,20211207,173000,0.8277,0.8277,0.8277,0.8277,100,0
TIOAW.US,5,20211207,174000,0.8,0.8,0.8,0.8,100,0
TIOAW.US,5,20211207,174500,0.7418,0.7418,0.7415,0.7415,656,0
TIOAW.US,5,20211207,175000,0.743,0.743,0.743,0.743,200,0
TIOAW.US,5,20211207,185000,0.743,0.743,0.743,0.743,144,0
TIOAW.US,5,20211207,215000,0.7413,0.7413,0.7413,0.7413,100,0
TIOAW.US,5,20211207,215500,0.76,0.8065,0.7413,0.8065,500,0
TIOAW.US,5,20211208,153000,0.9,0.9,0.9,0.9,100,0
TIOAW.US,5,20211208,182000,0.848,0.848,0.78,0.78,2200,0
TIOAW.US,5,20211208,215500,0.81,0.81,0.81,0.81,100,0
TIOAW.US,5,20211209,180500,0.81,0.8787,0.81,0.87,600,0
TIOAW.US,5,20211213,160500,0.81,0.81,0.78,0.78,1800,0
TIOAW.US,5,20211213,161500,0.78,0.78,0.78,0.78,1600,0
TIOAW.US,5,20211213,174500,0.778,0.778,0.778,0.778,670,0
TIOAW.US,5,20211213,175000,0.77,0.77,0.75,0.75,200,0
TIOAW.US,5,20211213,175500,0.7414,0.7414,0.7414,0.7414,200,0
TIOAW.US,5,20211213,184500,0.77,0.8339,0.77,0.8339,800,0
TIOAW.US,5,20211213,185000,0.8239,0.8239,0.808,0.808,900,0
