<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULH.US,5,20211104,143000,20.94,20.94,20.94,20.94,522,0
ULH.US,5,20211104,144000,21.06,21.06,21.04,21.06,400,0
ULH.US,5,20211104,144500,20.94,20.94,20.94,20.94,100,0
ULH.US,5,20211104,160500,20.95,21.01,20.95,21,2400,0
ULH.US,5,20211104,162000,20.98,21.01,20.9,20.9,700,0
ULH.US,5,20211104,162500,20.83,20.83,20.83,20.83,100,0
ULH.US,5,20211104,163500,21,21,21,21,200,0
ULH.US,5,20211104,164000,20.9,20.91,20.9,20.91,700,0
ULH.US,5,20211104,165500,20.91,20.91,20.91,20.91,100,0
ULH.US,5,20211104,170000,20.94,20.94,20.855,20.87,1084,0
ULH.US,5,20211104,171000,20.9,20.9,20.9,20.9,100,0
ULH.US,5,20211104,171500,20.9,20.9,20.9,20.9,200,0
ULH.US,5,20211104,172000,20.915,20.915,20.915,20.915,300,0
ULH.US,5,20211104,172500,20.96,20.96,20.91,20.91,200,0
ULH.US,5,20211104,173000,20.98,20.98,20.91,20.91,200,0
ULH.US,5,20211104,175000,20.95,21.0494,20.85,20.87,941,0
ULH.US,5,20211104,181000,20.96,20.96,20.96,20.96,100,0
ULH.US,5,20211104,182500,20.895,20.895,20.895,20.895,100,0
ULH.US,5,20211104,183500,20.96,20.97,20.83,20.84,1232,0
ULH.US,5,20211104,184500,20.94,20.94,20.94,20.94,100,0
ULH.US,5,20211104,190000,20.93,20.93,20.93,20.93,100,0
ULH.US,5,20211104,190500,20.9574,20.9574,20.9574,20.9574,200,0
ULH.US,5,20211104,192500,20.915,20.915,20.915,20.915,100,0
ULH.US,5,20211104,193000,20.98,20.9877,20.87,20.87,500,0
ULH.US,5,20211104,194500,20.93,20.93,20.92,20.92,600,0
ULH.US,5,20211104,195000,20.84,20.915,20.84,20.88,400,0
ULH.US,5,20211104,203000,20.92,20.92,20.92,20.92,900,0
ULH.US,5,20211104,205500,20.86,20.96,20.83,20.88,3027,0
ULH.US,5,20211105,143000,21.1,21.1,21.1,21.1,139,0
ULH.US,5,20211105,144500,21.2,21.2,21.2,21.2,200,0
ULH.US,5,20211105,150500,21.305,21.305,21.305,21.305,1500,0
