<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVMU.US,5,20211104,144500,49.76,49.76,49.759,49.76,300,0
AVMU.US,5,20211104,145500,49.76,49.77,49.76,49.76,551,0
AVMU.US,5,20211104,190000,49.77,49.77,49.77,49.77,100,0
AVMU.US,5,20211105,143500,49.88,49.88,49.87,49.87,587,0
AVMU.US,5,20211105,162500,49.89,49.89,49.889,49.89,500,0
AVMU.US,5,20211105,200500,49.9,49.9,49.9,49.9,400,0
AVMU.US,5,20211108,171500,49.88,49.88,49.88,49.88,200,0
AVMU.US,5,20211108,200500,49.859,49.859,49.859,49.859,100,0
AVMU.US,5,20211108,203000,49.86,49.86,49.86,49.86,100,0
AVMU.US,5,20211109,163500,49.95,49.97,49.95,49.97,2700,0
AVMU.US,5,20211109,164500,49.97,49.98,49.97,49.9798,2900,0
AVMU.US,5,20211109,165000,49.98,49.98,49.98,49.98,100,0
AVMU.US,5,20211109,193500,49.9796,49.9796,49.9796,49.9796,200,0
AVMU.US,5,20211109,200000,49.9798,49.9798,49.9798,49.9798,208,0
AVMU.US,5,20211110,160000,49.95,49.95,49.95,49.95,273,0
AVMU.US,5,20211110,164500,49.94,49.94,49.94,49.94,267,0
AVMU.US,5,20211110,185500,49.9206,49.9206,49.9206,49.9206,208,0
AVMU.US,5,20211111,164500,49.91,49.91,49.91,49.91,100,0
AVMU.US,5,20211111,203000,49.901,49.901,49.901,49.901,1000,0
AVMU.US,5,20211111,204000,49.8803,49.8803,49.8803,49.8803,1000,0
AVMU.US,5,20211111,204500,49.901,49.901,49.901,49.901,500,0
AVMU.US,5,20211111,211000,49.8802,49.8802,49.8802,49.8802,700,0
AVMU.US,5,20211111,214500,49.88,49.88,49.88,49.88,100,0
AVMU.US,5,20211115,183500,49.861,49.861,49.86,49.86,249,0
AVMU.US,5,20211116,185000,49.88,49.88,49.88,49.88,100,0
AVMU.US,5,20211116,201000,49.879,49.88,49.879,49.88,300,0
AVMU.US,5,20211117,155500,49.859,49.86,49.81,49.835,600,0
AVMU.US,5,20211117,183000,49.83,49.85,49.81,49.826,2300,0
AVMU.US,5,20211117,201000,49.82,49.84,49.82,49.83,465,0
AVMU.US,5,20211119,163500,49.9296,49.9296,49.9296,49.9296,230,0
AVMU.US,5,20211119,205500,49.875,49.875,49.875,49.875,131,0
AVMU.US,5,20211122,173000,49.91,49.91,49.895,49.895,1000,0
AVMU.US,5,20211122,173500,49.9,49.9,49.9,49.9,300,0
AVMU.US,5,20211122,200000,49.87,49.88,49.87,49.87,1500,0
AVMU.US,5,20211122,200500,49.87,49.87,49.87,49.87,600,0
AVMU.US,5,20211122,201000,49.87,49.87,49.87,49.87,700,0
AVMU.US,5,20211122,201500,49.87,49.87,49.87,49.87,800,0
AVMU.US,5,20211122,202000,49.87,49.88,49.87,49.88,700,0
AVMU.US,5,20211122,202500,49.88,49.88,49.88,49.88,800,0
AVMU.US,5,20211122,203000,49.88,49.88,49.88,49.88,700,0
AVMU.US,5,20211122,203500,49.88,49.88,49.88,49.88,800,0
AVMU.US,5,20211122,204000,49.88,49.88,49.879,49.879,400,0
AVMU.US,5,20211123,163500,49.8695,49.8695,49.8695,49.8695,175,0
AVMU.US,5,20211123,180500,49.8047,49.8047,49.8047,49.8047,995,0
AVMU.US,5,20211123,184500,49.82,49.84,49.82,49.84,400,0
AVMU.US,5,20211123,185000,49.84,49.84,49.84,49.84,100,0
AVMU.US,5,20211123,191500,49.82,49.82,49.8001,49.8001,415,0
AVMU.US,5,20211123,192500,49.801,49.801,49.8,49.8,300,0
AVMU.US,5,20211123,205000,49.84,49.84,49.84,49.84,400,0
AVMU.US,5,20211123,215000,49.84,49.84,49.84,49.84,500,0
AVMU.US,5,20211124,163000,49.84,49.84,49.8399,49.8399,529,0
AVMU.US,5,20211126,163000,49.955,49.955,49.951,49.951,417,0
AVMU.US,5,20211126,172500,49.953,49.953,49.953,49.953,1700,0
AVMU.US,5,20211126,191000,49.97,49.97,49.97,49.97,0,0
AVMU.US,5,20211126,213000,49.97,49.97,49.97,49.97,0,0
AVMU.US,5,20211129,190000,49.94,49.97,49.94,49.94,300,0
AVMU.US,5,20211201,163500,49.9996,49.9996,49.9996,49.9996,414,0
AVMU.US,5,20211201,205500,50.055,50.055,50.055,50.055,250,0
AVMU.US,5,20211202,153000,50.01,50.01,50.01,50.01,328,0
AVMU.US,5,20211202,164500,49.99,49.99,49.98,49.98,383,0
AVMU.US,5,20211202,184000,49.941,49.965,49.94,49.965,700,0
AVMU.US,5,20211202,213500,49.989,50,49.9787,50,5210,0
AVMU.US,5,20211202,214000,50,50.01,50,50,2950,0
AVMU.US,5,20211203,165000,50.04,50.04,50.04,50.04,349,0
AVMU.US,5,20211203,195500,50.045,50.045,50.045,50.045,105,0
AVMU.US,5,20211203,205000,50.045,50.07,50.045,50.0699,600,0
AVMU.US,5,20211206,192500,49.965,49.965,49.965,49.965,100,0
AVMU.US,5,20211206,211000,49.98,49.98,49.97,49.97,2700,0
AVMU.US,5,20211206,212000,49.98,49.99,49.98,49.99,4800,0
AVMU.US,5,20211208,153000,49.92,49.92,49.92,49.92,218,0
AVMU.US,5,20211208,172500,49.96,49.96,49.96,49.96,100,0
AVMU.US,5,20211208,195500,49.98,49.98,49.98,49.98,100,0
AVMU.US,5,20211209,211000,49.95,49.96,49.95,49.96,1011,0
AVMU.US,5,20211210,153000,50.04,50.04,50.04,50.04,1202,0
AVMU.US,5,20211210,164000,50.04,50.04,50.04,50.04,862,0
AVMU.US,5,20211210,201000,49.98,49.98,49.98,49.98,100,0
AVMU.US,5,20211210,211500,49.981,49.981,49.98,49.98,600,0
AVMU.US,5,20211213,164500,50.0499,50.0499,50.0499,50.0499,194,0
AVMU.US,5,20211213,212500,50.043,50.043,50.041,50.041,400,0
AVMU.US,5,20211214,165500,50.05,50.05,50.05,50.05,575,0
AVMU.US,5,20211214,183500,50.05,50.05,50.05,50.05,2630,0
AVMU.US,5,20211215,163500,49.99,49.99,49.985,49.985,719,0
AVMU.US,5,20211215,171500,50.04,50.04,50.04,50.04,100,0
AVMU.US,5,20211215,214000,50.01,50.01,50.01,50.01,495,0
AVMU.US,5,20211216,174000,50.04,50.04,50.04,50.04,500,0
AVMU.US,5,20211216,181500,50.05,50.06,50.049,50.06,1368,0
AVMU.US,5,20211216,204500,50,50,50,50,10020,0
AVMU.US,5,20211216,212000,50.025,50.025,50.025,50.025,300,0
AVMU.US,5,20211217,163500,50.011,50.011,50.01,50.01,1320,0
AVMU.US,5,20211217,195500,50.03,50.04,50.03,50.03,1900,0
AVMU.US,5,20211217,205000,50.03,50.03,50.03,50.03,200,0
AVMU.US,5,20211217,205500,50.039,50.04,50.039,50.0399,300,0
AVMU.US,5,20211220,170000,50.04,50.05,50.04,50.05,500,0
AVMU.US,5,20211221,171500,49.94,49.96,49.94,49.96,300,0
AVMU.US,5,20211221,194500,49.94,49.98,49.94,49.98,713,0
AVMU.US,5,20211221,211000,49.97,49.97,49.945,49.945,500,0
AVMU.US,5,20211222,191500,50.01,50.01,50.01,50.01,285,0
AVMU.US,5,20211222,192000,50.029,50.029,50.029,50.029,100,0
AVMU.US,5,20211222,201500,50.03,50.03,50.03,50.03,100,0
AVMU.US,5,20211222,212000,50.04,50.04,50.04,50.04,400,0
AVMU.US,5,20211223,153000,50.06,50.06,50.06,50.06,1737,0
AVMU.US,5,20211223,170000,50.015,50.015,50.015,50.015,281,0
AVMU.US,5,20211223,183000,50.04,50.04,50.04,50.04,100,0
AVMU.US,5,20211223,185500,50.03,50.03,50.03,50.03,100,0
AVMU.US,5,20211223,190500,50.035,50.035,50.035,50.035,100,0
