<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBLS.US,5,20211104,152500,26.92,26.92,26.92,26.92,100,0
CBLS.US,5,20211105,143000,26.79,26.79,26.79,26.79,206,0
CBLS.US,5,20211105,150000,27,27,27,27,170,0
CBLS.US,5,20211108,191000,27.03,27.03,27.03,27.03,600,0
CBLS.US,5,20211109,195500,27.16,27.16,27.16,27.16,1840,0
CBLS.US,5,20211112,190500,26.46,26.46,26.46,26.46,100,0
CBLS.US,5,20211117,215000,26.21,26.21,26.21,26.21,200,0
CBLS.US,5,20211122,153500,25.99,25.99,25.99,25.99,190,0
CBLS.US,5,20211123,190500,25.4,25.42,25.4,25.42,2100,0
CBLS.US,5,20211126,191000,24.8359,24.8359,24.8359,24.8359,0,0
CBLS.US,5,20211126,213000,24.8359,24.8359,24.8359,24.8359,0,0
CBLS.US,5,20211130,161500,24.6699,24.6699,24.6699,24.6699,105,0
CBLS.US,5,20211201,184500,24.73,24.73,24.73,24.73,290,0
CBLS.US,5,20211201,201000,24.46,24.46,24.4591,24.46,400,0
CBLS.US,5,20211201,201500,24.46,24.46,24.4091,24.4091,800,0
CBLS.US,5,20211209,174500,24.78,24.78,24.7642,24.7642,500,0
CBLS.US,5,20211209,184500,24.77,24.77,24.77,24.77,100,0
CBLS.US,5,20211210,170500,24.75,24.75,24.75,24.75,100,0
CBLS.US,5,20211216,182500,24.33,24.33,24.3,24.3,5175,0
CBLS.US,5,20211217,160500,24.09,24.09,24.09,24.09,210,0
CBLS.US,5,20211217,193000,23.94,23.95,23.94,23.95,400,0
CBLS.US,5,20211217,193500,23.94,23.94,23.94,23.94,100,0
CBLS.US,5,20211221,181500,23.89,23.89,23.89,23.89,1213,0
CBLS.US,5,20211221,200000,23.91,23.91,23.91,23.91,804,0
CBLS.US,5,20211222,162500,23.85,23.85,23.85,23.85,1000,0
CBLS.US,5,20211222,184500,23.93,23.93,23.93,23.93,100,0
CBLS.US,5,20211222,215500,23.8,23.8,23.8,23.8,1185,0
CBLS.US,5,20211223,183500,23.92,23.92,23.92,23.92,100,0
CBLS.US,5,20211223,200000,23.87,23.87,23.87,23.87,500,0
CBLS.US,5,20211223,200500,23.89,23.89,23.89,23.89,100,0
CBLS.US,5,20211223,201000,23.89,23.89,23.89,23.89,400,0
CBLS.US,5,20211223,210500,23.87,23.87,23.85,23.87,1600,0
CBLS.US,5,20211223,213500,23.88,23.88,23.88,23.88,100,0
