<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMAR.US,5,20211104,204500,31.7,31.7,31.7,31.7,100,0
DMAR.US,5,20211105,143500,31.8,31.8,31.8,31.8,382,0
DMAR.US,5,20211108,191500,31.75,31.75,31.745,31.75,600,0
DMAR.US,5,20211108,200000,31.75,31.75,31.75,31.75,2184,0
DMAR.US,5,20211108,213000,31.73,31.73,31.73,31.73,136,0
DMAR.US,5,20211110,161500,31.6701,31.6701,31.67,31.67,326,0
DMAR.US,5,20211110,163500,31.7,31.7,31.7,31.7,60550,0
DMAR.US,5,20211110,165000,31.6701,31.6701,31.66,31.6701,3272,0
DMAR.US,5,20211110,185500,31.69,31.69,31.69,31.69,139,0
DMAR.US,5,20211110,191000,31.69,31.69,31.69,31.69,8940,0
DMAR.US,5,20211111,173500,31.68,31.68,31.68,31.68,100,0
DMAR.US,5,20211112,165000,31.7,31.7,31.7,31.7,100,0
DMAR.US,5,20211112,165500,31.7,31.7,31.7,31.7,200,0
DMAR.US,5,20211112,170000,31.71,31.71,31.71,31.71,500,0
DMAR.US,5,20211112,171500,31.72,31.72,31.72,31.72,600,0
DMAR.US,5,20211112,190000,31.72,31.72,31.72,31.72,10195,0
DMAR.US,5,20211112,190500,31.72,31.72,31.72,31.72,305,0
DMAR.US,5,20211112,212000,31.72,31.72,31.72,31.72,200,0
DMAR.US,5,20211115,192500,31.73,31.73,31.73,31.73,140,0
DMAR.US,5,20211115,210000,31.71,31.71,31.71,31.71,833,0
DMAR.US,5,20211115,212500,31.715,31.715,31.715,31.715,140,0
DMAR.US,5,20211117,202000,31.72,31.72,31.72,31.72,906,0
DMAR.US,5,20211119,172500,31.74,31.74,31.74,31.74,20635,0
DMAR.US,5,20211119,184500,31.7001,31.735,31.7001,31.735,1309,0
DMAR.US,5,20211122,155500,31.7408,31.7408,31.7408,31.7408,569,0
DMAR.US,5,20211122,171500,31.74,31.7401,31.72,31.72,6411,0
DMAR.US,5,20211122,195500,31.735,31.735,31.735,31.735,290,0
DMAR.US,5,20211122,212000,31.71,31.759,31.71,31.759,800,0
DMAR.US,5,20211123,154500,31.74,31.75,31.74,31.75,300,0
DMAR.US,5,20211123,155000,31.76,31.76,31.76,31.76,200,0
DMAR.US,5,20211123,155500,31.76,31.76,31.76,31.76,400,0
DMAR.US,5,20211123,172000,31.665,31.665,31.665,31.665,315,0
DMAR.US,5,20211123,181500,31.66,31.66,31.66,31.66,300,0
DMAR.US,5,20211123,210000,31.68,31.68,31.68,31.68,11240,0
DMAR.US,5,20211123,214500,31.67,31.67,31.67,31.67,300,0
DMAR.US,5,20211124,154500,31.73,31.73,31.71,31.71,200,0
DMAR.US,5,20211124,155000,31.72,31.72,31.72,31.72,250,0
DMAR.US,5,20211124,155500,31.72,31.73,31.72,31.73,400,0
DMAR.US,5,20211124,181500,31.7399,31.7399,31.7399,31.7399,160,0
DMAR.US,5,20211124,183000,31.72,31.72,31.72,31.72,100,0
DMAR.US,5,20211124,200000,31.73,31.73,31.73,31.73,100,0
DMAR.US,5,20211124,210000,31.74,31.74,31.74,31.74,400,0
DMAR.US,5,20211124,211500,31.74,31.74,31.74,31.74,500,0
DMAR.US,5,20211124,213500,31.74,31.77,31.74,31.77,800,0
DMAR.US,5,20211124,214000,31.77,31.77,31.75,31.77,1000,0
DMAR.US,5,20211124,214500,31.745,31.77,31.69,31.69,7700,0
DMAR.US,5,20211124,215000,31.74,31.74,31.735,31.735,1100,0
DMAR.US,5,20211124,215500,31.76,31.77,31.735,31.77,28127,0
DMAR.US,5,20211126,191000,31.5488,31.5488,31.5488,31.5488,0,0
DMAR.US,5,20211126,213000,31.5488,31.5488,31.5488,31.5488,0,0
DMAR.US,5,20211129,154000,31.6,31.6,31.6,31.6,100,0
DMAR.US,5,20211129,163000,31.565,31.565,31.565,31.565,277,0
DMAR.US,5,20211129,183000,31.615,31.615,31.615,31.615,100,0
DMAR.US,5,20211129,184000,31.62,31.625,31.62,31.625,5551,0
DMAR.US,5,20211129,191000,31.625,31.625,31.625,31.625,1000,0
DMAR.US,5,20211129,212500,31.62,31.62,31.62,31.62,1096,0
DMAR.US,5,20211129,214500,31.62,31.62,31.62,31.62,189,0
