<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXI.US,5,20211104,143000,124.06,124.06,124.06,124.06,440,0
EXI.US,5,20211104,170500,124.35,124.35,124.35,124.35,141,0
EXI.US,5,20211104,180500,124.16,124.16,124.16,124.16,121,0
EXI.US,5,20211104,184000,124.215,124.215,124.215,124.215,100,0
EXI.US,5,20211104,204500,124.11,124.11,124.11,124.11,100,0
EXI.US,5,20211105,143000,124.83,124.83,124.83,124.83,201,0
EXI.US,5,20211105,151000,125,125,125,125,120,0
EXI.US,5,20211105,170500,125.02,125.02,125.02,125.02,280,0
EXI.US,5,20211105,184000,124.85,124.85,124.76,124.76,345,0
EXI.US,5,20211108,153000,125.74,125.74,125.74,125.74,143,0
EXI.US,5,20211108,153500,125.74,125.74,125.74,125.74,100,0
EXI.US,5,20211108,172000,125.495,125.495,125.394,125.394,540,0
EXI.US,5,20211108,172500,125.38,125.39,125.38,125.39,200,0
EXI.US,5,20211108,180500,125.52,125.52,125.52,125.52,100,0
EXI.US,5,20211108,200500,125.61,125.61,125.61,125.61,100,0
EXI.US,5,20211108,212000,125.44,125.44,125.44,125.44,100,0
EXI.US,5,20211108,213000,125.554,125.554,125.554,125.554,400,0
EXI.US,5,20211109,153000,125.67,125.67,125.67,125.67,335,0
EXI.US,5,20211109,200500,125.258,125.258,125.258,125.258,150,0
EXI.US,5,20211110,153000,125.14,125.14,125.14,125.14,372,0
EXI.US,5,20211110,192000,124.745,124.745,124.635,124.635,238,0
EXI.US,5,20211110,203000,124.448,124.448,124.448,124.448,120,0
EXI.US,5,20211110,213500,124.522,124.522,124.522,124.522,150,0
EXI.US,5,20211111,153000,125.11,125.11,125.11,125.11,138,0
EXI.US,5,20211111,175000,124.845,124.845,124.845,124.845,161,0
EXI.US,5,20211111,180000,124.85,124.97,124.85,124.95,600,0
EXI.US,5,20211111,201500,124.615,124.615,124.615,124.615,320,0
EXI.US,5,20211111,213500,124.62,124.62,124.62,124.62,402,0
EXI.US,5,20211111,215000,124.54,124.54,124.54,124.54,100,0
EXI.US,5,20211112,153000,124.88,125.22,124.88,125.22,2551,0
EXI.US,5,20211112,174500,125.495,125.495,125.495,125.495,300,0
EXI.US,5,20211112,211000,125.38,125.38,125.38,125.38,100,0
EXI.US,5,20211112,214000,125.46,125.46,125.46,125.46,199,0
EXI.US,5,20211115,153000,125.73,125.73,125.73,125.73,1820,0
EXI.US,5,20211115,154000,125.735,125.735,125.735,125.735,100,0
EXI.US,5,20211115,172500,125.708,125.708,125.708,125.708,158,0
EXI.US,5,20211115,182500,125.29,125.29,125.26,125.29,720,0
EXI.US,5,20211115,192500,125.359,125.359,125.359,125.359,300,0
EXI.US,5,20211115,203000,125.365,125.365,125.365,125.365,150,0
EXI.US,5,20211115,215500,125.27,125.48,125.19,125.19,836,0
EXI.US,5,20211116,205000,125.47,125.47,125.47,125.47,275,0
EXI.US,5,20211116,212000,125.372,125.372,125.372,125.372,275,0
EXI.US,5,20211116,215500,125.125,125.19,125.125,125.19,500,0
EXI.US,5,20211117,163500,124.6,124.6,124.6,124.6,221,0
EXI.US,5,20211117,170000,124.36,124.36,124.36,124.36,213,0
EXI.US,5,20211117,184500,124.345,124.345,124.345,124.345,150,0
EXI.US,5,20211117,215000,124.573,124.573,124.573,124.573,800,0
EXI.US,5,20211118,153000,124.71,124.71,124.71,124.71,237,0
EXI.US,5,20211118,162500,124.01,124.01,124.01,124.01,200,0
EXI.US,5,20211118,170000,124.26,124.26,124.26,124.26,100,0
EXI.US,5,20211118,173000,124.32,124.32,124.32,124.32,200,0
EXI.US,5,20211118,175000,124.598,124.598,124.598,124.598,130,0
EXI.US,5,20211118,175500,124.48,124.48,124.47,124.47,200,0
EXI.US,5,20211118,181000,124.71,124.71,124.71,124.71,100,0
EXI.US,5,20211118,183000,124.721,124.721,124.721,124.721,175,0
EXI.US,5,20211118,190000,124.51,124.51,124.5,124.5,200,0
EXI.US,5,20211118,194500,124.56,124.56,124.56,124.56,100,0
EXI.US,5,20211118,202500,124.55,124.55,124.55,124.55,110,0
EXI.US,5,20211118,203500,124.52,124.52,124.52,124.52,200,0
