<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FENY.US,5,20211104,143000,16.04,16.1154,16.04,16.09,53190,0
FENY.US,5,20211104,143500,16.0731,16.08,16.0131,16.04,18225,0
FENY.US,5,20211104,144000,16.0299,16.09,16.0299,16.08,8361,0
FENY.US,5,20211104,144500,16.08,16.0801,16.0493,16.0689,22566,0
FENY.US,5,20211104,145000,16.06,16.061,16.03,16.0459,25451,0
FENY.US,5,20211104,145500,16.0456,16.05,16.02,16.02,11290,0
FENY.US,5,20211104,150000,16.02,16.06,16.02,16.02,9017,0
FENY.US,5,20211104,150500,16,16.03,15.99,16.03,11709,0
FENY.US,5,20211104,151000,16.02,16.03,15.98,15.98,7296,0
FENY.US,5,20211104,151500,15.97,15.98,15.91,15.91,6820,0
FENY.US,5,20211104,152000,15.91,15.93,15.89,15.9021,30005,0
FENY.US,5,20211104,152500,15.9,15.9,15.84,15.85,4300,0
FENY.US,5,20211104,153000,15.86,15.92,15.86,15.92,3800,0
FENY.US,5,20211104,153500,15.915,15.9395,15.9,15.93,9765,0
FENY.US,5,20211104,154000,15.92,15.9331,15.9037,15.91,7711,0
FENY.US,5,20211104,154500,15.92,15.94,15.905,15.925,11900,0
FENY.US,5,20211104,155000,15.92,15.92,15.8799,15.88,6591,0
FENY.US,5,20211104,155500,15.88,15.9,15.87,15.9,9102,0
FENY.US,5,20211104,160000,15.89,15.89,15.87,15.88,4776,0
FENY.US,5,20211104,160500,15.885,15.89,15.87,15.88,4571,0
FENY.US,5,20211104,161000,15.87,15.9,15.87,15.89,3640,0
FENY.US,5,20211104,161500,15.8864,15.8864,15.82,15.83,7698,0
FENY.US,5,20211104,162000,15.83,15.83,15.8,15.81,5288,0
FENY.US,5,20211104,162500,15.8,15.81,15.78,15.81,10397,0
FENY.US,5,20211104,163000,15.81,15.83,15.81,15.82,3800,0
FENY.US,5,20211104,163500,15.82,15.85,15.82,15.841,8188,0
FENY.US,5,20211104,164000,15.85,15.855,15.84,15.85,9113,0
FENY.US,5,20211104,164500,15.84,15.84,15.8258,15.8299,2610,0
FENY.US,5,20211104,165000,15.82,15.83,15.815,15.815,2528,0
FENY.US,5,20211104,165500,15.83,15.875,15.83,15.87,5971,0
FENY.US,5,20211104,170000,15.87,15.906,15.8663,15.9,14106,0
FENY.US,5,20211104,170500,15.89,15.91,15.89,15.9,8900,0
FENY.US,5,20211104,171000,15.9,15.9,15.8804,15.884,4330,0
FENY.US,5,20211104,171500,15.88,15.883,15.86,15.86,6645,0
FENY.US,5,20211104,172000,15.865,15.87,15.845,15.845,4803,0
FENY.US,5,20211104,172500,15.84,15.86,15.83,15.83,6329,0
FENY.US,5,20211104,173000,15.83,15.84,15.825,15.84,5107,0
FENY.US,5,20211104,173500,15.845,15.845,15.83,15.83,4574,0
FENY.US,5,20211104,174000,15.84,15.84,15.83,15.84,3442,0
FENY.US,5,20211104,174500,15.83,15.83,15.82,15.825,8725,0
FENY.US,5,20211104,175000,15.83,15.84,15.83,15.83,3260,0
FENY.US,5,20211104,175500,15.82,15.82,15.815,15.82,2855,0
FENY.US,5,20211104,180000,15.81,15.81,15.79,15.79,14757,0
FENY.US,5,20211104,180500,15.8,15.805,15.795,15.8,3190,0
FENY.US,5,20211104,181000,15.8043,15.8133,15.8,15.805,2700,0
FENY.US,5,20211104,181500,15.8,15.81,15.8,15.81,1300,0
FENY.US,5,20211104,182000,15.795,15.81,15.785,15.81,9536,0
FENY.US,5,20211104,182500,15.8099,15.82,15.805,15.82,14400,0
FENY.US,5,20211104,183000,15.83,15.83,15.8,15.8,1250,0
FENY.US,5,20211104,183500,15.7941,15.795,15.78,15.7897,2998,0
FENY.US,5,20211104,184000,15.78,15.82,15.7737,15.81,13300,0
FENY.US,5,20211104,184500,15.801,15.81,15.78,15.78,5620,0
FENY.US,5,20211104,185000,15.78,15.8,15.78,15.8,5350,0
FENY.US,5,20211104,185500,15.8,15.8,15.7999,15.7999,358,0
FENY.US,5,20211104,190000,15.79,15.795,15.785,15.79,1954,0
FENY.US,5,20211104,190500,15.8,15.815,15.79,15.815,2752,0
FENY.US,5,20211104,191000,15.81,15.81,15.78,15.785,2350,0
FENY.US,5,20211104,191500,15.76,15.76,15.75,15.76,3102,0
FENY.US,5,20211104,192000,15.7616,15.7616,15.7499,15.7499,4858,0
FENY.US,5,20211104,192500,15.745,15.76,15.725,15.75,9135,0
FENY.US,5,20211104,193000,15.745,15.745,15.725,15.725,7883,0
FENY.US,5,20211104,193500,15.73,15.73,15.715,15.725,8208,0
FENY.US,5,20211104,194000,15.725,15.75,15.7236,15.745,5298,0
FENY.US,5,20211104,194500,15.745,15.76,15.741,15.76,2883,0
