<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFTI.US,5,20211104,144500,24.03,24.03,24.03,24.03,816,0
FFTI.US,5,20211104,145000,24.04,24.04,24.031,24.031,1781,0
FFTI.US,5,20211104,162500,24.041,24.041,24.041,24.041,131,0
FFTI.US,5,20211104,172000,24.055,24.055,24.04,24.04,20185,0
FFTI.US,5,20211104,183000,24.06,24.06,24.06,24.06,537,0
FFTI.US,5,20211104,185000,24.06,24.06,24.06,24.06,200,0
FFTI.US,5,20211104,202500,24.0595,24.07,24.0595,24.0699,6837,0
FFTI.US,5,20211104,203500,24.06,24.06,24.06,24.06,1149,0
FFTI.US,5,20211104,205000,24.06,24.06,24.06,24.06,100,0
FFTI.US,5,20211104,205500,24.06,24.07,24.06,24.07,4947,0
FFTI.US,5,20211105,185000,24.15,24.15,24.15,24.15,651,0
FFTI.US,5,20211105,185500,24.1899,24.1899,24.1899,24.1899,413,0
FFTI.US,5,20211105,190000,24.165,24.165,24.165,24.165,276,0
FFTI.US,5,20211105,191000,24.16,24.16,24.15,24.15,939,0
FFTI.US,5,20211105,193500,24.1501,24.1501,24.1501,24.1501,969,0
FFTI.US,5,20211105,200500,24.17,24.19,24.17,24.1746,8069,0
FFTI.US,5,20211105,202000,24.1899,24.1899,24.1899,24.1899,679,0
FFTI.US,5,20211105,204500,24.18,24.18,24.17,24.17,1069,0
FFTI.US,5,20211108,153000,24.17,24.17,24.17,24.17,661,0
FFTI.US,5,20211108,160000,24.161,24.1618,24.161,24.1618,4043,0
FFTI.US,5,20211108,193000,24.1315,24.1315,24.13,24.13,988,0
FFTI.US,5,20211108,204000,24.1313,24.1313,24.1313,24.1313,295,0
FFTI.US,5,20211108,210000,24.13,24.1467,24.13,24.13,2918,0
FFTI.US,5,20211108,211000,24.13,24.13,24.13,24.13,268,0
FFTI.US,5,20211108,211500,24.13,24.13,24.13,24.13,1777,0
FFTI.US,5,20211108,212000,24.155,24.16,24.155,24.16,5971,0
FFTI.US,5,20211108,213500,24.155,24.155,24.155,24.155,102,0
FFTI.US,5,20211108,214000,24.155,24.155,24.13,24.13,3843,0
FFTI.US,5,20211108,215500,24.13,24.13,24.13,24.13,600,0
FFTI.US,5,20211109,155000,24.17,24.1705,24.17,24.1703,1104,0
FFTI.US,5,20211109,160000,24.1602,24.1602,24.1602,24.1602,874,0
FFTI.US,5,20211109,180000,24.17,24.18,24.16,24.161,6958,0
FFTI.US,5,20211109,180500,24.161,24.161,24.161,24.161,341,0
FFTI.US,5,20211109,182500,24.18,24.18,24.162,24.162,1176,0
FFTI.US,5,20211109,190000,24.18,24.18,24.18,24.18,174,0
FFTI.US,5,20211109,201000,24.17,24.1766,24.17,24.1766,700,0
FFTI.US,5,20211109,201500,24.16,24.18,24.16,24.16,5109,0
FFTI.US,5,20211109,210000,24.17,24.17,24.17,24.17,534,0
FFTI.US,5,20211109,212000,24.16,24.16,24.16,24.16,3478,0
FFTI.US,5,20211109,212500,24.19,24.19,24.19,24.19,9386,0
FFTI.US,5,20211109,213500,24.16,24.167,24.16,24.167,758,0
FFTI.US,5,20211109,214000,24.18,24.18,24.18,24.18,134,0
FFTI.US,5,20211109,215500,24.16,24.16,24.16,24.16,219,0
FFTI.US,5,20211110,155500,24.11,24.1106,24.11,24.11,15720,0
FFTI.US,5,20211110,210000,24.05,24.05,24.05,24.05,965,0
FFTI.US,5,20211110,210500,24.03,24.037,24.03,24.037,1554,0
FFTI.US,5,20211110,211000,24.03,24.03,24.03,24.03,100,0
FFTI.US,5,20211110,212000,24.04,24.05,24.04,24.05,8434,0
FFTI.US,5,20211110,214000,24.05,24.05,24.045,24.045,1121,0
FFTI.US,5,20211111,153000,24.04,24.04,24.025,24.025,947,0
FFTI.US,5,20211111,174500,24.01,24.017,24.01,24.01,444,0
FFTI.US,5,20211111,175000,24.001,24.001,24,24,519,0
FFTI.US,5,20211111,204000,23.99,23.99,23.99,23.99,668,0
FFTI.US,5,20211111,205000,23.99,23.99,23.99,23.99,100,0
FFTI.US,5,20211111,210500,23.991,23.991,23.99,23.99,593,0
FFTI.US,5,20211111,211000,24.005,24.005,23.98,23.98,2053,0
FFTI.US,5,20211111,213000,23.98,24,23.98,23.98,1432,0
FFTI.US,5,20211111,215500,23.98,23.98,23.98,23.98,400,0
FFTI.US,5,20211112,154500,23.991,23.991,23.991,23.991,802,0
FFTI.US,5,20211112,162500,24.02,24.02,24.02,24.02,1256,0
FFTI.US,5,20211112,172500,24.02,24.039,24.02,24.02,1032,0
FFTI.US,5,20211112,211000,23.99,23.99,23.99,23.99,124,0
FFTI.US,5,20211112,212000,23.98,23.98,23.97,23.97,9118,0
FFTI.US,5,20211112,213000,23.99,23.99,23.99,23.99,4782,0
FFTI.US,5,20211112,213500,23.99,23.99,23.99,23.99,3112,0
FFTI.US,5,20211115,153000,23.96,23.96,23.96,23.96,198,0
