<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLQS.US,5,20211104,161000,41.3399,41.3399,41.3399,41.3399,753,0
FLQS.US,5,20211104,175000,41.26,41.26,41.26,41.26,1782,0
FLQS.US,5,20211104,192000,41.13,41.13,41.13,41.13,300,0
FLQS.US,5,20211109,163000,41.7828,41.7828,41.7828,41.7828,110,0
FLQS.US,5,20211109,214500,41.7721,41.7721,41.7721,41.7721,226,0
FLQS.US,5,20211111,185500,41.769,41.769,41.769,41.769,175,0
FLQS.US,5,20211112,215500,41.78,41.78,41.78,41.78,119,0
FLQS.US,5,20211115,174500,41.64,41.64,41.64,41.64,100,0
FLQS.US,5,20211115,185000,41.61,41.61,41.61,41.61,195,0
FLQS.US,5,20211117,153500,41.625,41.625,41.625,41.625,200,0
FLQS.US,5,20211117,154500,41.62,41.62,41.62,41.62,200,0
FLQS.US,5,20211117,155000,41.61,41.61,41.58,41.58,800,0
FLQS.US,5,20211117,160000,41.4741,41.4741,41.4741,41.4741,360,0
FLQS.US,5,20211119,155000,41.44,41.44,41.43,41.43,500,0
FLQS.US,5,20211119,170000,41.4,41.4,41.4,41.4,100,0
FLQS.US,5,20211119,194000,41.3,41.3,41.3,41.3,300,0
FLQS.US,5,20211122,153000,41.25,41.25,41.25,41.25,100,0
FLQS.US,5,20211122,194500,41.4877,41.4877,41.4877,41.4877,125,0
FLQS.US,5,20211123,183500,41.09,41.09,41.09,41.09,125,0
FLQS.US,5,20211123,201000,41.09,41.09,41.08,41.085,700,0
FLQS.US,5,20211124,162000,41.03,41.06,41.03,41.06,900,0
FLQS.US,5,20211126,160500,39.85,39.85,39.85,39.85,125,0
FLQS.US,5,20211126,181000,39.73,39.73,39.697,39.697,600,0
FLQS.US,5,20211126,181500,39.73,39.75,39.73,39.75,300,0
FLQS.US,5,20211126,182000,39.72,39.72,39.72,39.72,100,0
FLQS.US,5,20211126,191000,39.7562,39.7562,39.7562,39.7562,0,0
FLQS.US,5,20211126,213000,39.7562,39.7562,39.7562,39.7562,0,0
FLQS.US,5,20211130,163000,39.235,39.235,39.2101,39.2101,750,0
FLQS.US,5,20211130,184500,38.82,38.82,38.79,38.79,200,0
FLQS.US,5,20211201,173500,39.62,39.62,39.54,39.62,4075,0
FLQS.US,5,20211201,184500,39.32,39.32,39.32,39.32,100,0
FLQS.US,5,20211201,185000,39.26,39.26,39.25,39.25,200,0
FLQS.US,5,20211203,163500,38.7486,38.7486,38.7486,38.7486,276,0
FLQS.US,5,20211203,184500,38.7,38.7,38.7,38.7,150,0
FLQS.US,5,20211208,175500,40.12,40.15,40.12,40.15,400,0
FLQS.US,5,20211208,211000,40.0725,40.0725,40.0725,40.0725,250,0
FLQS.US,5,20211209,180500,39.7,39.7,39.7,39.7,200,0
FLQS.US,5,20211209,214000,39.55,39.55,39.55,39.55,200,0
FLQS.US,5,20211210,190500,39.31,39.31,39.31,39.31,100,0
FLQS.US,5,20211216,214500,38.38,38.44,38.38,38.44,1255,0
FLQS.US,5,20211220,200500,37.6202,37.6202,37.6202,37.6202,1000,0
FLQS.US,5,20211220,201500,37.6506,37.6506,37.58,37.6,8500,0
FLQS.US,5,20211220,202000,37.62,37.62,37.55,37.61,8043,0
FLQS.US,5,20211220,205000,37.58,37.58,37.58,37.58,100,0
FLQS.US,5,20211220,205500,37.64,37.64,37.64,37.64,100,0
FLQS.US,5,20211220,211000,37.68,37.68,37.68,37.68,300,0
FLQS.US,5,20211220,211500,37.75,37.75,37.75,37.75,100,0
FLQS.US,5,20211221,160000,38.3799,38.3799,38.3799,38.3799,500,0
FLQS.US,5,20211221,161000,38.38,38.38,38.38,38.38,100,0
FLQS.US,5,20211221,161500,38.49,38.49,38.49,38.49,100,0
FLQS.US,5,20211221,171000,38.44,38.44,38.44,38.44,100,0
FLQS.US,5,20211221,174500,38.52,38.52,38.52,38.52,100,0
FLQS.US,5,20211221,180500,38.58,38.58,38.58,38.58,100,0
FLQS.US,5,20211221,212000,38.73,38.73,38.73,38.73,300,0
FLQS.US,5,20211222,161500,38.73,38.73,38.73,38.73,100,0
FLQS.US,5,20211222,165000,38.81,38.81,38.81,38.81,100,0
FLQS.US,5,20211222,180000,38.92,38.92,38.92,38.92,100,0
FLQS.US,5,20211223,165500,39.2,39.2,39.2,39.2,100,0
