<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDV.US,5,20211104,143000,31.35,31.35,31.18,31.2,27381,0
IDV.US,5,20211104,143500,31.2,31.21,31.175,31.175,1962,0
IDV.US,5,20211104,144000,31.18,31.19,31.18,31.19,3900,0
IDV.US,5,20211104,144500,31.1812,31.1812,31.16,31.16,4430,0
IDV.US,5,20211104,145000,31.163,31.185,31.163,31.185,3461,0
IDV.US,5,20211104,145500,31.18,31.19,31.175,31.1825,8120,0
IDV.US,5,20211104,150000,31.1899,31.1899,31.16,31.16,6225,0
IDV.US,5,20211104,150500,31.1689,31.1699,31.165,31.1699,1048,0
IDV.US,5,20211104,151000,31.1668,31.1799,31.1617,31.1799,1463,0
IDV.US,5,20211104,151500,31.18,31.18,31.18,31.18,500,0
IDV.US,5,20211104,152000,31.1699,31.17,31.1595,31.1618,3213,0
IDV.US,5,20211104,152500,31.168,31.1697,31.15,31.15,2568,0
IDV.US,5,20211104,153000,31.16,31.1699,31.16,31.1699,5266,0
IDV.US,5,20211104,153500,31.165,31.165,31.155,31.16,1519,0
IDV.US,5,20211104,154000,31.16,31.1691,31.1506,31.16,7217,0
IDV.US,5,20211104,154500,31.16,31.17,31.16,31.1697,4685,0
IDV.US,5,20211104,155000,31.16,31.16,31.15,31.1577,1095,0
IDV.US,5,20211104,155500,31.157,31.157,31.15,31.15,1100,0
IDV.US,5,20211104,160000,31.145,31.1464,31.12,31.12,5276,0
IDV.US,5,20211104,160500,31.11,31.12,31.11,31.115,4998,0
IDV.US,5,20211104,161000,31.115,31.13,31.115,31.13,1672,0
IDV.US,5,20211104,161500,31.12,31.12,31.11,31.11,487,0
IDV.US,5,20211104,162000,31.119,31.1199,31.1,31.1082,6017,0
IDV.US,5,20211104,162500,31.1,31.1,31.09,31.0993,2758,0
IDV.US,5,20211104,163000,31.09,31.1,31.09,31.09,8716,0
IDV.US,5,20211104,163500,31.095,31.105,31.095,31.1,3090,0
IDV.US,5,20211104,164000,31.0936,31.0999,31.09,31.0999,3599,0
IDV.US,5,20211104,164500,31.095,31.095,31.07,31.07,11562,0
IDV.US,5,20211104,165000,31.07,31.09,31.07,31.09,3092,0
IDV.US,5,20211104,165500,31.095,31.13,31.094,31.13,5297,0
IDV.US,5,20211104,170000,31.13,31.15,31.13,31.1488,7251,0
IDV.US,5,20211104,170500,31.14,31.15,31.14,31.15,4391,0
IDV.US,5,20211104,171000,31.15,31.15,31.14,31.14,2460,0
IDV.US,5,20211104,171500,31.1333,31.1399,31.12,31.12,2472,0
IDV.US,5,20211104,172000,31.13,31.1355,31.125,31.13,1618,0
IDV.US,5,20211104,172500,31.1207,31.1216,31.12,31.12,1471,0
IDV.US,5,20211104,173000,31.11,31.119,31.1011,31.1011,1550,0
IDV.US,5,20211104,173500,31.11,31.115,31.1,31.1,5368,0
IDV.US,5,20211104,174000,31.1,31.105,31.095,31.095,11616,0
IDV.US,5,20211104,174500,31.095,31.1,31.0899,31.0996,8218,0
IDV.US,5,20211104,175000,31.0917,31.098,31.09,31.095,7424,0
IDV.US,5,20211104,175500,31.09,31.095,31.085,31.095,13153,0
IDV.US,5,20211104,180000,31.095,31.095,31.09,31.09,2600,0
IDV.US,5,20211104,180500,31.085,31.095,31.085,31.095,1140,0
IDV.US,5,20211104,181000,31.1,31.1,31.09,31.09,822,0
IDV.US,5,20211104,181500,31.099,31.105,31.099,31.1029,9315,0
IDV.US,5,20211104,182000,31.1099,31.1099,31.1,31.1053,1105,0
IDV.US,5,20211104,182500,31.105,31.1063,31.1,31.105,7483,0
IDV.US,5,20211104,183000,31.105,31.1052,31.1,31.1,3272,0
IDV.US,5,20211104,183500,31.0999,31.0999,31.09,31.09,428,0
IDV.US,5,20211104,184000,31.095,31.1,31.09,31.1,5244,0
IDV.US,5,20211104,184500,31.09,31.1,31.09,31.09,5199,0
IDV.US,5,20211104,185000,31.09,31.09,31.0821,31.09,3112,0
IDV.US,5,20211104,185500,31.09,31.1,31.0884,31.095,5666,0
IDV.US,5,20211104,190000,31.09,31.1,31.0804,31.0811,7523,0
IDV.US,5,20211104,190500,31.0861,31.09,31.085,31.087,2515,0
IDV.US,5,20211104,191000,31.09,31.0983,31.09,31.095,6020,0
IDV.US,5,20211104,191500,31.095,31.11,31.095,31.104,2852,0
IDV.US,5,20211104,192000,31.105,31.11,31.105,31.11,1941,0
IDV.US,5,20211104,192500,31.11,31.11,31.1,31.105,5536,0
IDV.US,5,20211104,193000,31.1,31.109,31.1,31.1,2058,0
IDV.US,5,20211104,193500,31.1,31.105,31.1,31.105,865,0
IDV.US,5,20211104,194000,31.1007,31.1099,31.1,31.105,3747,0
IDV.US,5,20211104,194500,31.105,31.115,31.105,31.115,4587,0
IDV.US,5,20211104,195000,31.1117,31.115,31.11,31.115,1119,0
IDV.US,5,20211104,195500,31.12,31.12,31.11,31.11,3146,0
IDV.US,5,20211104,200000,31.11,31.11,31.1024,31.11,1059,0
IDV.US,5,20211104,200500,31.1037,31.11,31.1004,31.1004,889,0
IDV.US,5,20211104,201000,31.11,31.115,31.105,31.115,1418,0
IDV.US,5,20211104,201500,31.115,31.1199,31.11,31.115,1704,0
IDV.US,5,20211104,202000,31.1101,31.13,31.1101,31.13,9133,0
IDV.US,5,20211104,202500,31.13,31.13,31.125,31.125,7047,0
IDV.US,5,20211104,203000,31.125,31.13,31.12,31.125,4944,0
IDV.US,5,20211104,203500,31.1255,31.14,31.1255,31.13,5407,0
IDV.US,5,20211104,204000,31.13,31.135,31.125,31.13,5980,0
IDV.US,5,20211104,204500,31.13,31.14,31.1299,31.1399,1506,0
IDV.US,5,20211104,205000,31.1399,31.14,31.1301,31.14,4426,0
IDV.US,5,20211104,205500,31.1329,31.15,31.1329,31.14,21280,0
IDV.US,5,20211105,143000,31.14,31.213,31.14,31.213,42876,0
IDV.US,5,20211105,143500,31.22,31.24,31.2,31.23,13100,0
IDV.US,5,20211105,144000,31.225,31.2399,31.215,31.23,10942,0
IDV.US,5,20211105,144500,31.2301,31.2301,31.225,31.225,1976,0
IDV.US,5,20211105,145000,31.23,31.23,31.215,31.22,18262,0
IDV.US,5,20211105,145500,31.22,31.22,31.2,31.205,9388,0
IDV.US,5,20211105,150000,31.2,31.2153,31.2,31.2125,10402,0
IDV.US,5,20211105,150500,31.219,31.22,31.205,31.21,2465,0
IDV.US,5,20211105,151000,31.2099,31.2099,31.2,31.2001,696,0
IDV.US,5,20211105,151500,31.2,31.2,31.18,31.18,7254,0
IDV.US,5,20211105,152000,31.18,31.1851,31.1799,31.1851,9858,0
IDV.US,5,20211105,152500,31.187,31.19,31.185,31.185,1129,0
IDV.US,5,20211105,153000,31.185,31.189,31.17,31.17,2783,0
IDV.US,5,20211105,153500,31.1625,31.1765,31.1625,31.1699,7057,0
IDV.US,5,20211105,154000,31.175,31.1776,31.1714,31.175,2978,0
IDV.US,5,20211105,154500,31.185,31.195,31.185,31.195,20823,0
IDV.US,5,20211105,155000,31.2001,31.2001,31.195,31.199,8953,0
IDV.US,5,20211105,155500,31.195,31.205,31.19,31.2,1620,0
IDV.US,5,20211105,160000,31.21,31.215,31.21,31.21,1300,0
IDV.US,5,20211105,160500,31.215,31.22,31.215,31.22,2432,0
IDV.US,5,20211105,161000,31.22,31.225,31.22,31.225,1100,0
IDV.US,5,20211105,161500,31.225,31.23,31.2221,31.2269,1781,0
IDV.US,5,20211105,162000,31.225,31.23,31.22,31.22,1334,0
IDV.US,5,20211105,162500,31.225,31.2261,31.22,31.22,4544,0
IDV.US,5,20211105,163000,31.225,31.24,31.22,31.2397,1608,0
IDV.US,5,20211105,163500,31.24,31.2401,31.2399,31.2401,5603,0
IDV.US,5,20211105,164000,31.2401,31.2458,31.235,31.235,3755,0
IDV.US,5,20211105,164500,31.23,31.2464,31.23,31.2464,2876,0
IDV.US,5,20211105,165000,31.245,31.245,31.235,31.235,1690,0
IDV.US,5,20211105,165500,31.24,31.2401,31.2312,31.2401,1753,0
IDV.US,5,20211105,170000,31.2395,31.24,31.23,31.24,5616,0
IDV.US,5,20211105,170500,31.235,31.24,31.2299,31.23,2328,0
IDV.US,5,20211105,171000,31.225,31.23,31.22,31.23,3634,0
IDV.US,5,20211105,171500,31.22,31.23,31.22,31.23,1425,0
IDV.US,5,20211105,172000,31.23,31.23,31.22,31.23,2352,0
IDV.US,5,20211105,172500,31.225,31.235,31.2244,31.23,7795,0
IDV.US,5,20211105,173000,31.23,31.245,31.23,31.245,2112,0
IDV.US,5,20211105,173500,31.245,31.2455,31.2321,31.24,1884,0
IDV.US,5,20211105,174000,31.2399,31.24,31.23,31.239,3182,0
IDV.US,5,20211105,174500,31.2325,31.24,31.2325,31.24,939,0
IDV.US,5,20211105,175000,31.2408,31.245,31.2408,31.245,1100,0
IDV.US,5,20211105,175500,31.25,31.26,31.245,31.245,2589,0
IDV.US,5,20211105,180000,31.241,31.2461,31.24,31.245,6276,0
IDV.US,5,20211105,180500,31.25,31.25,31.24,31.24,2813,0
IDV.US,5,20211105,181000,31.2358,31.2358,31.215,31.22,10637,0
IDV.US,5,20211105,181500,31.215,31.23,31.215,31.225,2801,0
IDV.US,5,20211105,182000,31.225,31.225,31.21,31.21,5134,0
IDV.US,5,20211105,182500,31.203,31.205,31.19,31.19,2901,0
IDV.US,5,20211105,183000,31.18,31.205,31.18,31.205,3984,0
IDV.US,5,20211105,183500,31.205,31.205,31.2,31.2,8271,0
IDV.US,5,20211105,184000,31.2095,31.2095,31.19,31.1999,3472,0
IDV.US,5,20211105,184500,31.19,31.19,31.185,31.185,950,0
IDV.US,5,20211105,185000,31.19,31.205,31.19,31.205,4012,0
IDV.US,5,20211105,185500,31.2092,31.22,31.201,31.2158,6068,0
IDV.US,5,20211105,190000,31.22,31.22,31.2185,31.22,10083,0
IDV.US,5,20211105,190500,31.23,31.23,31.225,31.225,3449,0
IDV.US,5,20211105,191000,31.225,31.235,31.2223,31.2307,7099,0
IDV.US,5,20211105,191500,31.2397,31.24,31.23,31.23,8379,0
IDV.US,5,20211105,192000,31.23,31.2359,31.21,31.21,4389,0
IDV.US,5,20211105,192500,31.21,31.22,31.21,31.22,4286,0
IDV.US,5,20211105,193000,31.2171,31.2294,31.21,31.2294,4246,0
IDV.US,5,20211105,193500,31.22,31.22,31.21,31.215,4834,0
IDV.US,5,20211105,194000,31.215,31.215,31.21,31.21,1543,0
IDV.US,5,20211105,194500,31.21,31.22,31.21,31.21,5823,0
IDV.US,5,20211105,195000,31.2152,31.22,31.215,31.215,548,0
IDV.US,5,20211105,195500,31.21,31.2164,31.21,31.215,2998,0
IDV.US,5,20211105,200000,31.215,31.215,31.191,31.195,2564,0
IDV.US,5,20211105,200500,31.1993,31.22,31.1993,31.22,2751,0
IDV.US,5,20211105,201000,31.23,31.23,31.225,31.23,4079,0
IDV.US,5,20211105,201500,31.23,31.23,31.225,31.2262,3275,0
IDV.US,5,20211105,202000,31.225,31.23,31.2234,31.23,2178,0
IDV.US,5,20211105,202500,31.23,31.23,31.225,31.23,4904,0
IDV.US,5,20211105,203000,31.223,31.24,31.223,31.24,2894,0
IDV.US,5,20211105,203500,31.24,31.25,31.24,31.2461,3835,0
IDV.US,5,20211105,204000,31.25,31.25,31.24,31.24,1440,0
IDV.US,5,20211105,204500,31.24,31.245,31.235,31.235,1800,0
IDV.US,5,20211105,205000,31.24,31.245,31.2345,31.235,6468,0
IDV.US,5,20211105,205500,31.23,31.26,31.23,31.26,7823,0
IDV.US,5,20211108,153000,31.34,31.34,31.29,31.29,11283,0
IDV.US,5,20211108,153500,31.29,31.2996,31.29,31.2996,1483,0
IDV.US,5,20211108,154000,31.3,31.3008,31.29,31.3008,7179,0
IDV.US,5,20211108,154500,31.3,31.31,31.295,31.31,3986,0
IDV.US,5,20211108,155000,31.31,31.31,31.3063,31.31,2283,0
IDV.US,5,20211108,155500,31.315,31.3163,31.3,31.3163,3629,0
IDV.US,5,20211108,160000,31.32,31.3283,31.3001,31.3001,7221,0
IDV.US,5,20211108,160500,31.31,31.32,31.3094,31.3094,6498,0
IDV.US,5,20211108,161000,31.32,31.33,31.32,31.32,800,0
IDV.US,5,20211108,161500,31.315,31.33,31.315,31.32,850,0
IDV.US,5,20211108,162000,31.325,31.3376,31.3219,31.33,8341,0
IDV.US,5,20211108,162500,31.331,31.34,31.33,31.335,7170,0
IDV.US,5,20211108,163000,31.32,31.3399,31.32,31.337,12441,0
IDV.US,5,20211108,163500,31.34,31.34,31.32,31.32,662,0
IDV.US,5,20211108,164000,31.32,31.32,31.3,31.315,4392,0
IDV.US,5,20211108,164500,31.3201,31.33,31.3201,31.33,1098,0
IDV.US,5,20211108,165000,31.32,31.325,31.315,31.3155,5385,0
IDV.US,5,20211108,165500,31.3107,31.32,31.31,31.32,1506,0
IDV.US,5,20211108,170000,31.3101,31.3101,31.31,31.31,621,0
IDV.US,5,20211108,170500,31.31,31.31,31.2838,31.2838,1980,0
IDV.US,5,20211108,171000,31.29,31.29,31.285,31.285,2910,0
IDV.US,5,20211108,171500,31.28,31.289,31.2701,31.289,2763,0
IDV.US,5,20211108,172000,31.287,31.287,31.285,31.285,739,0
IDV.US,5,20211108,172500,31.2803,31.29,31.2803,31.29,2905,0
IDV.US,5,20211108,173000,31.29,31.29,31.28,31.288,12097,0
IDV.US,5,20211108,173500,31.285,31.29,31.28,31.28,7283,0
IDV.US,5,20211108,174000,31.2803,31.2899,31.2803,31.285,1483,0
IDV.US,5,20211108,174500,31.285,31.29,31.285,31.29,1359,0
IDV.US,5,20211108,175000,31.285,31.286,31.28,31.2823,8370,0
IDV.US,5,20211108,175500,31.285,31.285,31.28,31.28,600,0
IDV.US,5,20211108,180000,31.285,31.285,31.27,31.27,1694,0
IDV.US,5,20211108,180500,31.275,31.275,31.275,31.275,407,0
IDV.US,5,20211108,181000,31.2702,31.2702,31.27,31.27,433,0
