<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IHF.US,5,20211104,143000,283.25,283.25,283.25,283.25,240,0
IHF.US,5,20211104,144500,281.452,281.452,281.37,281.37,3564,0
IHF.US,5,20211104,145000,282.2,282.2,282.2,282.2,100,0
IHF.US,5,20211104,145500,282.167,282.167,282.167,282.167,743,0
IHF.US,5,20211104,150500,281.857,281.857,281.79,281.81,3448,0
IHF.US,5,20211104,152000,281.675,281.675,281.675,281.675,3292,0
IHF.US,5,20211104,160500,280.4,280.4,280.4,280.4,100,0
IHF.US,5,20211104,163000,280.335,280.335,280.335,280.335,100,0
IHF.US,5,20211104,165000,280.07,280.13,280.07,280.13,290,0
IHF.US,5,20211104,165500,280,280,280,280,100,0
IHF.US,5,20211104,173500,279.66,279.66,279.66,279.66,100,0
IHF.US,5,20211104,174000,280.06,280.06,280.06,280.06,200,0
IHF.US,5,20211104,192500,279.85,279.85,279.85,279.85,100,0
IHF.US,5,20211104,195500,279.46,279.48,279.46,279.47,500,0
IHF.US,5,20211104,200000,279.44,279.45,279.24,279.24,2449,0
IHF.US,5,20211104,200500,279.315,279.315,279.315,279.315,590,0
IHF.US,5,20211104,203500,279.39,279.39,279.39,279.39,109,0
IHF.US,5,20211104,204500,279.58,279.58,279.58,279.58,100,0
IHF.US,5,20211104,205000,280.12,280.12,280.12,280.12,100,0
IHF.US,5,20211105,143000,280.03,280.03,280.03,280.03,164,0
IHF.US,5,20211105,144000,283.4,283.4,283.4,283.4,389,0
IHF.US,5,20211105,145000,283.89,283.89,283.89,283.89,100,0
IHF.US,5,20211105,152500,282.8,282.895,282.8,282.895,204,0
IHF.US,5,20211105,161000,282.58,282.58,282.58,282.58,100,0
IHF.US,5,20211105,165500,281.389,281.389,281.389,281.389,100,0
IHF.US,5,20211105,174000,281.167,281.167,281.167,281.167,572,0
IHF.US,5,20211105,175500,281.225,281.225,281.225,281.225,100,0
IHF.US,5,20211105,193000,280.54,280.54,280.54,280.54,135,0
IHF.US,5,20211105,200000,279.978,279.978,279.88,279.88,221,0
IHF.US,5,20211105,201500,280.05,280.05,280.05,280.05,264,0
IHF.US,5,20211105,205500,279.87,279.87,279.87,279.87,100,0
IHF.US,5,20211108,153000,281.4,281.4,281.4,281.4,245,0
IHF.US,5,20211108,153500,280,280,280,280,183,0
IHF.US,5,20211108,155500,280.526,280.526,280.526,280.526,107,0
IHF.US,5,20211108,160000,280.31,280.35,280.31,280.35,300,0
IHF.US,5,20211108,160500,279.7,280.3,279.7,280.3,1045,0
IHF.US,5,20211108,161000,280.569,280.569,280.569,280.569,519,0
IHF.US,5,20211108,163500,281.95,282.09,281.95,282.09,300,0
IHF.US,5,20211108,165000,282.35,282.35,282.15,282.15,300,0
IHF.US,5,20211108,170000,281.68,281.68,281.68,281.68,108,0
IHF.US,5,20211108,174500,281.515,281.515,281.515,281.515,246,0
IHF.US,5,20211108,191500,281.39,281.39,281.39,281.39,200,0
IHF.US,5,20211108,200500,281.97,281.97,281.97,281.97,200,0
IHF.US,5,20211108,202500,281.925,281.925,281.925,281.925,178,0
IHF.US,5,20211108,212000,282.445,282.445,282.445,282.445,100,0
