<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KEMQ.US,5,20211104,143000,28.26,28.26,28.26,28.26,1056,0
KEMQ.US,5,20211104,152500,28.07,28.07,28.07,28.07,1000,0
KEMQ.US,5,20211104,153000,28.04,28.04,28.04,28.04,700,0
KEMQ.US,5,20211104,153500,28.0799,28.0799,28.0799,28.0799,140,0
KEMQ.US,5,20211104,154000,28.04,28.04,28.04,28.04,200,0
KEMQ.US,5,20211104,154500,28.0199,28.0199,28.0199,28.0199,128,0
KEMQ.US,5,20211104,155000,27.98,27.98,27.98,27.98,100,0
KEMQ.US,5,20211104,160000,27.91,27.91,27.91,27.91,128,0
KEMQ.US,5,20211104,161500,27.84,27.84,27.84,27.84,3300,0
KEMQ.US,5,20211104,162000,27.83,27.83,27.83,27.83,500,0
KEMQ.US,5,20211104,164500,27.7699,27.7699,27.7699,27.7699,117,0
KEMQ.US,5,20211104,165000,27.72,27.72,27.72,27.72,334,0
KEMQ.US,5,20211104,172000,27.7676,27.7676,27.7676,27.7676,629,0
KEMQ.US,5,20211104,175500,27.74,27.74,27.74,27.74,1100,0
KEMQ.US,5,20211104,182000,27.7381,27.7381,27.7381,27.7381,1209,0
KEMQ.US,5,20211104,193000,27.74,27.74,27.74,27.74,11120,0
KEMQ.US,5,20211104,203500,27.73,27.75,27.73,27.75,300,0
KEMQ.US,5,20211104,205500,27.735,27.78,27.721,27.78,1972,0
KEMQ.US,5,20211105,143000,28.02,28.02,28.02,28.02,217,0
KEMQ.US,5,20211105,145000,27.98,27.98,27.941,27.9703,634,0
KEMQ.US,5,20211105,150500,27.981,27.981,27.98,27.98,650,0
KEMQ.US,5,20211105,154500,27.85,27.85,27.85,27.85,155,0
KEMQ.US,5,20211105,160500,27.8101,27.8101,27.81,27.81,840,0
KEMQ.US,5,20211105,161500,27.92,27.92,27.92,27.92,180,0
KEMQ.US,5,20211105,164000,27.7901,27.85,27.79,27.7901,579,0
KEMQ.US,5,20211105,170000,27.9,27.9,27.8997,27.8997,500,0
KEMQ.US,5,20211105,171000,27.899,27.899,27.899,27.899,160,0
KEMQ.US,5,20211105,173000,27.89,27.89,27.89,27.89,1792,0
KEMQ.US,5,20211105,174500,27.82,27.82,27.82,27.82,164,0
KEMQ.US,5,20211105,175000,27.84,27.84,27.84,27.84,850,0
KEMQ.US,5,20211105,175500,27.82,27.82,27.82,27.82,198,0
KEMQ.US,5,20211105,180000,27.805,27.805,27.805,27.805,350,0
KEMQ.US,5,20211105,182500,27.7508,27.7508,27.7508,27.7508,323,0
KEMQ.US,5,20211105,190000,27.79,27.7901,27.77,27.77,1719,0
KEMQ.US,5,20211105,193000,27.8102,27.82,27.8102,27.82,384,0
KEMQ.US,5,20211105,194500,27.839,27.839,27.839,27.839,263,0
KEMQ.US,5,20211105,195000,27.815,27.815,27.8021,27.8021,502,0
KEMQ.US,5,20211105,200000,27.8369,27.8369,27.8369,27.8369,335,0
KEMQ.US,5,20211105,202500,27.83,27.83,27.83,27.83,245,0
KEMQ.US,5,20211105,203500,27.86,27.86,27.86,27.86,5034,0
KEMQ.US,5,20211105,205500,27.85,27.85,27.85,27.85,131,0
KEMQ.US,5,20211108,153000,28.1,28.1,28.08,28.09,2235,0
KEMQ.US,5,20211108,153500,28.1,28.1,28.09,28.1,1800,0
KEMQ.US,5,20211108,155500,28.03,28.03,28.03,28.03,600,0
KEMQ.US,5,20211108,160500,28.02,28.02,28.02,28.02,300,0
KEMQ.US,5,20211108,163500,28.07,28.07,28.0699,28.0699,228,0
KEMQ.US,5,20211108,164000,27.97,27.97,27.97,27.97,2300,0
KEMQ.US,5,20211108,171000,27.985,27.985,27.985,27.985,303,0
KEMQ.US,5,20211108,172500,27.991,27.991,27.991,27.991,176,0
KEMQ.US,5,20211108,180000,27.9681,27.9681,27.9681,27.9681,397,0
KEMQ.US,5,20211108,182500,27.9706,27.9706,27.9706,27.9706,162,0
KEMQ.US,5,20211108,183500,28.05,28.05,28.05,28.05,263,0
KEMQ.US,5,20211108,185000,28.06,28.06,28.06,28.06,226,0
KEMQ.US,5,20211108,190500,28.06,28.06,28.0599,28.0599,400,0
KEMQ.US,5,20211108,191000,28.0006,28.0006,28.0006,28.0006,1305,0
KEMQ.US,5,20211108,194500,28.05,28.05,28.05,28.05,180,0
KEMQ.US,5,20211108,195000,28.025,28.025,28,28,368,0
KEMQ.US,5,20211108,195500,28.0097,28.0097,28.0097,28.0097,327,0
KEMQ.US,5,20211108,203000,28.0442,28.0442,28.0442,28.0442,261,0
KEMQ.US,5,20211108,203500,28,28.05,28,28.0292,710,0
KEMQ.US,5,20211108,210000,28.0001,28.0001,28.0001,28.0001,273,0
KEMQ.US,5,20211108,211500,28.07,28.07,28.07,28.07,101,0
KEMQ.US,5,20211109,153000,28.3,28.3,28.3,28.3,446,0
KEMQ.US,5,20211109,154500,28.2644,28.2644,28.2644,28.2644,111,0
KEMQ.US,5,20211109,161000,28.02,28.02,28.02,28.02,100,0
KEMQ.US,5,20211109,161500,28.11,28.11,28.11,28.11,232,0
KEMQ.US,5,20211109,164500,28.1305,28.1305,28.1305,28.1305,310,0
KEMQ.US,5,20211109,165500,28.1849,28.1849,28.1849,28.1849,379,0
KEMQ.US,5,20211109,172000,28.18,28.18,28.18,28.18,321,0
KEMQ.US,5,20211109,173000,28.18,28.18,28.18,28.18,115,0
KEMQ.US,5,20211109,173500,28.1601,28.1615,28.16,28.16,482,0
KEMQ.US,5,20211109,183500,28.125,28.125,28.125,28.125,262,0
KEMQ.US,5,20211109,191500,28.1449,28.1449,28.14,28.14,900,0
KEMQ.US,5,20211109,193000,28.14,28.14,28.14,28.14,100,0
KEMQ.US,5,20211109,193500,28.15,28.15,28.15,28.15,110,0
KEMQ.US,5,20211109,194500,28.1699,28.1699,28.1,28.1,394,0
KEMQ.US,5,20211109,201000,28.14,28.14,28.14,28.14,100,0
KEMQ.US,5,20211109,202500,28.17,28.19,28.13,28.13,5630,0
KEMQ.US,5,20211109,203000,28.13,28.16,28.13,28.13,5208,0
KEMQ.US,5,20211109,215500,28.19,28.19,28.19,28.19,206,0
KEMQ.US,5,20211110,153000,28.32,28.32,28.32,28.32,801,0
KEMQ.US,5,20211110,154000,28.41,28.41,28.41,28.41,300,0
KEMQ.US,5,20211110,154500,28.5,28.52,28.5,28.51,3300,0
KEMQ.US,5,20211110,155000,28.48,28.48,28.435,28.435,700,0
KEMQ.US,5,20211110,155500,28.49,28.49,28.49,28.49,100,0
KEMQ.US,5,20211110,160000,28.54,28.56,28.54,28.56,600,0
KEMQ.US,5,20211110,160500,28.5,28.5,28.5,28.5,100,0
KEMQ.US,5,20211110,161500,28.48,28.51,28.48,28.51,362,0
KEMQ.US,5,20211110,162000,28.555,28.555,28.55,28.55,2303,0
KEMQ.US,5,20211110,162500,28.55,28.55,28.55,28.55,1200,0
KEMQ.US,5,20211110,164000,28.48,28.5,28.465,28.465,964,0
KEMQ.US,5,20211110,164500,28.515,28.5595,28.515,28.5595,221,0
KEMQ.US,5,20211110,170500,28.54,28.54,28.51,28.51,4224,0
KEMQ.US,5,20211110,171000,28.525,28.53,28.525,28.53,200,0
KEMQ.US,5,20211110,172000,28.535,28.535,28.535,28.535,100,0
KEMQ.US,5,20211110,173500,28.521,28.521,28.521,28.521,100,0
KEMQ.US,5,20211110,180500,28.5299,28.5299,28.5299,28.5299,150,0
KEMQ.US,5,20211110,181000,28.5,28.5,28.5,28.5,100,0
KEMQ.US,5,20211110,184000,28.435,28.435,28.435,28.435,191,0
KEMQ.US,5,20211110,191000,28.34,28.34,28.34,28.34,230,0
KEMQ.US,5,20211110,193500,28.25,28.25,28.25,28.25,100,0
KEMQ.US,5,20211110,194000,28.23,28.23,28.23,28.23,100,0
KEMQ.US,5,20211110,200500,28.2099,28.2099,28.2099,28.2099,180,0
KEMQ.US,5,20211110,202000,28.14,28.14,28.14,28.14,153,0
KEMQ.US,5,20211110,203000,28.05,28.07,28.05,28.07,778,0
KEMQ.US,5,20211110,203500,28.09,28.09,28.03,28.03,3297,0
KEMQ.US,5,20211110,211500,28.09,28.09,28.09,28.09,600,0
KEMQ.US,5,20211110,212500,28.14,28.14,28.14,28.14,109,0
KEMQ.US,5,20211110,214500,28.05,28.05,28.05,28.05,100,0
KEMQ.US,5,20211110,215000,28.1,28.1,28.1,28.1,1000,0
KEMQ.US,5,20211110,215500,28.09,28.09,28.09,28.09,100,0
