<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRBN.US,5,20211104,143000,42.44,42.59,42.44,42.46,27575,0
KRBN.US,5,20211104,143500,42.446,42.46,42.44,42.46,1639,0
KRBN.US,5,20211104,144000,42.45,42.46,42.38,42.3899,16911,0
KRBN.US,5,20211104,144500,42.375,42.42,42.37,42.376,6364,0
KRBN.US,5,20211104,145000,42.375,42.4,42.375,42.38,4169,0
KRBN.US,5,20211104,145500,42.41,42.44,42.4,42.41,2000,0
KRBN.US,5,20211104,150000,42.4,42.42,42.34,42.34,23815,0
KRBN.US,5,20211104,150500,42.34,42.34,42.18,42.18,7058,0
KRBN.US,5,20211104,151000,42.28,42.3,42.23,42.25,4392,0
KRBN.US,5,20211104,151500,42.255,42.255,42.22,42.22,4107,0
KRBN.US,5,20211104,152000,42.2227,42.25,42.2227,42.25,1360,0
KRBN.US,5,20211104,152500,42.25,42.2999,42.21,42.2999,7269,0
KRBN.US,5,20211104,153000,42.25,42.305,42.25,42.305,1138,0
KRBN.US,5,20211104,153500,42.32,42.35,42.32,42.35,200,0
KRBN.US,5,20211104,154000,42.35,42.37,42.32,42.37,7629,0
KRBN.US,5,20211104,154500,42.33,42.3394,42.25,42.25,1750,0
KRBN.US,5,20211104,155000,42.25,42.28,42.23,42.23,3462,0
KRBN.US,5,20211104,155500,42.24,42.2711,42.2219,42.23,1717,0
KRBN.US,5,20211104,160000,42.2,42.2,42.08,42.08,6944,0
KRBN.US,5,20211104,160500,42.02,42.04,41.81,41.92,36663,0
KRBN.US,5,20211104,161000,41.86,41.86,41.785,41.82,50714,0
KRBN.US,5,20211104,161500,41.85,41.85,41.72,41.74,8105,0
KRBN.US,5,20211104,162000,41.72,41.75,41.71,41.74,4788,0
KRBN.US,5,20211104,162500,41.77,41.83,41.7233,41.75,8024,0
KRBN.US,5,20211104,163000,41.7145,41.815,41.7145,41.815,1729,0
KRBN.US,5,20211104,163500,41.8,41.83,41.77,41.83,5600,0
KRBN.US,5,20211104,164000,41.82,41.82,41.8,41.8,2565,0
KRBN.US,5,20211104,164500,41.84,41.85,41.75,41.75,5392,0
KRBN.US,5,20211104,165000,41.74,41.74,41.51,41.5138,9737,0
