<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQDI.US,5,20211104,143000,30.71,30.71,30.615,30.615,3133,0
LQDI.US,5,20211104,144500,30.69,30.72,30.676,30.676,11302,0
LQDI.US,5,20211104,145500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,151500,30.675,30.6888,30.675,30.6888,617,0
LQDI.US,5,20211104,153500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,154000,30.69,30.72,30.6865,30.7,3086,0
LQDI.US,5,20211104,154500,30.7,30.72,30.7,30.7,6129,0
LQDI.US,5,20211104,160500,30.68,30.6822,30.68,30.6822,700,0
LQDI.US,5,20211104,161000,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,161500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,162000,30.655,30.69,30.64,30.69,745,0
LQDI.US,5,20211104,162500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,163000,30.69,30.69,30.6819,30.69,720,0
LQDI.US,5,20211104,163500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,164000,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,164500,30.69,30.69,30.69,30.69,200,0
LQDI.US,5,20211104,165000,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,165500,30.69,30.69,30.69,30.69,200,0
LQDI.US,5,20211104,170000,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,170500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,171000,30.69,30.69,30.69,30.69,200,0
LQDI.US,5,20211104,171500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,172000,30.69,30.69,30.69,30.69,200,0
LQDI.US,5,20211104,172500,30.69,30.69,30.69,30.69,100,0
LQDI.US,5,20211104,173000,30.69,30.69,30.69,30.69,500,0
LQDI.US,5,20211104,173500,30.75,30.75,30.7317,30.75,560,0
LQDI.US,5,20211104,174000,30.75,30.75,30.75,30.75,100,0
LQDI.US,5,20211104,174500,30.75,30.75,30.75,30.75,200,0
LQDI.US,5,20211104,175000,30.74,30.74,30.74,30.74,100,0
LQDI.US,5,20211104,182000,30.735,30.735,30.735,30.735,100,0
LQDI.US,5,20211104,193500,30.72,30.72,30.72,30.72,200,0
LQDI.US,5,20211104,194000,30.73,30.74,30.7176,30.7176,2915,0
LQDI.US,5,20211104,200000,30.7191,30.7191,30.7191,30.7191,561,0
LQDI.US,5,20211104,203500,30.715,30.715,30.715,30.715,216,0
LQDI.US,5,20211104,204500,30.715,30.715,30.71,30.71,500,0
LQDI.US,5,20211104,205000,30.715,30.715,30.71,30.71,200,0
LQDI.US,5,20211104,205500,30.72,30.72,30.71,30.71,316,0
LQDI.US,5,20211105,143000,30.85,30.85,30.85,30.85,1517,0
LQDI.US,5,20211105,153500,30.81,30.81,30.81,30.81,200,0
LQDI.US,5,20211105,155500,30.86,30.86,30.86,30.86,100,0
LQDI.US,5,20211105,160000,30.86,30.86,30.86,30.86,100,0
LQDI.US,5,20211105,162000,30.859,30.87,30.859,30.87,200,0
LQDI.US,5,20211105,162500,30.87,30.87,30.87,30.87,300,0
LQDI.US,5,20211105,165000,30.88,30.88,30.88,30.88,200,0
LQDI.US,5,20211105,173500,30.8656,30.8656,30.8656,30.8656,118,0
LQDI.US,5,20211105,183000,30.87,30.87,30.87,30.87,600,0
LQDI.US,5,20211105,192500,30.86,30.86,30.86,30.86,415,0
LQDI.US,5,20211105,200500,30.869,30.869,30.8655,30.8655,200,0
LQDI.US,5,20211105,202500,30.8701,30.8701,30.8701,30.8701,325,0
LQDI.US,5,20211108,153000,30.82,30.8601,30.82,30.8601,4017,0
LQDI.US,5,20211108,153500,30.91,30.91,30.91,30.91,518,0
LQDI.US,5,20211108,155000,30.9495,30.9495,30.9495,30.9495,394,0
LQDI.US,5,20211108,160000,30.9499,30.9499,30.93,30.93,200,0
LQDI.US,5,20211108,160500,30.9341,30.9341,30.9341,30.9341,100,0
LQDI.US,5,20211108,161000,30.938,30.949,30.938,30.949,700,0
LQDI.US,5,20211108,161500,30.91,30.91,30.91,30.91,100,0
LQDI.US,5,20211108,162500,30.915,30.915,30.915,30.915,1000,0
LQDI.US,5,20211108,163000,30.915,30.92,30.915,30.9199,1450,0
LQDI.US,5,20211108,165000,30.92,30.95,30.92,30.95,4953,0
LQDI.US,5,20211108,170000,30.95,30.95,30.93,30.945,2115,0
LQDI.US,5,20211108,173000,30.95,30.95,30.95,30.95,1400,0
LQDI.US,5,20211108,174500,30.95,30.95,30.95,30.95,100,0
LQDI.US,5,20211108,175500,30.94,30.94,30.94,30.94,355,0
LQDI.US,5,20211108,183000,30.95,30.95,30.95,30.95,400,0
LQDI.US,5,20211108,183500,30.95,30.95,30.95,30.95,400,0
LQDI.US,5,20211108,184000,30.95,30.95,30.95,30.95,400,0
LQDI.US,5,20211108,184500,30.95,30.95,30.95,30.95,400,0
LQDI.US,5,20211108,185000,30.95,30.95,30.9374,30.95,1146,0
LQDI.US,5,20211108,185500,30.95,30.95,30.95,30.95,200,0
LQDI.US,5,20211108,192000,30.94,30.94,30.94,30.94,119,0
LQDI.US,5,20211108,193000,30.93,30.93,30.87,30.905,1200,0
LQDI.US,5,20211108,193500,30.905,30.905,30.905,30.905,100,0
LQDI.US,5,20211108,195500,30.96,30.96,30.93,30.93,300,0
LQDI.US,5,20211108,200000,30.93,30.93,30.93,30.93,310,0
LQDI.US,5,20211108,201000,30.9428,30.9428,30.9428,30.9428,500,0
LQDI.US,5,20211108,205000,30.96,30.96,30.96,30.96,325,0
LQDI.US,5,20211108,210500,30.9771,30.9771,30.973,30.973,625,0
LQDI.US,5,20211108,211500,30.965,30.965,30.965,30.965,145,0
LQDI.US,5,20211108,214000,30.965,30.965,30.965,30.965,196,0
LQDI.US,5,20211108,214500,30.98,30.98,30.98,30.98,119,0
LQDI.US,5,20211108,215500,30.98,30.98,30.93,30.93,1007,0
LQDI.US,5,20211109,153000,31.12,31.12,31.12,31.12,1452,0
LQDI.US,5,20211109,154000,31.14,31.14,31.14,31.14,200,0
LQDI.US,5,20211109,154500,31.12,31.12,31.12,31.12,1306,0
LQDI.US,5,20211109,160000,31.11,31.11,31.11,31.11,100,0
LQDI.US,5,20211109,162000,31.07,31.07,31.07,31.07,782,0
LQDI.US,5,20211109,163000,31.0739,31.09,31.0739,31.09,583,0
LQDI.US,5,20211109,163500,31.1194,31.1194,31.1194,31.1194,148,0
LQDI.US,5,20211109,165000,31.12,31.12,31.12,31.12,100,0
LQDI.US,5,20211109,170500,31.18,31.18,31.18,31.18,200,0
LQDI.US,5,20211109,175000,31.18,31.1995,31.175,31.1995,2205,0
LQDI.US,5,20211109,181500,31.167,31.17,31.1656,31.1656,4540,0
LQDI.US,5,20211109,182000,31.17,31.2,31.17,31.18,4840,0
LQDI.US,5,20211109,182500,31.2,31.2,31.2,31.2,200,0
LQDI.US,5,20211109,183000,31.18,31.18,31.18,31.18,100,0
LQDI.US,5,20211109,183500,31.1692,31.1692,31.1692,31.1692,500,0
LQDI.US,5,20211109,184000,31.17,31.18,31.17,31.18,771,0
LQDI.US,5,20211109,200500,31.17,31.17,31.17,31.17,100,0
LQDI.US,5,20211109,201000,31.1601,31.17,31.1601,31.165,682,0
LQDI.US,5,20211109,202500,31.17,31.17,31.17,31.17,100,0
LQDI.US,5,20211109,204000,31.156,31.156,31.156,31.156,100,0
LQDI.US,5,20211109,205000,31.1501,31.1501,31.1501,31.1501,191,0
LQDI.US,5,20211109,205500,31.1648,31.1648,31.16,31.16,755,0
LQDI.US,5,20211109,210000,31.16,31.16,31.05,31.05,24944,0
LQDI.US,5,20211109,212500,31.12,31.12,31.11,31.11,1000,0
LQDI.US,5,20211109,215500,31.12,31.12,31.08,31.08,500,0
LQDI.US,5,20211110,153000,31.33,31.33,31.33,31.33,847,0
LQDI.US,5,20211110,162500,31.195,31.195,31.195,31.195,1121,0
LQDI.US,5,20211110,170000,31.19,31.19,31.18,31.18,470,0
LQDI.US,5,20211110,171000,31.17,31.17,31.17,31.17,200,0
LQDI.US,5,20211110,173500,31.1199,31.1199,31.1199,31.1199,200,0
LQDI.US,5,20211110,174000,31.08,31.08,31.06,31.08,500,0
LQDI.US,5,20211110,174500,31.06,31.06,31.05,31.05,700,0
LQDI.US,5,20211110,175000,31.08,31.08,31.07,31.07,900,0
LQDI.US,5,20211110,175500,31.07,31.1,31.07,31.1,400,0
LQDI.US,5,20211110,180000,31.1,31.1,31.1,31.1,100,0
LQDI.US,5,20211110,180500,31.04,31.04,31.01,31.02,610,0
LQDI.US,5,20211110,181000,31.02,31.02,31.02,31.02,100,0
LQDI.US,5,20211110,181500,31.02,31.02,31.02,31.02,1200,0
LQDI.US,5,20211110,182500,31.01,31.02,31.01,31.01,1350,0
LQDI.US,5,20211110,183500,31.02,31.02,31.01,31.01,600,0
LQDI.US,5,20211110,184000,31.01,31.01,30.99,30.99,950,0
LQDI.US,5,20211110,185000,31,31,31,31,800,0
LQDI.US,5,20211110,185500,31,31.01,31,31.01,990,0
LQDI.US,5,20211110,190000,31.02,31.02,31.02,31.02,200,0
LQDI.US,5,20211110,195000,30.98,30.98,30.98,30.98,874,0
LQDI.US,5,20211110,201500,30.995,30.995,30.995,30.995,300,0
LQDI.US,5,20211110,202500,30.98,30.98,30.96,30.96,270,0
LQDI.US,5,20211110,204000,30.985,30.985,30.985,30.985,100,0
LQDI.US,5,20211110,204500,31.0096,31.0096,31.0096,31.0096,216,0
LQDI.US,5,20211110,211000,30.9997,30.9997,30.9997,30.9997,300,0
LQDI.US,5,20211110,212000,30.979,30.979,30.979,30.979,630,0
LQDI.US,5,20211110,212500,30.9999,30.9999,30.9999,30.9999,580,0
LQDI.US,5,20211110,213000,31,31,31,31,499,0
LQDI.US,5,20211110,214000,30.985,30.985,30.985,30.985,200,0
LQDI.US,5,20211110,215000,30.985,30.985,30.985,30.985,129,0
LQDI.US,5,20211110,215500,31,31.005,30.998,31.005,1108,0
LQDI.US,5,20211111,153000,31.17,31.17,31.17,31.17,665,0
LQDI.US,5,20211111,161500,31.04,31.06,31.04,31.06,300,0
