<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PAPR.US,5,20211104,161500,29.19,29.19,29.14,29.16,13654,0
PAPR.US,5,20211104,162000,29.15,29.15,29.15,29.15,100,0
PAPR.US,5,20211104,163000,29.175,29.175,29.175,29.175,240,0
PAPR.US,5,20211104,171500,29.21,29.21,29.21,29.21,136,0
PAPR.US,5,20211104,175000,29.16,29.16,29.155,29.16,3800,0
PAPR.US,5,20211104,201000,29.1604,29.1604,29.1604,29.1604,300,0
PAPR.US,5,20211104,201500,29.16,29.1746,29.16,29.1746,604,0
PAPR.US,5,20211105,152000,29.22,29.22,29.21,29.21,1800,0
PAPR.US,5,20211105,165000,29.215,29.215,29.215,29.215,200,0
PAPR.US,5,20211105,173000,29.18,29.1804,29.18,29.1801,1000,0
PAPR.US,5,20211105,175000,29.18,29.18,29.17,29.17,1450,0
PAPR.US,5,20211105,180000,29.17,29.1707,29.17,29.1707,3979,0
PAPR.US,5,20211105,181000,29.1753,29.1812,29.1753,29.1812,1800,0
PAPR.US,5,20211105,183000,29.16,29.16,29.16,29.16,100,0
PAPR.US,5,20211105,185000,29.1767,29.1767,29.1687,29.1687,1487,0
PAPR.US,5,20211105,191500,29.1835,29.1835,29.1835,29.1835,181,0
PAPR.US,5,20211105,193000,29.17,29.17,29.17,29.17,437,0
PAPR.US,5,20211105,202000,29.1891,29.1891,29.1891,29.1891,172,0
PAPR.US,5,20211108,165000,29.2006,29.2006,29.2006,29.2006,102,0
PAPR.US,5,20211108,173500,29.2,29.2,29.19,29.19,1000,0
PAPR.US,5,20211108,174000,29.195,29.195,29.195,29.195,190,0
PAPR.US,5,20211108,181000,29.19,29.19,29.19,29.19,100,0
PAPR.US,5,20211108,183000,29.19,29.19,29.18,29.18,800,0
PAPR.US,5,20211108,183500,29.18,29.18,29.1201,29.1201,10572,0
PAPR.US,5,20211108,193500,29.15,29.1523,29.15,29.1523,803,0
PAPR.US,5,20211108,194000,29.16,29.16,29.16,29.16,545,0
PAPR.US,5,20211108,194500,29.16,29.165,29.16,29.165,1535,0
PAPR.US,5,20211108,195000,29.16,29.162,29.16,29.162,1800,0
PAPR.US,5,20211108,200000,29.1301,29.155,29.1301,29.155,645,0
PAPR.US,5,20211108,200500,29.155,29.155,29.155,29.155,100,0
PAPR.US,5,20211108,201000,29.16,29.16,29.16,29.16,100,0
PAPR.US,5,20211108,202000,29.16,29.16,29.16,29.16,500,0
PAPR.US,5,20211108,202500,29.18,29.18,29.18,29.18,1017,0
PAPR.US,5,20211108,203000,29.16,29.16,29.16,29.16,100,0
PAPR.US,5,20211108,213000,29.175,29.175,29.175,29.175,203,0
PAPR.US,5,20211108,214000,29.17,29.17,29.17,29.17,300,0
PAPR.US,5,20211108,215000,29.17,29.18,29.17,29.17,582,0
PAPR.US,5,20211109,153000,29.17,29.17,29.17,29.17,369,0
PAPR.US,5,20211109,161000,29.15,29.1501,29.14,29.1501,4166,0
PAPR.US,5,20211109,162500,29.15,29.15,29.15,29.15,100,0
PAPR.US,5,20211109,175500,29.19,29.19,29.16,29.19,11500,0
PAPR.US,5,20211109,185500,29.1754,29.1754,29.16,29.16,2097,0
PAPR.US,5,20211109,201500,29.1668,29.1668,29.1668,29.1668,346,0
PAPR.US,5,20211109,203500,29.16,29.16,29.16,29.16,200,0
PAPR.US,5,20211109,211500,29.155,29.19,29.155,29.19,349,0
PAPR.US,5,20211109,214000,29.19,29.19,29.19,29.19,600,0
PAPR.US,5,20211109,215500,29.2,29.2,29.2,29.2,1200,0
PAPR.US,5,20211110,153000,29.21,29.21,29.21,29.21,500,0
PAPR.US,5,20211110,155500,29.19,29.19,29.17,29.18,2696,0
PAPR.US,5,20211110,162500,29.195,29.23,29.195,29.23,2662,0
PAPR.US,5,20211110,163000,29.18,29.18,29.18,29.18,365,0
PAPR.US,5,20211110,164000,29.205,29.205,29.205,29.205,1173,0
PAPR.US,5,20211110,164500,29.2,29.2,29.2,29.2,100,0
