<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNOV.US,5,20211104,143000,30.74,30.74,30.74,30.74,151,0
PNOV.US,5,20211104,143500,30.71,30.71,30.71,30.71,250,0
PNOV.US,5,20211104,144000,30.71,30.71,30.71,30.71,2438,0
PNOV.US,5,20211104,151000,30.77,30.77,30.77,30.77,3400,0
PNOV.US,5,20211104,152000,30.77,30.77,30.77,30.77,3250,0
PNOV.US,5,20211104,153000,30.77,30.77,30.77,30.77,1024,0
PNOV.US,5,20211104,153500,30.7995,30.7995,30.765,30.768,725,0
PNOV.US,5,20211104,154000,30.7677,30.7677,30.7677,30.7677,598,0
PNOV.US,5,20211104,154500,30.76,30.76,30.76,30.76,410,0
PNOV.US,5,20211104,155000,30.77,30.77,30.77,30.77,640,0
PNOV.US,5,20211104,160000,30.765,30.765,30.765,30.765,228,0
PNOV.US,5,20211104,160500,30.76,30.76,30.76,30.76,3352,0
PNOV.US,5,20211104,161000,30.752,30.78,30.7457,30.78,13672,0
PNOV.US,5,20211104,161500,30.74,30.75,30.74,30.75,1740,0
PNOV.US,5,20211104,162000,30.73,30.73,30.73,30.73,100,0
PNOV.US,5,20211104,162500,30.73,30.73,30.7121,30.7121,1651,0
PNOV.US,5,20211104,163500,30.73,30.74,30.73,30.7332,2263,0
PNOV.US,5,20211104,164500,30.749,30.75,30.73,30.73,14765,0
PNOV.US,5,20211104,165000,30.73,30.73,30.7229,30.7229,2192,0
PNOV.US,5,20211104,165500,30.74,30.745,30.7399,30.7399,1700,0
PNOV.US,5,20211104,170000,30.75,30.75,30.75,30.75,1113,0
PNOV.US,5,20211104,171000,30.76,30.76,30.76,30.76,300,0
PNOV.US,5,20211104,171500,30.76,30.76,30.75,30.75,1020,0
PNOV.US,5,20211104,172000,30.75,30.76,30.735,30.735,3909,0
PNOV.US,5,20211104,173000,30.73,30.73,30.73,30.73,1074,0
PNOV.US,5,20211104,173500,30.74,30.755,30.74,30.755,4160,0
PNOV.US,5,20211104,180000,30.73,30.73,30.73,30.73,100,0
PNOV.US,5,20211104,181000,30.74,30.74,30.725,30.725,3300,0
PNOV.US,5,20211104,181500,30.74,30.74,30.74,30.74,2352,0
PNOV.US,5,20211104,183500,30.74,30.7495,30.74,30.7495,1375,0
PNOV.US,5,20211104,184000,30.725,30.725,30.725,30.725,400,0
PNOV.US,5,20211104,185000,30.74,30.75,30.74,30.75,2250,0
PNOV.US,5,20211104,190000,30.74,30.749,30.74,30.74,2300,0
PNOV.US,5,20211104,190500,30.74,30.74,30.74,30.74,200,0
PNOV.US,5,20211104,192500,30.7121,30.7121,30.7121,30.7121,158,0
PNOV.US,5,20211104,193000,30.74,30.74,30.74,30.74,499,0
PNOV.US,5,20211104,193500,30.725,30.725,30.725,30.725,878,0
PNOV.US,5,20211104,194000,30.74,30.745,30.74,30.745,2968,0
PNOV.US,5,20211104,194500,30.745,30.745,30.74,30.74,3659,0
PNOV.US,5,20211104,195500,30.7021,30.74,30.7021,30.73,3440,0
PNOV.US,5,20211104,200000,30.73,30.73,30.73,30.73,2342,0
PNOV.US,5,20211104,200500,30.72,30.72,30.72,30.72,1195,0
PNOV.US,5,20211104,201000,30.72,30.72,30.72,30.72,1627,0
PNOV.US,5,20211104,201500,30.73,30.74,30.73,30.74,1140,0
PNOV.US,5,20211104,202500,30.7593,30.7593,30.7593,30.7593,800,0
PNOV.US,5,20211104,203000,30.74,30.74,30.74,30.74,449,0
PNOV.US,5,20211104,204000,30.7591,30.7591,30.73,30.73,729,0
PNOV.US,5,20211104,204500,30.7167,30.745,30.7167,30.745,2194,0
PNOV.US,5,20211104,205500,30.745,30.745,30.745,30.745,855,0
PNOV.US,5,20211105,143000,30.82,30.82,30.82,30.82,554,0
PNOV.US,5,20211105,144000,30.835,30.835,30.835,30.835,127,0
PNOV.US,5,20211105,144500,30.835,30.835,30.835,30.835,2968,0
PNOV.US,5,20211105,145000,30.835,30.835,30.835,30.835,1622,0
PNOV.US,5,20211105,145500,30.83,30.83,30.83,30.83,100,0
PNOV.US,5,20211105,150000,30.83,30.84,30.83,30.84,2686,0
PNOV.US,5,20211105,151500,30.815,30.85,30.8,30.815,2890,0
