<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PST.US,5,20211104,143000,16.35,16.35,16.35,16.35,594,0
PST.US,5,20211104,144500,16.31,16.31,16.31,16.31,9100,0
PST.US,5,20211104,145500,16.3,16.3033,16.291,16.3033,2000,0
PST.US,5,20211104,150000,16.295,16.295,16.295,16.295,500,0
PST.US,5,20211104,150500,16.29,16.29,16.29,16.29,100,0
PST.US,5,20211104,151000,16.2879,16.2879,16.2879,16.2879,100,0
PST.US,5,20211104,151500,16.27,16.27,16.27,16.27,613,0
PST.US,5,20211104,153000,16.24,16.24,16.23,16.23,430,0
PST.US,5,20211104,153500,16.24,16.28,16.24,16.27,88707,0
PST.US,5,20211104,155500,16.221,16.23,16.221,16.23,300,0
PST.US,5,20211104,160000,16.25,16.26,16.2497,16.26,30407,0
PST.US,5,20211104,163500,16.26,16.26,16.26,16.26,100,0
PST.US,5,20211104,164000,16.245,16.245,16.24,16.24,1550,0
PST.US,5,20211104,165500,16.24,16.25,16.24,16.25,2620,0
PST.US,5,20211104,170000,16.25,16.25,16.25,16.25,1200,0
PST.US,5,20211104,172500,16.26,16.26,16.26,16.26,100,0
PST.US,5,20211104,173000,16.27,16.27,16.27,16.27,500,0
PST.US,5,20211104,175500,16.264,16.264,16.264,16.264,1229,0
PST.US,5,20211104,181000,16.26,16.26,16.26,16.26,1000,0
PST.US,5,20211104,182000,16.25,16.25,16.22,16.22,2819,0
PST.US,5,20211104,184000,16.23,16.23,16.23,16.23,505,0
PST.US,5,20211104,185500,16.2,16.2,16.2,16.2,1640,0
PST.US,5,20211104,191500,16.23,16.23,16.23,16.23,300,0
PST.US,5,20211104,193000,16.23,16.23,16.23,16.23,3296,0
PST.US,5,20211104,203500,16.22,16.22,16.22,16.22,2000,0
PST.US,5,20211104,204500,16.23,16.239,16.23,16.239,1700,0
PST.US,5,20211104,205000,16.23,16.23,16.22,16.22,1120,0
PST.US,5,20211104,205500,16.23,16.24,16.23,16.24,3822,0
