<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PXH.US,5,20211104,143000,22.55,22.55,22.45,22.45,682,0
PXH.US,5,20211104,143500,22.44,22.44,22.44,22.44,900,0
PXH.US,5,20211104,144000,22.445,22.45,22.445,22.45,37500,0
PXH.US,5,20211104,144500,22.44,22.44,22.43,22.43,4250,0
PXH.US,5,20211104,145500,22.43,22.45,22.43,22.45,1100,0
PXH.US,5,20211104,150000,22.44,22.44,22.425,22.425,2119,0
PXH.US,5,20211104,150500,22.415,22.42,22.41,22.42,13912,0
PXH.US,5,20211104,151000,22.42,22.43,22.42,22.43,2100,0
PXH.US,5,20211104,151500,22.4329,22.4329,22.43,22.43,1691,0
PXH.US,5,20211104,152000,22.42,22.42,22.42,22.42,100,0
PXH.US,5,20211104,152500,22.43,22.43,22.43,22.43,100,0
PXH.US,5,20211104,153500,22.44,22.45,22.43,22.43,42417,0
PXH.US,5,20211104,154000,22.4319,22.4319,22.41,22.41,863,0
PXH.US,5,20211104,154500,22.42,22.425,22.42,22.425,1539,0
PXH.US,5,20211104,155500,22.3928,22.3928,22.3928,22.3928,587,0
PXH.US,5,20211104,160000,22.4,22.4,22.39,22.39,7208,0
PXH.US,5,20211104,161500,22.3693,22.3693,22.3501,22.3501,1113,0
PXH.US,5,20211104,162000,22.3675,22.3675,22.3675,22.3675,625,0
PXH.US,5,20211104,162500,22.335,22.34,22.33,22.34,25900,0
PXH.US,5,20211104,163000,22.34,22.35,22.34,22.345,2000,0
PXH.US,5,20211104,164000,22.35,22.35,22.35,22.35,800,0
PXH.US,5,20211104,164500,22.35,22.35,22.35,22.35,600,0
PXH.US,5,20211104,165000,22.325,22.3425,22.325,22.3425,4248,0
PXH.US,5,20211104,165500,22.345,22.36,22.345,22.36,4500,0
PXH.US,5,20211104,170000,22.365,22.365,22.365,22.365,510,0
PXH.US,5,20211104,170500,22.37,22.37,22.37,22.37,1000,0
PXH.US,5,20211104,171000,22.375,22.375,22.365,22.365,5452,0
PXH.US,5,20211104,171500,22.36,22.36,22.36,22.36,100,0
PXH.US,5,20211104,172000,22.36,22.36,22.36,22.36,400,0
PXH.US,5,20211104,172500,22.355,22.355,22.35,22.35,329,0
PXH.US,5,20211104,173000,22.34,22.34,22.3311,22.3311,1345,0
PXH.US,5,20211104,173500,22.35,22.35,22.34,22.34,400,0
PXH.US,5,20211104,174000,22.33,22.3389,22.325,22.325,2691,0
PXH.US,5,20211104,174500,22.33,22.33,22.33,22.33,200,0
PXH.US,5,20211104,175500,22.33,22.33,22.33,22.33,334,0
PXH.US,5,20211104,180500,22.325,22.325,22.325,22.325,100,0
PXH.US,5,20211104,181000,22.335,22.345,22.335,22.34,3000,0
PXH.US,5,20211104,181500,22.335,22.345,22.335,22.345,1000,0
PXH.US,5,20211104,182000,22.34,22.34,22.33,22.33,5200,0
PXH.US,5,20211104,183000,22.33,22.33,22.33,22.33,100,0
PXH.US,5,20211104,183500,22.325,22.325,22.32,22.32,300,0
PXH.US,5,20211104,184000,22.32,22.32,22.3142,22.315,21245,0
PXH.US,5,20211104,184500,22.315,22.315,22.315,22.315,4100,0
PXH.US,5,20211104,185000,22.317,22.317,22.317,22.317,200,0
PXH.US,5,20211104,185500,22.32,22.325,22.32,22.325,500,0
PXH.US,5,20211104,190000,22.325,22.325,22.315,22.315,13971,0
PXH.US,5,20211104,190500,22.315,22.33,22.315,22.3299,3010,0
PXH.US,5,20211104,191000,22.325,22.325,22.315,22.32,6768,0
PXH.US,5,20211104,191500,22.33,22.335,22.325,22.325,1541,0
PXH.US,5,20211104,192000,22.33,22.35,22.33,22.345,1976,0
PXH.US,5,20211104,192500,22.35,22.35,22.344,22.35,1700,0
PXH.US,5,20211104,193500,22.345,22.345,22.34,22.34,1981,0
PXH.US,5,20211104,194000,22.3421,22.345,22.3401,22.3401,2597,0
PXH.US,5,20211104,194500,22.3415,22.345,22.34,22.34,2553,0
PXH.US,5,20211104,195000,22.33,22.34,22.33,22.34,2019,0
PXH.US,5,20211104,195500,22.34,22.34,22.335,22.335,1200,0
PXH.US,5,20211104,200000,22.33,22.33,22.325,22.33,2389,0
PXH.US,5,20211104,200500,22.3201,22.335,22.3201,22.33,6919,0
PXH.US,5,20211104,201000,22.325,22.34,22.325,22.335,7198,0
PXH.US,5,20211104,201500,22.33,22.33,22.33,22.33,4155,0
PXH.US,5,20211104,202000,22.345,22.345,22.345,22.345,300,0
PXH.US,5,20211104,202500,22.345,22.35,22.341,22.3439,2374,0
PXH.US,5,20211104,203000,22.3478,22.3478,22.3478,22.3478,178,0
PXH.US,5,20211104,203500,22.3421,22.3421,22.3421,22.3421,320,0
PXH.US,5,20211104,204000,22.34,22.34,22.33,22.33,900,0
PXH.US,5,20211104,204500,22.35,22.355,22.345,22.345,4180,0
PXH.US,5,20211104,205000,22.34,22.34,22.34,22.34,500,0
PXH.US,5,20211104,205500,22.35,22.355,22.35,22.355,1900,0
PXH.US,5,20211105,143000,22.39,22.48,22.39,22.48,1157,0
PXH.US,5,20211105,143500,22.46,22.46,22.46,22.46,400,0
PXH.US,5,20211105,144000,22.45,22.47,22.45,22.47,20302,0
PXH.US,5,20211105,144500,22.47,22.47,22.47,22.47,32113,0
PXH.US,5,20211105,145000,22.46,22.4693,22.455,22.4693,17067,0
PXH.US,5,20211105,145500,22.46,22.46,22.46,22.46,2756,0
PXH.US,5,20211105,150000,22.47,22.47,22.47,22.47,100,0
PXH.US,5,20211105,150500,22.48,22.48,22.48,22.48,3400,0
PXH.US,5,20211105,151000,22.4599,22.4599,22.45,22.45,2535,0
PXH.US,5,20211105,151500,22.44,22.44,22.44,22.44,979,0
PXH.US,5,20211105,152000,22.422,22.422,22.415,22.415,3878,0
PXH.US,5,20211105,152500,22.412,22.42,22.4,22.4,2716,0
PXH.US,5,20211105,153000,22.405,22.405,22.38,22.385,1351,0
PXH.US,5,20211105,154000,22.38,22.39,22.38,22.3821,647,0
PXH.US,5,20211105,154500,22.3899,22.39,22.3899,22.39,550,0
PXH.US,5,20211105,155000,22.4,22.4,22.4,22.4,200,0
PXH.US,5,20211105,155500,22.385,22.385,22.385,22.385,131,0
PXH.US,5,20211105,160000,22.41,22.42,22.41,22.42,3474,0
PXH.US,5,20211105,162500,22.42,22.42,22.42,22.42,624,0
PXH.US,5,20211105,163000,22.42,22.42,22.42,22.42,250,0
PXH.US,5,20211105,164000,22.42,22.42,22.42,22.42,1288,0
PXH.US,5,20211105,164500,22.42,22.423,22.42,22.423,2417,0
PXH.US,5,20211105,165000,22.4399,22.4399,22.4303,22.4303,856,0
PXH.US,5,20211105,170000,22.42,22.42,22.42,22.42,632,0
PXH.US,5,20211105,171000,22.42,22.43,22.42,22.43,543,0
PXH.US,5,20211105,171500,22.42,22.43,22.42,22.43,400,0
PXH.US,5,20211105,172500,22.4361,22.4361,22.4361,22.4361,1097,0
