<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QRFT.US,5,20211104,143000,46.02,46.02,46.02,46.02,209,0
QRFT.US,5,20211104,144500,46.16,46.16,46.16,46.16,200,0
QRFT.US,5,20211104,154500,46.5661,46.5661,46.5661,46.5661,100,0
QRFT.US,5,20211104,163000,46.2698,46.2698,46.2698,46.2698,100,0
QRFT.US,5,20211104,171000,46.35,46.35,46.35,46.35,200,0
QRFT.US,5,20211104,173500,46.36,46.36,46.36,46.36,453,0
QRFT.US,5,20211104,174500,46.35,46.35,46.35,46.35,180,0
QRFT.US,5,20211104,200500,46.3,46.3,46.3,46.3,100,0
QRFT.US,5,20211105,143000,46.5,46.5,46.5,46.5,201,0
QRFT.US,5,20211108,153000,46.8,46.8,46.8,46.8,10196,0
QRFT.US,5,20211108,215500,46.75,46.75,46.75,46.75,200,0
QRFT.US,5,20211109,160000,46.45,46.45,46.45,46.45,157,0
QRFT.US,5,20211109,163500,46.63,46.63,46.63,46.63,100,0
QRFT.US,5,20211109,170500,46.64,46.64,46.64,46.64,100,0
QRFT.US,5,20211109,173500,46.61,46.61,46.61,46.61,199,0
QRFT.US,5,20211109,182000,46.6,46.6,46.6,46.6,100,0
QRFT.US,5,20211109,184000,46.59,46.59,46.59,46.59,100,0
QRFT.US,5,20211109,191500,46.6,46.6,46.6,46.6,100,0
QRFT.US,5,20211109,194000,46.51,46.51,46.51,46.51,100,0
QRFT.US,5,20211109,200500,46.51,46.51,46.51,46.51,100,0
QRFT.US,5,20211109,202500,46.56,46.56,46.56,46.56,100,0
QRFT.US,5,20211109,205000,46.55,46.55,46.55,46.55,100,0
QRFT.US,5,20211109,213000,46.6,46.6,46.6,46.6,1000,0
QRFT.US,5,20211109,213500,46.56,46.56,46.56,46.56,100,0
QRFT.US,5,20211109,215500,46.64,46.72,46.64,46.72,307,0
QRFT.US,5,20211110,153500,46.5,46.5,46.5,46.5,100,0
QRFT.US,5,20211110,160500,46.57,46.57,46.57,46.57,100,0
QRFT.US,5,20211110,164000,46.58,46.59,46.58,46.59,300,0
QRFT.US,5,20211110,164500,46.6,46.6,46.58,46.58,280,0
QRFT.US,5,20211110,165500,46.6,46.6,46.6,46.6,300,0
QRFT.US,5,20211110,173000,46.51,46.51,46.51,46.51,100,0
QRFT.US,5,20211110,180000,46.39,46.39,46.39,46.39,100,0
QRFT.US,5,20211110,182500,46.35,46.35,46.35,46.35,100,0
QRFT.US,5,20211110,185000,46.35,46.35,46.35,46.35,100,0
QRFT.US,5,20211110,193500,46.16,46.16,46.16,46.16,100,0
QRFT.US,5,20211110,200000,46.03,46.03,46.03,46.03,100,0
QRFT.US,5,20211110,202000,46,46,45.9002,45.9002,614,0
QRFT.US,5,20211110,202500,45.89,45.89,45.89,45.89,100,0
QRFT.US,5,20211110,211000,45.88,45.88,45.88,45.88,100,0
QRFT.US,5,20211110,214000,45.9,45.9,45.88,45.88,300,0
QRFT.US,5,20211110,215500,45.91,45.98,45.91,45.98,302,0
QRFT.US,5,20211111,153000,46.12,46.12,46.12,46.12,202,0
QRFT.US,5,20211111,160000,46.25,46.25,46.25,46.25,300,0
QRFT.US,5,20211111,215500,46.15,46.15,46.15,46.15,201,0
QRFT.US,5,20211112,154000,46.18,46.18,46.18,46.18,100,0
QRFT.US,5,20211112,173000,46.5192,46.5192,46.5192,46.5192,200,0
QRFT.US,5,20211112,185500,46.56,46.56,46.56,46.56,3005,0
QRFT.US,5,20211112,215000,46.64,46.67,46.64,46.64,1100,0
QRFT.US,5,20211115,153000,46.64,46.64,46.64,46.64,441,0
QRFT.US,5,20211115,154000,46.72,46.72,46.72,46.72,108,0
QRFT.US,5,20211115,181500,46.56,46.56,46.56,46.56,1000,0
QRFT.US,5,20211115,212000,46.592,46.592,46.592,46.592,100,0
QRFT.US,5,20211115,215500,46.59,46.59,46.59,46.59,201,0
QRFT.US,5,20211116,153000,46.44,46.44,46.44,46.44,200,0
QRFT.US,5,20211116,154000,46.77,46.77,46.77,46.77,100,0
QRFT.US,5,20211116,165500,46.67,46.67,46.67,46.67,106,0
QRFT.US,5,20211116,171000,46.74,46.74,46.74,46.74,500,0
QRFT.US,5,20211116,204500,46.89,46.8903,46.89,46.8903,500,0
QRFT.US,5,20211116,215000,46.85,46.85,46.85,46.85,100,0
QRFT.US,5,20211116,215500,46.82,46.82,46.82,46.82,132,0
QRFT.US,5,20211117,153000,46.82,46.82,46.82,46.82,106,0
QRFT.US,5,20211117,155000,46.8,46.8,46.8,46.8,162,0
QRFT.US,5,20211117,164500,46.91,46.91,46.85,46.85,2100,0
QRFT.US,5,20211117,165000,46.89,46.89,46.89,46.89,2490,0
QRFT.US,5,20211117,173000,46.82,46.82,46.82,46.82,100,0
QRFT.US,5,20211117,181000,46.85,46.85,46.78,46.85,3400,0
QRFT.US,5,20211118,153500,46.72,46.72,46.72,46.72,100,0
QRFT.US,5,20211118,164500,46.61,46.61,46.61,46.61,100,0
QRFT.US,5,20211118,170500,46.595,46.595,46.595,46.595,214,0
QRFT.US,5,20211118,213500,46.79,46.83,46.79,46.815,400,0
QRFT.US,5,20211119,160000,46.902,46.902,46.902,46.902,120,0
QRFT.US,5,20211122,155500,47,47,47,47,100,0
QRFT.US,5,20211122,173500,46.8,46.8,46.8,46.8,195,0
QRFT.US,5,20211123,161000,46,46,46,46,774,0
QRFT.US,5,20211123,201000,45.55,45.5519,45.5205,45.5205,1113,0
QRFT.US,5,20211123,203000,45.58,45.58,45.58,45.58,200,0
QRFT.US,5,20211123,213000,45.77,45.78,45.77,45.77,6150,0
QRFT.US,5,20211123,214500,45.8,45.8,45.8,45.8,100,0
QRFT.US,5,20211123,215000,45.815,45.86,45.815,45.86,400,0
QRFT.US,5,20211124,154500,45.5,45.5,45.5,45.5,200,0
QRFT.US,5,20211124,155000,45.65,45.7,45.65,45.7,452,0
QRFT.US,5,20211124,170000,45.8,45.8,45.8,45.8,100,0
QRFT.US,5,20211124,205000,46.14,46.14,46.14,46.14,100,0
QRFT.US,5,20211126,153000,46.22,46.22,46.22,46.22,300,0
QRFT.US,5,20211126,172000,45.33,45.33,45.3,45.3,1000,0
QRFT.US,5,20211126,191000,45.3,45.3,45.3,45.3,0,0
QRFT.US,5,20211126,213000,45.3,45.3,45.3,45.3,0,0
QRFT.US,5,20211129,153000,45.71,45.71,45.71,45.71,120,0
QRFT.US,5,20211129,154500,45.74,45.74,45.74,45.74,321,0
QRFT.US,5,20211129,163000,45.79,45.79,45.79,45.79,1200,0
QRFT.US,5,20211129,173000,46.03,46.03,46.03,46.03,200,0
QRFT.US,5,20211129,180000,46.05,46.05,46.05,46.05,369,0
QRFT.US,5,20211129,185500,46.19,46.19,46.19,46.19,257,0
QRFT.US,5,20211129,215500,45.84,45.84,45.83,45.83,380,0
QRFT.US,5,20211130,164500,45.83,45.83,45.83,45.83,113,0
QRFT.US,5,20211130,165000,45.78,45.78,45.78,45.78,187,0
QRFT.US,5,20211130,170000,45.5,45.5,45.5,45.5,121,0
QRFT.US,5,20211130,191000,45.2947,45.2947,45.2947,45.2947,100,0
QRFT.US,5,20211130,214500,45.28,45.28,45.28,45.28,100,0
QRFT.US,5,20211201,153000,45.58,45.7,45.58,45.7,2221,0
QRFT.US,5,20211201,153500,45.71,45.71,45.7,45.7,303,0
QRFT.US,5,20211201,155000,45.62,45.62,45.62,45.62,100,0
QRFT.US,5,20211201,160000,45.78,45.78,45.78,45.78,200,0
QRFT.US,5,20211201,160500,45.75,45.76,45.75,45.75,300,0
QRFT.US,5,20211201,162000,45.78,45.8,45.78,45.8,200,0
QRFT.US,5,20211201,185500,45.58,45.58,45.58,45.58,100,0
QRFT.US,5,20211201,190500,45.4101,45.4101,45.4101,45.4101,111,0
QRFT.US,5,20211201,191500,45.32,45.32,45.32,45.32,200,0
QRFT.US,5,20211201,192000,45.28,45.28,45.28,45.28,200,0
QRFT.US,5,20211201,192500,45.29,45.29,45.29,45.29,100,0
QRFT.US,5,20211201,202500,45.18,45.18,45.18,45.18,100,0
QRFT.US,5,20211201,211500,44.84,44.84,44.84,44.84,300,0
QRFT.US,5,20211202,153500,44.66,44.66,44.66,44.66,100,0
QRFT.US,5,20211202,154500,44.82,44.82,44.82,44.82,205,0
QRFT.US,5,20211202,155000,44.99,44.99,44.99,44.99,100,0
QRFT.US,5,20211202,155500,45.08,45.08,45.07,45.07,300,0
QRFT.US,5,20211202,164000,44.54,44.54,44.54,44.54,119,0
QRFT.US,5,20211202,210500,45.06,45.06,45.04,45.04,3796,0
QRFT.US,5,20211202,215500,45.09,45.09,45.09,45.09,110,0
QRFT.US,5,20211203,154000,45.17,45.17,45.17,45.17,100,0
QRFT.US,5,20211203,160000,44.86,44.86,44.86,44.86,100,0
QRFT.US,5,20211203,161000,44.655,44.655,44.655,44.655,100,0
QRFT.US,5,20211203,161500,44.8,44.8,44.8,44.8,176,0
QRFT.US,5,20211203,163500,44.38,44.38,44.38,44.38,100,0
QRFT.US,5,20211203,164000,44.35,44.35,44.3,44.35,300,0
QRFT.US,5,20211203,173000,44.31,44.31,44.31,44.31,100,0
QRFT.US,5,20211206,153000,44.26,44.3648,44.22,44.22,2099,0
QRFT.US,5,20211206,153500,44.035,44.035,44,44,200,0
QRFT.US,5,20211206,155500,44.19,44.21,44.19,44.21,7400,0
QRFT.US,5,20211206,161500,44.325,44.325,44.325,44.325,100,0
QRFT.US,5,20211206,173500,44.3,44.3,44.3,44.3,100,0
QRFT.US,5,20211206,193500,44.64,44.64,44.64,44.64,700,0
QRFT.US,5,20211206,194500,44.67,44.67,44.67,44.67,700,0
QRFT.US,5,20211206,212000,44.67,44.67,44.66,44.67,300,0
QRFT.US,5,20211206,215500,44.59,44.59,44.59,44.59,908,0
QRFT.US,5,20211207,155500,45.67,45.67,45.67,45.67,100,0
QRFT.US,5,20211207,192500,45.87,45.87,45.86,45.86,500,0
QRFT.US,5,20211207,193500,45.9,45.9,45.9,45.9,236,0
QRFT.US,5,20211207,214000,45.85,45.85,45.85,45.85,100,0
QRFT.US,5,20211208,184000,46.05,46.05,46.05,46.05,146,0
QRFT.US,5,20211208,184500,46.1,46.1,46.1,46.1,580,0
