<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCO.US,5,20211104,143000,12.89,12.895,12.845,12.87,84577,0
SCO.US,5,20211104,143500,12.89,12.97,12.86,12.94,86608,0
SCO.US,5,20211104,144000,12.945,12.95,12.89,12.93,97978,0
SCO.US,5,20211104,144500,12.9484,12.96,12.89,12.9511,78414,0
SCO.US,5,20211104,145000,12.945,12.98,12.93,12.97,29354,0
SCO.US,5,20211104,145500,12.969,12.97,12.9,12.93,18702,0
SCO.US,5,20211104,150000,12.93,13.085,12.92,13.08,36725,0
SCO.US,5,20211104,150500,13.09,13.1,12.98,13.06,29967,0
SCO.US,5,20211104,151000,13.07,13.07,13.01,13.04,24361,0
SCO.US,5,20211104,151500,13.05,13.1999,13.0258,13.1957,50704,0
SCO.US,5,20211104,152000,13.2,13.29,13.13,13.2,66292,0
SCO.US,5,20211104,152500,13.24,13.2787,13.2062,13.2787,55212,0
SCO.US,5,20211104,153000,13.27,13.31,13.15,13.15,32358,0
SCO.US,5,20211104,153500,13.15,13.18,13.0501,13.08,43480,0
SCO.US,5,20211104,154000,13.05,13.17,13.05,13.1699,9764,0
SCO.US,5,20211104,154500,13.16,13.23,13.13,13.22,87260,0
SCO.US,5,20211104,155000,13.247,13.31,13.247,13.3,201800,0
SCO.US,5,20211104,155500,13.29,13.32,13.22,13.22,55252,0
SCO.US,5,20211104,160000,13.25,13.3174,13.25,13.3174,17874,0
SCO.US,5,20211104,160500,13.32,13.33,13.29,13.29,33183,0
SCO.US,5,20211104,161000,13.29,13.3104,13.25,13.29,21059,0
SCO.US,5,20211104,161500,13.3,13.47,13.3,13.37,113958,0
SCO.US,5,20211104,162000,13.38,13.4498,13.35,13.443,27983,0
SCO.US,5,20211104,162500,13.45,13.5915,13.4484,13.57,88482,0
SCO.US,5,20211104,163000,13.563,13.635,13.51,13.56,43051,0
SCO.US,5,20211104,163500,13.6,13.6,13.5027,13.521,15898,0
SCO.US,5,20211104,164000,13.53,13.5575,13.5,13.5202,24488,0
SCO.US,5,20211104,164500,13.531,13.5634,13.5199,13.5594,3433,0
SCO.US,5,20211104,165000,13.5744,13.6,13.54,13.54,6659,0
SCO.US,5,20211104,165500,13.53,13.535,13.4,13.42,38998,0
SCO.US,5,20211104,170000,13.41,13.41,13.25,13.2603,108668,0
SCO.US,5,20211104,170500,13.27,13.275,13.19,13.2,29471,0
SCO.US,5,20211104,171000,13.2,13.27,13.19,13.232,13907,0
SCO.US,5,20211104,171500,13.23,13.3592,13.22,13.305,33428,0
SCO.US,5,20211104,172000,13.2913,13.38,13.28,13.38,4313,0
SCO.US,5,20211104,172500,13.37,13.48,13.36,13.48,94629,0
SCO.US,5,20211104,173000,13.45,13.45,13.4,13.4,27413,0
SCO.US,5,20211104,173500,13.41,13.47,13.3995,13.425,10991,0
SCO.US,5,20211104,174000,13.43,13.48,13.41,13.41,11288,0
SCO.US,5,20211104,174500,13.41,13.505,13.41,13.495,8249,0
SCO.US,5,20211104,175000,13.49,13.4907,13.47,13.49,8933,0
SCO.US,5,20211104,175500,13.4899,13.55,13.48,13.55,13376,0
SCO.US,5,20211104,180000,13.57,13.649,13.5699,13.58,35174,0
SCO.US,5,20211104,180500,13.5775,13.58,13.5334,13.57,15599,0
SCO.US,5,20211104,181000,13.545,13.58,13.545,13.57,2262,0
SCO.US,5,20211104,181500,13.5809,13.6699,13.5809,13.66,17395,0
SCO.US,5,20211104,182000,13.66,13.705,13.59,13.59,36730,0
SCO.US,5,20211104,182500,13.5966,13.619,13.54,13.55,16553,0
SCO.US,5,20211104,183000,13.55,13.595,13.52,13.595,13767,0
SCO.US,5,20211104,183500,13.6,13.67,13.595,13.6633,14577,0
SCO.US,5,20211104,184000,13.67,13.69,13.6,13.6404,32036,0
SCO.US,5,20211104,184500,13.65,13.735,13.65,13.7275,36741,0
SCO.US,5,20211104,185000,13.71,13.71,13.66,13.67,22624,0
SCO.US,5,20211104,185500,13.67,13.73,13.66,13.73,7762,0
SCO.US,5,20211104,190000,13.73,13.76,13.73,13.7541,25634,0
SCO.US,5,20211104,190500,13.74,13.7513,13.73,13.73,28733,0
SCO.US,5,20211104,191000,13.74,13.76,13.735,13.76,9322,0
SCO.US,5,20211104,191500,13.7595,13.83,13.75,13.7701,152386,0
SCO.US,5,20211104,192000,13.79,13.97,13.79,13.965,59198,0
SCO.US,5,20211104,192500,13.97,14.03,13.88,13.92,128035,0
SCO.US,5,20211104,193000,13.94,13.97,13.89,13.9105,56437,0
SCO.US,5,20211104,193500,13.9201,13.9564,13.9,13.91,17346,0
SCO.US,5,20211104,194000,13.9,13.93,13.89,13.905,13331,0
SCO.US,5,20211104,194500,13.89,13.9,13.851,13.9,25360,0
SCO.US,5,20211104,195000,13.9,13.94,13.9,13.94,23965,0
SCO.US,5,20211104,195500,13.945,13.97,13.935,13.97,5486,0
SCO.US,5,20211104,200000,13.965,13.9748,13.93,13.9518,19950,0
SCO.US,5,20211104,200500,13.955,13.98,13.94,13.975,4572,0
SCO.US,5,20211104,201000,13.98,13.99,13.93,13.93,23508,0
SCO.US,5,20211104,201500,13.935,13.96,13.925,13.96,5626,0
SCO.US,5,20211104,202000,13.96,13.96,13.915,13.94,234443,0
SCO.US,5,20211104,202500,13.94,13.94,13.905,13.92,102407,0
SCO.US,5,20211104,203000,13.92,13.92,13.86,13.8601,56620,0
SCO.US,5,20211104,203500,13.87,13.895,13.85,13.895,31605,0
SCO.US,5,20211104,204000,13.89,13.93,13.885,13.905,29186,0
SCO.US,5,20211104,204500,13.905,13.92,13.85,13.865,255360,0
SCO.US,5,20211104,205000,13.865,13.9,13.8632,13.8718,91875,0
SCO.US,5,20211104,205500,13.86,13.88,13.85,13.865,87618,0
SCO.US,5,20211105,143000,13.47,13.62,13.47,13.585,45428,0
SCO.US,5,20211105,143500,13.57,13.625,13.55,13.621,50152,0
SCO.US,5,20211105,144000,13.6284,13.6284,13.5903,13.6,12765,0
SCO.US,5,20211105,144500,13.595,13.65,13.59,13.6,18550,0
SCO.US,5,20211105,145000,13.58,13.61,13.55,13.61,25571,0
SCO.US,5,20211105,145500,13.63,13.69,13.63,13.649,29340,0
SCO.US,5,20211105,150000,13.665,13.665,13.6,13.6,20094,0
SCO.US,5,20211105,150500,13.61,13.66,13.59,13.66,12955,0
SCO.US,5,20211105,151000,13.68,13.68,13.62,13.62,7935,0
SCO.US,5,20211105,151500,13.61,13.62,13.57,13.6,5056,0
SCO.US,5,20211105,152000,13.58,13.595,13.555,13.555,20351,0
SCO.US,5,20211105,152500,13.55,13.56,13.52,13.54,30945,0
SCO.US,5,20211105,153000,13.55,13.56,13.5201,13.5201,11160,0
SCO.US,5,20211105,153500,13.54,13.57,13.53,13.565,3750,0
SCO.US,5,20211105,154000,13.58,13.59,13.555,13.5599,23058,0
SCO.US,5,20211105,154500,13.5352,13.5352,13.35,13.355,32993,0
SCO.US,5,20211105,155000,13.35,13.3901,13.35,13.37,26034,0
SCO.US,5,20211105,155500,13.365,13.38,13.32,13.3301,23456,0
SCO.US,5,20211105,160000,13.33,13.34,13.26,13.26,26310,0
SCO.US,5,20211105,160500,13.27,13.2799,13.215,13.259,75210,0
SCO.US,5,20211105,161000,13.25,13.2738,13.205,13.25,41264,0
SCO.US,5,20211105,161500,13.23,13.2541,13.2025,13.2127,20159,0
SCO.US,5,20211105,162000,13.205,13.24,13.2008,13.2299,37599,0
SCO.US,5,20211105,162500,13.21,13.2594,13.2,13.214,18654,0
SCO.US,5,20211105,163000,13.2094,13.2094,13.12,13.12,52294,0
SCO.US,5,20211105,163500,13.12,13.12,13.05,13.055,44175,0
SCO.US,5,20211105,164000,13.07,13.145,13.0599,13.105,26244,0
SCO.US,5,20211105,164500,13.12,13.1373,13.08,13.08,9547,0
SCO.US,5,20211105,165000,13.09,13.18,13.08,13.13,53575,0
SCO.US,5,20211105,165500,13.1,13.1,13.0496,13.0596,20125,0
SCO.US,5,20211105,170000,13.05,13.09,13.03,13.09,12197,0
SCO.US,5,20211105,170500,13.107,13.11,13.09,13.09,8601,0
SCO.US,5,20211105,171000,13.12,13.1452,13.11,13.12,26880,0
