<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUBZ.US,5,20211104,143000,10.85,10.85,10.85,10.85,1015,0
SUBZ.US,5,20211104,144000,10.805,10.805,10.805,10.805,100,0
SUBZ.US,5,20211104,144500,10.809,10.81,10.809,10.81,300,0
SUBZ.US,5,20211104,145500,10.789,10.789,10.789,10.789,100,0
SUBZ.US,5,20211104,152500,10.75,10.75,10.75,10.75,463,0
SUBZ.US,5,20211104,153000,10.73,10.734,10.73,10.734,594,0
SUBZ.US,5,20211104,153500,10.74,10.74,10.71,10.71,200,0
SUBZ.US,5,20211104,154000,10.712,10.712,10.7001,10.7001,200,0
SUBZ.US,5,20211104,155000,10.725,10.725,10.705,10.705,1201,0
SUBZ.US,5,20211104,155500,10.71,10.71,10.71,10.71,100,0
SUBZ.US,5,20211104,161000,10.67,10.67,10.66,10.66,338,0
SUBZ.US,5,20211104,162000,10.63,10.63,10.611,10.611,675,0
SUBZ.US,5,20211104,170000,10.64,10.64,10.64,10.64,188,0
SUBZ.US,5,20211104,174000,10.6059,10.6059,10.6059,10.6059,200,0
SUBZ.US,5,20211104,180000,10.57,10.59,10.57,10.59,500,0
SUBZ.US,5,20211104,184500,10.5899,10.5899,10.5899,10.5899,130,0
SUBZ.US,5,20211104,185500,10.59,10.59,10.59,10.59,200,0
SUBZ.US,5,20211104,190500,10.595,10.595,10.595,10.595,190,0
SUBZ.US,5,20211104,191000,10.59,10.59,10.59,10.59,100,0
SUBZ.US,5,20211104,192500,10.595,10.595,10.595,10.595,200,0
SUBZ.US,5,20211104,193000,10.6,10.6,10.6,10.6,109,0
SUBZ.US,5,20211104,200500,10.6,10.6,10.6,10.6,100,0
SUBZ.US,5,20211104,201000,10.6,10.6,10.59,10.59,368,0
SUBZ.US,5,20211104,201500,10.5961,10.5961,10.5961,10.5961,300,0
SUBZ.US,5,20211104,204000,10.58,10.58,10.58,10.58,200,0
SUBZ.US,5,20211104,205000,10.59,10.59,10.59,10.59,200,0
SUBZ.US,5,20211104,205500,10.59,10.59,10.59,10.59,200,0
SUBZ.US,5,20211105,143000,10.65,10.65,10.63,10.63,2715,0
SUBZ.US,5,20211105,145000,10.64,10.65,10.64,10.65,1125,0
SUBZ.US,5,20211105,151000,10.649,10.649,10.649,10.649,100,0
SUBZ.US,5,20211105,151500,10.65,10.65,10.634,10.634,611,0
SUBZ.US,5,20211105,152500,10.615,10.615,10.615,10.615,100,0
SUBZ.US,5,20211105,153000,10.6,10.6,10.6,10.6,111,0
SUBZ.US,5,20211105,153500,10.595,10.595,10.57,10.57,1709,0
SUBZ.US,5,20211105,154000,10.58,10.58,10.5601,10.5601,737,0
SUBZ.US,5,20211105,154500,10.56,10.56,10.56,10.56,100,0
SUBZ.US,5,20211105,155000,10.575,10.575,10.56,10.56,400,0
SUBZ.US,5,20211105,155500,10.561,10.561,10.55,10.55,1182,0
SUBZ.US,5,20211105,161500,10.57,10.57,10.57,10.57,1271,0
SUBZ.US,5,20211105,162500,10.575,10.575,10.575,10.575,300,0
SUBZ.US,5,20211105,164000,10.56,10.56,10.56,10.56,298,0
SUBZ.US,5,20211105,171500,10.55,10.55,10.55,10.55,200,0
SUBZ.US,5,20211105,173000,10.55,10.5504,10.55,10.55,800,0
SUBZ.US,5,20211105,173500,10.55,10.55,10.55,10.55,100,0
SUBZ.US,5,20211105,175000,10.549,10.549,10.549,10.549,300,0
SUBZ.US,5,20211105,180000,10.54,10.54,10.54,10.54,200,0
SUBZ.US,5,20211105,181000,10.54,10.54,10.54,10.54,846,0
SUBZ.US,5,20211105,182000,10.5218,10.5218,10.5218,10.5218,1000,0
SUBZ.US,5,20211105,183000,10.5166,10.5166,10.5166,10.5166,226,0
SUBZ.US,5,20211105,183500,10.52,10.52,10.52,10.52,300,0
SUBZ.US,5,20211105,190500,10.539,10.549,10.539,10.549,600,0
SUBZ.US,5,20211105,201000,10.5189,10.5189,10.5189,10.5189,522,0
SUBZ.US,5,20211105,203500,10.545,10.545,10.545,10.545,150,0
SUBZ.US,5,20211108,153000,10.6,10.649,10.6,10.649,1208,0
SUBZ.US,5,20211108,154000,10.65,10.65,10.65,10.65,126,0
SUBZ.US,5,20211108,155500,10.645,10.66,10.645,10.66,546,0
SUBZ.US,5,20211108,162000,10.63,10.63,10.63,10.63,100,0
SUBZ.US,5,20211108,163000,10.631,10.645,10.631,10.645,527,0
SUBZ.US,5,20211108,163500,10.63,10.63,10.63,10.63,600,0
SUBZ.US,5,20211108,164000,10.59,10.59,10.59,10.59,295,0
SUBZ.US,5,20211108,164500,10.635,10.635,10.635,10.635,400,0
SUBZ.US,5,20211108,170500,10.62,10.62,10.62,10.62,100,0
SUBZ.US,5,20211108,171000,10.63,10.63,10.625,10.625,250,0
SUBZ.US,5,20211108,172000,10.64,10.64,10.631,10.631,400,0
SUBZ.US,5,20211108,173000,10.621,10.621,10.621,10.621,100,0
SUBZ.US,5,20211108,174000,10.63,10.63,10.63,10.63,150,0
SUBZ.US,5,20211108,180500,10.6201,10.6201,10.6201,10.6201,200,0
SUBZ.US,5,20211108,184000,10.649,10.649,10.649,10.649,179,0
SUBZ.US,5,20211108,185500,10.645,10.645,10.645,10.645,300,0
SUBZ.US,5,20211108,191500,10.64,10.64,10.64,10.64,240,0
SUBZ.US,5,20211108,194000,10.645,10.645,10.645,10.645,100,0
SUBZ.US,5,20211108,195000,10.649,10.649,10.645,10.645,200,0
SUBZ.US,5,20211108,201500,10.65,10.65,10.65,10.65,143,0
SUBZ.US,5,20211108,202000,10.635,10.635,10.635,10.635,469,0
SUBZ.US,5,20211108,205500,10.6125,10.6125,10.6125,10.6125,151,0
SUBZ.US,5,20211108,211500,10.644,10.644,10.644,10.644,100,0
SUBZ.US,5,20211109,153000,10.68,10.68,10.66,10.66,585,0
SUBZ.US,5,20211109,154000,10.74,10.74,10.74,10.74,200,0
SUBZ.US,5,20211109,160500,10.59,10.59,10.59,10.59,100,0
SUBZ.US,5,20211109,161000,10.6238,10.6238,10.6238,10.6238,100,0
SUBZ.US,5,20211109,162000,10.66,10.66,10.66,10.66,1000,0
SUBZ.US,5,20211109,163500,10.7,10.7,10.7,10.7,100,0
SUBZ.US,5,20211109,165500,10.705,10.705,10.705,10.705,100,0
SUBZ.US,5,20211109,171000,10.63,10.63,10.63,10.63,225,0
