<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACC.US,5,20211104,143000,54.098,54.098,53.949,53.949,4861,0
ACC.US,5,20211104,143500,53.993,54.068,53.993,53.998,1717,0
ACC.US,5,20211104,144000,53.993,54.112,53.993,54.068,4338,0
ACC.US,5,20211104,144500,54.058,54.098,53.889,53.909,1466,0
ACC.US,5,20211104,145000,53.979,53.979,53.969,53.969,303,0
ACC.US,5,20211104,145500,53.964,53.979,53.929,53.979,1513,0
ACC.US,5,20211104,150000,53.998,53.998,53.949,53.949,504,0
ACC.US,5,20211104,150500,53.929,54.013,53.929,54.013,1154,0
ACC.US,5,20211104,151000,54.058,54.107,54.048,54.058,3844,0
ACC.US,5,20211104,151500,54.058,54.107,53.998,54.028,6201,0
ACC.US,5,20211104,152000,53.998,53.998,53.959,53.959,549,0
ACC.US,5,20211104,152500,53.976,53.976,53.949,53.949,605,0
ACC.US,5,20211104,153000,53.998,54.008,53.949,53.969,738,0
ACC.US,5,20211104,153500,53.949,53.949,53.85,53.86,1655,0
ACC.US,5,20211104,154000,53.83,53.894,53.83,53.894,305,0
ACC.US,5,20211104,154500,53.86,53.86,53.78,53.78,403,0
ACC.US,5,20211104,155000,53.785,53.785,53.77,53.77,202,0
ACC.US,5,20211104,155500,53.77,53.77,53.731,53.761,1849,0
ACC.US,5,20211104,160000,53.717,53.751,53.717,53.741,2118,0
ACC.US,5,20211104,160500,53.761,53.765,53.671,53.671,2249,0
ACC.US,5,20211104,161000,53.642,53.681,53.632,53.681,807,0
ACC.US,5,20211104,161500,53.701,53.746,53.642,53.746,1251,0
ACC.US,5,20211104,162000,53.691,53.691,53.635,53.661,605,0
ACC.US,5,20211104,163000,53.642,53.681,53.642,53.659,908,0
ACC.US,5,20211104,163500,53.671,53.706,53.651,53.671,1625,0
ACC.US,5,20211104,164000,53.721,53.721,53.661,53.686,2008,0
ACC.US,5,20211104,164500,53.632,53.651,53.602,53.637,2499,0
ACC.US,5,20211104,165000,53.632,53.632,53.592,53.612,504,0
ACC.US,5,20211104,165500,53.661,53.661,53.661,53.661,504,0
ACC.US,5,20211104,170000,53.706,53.706,53.632,53.642,908,0
ACC.US,5,20211104,170500,53.681,53.681,53.651,53.676,908,0
ACC.US,5,20211104,171000,53.691,53.701,53.691,53.701,390,0
ACC.US,5,20211104,171500,53.686,53.686,53.617,53.617,548,0
ACC.US,5,20211104,172000,53.607,53.642,53.597,53.612,2623,0
ACC.US,5,20211104,172500,53.619,53.619,53.619,53.619,101,0
ACC.US,5,20211104,173000,53.602,53.642,53.567,53.642,2608,0
ACC.US,5,20211104,173500,53.632,53.632,53.612,53.622,1150,0
ACC.US,5,20211104,174000,53.602,53.602,53.602,53.602,101,0
ACC.US,5,20211104,174500,53.612,53.622,53.602,53.612,950,0
ACC.US,5,20211104,175000,53.651,53.651,53.637,53.637,403,0
ACC.US,5,20211104,175500,53.642,53.681,53.642,53.681,504,0
ACC.US,5,20211104,180000,53.671,53.671,53.602,53.602,504,0
ACC.US,5,20211104,180500,53.597,53.597,53.572,53.572,422,0
ACC.US,5,20211104,181000,53.578,53.592,53.562,53.592,504,0
ACC.US,5,20211104,181500,53.592,53.622,53.592,53.622,405,0
ACC.US,5,20211104,182500,53.681,53.7,53.622,53.622,674,0
ACC.US,5,20211104,183000,53.582,53.582,53.552,53.572,1015,0
ACC.US,5,20211104,183500,53.552,53.568,53.513,53.528,2551,0
ACC.US,5,20211104,184000,53.513,53.513,53.463,53.513,1432,0
ACC.US,5,20211104,184500,53.537,53.537,53.463,53.483,504,0
ACC.US,5,20211104,185000,53.503,53.503,53.453,53.453,3156,0
ACC.US,5,20211104,185500,53.453,53.483,53.453,53.453,4387,0
ACC.US,5,20211104,190000,53.438,53.458,53.414,53.414,1352,0
ACC.US,5,20211104,190500,53.404,53.404,53.295,53.314,1736,0
ACC.US,5,20211104,191000,53.305,53.305,53.265,53.282,1316,0
ACC.US,5,20211104,191500,53.275,53.3,53.116,53.116,4336,0
ACC.US,5,20211104,192000,53.156,53.156,53.076,53.141,8678,0
ACC.US,5,20211104,192500,53.131,53.131,53.047,53.047,1390,0
ACC.US,5,20211104,193000,53.027,53.101,52.998,53.101,2224,0
ACC.US,5,20211104,193500,53.067,53.126,53.022,53.126,2393,0
ACC.US,5,20211104,194000,53.126,53.18,53.086,53.096,2401,0
ACC.US,5,20211104,194500,53.096,53.142,53.076,53.126,4078,0
ACC.US,5,20211104,195000,53.106,53.116,53.076,53.116,3079,0
ACC.US,5,20211104,195500,53.166,53.166,53.116,53.146,2618,0
ACC.US,5,20211104,200000,53.215,53.295,53.19,53.295,1140,0
ACC.US,5,20211104,200500,53.295,53.3,53.24,53.275,2237,0
ACC.US,5,20211104,201000,53.295,53.314,53.26,53.295,1423,0
ACC.US,5,20211104,201500,53.305,53.314,53.255,53.27,1309,0
ACC.US,5,20211104,202000,53.29,53.354,53.275,53.324,1962,0
ACC.US,5,20211104,202500,53.305,53.305,53.235,53.235,421,0
ACC.US,5,20211104,203000,53.245,53.384,53.205,53.354,6281,0
ACC.US,5,20211104,203500,53.354,53.453,53.265,53.295,5810,0
ACC.US,5,20211104,204000,53.265,53.275,53.215,53.275,2643,0
ACC.US,5,20211104,204500,53.245,53.324,53.22,53.22,3245,0
ACC.US,5,20211104,205000,53.235,53.324,53.235,53.324,7418,0
ACC.US,5,20211104,205500,53.305,53.334,53.186,53.195,27403,0
ACC.US,5,20211105,143000,53.86,53.86,53.562,53.562,6026,0
ACC.US,5,20211105,143500,54.068,54.098,53.979,54.098,847,0
ACC.US,5,20211105,144000,54.048,54.226,54.048,54.137,1614,0
ACC.US,5,20211105,144500,54.172,54.172,54.028,54.157,1244,0
ACC.US,5,20211105,145000,54.117,54.217,54.098,54.098,5506,0
ACC.US,5,20211105,145500,54.127,54.256,54.127,54.197,1330,0
ACC.US,5,20211105,150000,54.137,54.266,54.127,54.204,12166,0
ACC.US,5,20211105,150500,54.276,54.276,54.226,54.256,1736,0
ACC.US,5,20211105,151000,54.162,54.162,54.088,54.103,2703,0
ACC.US,5,20211105,151500,54.068,54.088,53.8,53.8,2623,0
ACC.US,5,20211105,152000,53.78,53.78,53.602,53.661,15918,0
ACC.US,5,20211105,152500,53.661,53.721,53.582,53.721,1715,0
ACC.US,5,20211105,153000,53.77,53.81,53.77,53.81,745,0
ACC.US,5,20211105,153500,53.741,53.77,53.691,53.721,1494,0
ACC.US,5,20211105,154000,53.691,53.77,53.691,53.77,4278,0
ACC.US,5,20211105,154500,53.735,53.83,53.735,53.83,1303,0
ACC.US,5,20211105,155000,53.78,53.899,53.78,53.884,1815,0
ACC.US,5,20211105,155500,53.884,53.949,53.875,53.899,4283,0
ACC.US,5,20211105,160000,53.879,53.929,53.87,53.929,1541,0
ACC.US,5,20211105,160500,53.889,53.889,53.889,53.889,101,0
ACC.US,5,20211105,161000,53.909,53.909,53.909,53.909,346,0
ACC.US,5,20211105,161500,53.899,53.899,53.875,53.875,1011,0
ACC.US,5,20211105,162000,53.899,53.959,53.889,53.889,2323,0
ACC.US,5,20211105,162500,53.889,53.989,53.86,53.989,2003,0
ACC.US,5,20211105,163000,53.939,53.939,53.939,53.939,403,0
ACC.US,5,20211105,163500,53.909,53.959,53.909,53.959,1110,0
ACC.US,5,20211105,164000,53.949,53.949,53.924,53.949,504,0
ACC.US,5,20211105,164500,53.929,53.969,53.919,53.969,1072,0
ACC.US,5,20211105,165000,53.979,53.979,53.964,53.969,1165,0
ACC.US,5,20211105,165500,53.939,53.939,53.929,53.939,674,0
ACC.US,5,20211105,170000,53.949,53.949,53.939,53.939,325,0
ACC.US,5,20211105,170500,53.899,53.899,53.899,53.899,101,0
ACC.US,5,20211105,171000,53.909,53.909,53.86,53.86,1014,0
ACC.US,5,20211105,171500,53.899,53.909,53.87,53.909,504,0
ACC.US,5,20211105,172000,53.865,53.865,53.83,53.83,1311,0
ACC.US,5,20211105,172500,53.8,53.889,53.8,53.879,949,0
ACC.US,5,20211105,173000,53.909,53.909,53.879,53.889,1352,0
ACC.US,5,20211105,173500,53.889,53.889,53.889,53.889,403,0
ACC.US,5,20211105,174000,53.88,53.889,53.879,53.889,1014,0
ACC.US,5,20211105,174500,53.909,53.909,53.909,53.909,101,0
ACC.US,5,20211105,175000,53.899,53.919,53.899,53.919,1311,0
ACC.US,5,20211105,175500,53.879,53.889,53.879,53.879,706,0
ACC.US,5,20211105,180000,53.909,53.919,53.889,53.889,1009,0
ACC.US,5,20211105,180500,53.87,53.87,53.85,53.85,806,0
ACC.US,5,20211105,181000,53.85,53.85,53.81,53.81,2653,0
ACC.US,5,20211105,182000,53.84,53.889,53.81,53.825,8995,0
ACC.US,5,20211105,182500,53.81,53.81,53.721,53.721,4322,0
ACC.US,5,20211105,183000,53.721,53.78,53.711,53.731,5079,0
ACC.US,5,20211105,183500,53.726,53.731,53.691,53.691,2596,0
ACC.US,5,20211105,184000,53.671,53.671,53.622,53.622,2746,0
ACC.US,5,20211105,184500,53.642,53.642,53.602,53.602,1816,0
ACC.US,5,20211105,185000,53.592,53.612,53.562,53.562,4024,0
ACC.US,5,20211105,185500,53.582,53.632,53.582,53.632,1110,0
ACC.US,5,20211105,190000,53.661,53.681,53.661,53.681,707,0
ACC.US,5,20211105,190500,53.731,53.795,53.731,53.795,504,0
ACC.US,5,20211105,191000,53.8,53.82,53.79,53.82,807,0
ACC.US,5,20211105,191500,53.82,53.82,53.8,53.81,1278,0
ACC.US,5,20211105,192000,53.8,53.8,53.751,53.751,442,0
ACC.US,5,20211105,192500,53.751,53.79,53.751,53.79,2086,0
ACC.US,5,20211105,193000,53.85,53.884,53.85,53.86,930,0
ACC.US,5,20211105,193500,53.86,53.86,53.83,53.845,777,0
ACC.US,5,20211105,194000,53.83,53.84,53.8,53.83,2392,0
ACC.US,5,20211105,194500,53.81,53.825,53.651,53.77,21393,0
ACC.US,5,20211105,195000,53.731,53.8,53.721,53.785,4457,0
ACC.US,5,20211105,195500,53.77,53.79,53.752,53.775,1624,0
ACC.US,5,20211105,200000,53.78,53.78,53.701,53.701,1184,0
ACC.US,5,20211105,200500,53.721,53.761,53.721,53.761,1184,0
ACC.US,5,20211105,201000,53.78,53.81,53.78,53.8,1614,0
ACC.US,5,20211105,201500,53.79,53.79,53.77,53.77,824,0
ACC.US,5,20211105,202000,53.77,53.79,53.761,53.77,1727,0
ACC.US,5,20211105,202500,53.761,53.761,53.691,53.701,1009,0
ACC.US,5,20211105,203000,53.721,53.731,53.671,53.731,3534,0
ACC.US,5,20211105,203500,53.761,53.83,53.761,53.761,3883,0
ACC.US,5,20211105,204000,53.761,53.761,53.642,53.642,4656,0
ACC.US,5,20211105,204500,53.642,53.681,53.582,53.582,8992,0
ACC.US,5,20211105,205000,53.577,53.691,53.542,53.542,14259,0
ACC.US,5,20211105,205500,53.552,53.592,53.503,53.562,26705,0
ACC.US,5,20211108,153000,53.731,53.731,53.314,53.572,4064,0
ACC.US,5,20211108,153500,53.622,53.622,53.503,53.503,706,0
ACC.US,5,20211108,154000,53.384,53.404,53.314,53.314,605,0
ACC.US,5,20211108,154500,53.195,53.245,53.176,53.235,2451,0
ACC.US,5,20211108,155000,53.195,53.354,53.136,53.349,1820,0
ACC.US,5,20211108,155500,53.295,53.295,53.176,53.265,706,0
ACC.US,5,20211108,160000,53.235,53.344,53.225,53.275,1491,0
ACC.US,5,20211108,160500,53.314,53.354,53.255,53.354,680,0
ACC.US,5,20211108,161000,53.314,53.443,53.295,53.428,2305,0
ACC.US,5,20211108,161500,53.453,53.473,53.453,53.473,504,0
ACC.US,5,20211108,162000,53.503,53.503,53.463,53.463,1564,0
ACC.US,5,20211108,162500,53.503,53.503,53.463,53.473,605,0
ACC.US,5,20211108,163500,53.513,53.533,53.453,53.453,524,0
ACC.US,5,20211108,164000,53.463,53.463,53.404,53.453,2491,0
ACC.US,5,20211108,165000,53.394,53.394,53.394,53.394,202,0
ACC.US,5,20211108,165500,53.324,53.394,53.295,53.394,2915,0
ACC.US,5,20211108,170000,53.453,53.523,53.453,53.493,706,0
ACC.US,5,20211108,170500,53.493,53.513,53.463,53.473,1009,0
ACC.US,5,20211108,171000,53.523,53.552,53.493,53.552,1493,0
ACC.US,5,20211108,171500,53.602,53.661,53.602,53.622,706,0
ACC.US,5,20211108,172000,53.642,53.642,53.592,53.612,1118,0
ACC.US,5,20211108,172500,53.612,53.661,53.612,53.661,1958,0
ACC.US,5,20211108,173000,53.671,53.671,53.622,53.622,403,0
ACC.US,5,20211108,173500,53.642,53.651,53.602,53.622,1689,0
ACC.US,5,20211108,174000,53.642,53.701,53.622,53.656,41009,0
ACC.US,5,20211108,174500,53.676,53.761,53.676,53.761,4323,0
ACC.US,5,20211108,175000,53.761,53.8,53.751,53.8,1210,0
ACC.US,5,20211108,175500,53.78,53.82,53.78,53.82,1949,0
ACC.US,5,20211108,180000,53.821,53.83,53.77,53.78,1165,0
ACC.US,5,20211108,180500,53.79,53.8,53.731,53.731,1917,0
ACC.US,5,20211108,181000,53.731,53.741,53.731,53.731,790,0
ACC.US,5,20211108,181500,53.736,53.84,53.736,53.84,4659,0
ACC.US,5,20211108,182000,53.835,53.85,53.81,53.83,4128,0
ACC.US,5,20211108,182500,53.84,53.85,53.84,53.84,321,0
ACC.US,5,20211108,183000,53.83,53.83,53.81,53.81,337,0
ACC.US,5,20211108,183500,53.82,53.865,53.815,53.85,2575,0
ACC.US,5,20211108,184000,53.865,53.865,53.8,53.815,1973,0
ACC.US,5,20211108,184500,53.83,53.879,53.795,53.795,8204,0
ACC.US,5,20211108,185000,53.79,53.81,53.751,53.81,4073,0
