<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANAC.US,5,20211104,164000,9.76,9.76,9.7597,9.7597,16030,0
ANAC.US,5,20211104,165000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,171000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,173500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,174500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,175000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,180000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,181000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,181500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,182500,9.76,9.77,9.76,9.77,1100,0
ANAC.US,5,20211104,183500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,184500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,185000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,190000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,190500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,192500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211104,202500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211104,203000,9.76,9.76,9.75,9.75,701,0
ANAC.US,5,20211104,204500,9.75,9.75,9.75,9.75,2100,0
ANAC.US,5,20211104,205000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211104,205500,9.75,9.75,9.74,9.75,1100,0
ANAC.US,5,20211105,160000,9.74,9.74,9.74,9.74,691,0
ANAC.US,5,20211105,165500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211105,172500,9.74,9.74,9.74,9.74,20509,0
ANAC.US,5,20211105,174500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211105,175500,9.74,9.74,9.74,9.74,8645,0
ANAC.US,5,20211105,181000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,181500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,182500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,183000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,184000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,184500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,185000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,190000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,190500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,191000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,191500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,192000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,193000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,193500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,194000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,194500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,195000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,195500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,200000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,201000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,201500,9.76,9.76,9.74,9.74,900,0
ANAC.US,5,20211105,203000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,203500,9.76,9.76,9.76,9.76,200,0
ANAC.US,5,20211105,204000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211105,204500,9.76,9.76,9.76,9.76,200,0
ANAC.US,5,20211105,205000,9.76,9.76,9.76,9.76,300,0
ANAC.US,5,20211105,205500,9.74,9.74,9.74,9.74,600,0
ANAC.US,5,20211108,175500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211108,184000,9.75,9.75,9.75,9.75,123,0
ANAC.US,5,20211108,211000,9.74,9.74,9.74,9.74,804,0
ANAC.US,5,20211108,211500,9.74,9.74,9.74,9.74,254,0
ANAC.US,5,20211108,214000,9.74,9.74,9.74,9.74,100,0
ANAC.US,5,20211109,153000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211109,215500,9.75,9.76,9.74,9.76,889,0
ANAC.US,5,20211110,154500,9.74,9.74,9.72,9.73,19347,0
ANAC.US,5,20211110,155500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,160500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,161500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,162000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,162500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,163000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,163500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,164000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,164500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,165000,9.76,9.76,9.76,9.76,200,0
ANAC.US,5,20211110,165500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,170000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,170500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,171000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211110,171500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,172000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,172500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,173000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,173500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,174000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,174500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211110,180500,9.73,9.73,9.73,9.73,300,0
ANAC.US,5,20211110,182000,9.75,9.75,9.75,9.75,200,0
ANAC.US,5,20211110,183000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211110,183500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211110,184500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211110,210500,9.75,9.75,9.75,9.75,200,0
ANAC.US,5,20211110,212000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211110,214000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211110,214500,9.75,9.75,9.75,9.75,200,0
ANAC.US,5,20211110,215000,9.75,9.75,9.75,9.75,300,0
ANAC.US,5,20211110,215500,9.75,9.75,9.73,9.73,200,0
ANAC.US,5,20211111,161000,9.75,9.75,9.75,9.75,3450,0
ANAC.US,5,20211111,162000,9.76,9.76,9.75,9.75,200,0
ANAC.US,5,20211111,162500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211112,155000,9.7383,9.7383,9.7383,9.7383,100,0
ANAC.US,5,20211112,181000,9.745,9.745,9.73,9.73,900,0
ANAC.US,5,20211112,182500,9.745,9.76,9.745,9.745,2060,0
ANAC.US,5,20211112,215500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211115,182000,9.74,9.74,9.73,9.73,7394,0
ANAC.US,5,20211115,183500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211115,185000,9.75,9.75,9.75,9.75,200,0
ANAC.US,5,20211115,190000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211115,190500,9.73,9.75,9.73,9.75,80759,0
ANAC.US,5,20211115,191000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211115,191500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211115,192000,9.75,9.75,9.745,9.745,600,0
ANAC.US,5,20211115,192500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211115,193000,9.75,9.75,9.75,9.75,300,0
ANAC.US,5,20211115,193500,9.75,9.75,9.75,9.75,300,0
ANAC.US,5,20211115,194000,9.745,9.75,9.745,9.75,500,0
ANAC.US,5,20211115,194500,9.75,9.75,9.745,9.745,500,0
ANAC.US,5,20211115,195000,9.75,9.75,9.75,9.75,500,0
ANAC.US,5,20211115,195500,9.75,9.75,9.75,9.75,200,0
ANAC.US,5,20211115,200000,9.75,9.76,9.75,9.76,925,0
ANAC.US,5,20211115,200500,9.76,9.76,9.75,9.76,600,0
ANAC.US,5,20211115,201000,9.76,9.76,9.76,9.76,200,0
ANAC.US,5,20211115,201500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211115,202000,9.76,9.76,9.75,9.75,1276,0
ANAC.US,5,20211115,203000,9.76,9.76,9.76,9.76,200,0
ANAC.US,5,20211115,203500,9.75,9.76,9.75,9.76,300,0
ANAC.US,5,20211115,204000,9.76,9.76,9.75,9.76,400,0
ANAC.US,5,20211115,204500,9.76,9.76,9.75,9.76,400,0
ANAC.US,5,20211115,205000,9.76,9.76,9.75,9.76,400,0
ANAC.US,5,20211115,205500,9.76,9.76,9.75,9.76,500,0
ANAC.US,5,20211115,210000,9.76,9.76,9.75,9.76,400,0
ANAC.US,5,20211115,210500,9.76,9.76,9.75,9.76,500,0
ANAC.US,5,20211115,211000,9.76,9.76,9.75,9.76,500,0
ANAC.US,5,20211115,211500,9.76,9.76,9.75,9.76,500,0
ANAC.US,5,20211115,212000,9.76,9.76,9.75,9.75,600,0
ANAC.US,5,20211115,212500,9.76,9.76,9.75,9.76,600,0
ANAC.US,5,20211115,213000,9.76,9.76,9.75,9.76,600,0
ANAC.US,5,20211115,213500,9.76,9.76,9.75,9.75,600,0
ANAC.US,5,20211115,214000,9.76,9.76,9.75,9.75,400,0
ANAC.US,5,20211115,214500,9.75,9.75,9.73,9.74,98644,0
ANAC.US,5,20211115,215000,9.74,9.75,9.74,9.75,1439,0
ANAC.US,5,20211115,215500,9.75,9.76,9.75,9.76,7100,0
ANAC.US,5,20211116,171500,9.74,9.74,9.74,9.74,1300,0
ANAC.US,5,20211116,173500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211116,183500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211116,214500,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211116,215500,9.76,9.76,9.76,9.76,232,0
ANAC.US,5,20211117,154500,9.74,9.74,9.74,9.74,200,0
ANAC.US,5,20211117,164000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211117,194500,9.74,9.745,9.74,9.745,300,0
ANAC.US,5,20211117,214000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211122,153500,9.74,9.74,9.74,9.74,900,0
ANAC.US,5,20211122,162000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211122,162500,9.76,9.76,9.76,9.76,6443,0
ANAC.US,5,20211122,170000,9.78,9.78,9.7708,9.7708,750,0
ANAC.US,5,20211122,171500,9.78,9.78,9.78,9.78,100,0
ANAC.US,5,20211122,173000,9.79,9.79,9.79,9.79,100,0
ANAC.US,5,20211122,174500,9.78,9.78,9.78,9.78,100,0
ANAC.US,5,20211122,175500,9.78,9.785,9.78,9.785,1951,0
ANAC.US,5,20211122,181000,9.78,9.78,9.78,9.78,100,0
ANAC.US,5,20211122,182500,9.78,9.78,9.78,9.78,100,0
ANAC.US,5,20211122,183500,9.7515,9.778,9.7515,9.778,450,0
ANAC.US,5,20211122,184000,9.78,9.78,9.78,9.78,100,0
ANAC.US,5,20211122,185000,9.76,9.76,9.76,9.76,100,0
ANAC.US,5,20211122,193000,9.76,9.76,9.755,9.755,300,0
ANAC.US,5,20211122,201000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211123,153000,9.77,9.77,9.74,9.77,11453,0
ANAC.US,5,20211123,153500,9.77,9.77,9.77,9.77,300,0
ANAC.US,5,20211123,154500,9.79,9.79,9.79,9.79,100,0
ANAC.US,5,20211123,155000,9.75,9.75,9.75,9.75,300,0
ANAC.US,5,20211123,155500,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211123,160000,9.75,9.75,9.75,9.75,100,0
ANAC.US,5,20211123,160500,9.75,9.75,9.7499,9.7499,10500,0
ANAC.US,5,20211123,161500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211123,162000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211123,162500,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211123,163000,9.77,9.77,9.77,9.77,100,0
ANAC.US,5,20211123,164000,9.77,9.77,9.77,9.77,100,0
