<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDCX.US,5,20211104,143000,38.81,39.35,38.81,39.35,200,0
BDCX.US,5,20211104,143500,39.6,39.6,39.6,39.6,100,0
BDCX.US,5,20211105,143000,39.7499,40,39.7499,40,500,0
BDCX.US,5,20211105,143500,39.86,39.96,39.86,39.96,400,0
BDCX.US,5,20211105,144000,39.86,39.9,39.86,39.9,2600,0
BDCX.US,5,20211105,201500,40.2,40.2,40.2,40.2,922,0
BDCX.US,5,20211108,153000,40.1,40.1,40.1,40.1,496,0
BDCX.US,5,20211108,165000,40.62,40.62,40.62,40.62,100,0
BDCX.US,5,20211108,213000,40.63,40.63,40.63,40.63,100,0
BDCX.US,5,20211108,215500,40.64,40.64,40.64,40.64,100,0
BDCX.US,5,20211109,154000,40.47,40.47,40.47,40.47,250,0
BDCX.US,5,20211109,210000,40.25,40.25,40.25,40.25,314,0
BDCX.US,5,20211109,213500,40.31,40.31,40.31,40.31,100,0
BDCX.US,5,20211109,214000,40.31,40.31,40.31,40.31,100,0
BDCX.US,5,20211109,214500,40.29,40.29,40.29,40.29,100,0
BDCX.US,5,20211109,215000,40.27,40.27,40.23,40.23,400,0
BDCX.US,5,20211109,215500,40.2,40.23,40.12,40.12,1400,0
BDCX.US,5,20211111,153000,40,40,40,40,100,0
BDCX.US,5,20211111,153500,40.35,40.35,40.26,40.26,200,0
BDCX.US,5,20211111,204000,40.39,40.39,40.39,40.39,436,0
BDCX.US,5,20211112,213500,40.29,40.29,40.29,40.29,100,0
BDCX.US,5,20211112,214000,40.25,40.25,40.25,40.25,100,0
BDCX.US,5,20211112,215000,40.22,40.23,40.2,40.23,400,0
BDCX.US,5,20211112,215500,40.21,40.21,40.21,40.21,100,0
BDCX.US,5,20211115,192500,40.05,40.05,40.05,40.05,200,0
BDCX.US,5,20211115,195000,40.02,40.02,40.02,40.02,125,0
BDCX.US,5,20211115,200000,40.01,40.01,40.01,40.01,124,0
BDCX.US,5,20211116,153000,39.9,39.9,39.9,39.9,100,0
BDCX.US,5,20211116,161000,40.06,40.06,40.06,40.06,100,0
BDCX.US,5,20211118,182000,39.68,39.68,39.68,39.68,400,0
BDCX.US,5,20211119,153000,39.75,39.75,39.75,39.75,100,0
BDCX.US,5,20211122,153000,41.72,41.72,41.72,41.72,101,0
BDCX.US,5,20211122,162000,39.67,39.67,39.67,39.67,200,0
BDCX.US,5,20211122,215500,39.42,39.42,39.42,39.42,150,0
BDCX.US,5,20211124,175500,39.67,39.67,39.67,39.67,100,0
BDCX.US,5,20211124,181000,39.71,39.71,39.71,39.71,149,0
BDCX.US,5,20211126,153000,38.04,38.2,38,38.2,900,0
BDCX.US,5,20211126,153500,38.3,38.3,38.3,38.3,200,0
BDCX.US,5,20211126,154000,38.2001,38.2001,38.2,38.2,216,0
BDCX.US,5,20211126,155000,38.5,38.5,38.5,38.5,100,0
BDCX.US,5,20211126,161000,38.5,38.5,38.5,38.5,100,0
BDCX.US,5,20211126,191000,38.9421,38.9421,38.9421,38.9421,0,0
BDCX.US,5,20211126,213000,38.9421,38.9421,38.9421,38.9421,0,0
BDCX.US,5,20211129,153000,39,39,39,39,100,0
BDCX.US,5,20211129,153500,39.17,39.2,39.17,39.2,200,0
BDCX.US,5,20211129,155500,39.17,39.17,39.16,39.16,300,0
BDCX.US,5,20211130,162500,38.6,38.6,38.6,38.6,100,0
BDCX.US,5,20211130,191000,38.3201,38.3201,38.32,38.32,375,0
BDCX.US,5,20211201,153500,39.09,39.09,39.09,39.09,300,0
BDCX.US,5,20211201,174500,39.19,39.1901,39.19,39.1901,3998,0
BDCX.US,5,20211201,184500,39.09,39.09,39.09,39.09,120,0
BDCX.US,5,20211201,215000,38.25,38.25,38.25,38.25,250,0
BDCX.US,5,20211202,153000,38.182,38.31,38.182,38.31,296,0
BDCX.US,5,20211202,154000,38.72,38.76,38.72,38.76,2700,0
BDCX.US,5,20211202,214500,38.9,38.9,38.9,38.9,100,0
BDCX.US,5,20211203,163500,38.7,38.7,38.7,38.7,180,0
BDCX.US,5,20211203,195500,38.7488,38.7488,38.714,38.714,300,0
BDCX.US,5,20211206,170500,38.8401,38.8401,38.8401,38.8401,100,0
BDCX.US,5,20211206,214000,39.11,39.11,39.11,39.11,100,0
BDCX.US,5,20211207,154000,38.525,38.525,38.525,38.525,300,0
