<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGH.US,5,20211104,143000,17.16,17.16,17.16,17.16,2696,0
BGH.US,5,20211104,150000,17.19,17.19,17.1501,17.1501,700,0
BGH.US,5,20211104,151000,17.15,17.15,17.15,17.15,1500,0
BGH.US,5,20211104,152000,17.16,17.17,17.16,17.17,700,0
BGH.US,5,20211104,153000,17.17,17.17,17.17,17.17,100,0
BGH.US,5,20211104,154000,17.165,17.165,17.165,17.165,100,0
BGH.US,5,20211104,154500,17.1651,17.1651,17.1651,17.1651,100,0
BGH.US,5,20211104,155000,17.17,17.17,17.17,17.17,100,0
BGH.US,5,20211104,155500,17.1601,17.165,17.1601,17.165,935,0
BGH.US,5,20211104,160000,17.16,17.16,17.16,17.16,628,0
BGH.US,5,20211104,160500,17.16,17.16,17.1598,17.1598,2000,0
BGH.US,5,20211104,161500,17.15,17.16,17.15,17.15,700,0
BGH.US,5,20211104,162000,17.15,17.16,17.15,17.1594,1715,0
BGH.US,5,20211104,162500,17.16,17.16,17.15,17.15,600,0
BGH.US,5,20211104,163000,17.16,17.16,17.14,17.15,2100,0
BGH.US,5,20211104,163500,17.15,17.15,17.11,17.11,2166,0
BGH.US,5,20211104,164500,17.13,17.13,17.13,17.13,200,0
BGH.US,5,20211104,165000,17.12,17.12,17.12,17.12,360,0
BGH.US,5,20211104,165500,17.1242,17.1242,17.1242,17.1242,600,0
BGH.US,5,20211104,170500,17.13,17.13,17.13,17.13,100,0
BGH.US,5,20211104,171000,17.14,17.14,17.14,17.14,600,0
BGH.US,5,20211104,172500,17.15,17.16,17.1498,17.1498,1000,0
BGH.US,5,20211104,174000,17.16,17.16,17.16,17.16,200,0
BGH.US,5,20211104,174500,17.1403,17.1403,17.14,17.14,600,0
BGH.US,5,20211104,181500,17.14,17.14,17.14,17.14,100,0
BGH.US,5,20211104,182000,17.15,17.15,17.14,17.15,10552,0
BGH.US,5,20211104,182500,17.13,17.13,17.13,17.13,100,0
BGH.US,5,20211104,183000,17.13,17.13,17.13,17.13,200,0
BGH.US,5,20211104,184500,17.13,17.13,17.13,17.13,600,0
BGH.US,5,20211104,200000,17.135,17.1498,17.135,17.1498,520,0
BGH.US,5,20211104,202000,17.125,17.125,17.125,17.125,399,0
BGH.US,5,20211104,202500,17.12,17.14,17.12,17.14,1721,0
BGH.US,5,20211104,203500,17.12,17.12,17.12,17.12,100,0
BGH.US,5,20211104,205000,17.13,17.13,17.09,17.09,24723,0
BGH.US,5,20211104,205500,17.09,17.12,17.09,17.12,2774,0
BGH.US,5,20211105,143000,17.22,17.22,17.1431,17.1431,3154,0
BGH.US,5,20211105,143500,17.18,17.1887,17.18,17.1887,600,0
BGH.US,5,20211105,144000,17.19,17.19,17.1872,17.1872,1401,0
BGH.US,5,20211105,145000,17.19,17.19,17.19,17.19,200,0
BGH.US,5,20211105,150000,17.1907,17.1907,17.1907,17.1907,154,0
BGH.US,5,20211105,151000,17.19,17.19,17.19,17.19,100,0
BGH.US,5,20211105,151500,17.19,17.19,17.19,17.19,923,0
BGH.US,5,20211105,152000,17.2,17.2,17.2,17.2,200,0
BGH.US,5,20211105,153000,17.19,17.2,17.19,17.19,1200,0
BGH.US,5,20211105,153500,17.2,17.2,17.18,17.19,3057,0
BGH.US,5,20211105,154000,17.185,17.185,17.185,17.185,100,0
BGH.US,5,20211105,154500,17.19,17.19,17.19,17.19,100,0
BGH.US,5,20211105,160000,17.19,17.19,17.19,17.19,100,0
BGH.US,5,20211105,163000,17.19,17.19,17.19,17.19,200,0
BGH.US,5,20211105,164000,17.185,17.185,17.185,17.185,100,0
BGH.US,5,20211105,165000,17.185,17.185,17.185,17.185,100,0
BGH.US,5,20211105,171000,17.19,17.19,17.19,17.19,400,0
BGH.US,5,20211105,175000,17.185,17.19,17.185,17.1897,946,0
BGH.US,5,20211105,180500,17.195,17.195,17.11,17.14,12587,0
BGH.US,5,20211105,182500,17.1201,17.1201,17.1201,17.1201,466,0
BGH.US,5,20211105,183000,17.13,17.13,17.13,17.13,100,0
BGH.US,5,20211105,183500,17.13,17.13,17.13,17.13,100,0
BGH.US,5,20211105,184000,17.13,17.14,17.13,17.13,500,0
BGH.US,5,20211105,184500,17.12,17.1462,17.12,17.1462,5200,0
BGH.US,5,20211105,192500,17.12,17.1202,17.12,17.1202,1261,0
BGH.US,5,20211105,194000,17.13,17.13,17.12,17.1202,2040,0
BGH.US,5,20211105,194500,17.115,17.115,17.1,17.1,2000,0
