<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C_J.US,5,20211104,143000,28.07,28.07,28,28.02,1197,0
C_J.US,5,20211104,143500,28.0068,28.02,28.0068,28.02,2465,0
C_J.US,5,20211104,144500,28.07,28.07,28.07,28.07,200,0
C_J.US,5,20211104,145500,28.0707,28.1031,28.0707,28.1031,533,0
C_J.US,5,20211104,152500,28.0993,28.11,28.0878,28.0878,907,0
C_J.US,5,20211104,153000,28.095,28.13,28.095,28.13,1117,0
C_J.US,5,20211104,155500,28.155,28.155,28.14,28.14,673,0
C_J.US,5,20211104,160000,28.1593,28.18,28.14,28.18,1100,0
C_J.US,5,20211104,160500,28.14,28.14,28.14,28.14,200,0
C_J.US,5,20211104,162500,28.17,28.17,28.12,28.12,555,0
C_J.US,5,20211104,163500,28.155,28.155,28.155,28.155,386,0
C_J.US,5,20211104,164500,28.155,28.155,28.155,28.155,1000,0
C_J.US,5,20211104,170000,28.17,28.17,28.17,28.17,100,0
C_J.US,5,20211104,171000,28.18,28.18,28.16,28.16,276,0
C_J.US,5,20211104,171500,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,172000,28.18,28.18,28.18,28.18,200,0
C_J.US,5,20211104,172500,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,173000,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,173500,28.18,28.18,28.14,28.168,1529,0
C_J.US,5,20211104,174500,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,175000,28.18,28.18,28.18,28.18,747,0
C_J.US,5,20211104,175500,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,180000,28.18,28.18,28.15,28.18,2332,0
C_J.US,5,20211104,180500,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,181000,28.18,28.18,28.18,28.18,200,0
C_J.US,5,20211104,181500,28.15,28.18,28.15,28.18,200,0
C_J.US,5,20211104,182000,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211104,182500,28.18,28.18,28.18,28.18,200,0
C_J.US,5,20211104,183500,28.18,28.18,28.18,28.18,101,0
C_J.US,5,20211104,184000,28.1544,28.1544,28.1544,28.1544,175,0
C_J.US,5,20211104,184500,28.1622,28.1622,28.1622,28.1622,355,0
C_J.US,5,20211104,185000,28.18,28.18,28.1684,28.18,1168,0
C_J.US,5,20211104,185500,28.1741,28.1741,28.1741,28.1741,236,0
C_J.US,5,20211104,190000,28.18,28.18,28.18,28.18,103,0
C_J.US,5,20211104,190500,28.1639,28.1639,28.1639,28.1639,400,0
C_J.US,5,20211104,192000,28.18,28.18,28.18,28.18,107,0
C_J.US,5,20211104,193000,28.18,28.18,28.18,28.18,194,0
C_J.US,5,20211104,193500,28.17,28.17,28.17,28.17,100,0
C_J.US,5,20211104,194500,28.18,28.18,28.18,28.18,1378,0
C_J.US,5,20211104,195500,28.18,28.2,28.18,28.2,1374,0
C_J.US,5,20211104,201500,28.17,28.2,28.17,28.2,1024,0
C_J.US,5,20211104,202000,28.18,28.1846,28.18,28.1846,2056,0
C_J.US,5,20211104,202500,28.19,28.2,28.13,28.2,3458,0
C_J.US,5,20211104,204500,28.2,28.2,28.2,28.2,292,0
C_J.US,5,20211104,205000,28.195,28.195,28.13,28.13,1900,0
C_J.US,5,20211104,205500,28.2,28.2,28.17,28.17,314,0
C_J.US,5,20211105,143000,28.19,28.19,28.19,28.19,1301,0
C_J.US,5,20211105,143500,28.1714,28.19,28.1063,28.19,800,0
C_J.US,5,20211105,144000,28.19,28.22,28.19,28.22,774,0
C_J.US,5,20211105,144500,28.1601,28.1601,28.1601,28.1601,400,0
C_J.US,5,20211105,145000,28.19,28.19,28.19,28.19,340,0
C_J.US,5,20211105,150500,28.22,28.22,28.19,28.1915,1467,0
C_J.US,5,20211105,151500,28.25,28.25,28.2,28.2,323,0
C_J.US,5,20211105,152500,28.19,28.19,28.159,28.159,1400,0
C_J.US,5,20211105,154000,28.16,28.16,28.16,28.16,100,0
C_J.US,5,20211105,155500,28.16,28.17,28.16,28.17,400,0
C_J.US,5,20211105,162000,28.17,28.17,28.17,28.17,100,0
C_J.US,5,20211105,162500,28.17,28.19,28.17,28.19,1820,0
C_J.US,5,20211105,163500,28.17,28.17,28.17,28.17,391,0
C_J.US,5,20211105,164500,28.1698,28.1698,28.15,28.15,309,0
C_J.US,5,20211105,171000,28.165,28.165,28.165,28.165,100,0
C_J.US,5,20211105,171500,28.14,28.14,28.14,28.14,100,0
C_J.US,5,20211105,172000,28.18,28.18,28.18,28.18,100,0
C_J.US,5,20211105,173000,28.18,28.18,28.18,28.18,200,0
C_J.US,5,20211105,173500,28.17,28.17,28.17,28.17,126,0
C_J.US,5,20211105,174000,28.17,28.17,28.17,28.17,100,0
C_J.US,5,20211105,175500,28.15,28.15,28.15,28.15,100,0
C_J.US,5,20211105,181000,28.17,28.19,28.17,28.19,1004,0
C_J.US,5,20211105,181500,28.17,28.17,28.17,28.17,200,0
C_J.US,5,20211105,182000,28.167,28.18,28.167,28.18,451,0
C_J.US,5,20211105,182500,28.1899,28.19,28.1899,28.19,1100,0
C_J.US,5,20211105,183000,28.17,28.19,28.17,28.19,390,0
C_J.US,5,20211105,183500,28.17,28.19,28.17,28.1752,2175,0
C_J.US,5,20211105,184000,28.17,28.19,28.17,28.19,1649,0
C_J.US,5,20211105,184500,28.2175,28.2175,28.2175,28.2175,2500,0
C_J.US,5,20211105,185000,28.22,28.22,28.22,28.22,100,0
C_J.US,5,20211105,185500,28.23,28.23,28.1812,28.1812,217,0
C_J.US,5,20211105,190000,28.1967,28.1967,28.1796,28.1796,504,0
C_J.US,5,20211105,191500,28.24,28.24,28.24,28.24,100,0
C_J.US,5,20211105,192500,28.24,28.24,28.24,28.24,1445,0
C_J.US,5,20211105,194000,28.24,28.24,28.24,28.24,139,0
C_J.US,5,20211105,194500,28.24,28.24,28.24,28.24,100,0
C_J.US,5,20211105,195000,28.2227,28.2227,28.2227,28.2227,118,0
C_J.US,5,20211105,195500,28.24,28.24,28.24,28.24,100,0
C_J.US,5,20211105,200000,28.2399,28.2399,28.2399,28.2399,109,0
C_J.US,5,20211105,200500,28.24,28.24,28.224,28.24,2200,0
C_J.US,5,20211105,201000,28.24,28.26,28.22,28.26,950,0
C_J.US,5,20211105,202000,28.23,28.24,28.23,28.24,1200,0
C_J.US,5,20211105,202500,28.2214,28.24,28.22,28.22,1200,0
C_J.US,5,20211105,203000,28.24,28.24,28.235,28.235,1437,0
C_J.US,5,20211105,204000,28.23,28.24,28.23,28.24,800,0
C_J.US,5,20211105,205000,28.24,28.24,28.24,28.24,100,0
C_J.US,5,20211105,205500,28.26,28.26,28.26,28.26,701,0
C_J.US,5,20211108,154500,28.225,28.225,28.1907,28.1907,400,0
C_J.US,5,20211108,155500,28.2598,28.2598,28.19,28.225,400,0
C_J.US,5,20211108,160000,28.23,28.23,28.23,28.23,132,0
C_J.US,5,20211108,161500,28.2599,28.2599,28.2599,28.2599,510,0
C_J.US,5,20211108,162500,28.2593,28.2593,28.225,28.225,242,0
C_J.US,5,20211108,163000,28.19,28.19,28.19,28.19,148,0
C_J.US,5,20211108,163500,28.2289,28.2289,28.2289,28.2289,172,0
C_J.US,5,20211108,170000,28.23,28.23,28.23,28.23,193,0
C_J.US,5,20211108,170500,28.23,28.23,28.23,28.23,100,0
